tag;posError;rotError;;tag;posError [mm];rotError [deg]
head;5.72338;0.000536667;;head;5.83;0.00
hip;0.177984;8.11E-05;;hip;0.19;0.00
lHand;4.84443;0.210737;;lHand;4.92;0.21
lForeArm;4.47181;0.000634708;;lForeArm;4.54;0.00
rHand;5.15442;0.210845;;rHand;5.22;0.21
rForeArm;3.99354;7.02E-05;;rForeArm;4.09;0.00
lFoot;0.544068;0.000386218;;lFoot;0.56;0.00
rFoot;0.615858;9.99E-05;;rFoot;0.63;0.00
head;5.93463;0.000554037;;;;
hip;0.203992;0.000265051;;;;
lHand;5.00126;0.210567;;;;
lForeArm;4.60977;0.000641934;;;;
rHand;5.28423;0.210743;;;;
rForeArm;4.19184;8.05E-05;;;;
lFoot;0.574498;0.000398779;;;;
rFoot;0.634843;0.000137418;;;;
