tag time posX posY posZ rotX rotY rotZ rotW
head 362.787 0.0877115 0.297849 0.950575 0.702457 -0.0550355 -0.00215275 -0.0550355
hip 362.787 0.136742 0.484217 0.864196 0.54456 0.00524897 0.00126346 0.00524897
lHand 362.787 0.508651 0.351999 0.785729 0.153911 0.414351 -0.879906 0.414351
rHand 362.787 -0.173909 0.368498 0.913217 0.0763178 -0.420385 0.895517 -0.420385
lFoot 362.787 0.465513 0.875694 0.128286 -0.983868 -0.0287449 -0.0585391 -0.0287449
rFoot 362.787 0.0863395 0.988331 0.125489 -0.986221 -0.0290529 0.0356061 -0.0290529
head 362.799 0.0876204 0.297754 0.950613 0.702458 -0.0549502 -0.0020908 -0.0549502
hip 362.799 0.136562 0.484274 0.864193 0.544476 0.00538535 0.00149437 0.00538535
lHand 362.799 0.508695 0.352394 0.785524 0.153953 0.414778 -0.8797 0.414778
rHand 362.799 -0.174505 0.368635 0.913048 0.0776713 -0.420013 0.895708 -0.420013
lFoot 362.799 0.465588 0.875658 0.12826 -0.983875 -0.0286932 -0.0585194 -0.0286932
rFoot 362.799 0.0866287 0.988243 0.125984 -0.9862 -0.0292621 0.0356154 -0.0292621
head 362.81 0.0875189 0.297642 0.950657 0.70252 -0.0548712 -0.00199382 -0.0548712
hip 362.81 0.136622 0.483899 0.864393 0.544419 0.00541203 0.00147127 0.00541203
lHand 362.81 0.508599 0.352719 0.78544 0.15409 0.415128 -0.879523 0.415128
rHand 362.81 -0.174951 0.368316 0.913091 0.0788113 -0.419872 0.895789 -0.419872
lFoot 362.81 0.46579 0.875508 0.128548 -0.983861 -0.0288232 -0.0585887 -0.0288232
rFoot 362.81 0.0866892 0.988237 0.125988 -0.986183 -0.0294547 0.0355763 -0.0294547
head 362.821 0.0873606 0.297545 0.950702 0.702631 -0.054859 -0.00188858 -0.054859
hip 362.821 0.136478 0.483951 0.864387 0.544304 0.00534886 0.00166052 0.00534886
lHand 362.821 0.508489 0.35302 0.785377 0.154109 0.415404 -0.87938 0.415404
rHand 362.821 -0.175442 0.368616 0.912876 0.0805744 -0.419409 0.89594 -0.419409
lFoot 362.821 0.46555 0.875597 0.12881 -0.983836 -0.029071 -0.0587413 -0.029071
rFoot 362.821 0.0864512 0.988223 0.126261 -0.986179 -0.0295279 0.0355173 -0.0295279
head 362.833 0.08722 0.297422 0.950754 0.702747 -0.0548038 -0.00175368 -0.0548038
hip 362.833 0.136316 0.483999 0.864386 0.544117 0.00533508 0.00188297 0.00533508
lHand 362.833 0.508359 0.353446 0.785269 0.154223 0.415519 -0.87931 0.415519
rHand 362.833 -0.175735 0.368554 0.912844 0.0838876 -0.418952 0.895889 -0.418952
lFoot 362.833 0.465563 0.875584 0.128854 -0.983845 -0.0290969 -0.0586987 -0.0290969
rFoot 362.833 0.0864959 0.988195 0.126446 -0.986161 -0.029406 0.0354791 -0.029406
head 362.845 0.0870951 0.297293 0.950806 0.70287 -0.054765 -0.00172674 -0.054765
hip 362.845 0.136308 0.483828 0.864483 0.544067 0.00548484 0.00220732 0.00548484
lHand 362.845 0.508216 0.353635 0.785276 0.154383 0.415536 -0.879202 0.415536
rHand 362.845 -0.175942 0.36835 0.912887 0.0877613 -0.417855 0.896018 -0.417855
lFoot 362.845 0.465577 0.875576 0.128862 -0.98384 -0.0292695 -0.0587473 -0.0292695
rFoot 362.845 0.0864527 0.988194 0.126484 -0.986151 -0.0295239 0.0353779 -0.0295239
head 362.855 0.086967 0.297111 0.950874 0.703036 -0.0547622 -0.00161695 -0.0547622
hip 362.855 0.136119 0.483865 0.864492 0.544034 0.00573399 0.0026951 0.00573399
lHand 362.855 0.508172 0.353311 0.78545 0.154487 0.415473 -0.879105 0.415473
rHand 362.855 -0.176228 0.3681 0.912933 0.0919037 -0.418212 0.895269 -0.418212
lFoot 362.855 0.465492 0.875598 0.129015 -0.983817 -0.0292259 -0.0588305 -0.0292259
rFoot 362.855 0.0863341 0.988188 0.126613 -0.986135 -0.0296606 0.0354344 -0.0296606
head 362.865 0.0868419 0.296958 0.950933 0.703145 -0.0546441 -0.00151426 -0.0546441
hip 362.865 0.135936 0.483916 0.864492 0.544052 0.00590448 0.00289136 0.00590448
lHand 362.865 0.508233 0.353126 0.785494 0.154702 0.415449 -0.878951 0.415449
rHand 362.865 -0.176606 0.36793 0.912928 0.0925964 -0.416991 0.895737 -0.416991
lFoot 362.865 0.465475 0.875609 0.129003 -0.983818 -0.0292126 -0.0588862 -0.0292126
rFoot 362.865 0.0863869 0.988172 0.126704 -0.986135 -0.0296662 0.0352684 -0.0296662
head 362.877 0.0867065 0.296843 0.950982 0.703238 -0.0546313 -0.00143134 -0.0546313
hip 362.877 0.135912 0.483795 0.864564 0.544096 0.00586689 0.00303551 0.00586689
lHand 362.877 0.508087 0.353011 0.785641 0.155037 0.414937 -0.878834 0.414937
rHand 362.877 -0.176874 0.367999 0.912849 0.0926607 -0.418012 0.895058 -0.418012
lFoot 362.877 0.465444 0.875615 0.129077 -0.983803 -0.0293204 -0.0590076 -0.0293204
rFoot 362.877 0.0864111 0.988167 0.126726 -0.986131 -0.0297446 0.0352851 -0.0297446
head 362.888 0.0865126 0.296747 0.951029 0.703334 -0.0545859 -0.00124517 -0.0545859
hip 362.888 0.13574 0.483829 0.864572 0.544084 0.0059069 0.00322153 0.0059069
lHand 362.888 0.508034 0.352345 0.785973 0.155615 0.414572 -0.87856 0.414572
rHand 362.888 -0.177329 0.368067 0.912733 0.0933368 -0.418709 0.894517 -0.418709
lFoot 362.888 0.46537 0.875632 0.129222 -0.983786 -0.0294548 -0.0590692 -0.0294548
rFoot 362.888 0.0864101 0.988163 0.126754 -0.986116 -0.0298206 0.0352725 -0.0298206
head 362.899 0.0863492 0.296668 0.951069 0.703434 -0.0546729 -0.001079 -0.0546729
hip 362.899 0.135583 0.483769 0.86463 0.544103 0.0059158 0.00342991 0.0059158
lHand 362.899 0.50797 0.351533 0.786378 0.156216 0.414235 -0.878263 0.414235
rHand 362.899 -0.177269 0.368258 0.912667 0.0937291 -0.419277 0.894078 -0.419277
lFoot 362.899 0.465364 0.875625 0.129295 -0.983785 -0.0293612 -0.0591592 -0.0293612
rFoot 362.899 0.0862707 0.988189 0.126647 -0.98612 -0.0299263 0.035109 -0.0299263
head 362.91 0.0862238 0.296574 0.95111 0.70352 -0.0547048 -0.00106188 -0.0547048
hip 362.91 0.135557 0.483652 0.8647 0.544137 0.0059954 0.00365455 0.0059954
lHand 362.91 0.507839 0.351234 0.786596 0.157033 0.413723 -0.877882 0.413723
rHand 362.91 -0.177667 0.368287 0.912578 0.0933517 -0.419585 0.8939 -0.419585
lFoot 362.91 0.465266 0.875687 0.12923 -0.98377 -0.0295125 -0.0592935 -0.0295125
rFoot 362.91 0.0861964 0.988186 0.126726 -0.986095 -0.0300512 0.0351083 -0.0300512
head 362.921 0.0861031 0.296429 0.951166 0.703643 -0.0547753 -0.00106895 -0.0547753
hip 362.921 0.135392 0.483693 0.864702 0.544191 0.00590123 0.00376372 0.00590123
lHand 362.921 0.507753 0.350625 0.786924 0.157841 0.413235 -0.877538 0.413235
rHand 362.921 -0.178009 0.368266 0.91252 0.0937583 -0.41977 0.893745 -0.41977
lFoot 362.921 0.465314 0.875663 0.129215 -0.983766 -0.0296726 -0.0593056 -0.0296726
rFoot 362.921 0.0862371 0.988193 0.126642 -0.986084 -0.0301175 0.0350641 -0.0301175
head 362.933 0.0859434 0.296312 0.951217 0.703738 -0.0548237 -0.00101261 -0.0548237
hip 362.933 0.135229 0.483762 0.864689 0.544208 0.0057539 0.00385659 0.0057539
lHand 362.933 0.507685 0.349519 0.78746 0.159006 0.412644 -0.877109 0.412644
rHand 362.933 -0.178557 0.368194 0.912442 0.0947061 -0.419252 0.893978 -0.419252
lFoot 362.933 0.464943 0.875928 0.128759 -0.983764 -0.029742 -0.0594366 -0.029742
rFoot 362.933 0.0858763 0.988279 0.126214 -0.986097 -0.0301354 0.034957 -0.0301354
head 362.944 0.0857425 0.296232 0.95126 0.703802 -0.0548033 -0.000932895 -0.0548033
hip 362.944 0.135248 0.483577 0.86479 0.544122 0.00573771 0.00396902 0.00573771
lHand 362.944 0.50748 0.349146 0.787757 0.160082 0.411993 -0.876758 0.411993
rHand 362.944 -0.179409 0.36806 0.912329 0.0952756 -0.418684 0.894344 -0.418684
lFoot 362.944 0.464833 0.875978 0.128811 -0.983746 -0.0299682 -0.0594678 -0.0299682
rFoot 362.944 0.0857123 0.988295 0.126198 -0.986099 -0.030135 0.0348207 -0.030135
head 362.955 0.0856569 0.29603 0.95133 0.703804 -0.0549375 -0.000870558 -0.0549375
hip 362.955 0.135048 0.483654 0.864778 0.543788 0.00591163 0.00441321 0.00591163
lHand 362.955 0.507532 0.34745 0.788473 0.16117 0.411643 -0.876358 0.411643
rHand 362.955 -0.179956 0.367952 0.912265 0.0952531 -0.418601 0.894573 -0.418601
lFoot 362.955 0.464808 0.875991 0.128817 -0.983728 -0.0300374 -0.0596185 -0.0300374
rFoot 362.955 0.0857642 0.988307 0.126074 -0.986083 -0.0299295 0.034737 -0.0299295
head 362.966 0.0855283 0.295872 0.951391 0.703825 -0.0549355 -0.000767387 -0.0549355
hip 362.966 0.134965 0.48353 0.86486 0.543432 0.00612745 0.00462735 0.00612745
lHand 362.966 0.50728 0.347096 0.788791 0.161998 0.411256 -0.876078 0.411256
rHand 362.966 -0.180431 0.367944 0.912174 0.0951789 -0.418545 0.894802 -0.418545
lFoot 362.966 0.465013 0.875841 0.129096 -0.983722 -0.0298942 -0.0597188 -0.0298942
rFoot 362.966 0.0859563 0.988254 0.126356 -0.986073 -0.0300382 0.034739 -0.0300382
head 362.977 0.0853951 0.295808 0.951423 0.703723 -0.0548152 -0.000731139 -0.0548152
hip 362.977 0.134966 0.483302 0.864987 0.543054 0.00610034 0.0045006 0.00610034
lHand 362.977 0.507024 0.346772 0.789098 0.162572 0.411124 -0.875802 0.411124
rHand 362.977 -0.180888 0.367471 0.912275 0.0949923 -0.418479 0.895117 -0.418479
