tag time posX posY posZ rotX rotY rotZ rotW
head 2257.44 0.0760772 0.268248 0.960341 0.401269 -0.0119012 -0.034756 -0.0119012
hip 2257.44 0.161966 0.475586 0.86463 0.56552 -0.0310465 0.00493397 -0.0310465
lHand 2257.44 0.322051 0.467436 0.823278 0.404416 0.364462 -0.770693 0.364462
rHand 2257.44 -0.112047 0.532061 0.83926 0.338771 -0.406041 0.836981 -0.406041
lFoot 2257.44 0.503562 0.856067 0.11651 -0.984813 -0.0698729 -0.0562858 -0.0698729
rFoot 2257.44 0.000765104 0.993191 0.116496 -0.986451 0.00652377 0.0501726 0.00652377
head 2257.45 0.0763198 0.268182 0.96034 0.401087 -0.0115647 -0.0346417 -0.0115647
hip 2257.45 0.162366 0.475287 0.864719 0.565256 -0.031002 0.0050516 -0.031002
lHand 2257.45 0.322472 0.467334 0.823171 0.404743 0.3642 -0.770564 0.3642
rHand 2257.45 -0.112857 0.53179 0.839323 0.344178 -0.404393 0.835275 -0.404393
lFoot 2257.45 0.503472 0.856127 0.116462 -0.984794 -0.0698899 -0.056088 -0.0698899
rFoot 2257.45 0.000866291 0.993184 0.116555 -0.986419 0.00617494 0.0503259 0.00617494
head 2257.46 0.0765089 0.268161 0.960331 0.400907 -0.0111648 -0.0344358 -0.0111648
hip 2257.46 0.162508 0.475181 0.864751 0.565135 -0.0308666 0.00506176 -0.0308666
lHand 2257.46 0.32277 0.467222 0.823118 0.404756 0.364413 -0.770555 0.364413
rHand 2257.46 -0.114141 0.531897 0.839081 0.350165 -0.40109 0.83431 -0.40109
lFoot 2257.46 0.503396 0.856183 0.116374 -0.984777 -0.0699398 -0.0558615 -0.0699398
rFoot 2257.46 0.00065349 0.993205 0.116378 -0.986383 0.00618634 0.0504833 0.00618634
head 2257.47 0.0766785 0.26817 0.960315 0.400639 -0.010721 -0.0343677 -0.010721
hip 2257.47 0.162868 0.475074 0.864742 0.565038 -0.0308554 0.00517127 -0.0308554
lHand 2257.47 0.323175 0.467112 0.823021 0.404778 0.364718 -0.770504 0.364718
rHand 2257.47 -0.114594 0.531732 0.839124 0.350371 -0.40019 0.835034 -0.40019
lFoot 2257.47 0.503255 0.856296 0.116157 -0.98478 -0.0699616 -0.0556254 -0.0699616
rFoot 2257.47 0.00048994 0.993206 0.116369 -0.986333 0.00623351 0.0507777 0.00623351
head 2257.48 0.0768982 0.268065 0.960327 0.400466 -0.0102257 -0.0342493 -0.0102257
hip 2257.48 0.163151 0.474893 0.864788 0.564957 -0.0307432 0.00516259 -0.0307432
lHand 2257.48 0.323593 0.466992 0.822925 0.404611 0.365244 -0.770466 0.365244
rHand 2257.48 -0.114652 0.531479 0.839277 0.349689 -0.399816 0.835929 -0.399816
lFoot 2257.48 0.503042 0.856435 0.116052 -0.984813 -0.0692933 -0.0554788 -0.0692933
rFoot 2257.48 0.000403002 0.993211 0.116326 -0.986292 0.00636911 0.0509527 0.00636911
head 2257.49 0.0771845 0.267912 0.960347 0.400118 -0.00982626 -0.0341476 -0.00982626
hip 2257.49 0.163429 0.474668 0.864859 0.564791 -0.0306335 0.00516157 -0.0306335
lHand 2257.49 0.324004 0.466816 0.822863 0.404564 0.365632 -0.770303 0.365632
rHand 2257.49 -0.114516 0.531209 0.839466 0.35007 -0.399599 0.836179 -0.399599
lFoot 2257.49 0.503013 0.856462 0.115978 -0.984814 -0.0690276 -0.0554948 -0.0690276
rFoot 2257.49 0.000253897 0.993216 0.11628 -0.986235 0.00655282 0.0511202 0.00655282
head 2257.5 0.0774027 0.267858 0.960344 0.39992 -0.00940752 -0.0339798 -0.00940752
hip 2257.5 0.163674 0.474392 0.864964 0.564606 -0.0304621 0.00511148 -0.0304621
lHand 2257.5 0.324459 0.466712 0.822743 0.404616 0.366005 -0.770175 0.366005
rHand 2257.5 -0.114149 0.530714 0.839829 0.34904 -0.400516 0.836688 -0.400516
lFoot 2257.5 0.503012 0.856457 0.116023 -0.984814 -0.0691215 -0.0552205 -0.0691215
rFoot 2257.5 0.000283822 0.993184 0.11656 -0.986203 0.00673336 0.051143 0.00673336
head 2257.51 0.0777395 0.267709 0.960359 0.399787 -0.00905673 -0.0338113 -0.00905673
hip 2257.51 0.163935 0.474207 0.865016 0.564563 -0.0302898 0.00512267 -0.0302898
lHand 2257.51 0.325084 0.466536 0.822596 0.404594 0.366458 -0.770047 0.366458
rHand 2257.51 -0.113539 0.53038 0.840122 0.348015 -0.401701 0.83711 -0.401701
lFoot 2257.51 0.503112 0.856443 0.11569 -0.984809 -0.0690188 -0.054941 -0.0690188
rFoot 2257.51 0.000318248 0.993209 0.116345 -0.986142 0.00660412 0.0514294 0.00660412
head 2257.53 0.078012 0.26762 0.960361 0.399599 -0.00882819 -0.0336695 -0.00882819
hip 2257.53 0.164167 0.474019 0.865075 0.564503 -0.0300952 0.00506622 -0.0300952
lHand 2257.53 0.325584 0.466451 0.822447 0.404701 0.366622 -0.769989 0.366622
rHand 2257.53 -0.113332 0.530144 0.840299 0.348121 -0.402358 0.837189 -0.402358
lFoot 2257.53 0.503168 0.856422 0.1156 -0.984815 -0.069019 -0.0548286 -0.069019
rFoot 2257.53 0.00030116 0.993207 0.116361 -0.986099 0.00625451 0.051743 0.00625451
head 2257.54 0.0783133 0.267425 0.960391 0.399363 -0.00854987 -0.0335154 -0.00854987
hip 2257.54 0.164357 0.473948 0.865078 0.564451 -0.0299872 0.00511637 -0.0299872
lHand 2257.54 0.326232 0.46605 0.822417 0.404948 0.36687 -0.769802 0.36687
rHand 2257.54 -0.112948 0.52954 0.840732 0.348667 -0.403705 0.836751 -0.403705
lFoot 2257.54 0.503188 0.856409 0.115613 -0.984821 -0.0689277 -0.0546114 -0.0689277
rFoot 2257.54 0.000319696 0.993185 0.116547 -0.986059 0.00607878 0.0520144 0.00607878
head 2257.55 0.0785802 0.267313 0.9604 0.399166 -0.00823545 -0.0334024 -0.00823545
hip 2257.55 0.164606 0.473691 0.865172 0.564429 -0.0297469 0.00500756 -0.0297469
lHand 2257.55 0.326619 0.465986 0.8223 0.405223 0.367188 -0.769547 0.367188
rHand 2257.55 -0.112979 0.529475 0.840769 0.351413 -0.403655 0.835726 -0.403655
lFoot 2257.55 0.502966 0.856511 0.115821 -0.984847 -0.0688992 -0.0543391 -0.0688992
rFoot 2257.55 0.000325029 0.993179 0.116603 -0.986027 0.00606184 0.0520517 0.00606184
head 2257.56 0.078816 0.267194 0.960414 0.398895 -0.007998 -0.033377 -0.007998
hip 2257.56 0.16486 0.473498 0.865229 0.564419 -0.0295405 0.00500235 -0.0295405
lHand 2257.56 0.327157 0.465884 0.822143 0.405476 0.367378 -0.769336 0.367378
rHand 2257.56 -0.113389 0.52929 0.84083 0.354772 -0.403405 0.83427 -0.403405
lFoot 2257.56 0.502884 0.856565 0.115776 -0.98486 -0.0686736 -0.054244 -0.0686736
rFoot 2257.56 0.000278175 0.993162 0.116741 -0.986008 0.00615828 0.0522731 0.00615828
head 2257.57 0.0790785 0.267016 0.960442 0.398547 -0.00774766 -0.0332612 -0.00774766
hip 2257.57 0.165005 0.473372 0.86527 0.564557 -0.0292951 0.00493365 -0.0292951
lHand 2257.57 0.327495 0.465799 0.822058 0.405849 0.367728 -0.768943 0.367728
rHand 2257.57 -0.113591 0.528991 0.840991 0.357758 -0.403371 0.832751 -0.403371
lFoot 2257.57 0.502766 0.856646 0.115693 -0.98487 -0.0685107 -0.0541077 -0.0685107
rFoot 2257.57 0.00022303 0.993158 0.116775 -0.985981 0.00608934 0.052535 0.00608934
head 2257.58 0.0793585 0.266797 0.96048 0.398269 -0.00752304 -0.0332315 -0.00752304
hip 2257.58 0.165248 0.473207 0.865314 0.564655 -0.0291557 0.00486704 -0.0291557
lHand 2257.58 0.328021 0.465686 0.821912 0.406014 0.36814 -0.768579 0.36814
rHand 2257.58 -0.113747 0.528894 0.841031 0.359398 -0.403565 0.831776 -0.403565
lFoot 2257.58 0.502683 0.856685 0.115764 -0.984887 -0.0685394 -0.0538824 -0.0685394
rFoot 2257.58 0.00019822 0.99315 0.116848 -0.98596 0.00618887 0.0527379 0.00618887
head 2257.59 0.0795748 0.266669 0.960497 0.397962 -0.00729303 -0.0332758 -0.00729303
hip 2257.59 0.165427 0.473037 0.865373 0.564712 -0.0289433 0.00469572 -0.0289433
lHand 2257.59 0.328388 0.465555 0.821839 0.405902 0.368584 -0.76843 0.368584
rHand 2257.59 -0.11371 0.528637 0.841197 0.358514 -0.404389 0.83179 -0.404389
lFoot 2257.59 0.502609 0.856731 0.115747 -0.984917 -0.0683408 -0.0537295 -0.0683408
rFoot 2257.59 9.7972e-05 0.993148 0.11686 -0.985937 0.00664335 0.0527507 0.00664335
head 2257.6 0.0797673 0.266642 0.960489 0.397765 -0.00711691 -0.0333122 -0.00711691
hip 2257.6 0.165617 0.472865 0.86543 0.564647 -0.0287921 0.0045837 -0.0287921
lHand 2257.6 0.328868 0.465439 0.821713 0.405927 0.369006 -0.768172 0.369006
rHand 2257.6 -0.113382 0.5285 0.841328 0.356243 -0.405733 0.832117 -0.405733
lFoot 2257.6 0.502567 0.856763 0.115688 -0.984924 -0.0685098 -0.0534963 -0.0685098
rFoot 2257.6 4.83219e-05 0.993149 0.116857 -0.985934 0.00653306 0.0529039 0.00653306
head 2257.61 0.0800151 0.266432 0.960527 0.397685 -0.00694869 -0.0334104 -0.00694869
hip 2257.61 0.165855 0.472618 0.86552 0.564537 -0.0287696 0.00445778 -0.0287696
lHand 2257.61 0.329361 0.465305 0.821592 0.405846 0.369355 -0.768007 0.369355
rHand 2257.61 -0.113116 0.528381 0.841438 0.355873 -0.406389 0.831894 -0.406389
lFoot 2257.61 0.502537 0.856783 0.115674 -0.984947 -0.0685382 -0.0532555 -0.0685382
rFoot 2257.61 -5.29451e-05 0.993147 0.116875 -0.985905 0.00639449 0.0531885 0.00639449
head 2257.63 0.0802998 0.266292 0.960542 0.397562 -0.00682888 -0.0335249 -0.00682888
hip 2257.63 0.16603 0.4724 0.865605 0.564507 -0.0286081 0.0042608 -0.0286081
lHand 2257.63 0.329659 0.465105 0.821585 0.40585 0.36965 -0.767776 0.36965
rHand 2257.63 -0.11257 0.528235 0.841603 0.354634 -0.407165 0.83196 -0.407165
lFoot 2257.63 0.502473 0.856822 0.115657 -0.984978 -0.0682597 -0.0531769 -0.0682597
rFoot 2257.63 -9.45808e-05 0.99314 0.116932 -0.985886 0.00647259 0.0534014 0.00647259
head 2257.64 0.0805759 0.266056 0.960584 0.397374 -0.0065864 -0.0336969 -0.0065864
hip 2257.64 0.166233 0.472172 0.865691 0.564509 -0.0285284 0.0040883 -0.0285284
lHand 2257.64 0.330156 0.464976 0.821459 0.406022 0.369846 -0.767511 0.369846
rHand 2257.64 -0.111821 0.527958 0.841877 0.351728 -0.407864 0.832864 -0.407864
lFoot 2257.64 0.50252 0.856801 0.115613 -0.984977 -0.0684887 -0.0530133 -0.0684887
rFoot 2257.64 -0.000102286 0.993129 0.117026 -0.985866 0.0066383 0.0534704 0.0066383
head 2257.65 0.0808179 0.265915 0.960603 0.397084 -0.00636931 -0.0338826 -0.00636931
hip 2257.65 0.166427 0.471976 0.86576 0.564535 -0.0284111 0.00386787 -0.0284111
lHand 2257.65 0.330656 0.464842 0.821334 0.406196 0.37002 -0.767245 0.37002
