tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.179123 1.66307 -0.00315106 -0.0651328 -0.696984 -0.00132602 0.714121 1
hip -0.0225844 1.16386 -0.0175073 0.450447 0.518345 0.462665 0.560676 1
lHand -0.00669479 1.40225 -0.762109 0.163047 -0.0740633 -0.615209 0.767755 1
lForeArm 0.0467155 1.43346 -0.439749 -0.709739 -0.400624 -0.576599 0.057486 1
rHand 0.00388694 1.39037 0.773412 -0.667964 -0.737422 0.0768896 0.0642002 1
rForeArm -0.0146739 1.41587 0.429315 -0.574285 0.217212 -0.622815 0.484888 1
lFoot 0.00335479 0.237763 -0.139086 -0.050603 -0.0409587 -0.733839 0.676197 1
rFoot -0.000721216 0.230191 0.146233 0.804857 0.586454 0.0905699 0.00859274 1
lKnee 0.102325 0.597187 -0.0936108 0.237272 -0.687348 -0.34653 0.592597 1
rKnee 0.103319 0.591282 0.0957146 -0.392661 -0.623323 0.242785 0.631143 1
head 0.179015 1.66312 -0.00316477 -0.0650499 -0.696972 -0.00132321 0.71414 1
hip -0.0226495 1.16392 -0.0175385 0.450644 0.518024 0.462331 0.56109 1
lHand -0.00667143 1.40195 -0.762089 0.163052 -0.0742878 -0.616375 0.766797 1
lForeArm 0.0466833 1.4334 -0.439683 -0.709873 -0.400706 -0.576412 0.0571281 1
rHand 0.00373197 1.39066 0.773321 -0.6679 -0.737428 0.0777169 0.0637934 1
rForeArm -0.0147581 1.41586 0.429218 -0.574204 0.217379 -0.623027 0.484638 1
lFoot 0.00337505 0.237752 -0.139083 -0.0505972 -0.0409786 -0.733815 0.676222 1
rFoot -0.000725746 0.230191 0.146243 0.804906 0.586383 0.0905943 0.00860228 1
lKnee 0.102347 0.597195 -0.0936525 0.237368 -0.687259 -0.346487 0.592688 1
rKnee 0.103338 0.591291 0.0956771 -0.392597 -0.623339 0.242797 0.631162 1
head 0.178963 1.6631 -0.00320673 -0.0649212 -0.696997 -0.00129763 0.714128 1
hip -0.0227408 1.16395 -0.0175753 0.450681 0.517693 0.462219 0.561457 1
lHand -0.00653672 1.40178 -0.762126 0.163341 -0.0746239 -0.61656 0.766554 1
lForeArm 0.0466609 1.43338 -0.439681 -0.710043 -0.400942 -0.576046 0.0570476 1
rHand 0.00350165 1.39085 0.77328 -0.668081 -0.737262 0.0780684 0.0633942 1
rForeArm -0.0147028 1.41577 0.428985 -0.573872 0.21731 -0.623326 0.484677 1
lFoot 0.0034008 0.237749 -0.139076 -0.0506267 -0.0410432 -0.733844 0.676184 1
rFoot -0.000730991 0.230231 0.146135 0.804929 0.586381 0.0904056 0.00861699 1
lKnee 0.102345 0.597312 -0.0937853 0.237283 -0.687312 -0.346541 0.592628 1
rKnee 0.103264 0.591299 0.0955579 -0.392714 -0.62329 0.24276 0.631152 1
head 0.178816 1.66307 -0.00326371 -0.0647962 -0.696895 -0.00116767 0.714239 1
hip -0.0228412 1.16399 -0.0175645 0.450609 0.517334 0.462273 0.561801 1
lHand -0.00648999 1.40167 -0.762148 0.163294 -0.074892 -0.615835 0.767121 1
lForeArm 0.0465932 1.43325 -0.439675 -0.71017 -0.401093 -0.575801 0.0568895 1
rHand 0.00329232 1.39112 0.773247 -0.668422 -0.736938 0.0788155 0.0626267 1
rForeArm -0.0147729 1.41573 0.428893 -0.573573 0.21704 -0.623482 0.484951 1
lFoot 0.00338602 0.237701 -0.139223 -0.0506436 -0.0411158 -0.73388 0.676139 1
rFoot -0.000803709 0.230266 0.146145 0.804931 0.586388 0.0903301 0.00874231 1
lKnee 0.102384 0.597333 -0.093832 0.237313 -0.687404 -0.346583 0.592485 1
rKnee 0.103251 0.591325 0.0955107 -0.392702 -0.623206 0.242745 0.631249 1
head 0.178735 1.66309 -0.00330925 -0.0647353 -0.69682 -0.00116767 0.714318 1
hip -0.0227447 1.16396 -0.017745 0.450722 0.517256 0.462139 0.561893 1
lHand -0.00643921 1.40147 -0.762228 0.16325 -0.0751255 -0.615128 0.767674 1
lForeArm 0.0465126 1.43316 -0.439785 -0.709819 -0.401271 -0.576096 0.0570241 1
rHand 0.00277877 1.39147 0.773378 -0.66912 -0.736322 0.0794352 0.0616308 1
rForeArm -0.0148516 1.41577 0.428825 -0.573469 0.216998 -0.623482 0.485093 1
lFoot 0.00340652 0.237682 -0.139225 -0.0506862 -0.0411538 -0.733852 0.676165 1
rFoot -0.000768661 0.230242 0.146146 0.804868 0.586464 0.0904029 0.00866957 1
lKnee 0.102487 0.597401 -0.0939376 0.237308 -0.687564 -0.346503 0.592348 1
rKnee 0.103167 0.591321 0.0954702 -0.392603 -0.623164 0.242842 0.631314 1
head 0.178586 1.66314 -0.00331843 -0.0647084 -0.696748 -0.00110202 0.71439 1
hip -0.022876 1.16399 -0.017653 0.45113 0.517589 0.461929 0.561432 1
lHand -0.0064714 1.40133 -0.76223 0.163156 -0.0754339 -0.614375 0.768266 1
lForeArm 0.0464945 1.43298 -0.439959 -0.709655 -0.401392 -0.576173 0.0574361 1
rHand 0.00255299 1.39163 0.773011 -0.670248 -0.735323 0.0802764 0.0601981 1
rForeArm -0.0149164 1.41582 0.428864 -0.573417 0.216866 -0.623376 0.485351 1
lFoot 0.00330067 0.237667 -0.139272 -0.0507043 -0.0411534 -0.733855 0.67616 1
rFoot -0.000786066 0.230236 0.146155 0.80484 0.586514 0.0903284 0.00864203 1
lKnee 0.102516 0.597428 -0.0939908 0.237326 -0.687536 -0.346489 0.592382 1
rKnee 0.103148 0.591353 0.095443 -0.39259 -0.623314 0.242918 0.631145 1
head 0.178494 1.66315 -0.00335836 -0.064695 -0.696698 -0.00108841 0.71444 1
hip -0.0229077 1.16393 -0.017763 0.451653 0.518034 0.461696 0.560792 1
