tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.133704 1.65513 -0.00667548 -0.0752236 -0.693729 -0.0234044 0.715914 1
hip -0.048507 1.15818 -0.00318062 0.459952 0.536418 0.452919 0.543657 1
lHand -0.0367956 1.41941 -0.769916 0.162171 -0.102577 -0.610072 0.768759 1
lForeArm -0.0614214 1.41015 -0.420094 0.712488 0.346784 0.609618 0.0216454 1
rHand 0.0212982 1.43176 0.795789 -0.66835 -0.724075 0.142616 0.0931845 1
rForeArm -0.0384283 1.43828 0.434904 -0.616678 0.222917 -0.633445 0.410809 1
lFoot -0.043505 0.237436 -0.122571 -0.0484931 -0.0483065 -0.740343 0.668736 1
rFoot -0.0507603 0.230622 0.146051 0.81676 0.570036 0.0892313 0.000545915 1
lKnee 0.0484738 0.594418 -0.0720794 -0.0960321 -0.703312 -0.0712273 0.700754 1
rKnee 0.0662656 0.592775 0.0981802 -0.373586 -0.605516 0.235631 0.662013 1
head 0.133765 1.65513 -0.00661564 -0.0751172 -0.693677 -0.0235472 0.715972 1
hip -0.0487633 1.1584 -0.00300705 0.460065 0.536346 0.45285 0.543691 1
lHand -0.0365059 1.41955 -0.769993 0.161856 -0.102925 -0.610358 0.768552 1
lForeArm -0.0614886 1.41025 -0.420098 0.712803 0.345714 0.609822 0.0225932 1
rHand 0.0215089 1.43283 0.795508 -0.669905 -0.722108 0.146803 0.090749 1
rForeArm -0.0385258 1.43832 0.434962 -0.616351 0.223632 -0.633776 0.410401 1
lFoot -0.0434515 0.237408 -0.122566 -0.0485014 -0.0482959 -0.74032 0.668761 1
rFoot -0.0507083 0.230678 0.146057 0.816742 0.570063 0.0892159 0.000545915 1
lKnee 0.0481601 0.594244 -0.0719486 -0.0963145 -0.703244 -0.0713329 0.700773 1
rKnee 0.0662618 0.592822 0.0981481 -0.37354 -0.60554 0.235724 0.661984 1
head 0.133892 1.65517 -0.00660515 -0.0749429 -0.693627 -0.0237625 0.716031 1
hip -0.0488229 1.15843 -0.0029242 0.459931 0.536444 0.453061 0.543532 1
lHand -0.0362496 1.41958 -0.770006 0.16128 -0.103023 -0.610568 0.768493 1
lForeArm -0.0613773 1.41024 -0.420244 0.712666 0.344924 0.610403 0.0232982 1
rHand 0.0215516 1.43402 0.794863 -0.672374 -0.71934 0.151246 0.0871056 1
rForeArm -0.0386066 1.43808 0.434929 -0.616181 0.224555 -0.6341 0.409649 1
lFoot -0.0434644 0.237397 -0.122557 -0.0486176 -0.0481995 -0.740283 0.668801 1
rFoot -0.0507088 0.230696 0.146094 0.816752 0.570044 0.089256 0.000610352 1
lKnee 0.0479536 0.594178 -0.0719085 -0.0962951 -0.70309 -0.0713276 0.700931 1
rKnee 0.0662432 0.592868 0.0980978 -0.373575 -0.60542 0.235734 0.662071 1
head 0.134004 1.65514 -0.00652528 -0.0747269 -0.693656 -0.023865 0.716022 1
hip -0.0489252 1.15849 -0.00287437 0.459746 0.536579 0.453254 0.543394 1
lHand -0.0361133 1.41957 -0.770007 0.161142 -0.103095 -0.61048 0.768582 1
lForeArm -0.0612996 1.41024 -0.420209 0.712511 0.344682 0.610709 0.0235969 1
rHand 0.0215294 1.43509 0.795076 -0.672554 -0.718773 0.154574 0.0845188 1
rForeArm -0.0387728 1.43788 0.435009 -0.616583 0.224947 -0.634129 0.408785 1
lFoot -0.0434158 0.237378 -0.122604 -0.0487183 -0.0481398 -0.740226 0.668861 1
rFoot -0.0507357 0.230699 0.146132 0.816775 0.570026 0.089157 0.0005179 1
lKnee 0.0477636 0.59412 -0.0718783 -0.0961276 -0.703041 -0.0711593 0.70102 1
rKnee 0.066222 0.592891 0.0980941 -0.37341 -0.60532 0.235926 0.662187 1
head 0.134121 1.65516 -0.00651228 -0.074565 -0.693736 -0.0239937 0.715957 1
hip -0.0487986 1.15836 -0.00295472 0.459943 0.536359 0.453231 0.543463 1
lHand -0.0359511 1.41949 -0.769992 0.161385 -0.103015 -0.610075 0.768864 1
lForeArm -0.0612473 1.41014 -0.4201 0.712431 0.344788 0.610755 0.0232868 1
rHand 0.0214567 1.43605 0.795089 -0.671719 -0.719511 0.15649 0.0812949 1
rForeArm -0.0387964 1.43764 0.434899 -0.616918 0.224559 -0.633925 0.408809 1
lFoot -0.0434377 0.237414 -0.122587 -0.0487056 -0.0481697 -0.740149 0.668945 1
rFoot -0.0507321 0.230732 0.146138 0.816754 0.570065 0.0890958 0.0005179 1
lKnee 0.047544 0.593879 -0.0717219 -0.0959557 -0.702909 -0.0708552 0.701207 1
rKnee 0.0662451 0.592868 0.0980995 -0.37318 -0.605273 0.236112 0.662293 1
head 0.134275 1.65515 -0.00653625 -0.0743947 -0.693729 -0.0240361 0.71598 1
hip -0.0489326 1.15834 -0.00290871 0.460221 0.536316 0.453058 0.543415 1
lHand -0.0355392 1.41939 -0.770175 0.161613 -0.102437 -0.609262 0.769537 1
lForeArm -0.0611539 1.40983 -0.420014 0.712131 0.345144 0.610919 0.0228656 1
rHand 0.0208769 1.4365 0.795566 -0.669934 -0.721599 0.156134 0.0781344 1
rForeArm -0.0389001 1.43743 0.43503 -0.616786 0.224183 -0.634 0.409098 1
lFoot -0.0433314 0.237374 -0.122574 -0.0487828 -0.0481452 -0.740125 0.668968 1
rFoot -0.0507586 0.23073 0.146154 0.816713 0.570121 0.089113 0.00059802 1
lKnee 0.0472379 0.593654 -0.0716373 -0.0958427 -0.702783 -0.0706785 0.701367 1
rKnee 0.0662212 0.592886 0.0980636 -0.373329 -0.605164 0.236034 0.662336 1
head 0.134686 1.65514 -0.00646496 -0.074355 -0.693592 -0.0238526 0.716123 1
hip -0.0492125 1.15825 -0.00283504 0.460227 0.536898 0.453257 0.54267 1
lHand -0.0346086 1.41853 -0.77023 0.162159 -0.100528 -0.604742 0.773231 1
lForeArm -0.0608649 1.40876 -0.4199 0.710714 0.345532 0.612338 0.0231545 1
rHand 0.0203626 1.43561 0.79546 -0.669048 -0.722925 0.154401 0.0769003 1
rForeArm -0.0389023 1.4367 0.435292 -0.617152 0.225762 -0.634162 0.407423 1
lFoot -0.0433183 0.237386 -0.122624 -0.0487875 -0.0482209 -0.740086 0.669004 1
rFoot -0.0508485 0.230809 0.146173 0.816651 0.570221 0.0890436 0.000572561 1
lKnee 0.0467734 0.593383 -0.0715408 -0.0960085 -0.702878 -0.070549 0.701262 1
rKnee 0.0661416 0.592809 0.0980756 -0.373506 -0.605207 0.236087 0.662179 1
head 0.134833 1.6551 -0.00643539 -0.0744582 -0.693464 -0.0238405 0.716237 1
hip -0.0493405 1.15827 -0.00281656 0.460132 0.537075 0.453365 0.542485 1
lHand -0.0341637 1.41773 -0.77014 0.162944 -0.100202 -0.602168 0.775114 1
lForeArm -0.0606771 1.40807 -0.41972 0.710262 0.346085 0.61253 0.0236635 1
rHand 0.0204961 1.43478 0.795503 -0.669585 -0.722555 0.15359 0.0773266 1
rForeArm -0.0389636 1.43629 0.435333 -0.616836 0.22682 -0.634496 0.406794 1
lFoot -0.043339 0.237364 -0.122612 -0.0488989 -0.0481507 -0.740048 0.669044 1
rFoot -0.0507565 0.230721 0.146124 0.816639 0.570213 0.0892061 0.000545915 1
lKnee 0.0464706 0.593106 -0.0712516 -0.0960366 -0.702761 -0.0705073 0.701379 1
rKnee 0.0661416 0.592857 0.0980744 -0.373448 -0.605276 0.236212 0.662104 1
head 0.134943 1.65503 -0.00635362 -0.0744648 -0.693304 -0.0240212 0.716385 1
hip -0.0494425 1.15823 -0.0027864 0.459954 0.537024 0.453674 0.542428 1
lHand -0.0336843 1.41686 -0.770065 0.163733 -0.0998475 -0.599794 0.776833 1
lForeArm -0.0604143 1.40733 -0.419626 0.709927 0.346755 0.612521 0.0241326 1
rHand 0.0208497 1.43324 0.795443 -0.670473 -0.721894 0.152084 0.0787727 1
rForeArm -0.0389538 1.4358 0.435422 -0.616356 0.227935 -0.634745 0.406509 1
lFoot -0.0433028 0.237384 -0.122579 -0.0488493 -0.0481028 -0.740037 0.669063 1
rFoot -0.0507767 0.230735 0.146144 0.816654 0.570202 0.0891372 0.000610352 1
lKnee 0.046303 0.592997 -0.0712135 -0.0961627 -0.702659 -0.070569 0.701458 1
rKnee 0.0660529 0.592817 0.0980766 -0.373437 -0.605347 0.236226 0.66204 1
head 0.135321 1.65488 -0.00625443 -0.0739802 -0.693302 -0.0249234 0.716406 1
hip -0.0496325 1.15827 -0.00301123 0.459288 0.536919 0.454458 0.542438 1
lHand -0.0317369 1.41154 -0.769914 0.163389 -0.100185 -0.59665 0.779279 1
lForeArm -0.0592911 1.40365 -0.419793 0.708961 0.348305 0.612521 0.0296039 1
rHand 0.0218124 1.42682 0.795187 -0.670581 -0.72223 0.14826 0.081996 1
rForeArm -0.0386102 1.43227 0.4351 -0.615303 0.233597 -0.633609 0.406663 1
lFoot -0.0433629 0.237471 -0.122616 -0.0488809 -0.0481613 -0.73994 0.669164 1
