tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.130558 1.65013 -0.00302219 -0.11083 -0.683787 -0.0288861 0.720637 1
hip -0.0510087 1.16189 -0.0208677 0.463141 0.530399 0.45378 0.546133 1
lHand -0.0295582 1.40975 -0.762754 0.172881 -0.0599431 -0.603149 0.776357 1
lForeArm -0.0485535 1.40726 -0.419813 -0.680933 -0.410734 -0.606062 0.0178055 1
rHand 0.0410459 1.39913 0.783954 -0.629759 -0.748606 0.182591 0.098253 1
rForeArm -0.0335765 1.41341 0.430202 -0.618486 0.219944 -0.605193 0.450378 1
lFoot -0.0300841 0.236103 -0.137418 -0.0782697 -0.0157049 -0.732777 0.67577 1
rFoot -0.0205655 0.230481 0.148625 -0.806762 -0.587283 -0.0639379 0.0120726 1
lKnee 0.0406675 0.570282 -0.0788144 -0.0723714 -0.714377 -0.0835754 0.690973 1
rKnee 0.078696 0.596153 0.0906639 -0.382226 -0.609678 0.259198 0.644215 1
head 0.130545 1.65012 -0.00298476 -0.11066 -0.68375 -0.0289015 0.720698 1
hip -0.0509405 1.16181 -0.0209974 0.463237 0.530507 0.453656 0.54605 1
lHand -0.0293407 1.40969 -0.762647 0.173103 -0.0602382 -0.603131 0.776298 1
lForeArm -0.0485227 1.40721 -0.419821 -0.680678 -0.410875 -0.60625 0.017894 1
rHand 0.0407796 1.39895 0.783794 -0.630216 -0.74857 0.181906 0.0968591 1
rForeArm -0.0339036 1.41335 0.430241 -0.618155 0.220426 -0.605486 0.450204 1
lFoot -0.030102 0.236107 -0.13738 -0.0783075 -0.0156897 -0.732765 0.675779 1
rFoot -0.0205803 0.23052 0.148667 -0.806791 -0.587249 -0.0638875 0.0120671 1
lKnee 0.0406728 0.570255 -0.0788273 -0.0724692 -0.714336 -0.0836037 0.691001 1
rKnee 0.0786548 0.596182 0.0907569 -0.382262 -0.609724 0.259152 0.644168 1
head 0.1306 1.65018 -0.00295353 -0.11045 -0.683736 -0.0290713 0.720737 1
hip -0.0508976 1.16177 -0.0211446 0.463485 0.530189 0.453382 0.546376 1
lHand -0.0291443 1.40962 -0.762671 0.173311 -0.0604962 -0.603108 0.77625 1
lForeArm -0.0484633 1.40715 -0.419802 -0.680567 -0.411098 -0.606218 0.018092 1
rHand 0.0404694 1.39874 0.783433 -0.63097 -0.748047 0.182114 0.0955914 1
rForeArm -0.0339494 1.41321 0.430183 -0.617896 0.22085 -0.605485 0.450353 1
lFoot -0.0301006 0.236137 -0.137393 -0.0783284 -0.0156892 -0.73281 0.675728 1
rFoot -0.020514 0.230479 0.148665 -0.806798 -0.587243 -0.0638749 0.0119741 1
lKnee 0.0407877 0.570347 -0.0788603 -0.0724105 -0.714346 -0.0834882 0.691011 1
rKnee 0.0787559 0.596198 0.0907314 -0.382233 -0.609701 0.259158 0.644205 1
head 0.130557 1.65018 -0.00292766 -0.110359 -0.683729 -0.0291597 0.720753 1
hip -0.0508423 1.16175 -0.0212667 0.463633 0.529945 0.453278 0.546572 1
lHand -0.0289674 1.40962 -0.762579 0.173711 -0.0605604 -0.60314 0.776131 1
lForeArm -0.0483422 1.40708 -0.419772 -0.68048 -0.411184 -0.606259 0.0180412 1
rHand 0.0409982 1.39866 0.782771 -0.632348 -0.745863 0.185607 0.0968204 1
rForeArm -0.034178 1.41315 0.430293 -0.617903 0.220869 -0.605483 0.450337 1
lFoot -0.0300713 0.236171 -0.137382 -0.0782879 -0.0157115 -0.732776 0.675768 1
rFoot -0.020525 0.230482 0.148683 -0.806816 -0.587213 -0.0639256 0.0119548 1
lKnee 0.0407686 0.570336 -0.0788718 -0.0723596 -0.714267 -0.0833767 0.691111 1
rKnee 0.0787873 0.596231 0.0907124 -0.382337 -0.609632 0.259305 0.644149 1
head 0.130514 1.65015 -0.00287938 -0.110344 -0.683753 -0.0292502 0.72073 1
hip -0.0509968 1.16181 -0.021219 0.463699 0.530009 0.453228 0.546497 1
lHand -0.0289059 1.40956 -0.762491 0.173867 -0.0605979 -0.603189 0.776055 1
lForeArm -0.0483532 1.40708 -0.419724 -0.680489 -0.410903 -0.60645 0.0176783 1
rHand 0.0402889 1.39854 0.783036 -0.633022 -0.745927 0.184359 0.0942733 1
rForeArm -0.0343256 1.41324 0.430326 -0.617572 0.221132 -0.605411 0.450758 1
lFoot -0.0300717 0.236149 -0.137355 -0.0782101 -0.0157163 -0.732791 0.675762 1
rFoot -0.0205305 0.230474 0.148685 -0.806815 -0.587218 -0.0638802 0.011989 1
lKnee 0.0409713 0.570443 -0.0788341 -0.0723263 -0.714201 -0.0833727 0.691183 1
rKnee 0.078795 0.59623 0.0906856 -0.382282 -0.6097 0.259333 0.644106 1
head 0.130454 1.65013 -0.00284314 -0.110489 -0.683739 -0.0293115 0.720717 1
