tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.1407 1.65646 0.0712588 -0.0644615 -0.699262 -0.0412756 0.710756 1
hip -0.0317774 1.15952 0.0604913 0.448002 0.530188 0.468155 0.546833 1
lHand 0.049829 1.41902 -0.707066 0.207441 -0.13577 -0.653306 0.71535 1
lForeArm -0.00346613 1.41446 -0.357588 0.662776 0.369796 0.651136 0.000211432 1
rHand 0.059206 1.44463 0.857896 -0.687227 -0.691265 0.201148 0.0970099 1
rForeArm 0.0301723 1.41531 0.564538 -0.626746 0.268179 -0.629166 0.373389 1
lFoot -0.0112789 0.238706 -0.0777162 -0.0414248 -0.0323502 -0.745767 0.66413 1
rFoot -0.00553036 0.229273 0.210687 -0.815041 -0.575094 -0.0674572 0.0205984 1
lKnee 0.0806358 0.587531 -0.0160917 -0.0785576 -0.705784 -0.087877 0.698552 1
rKnee 0.09707 0.587251 0.163005 -0.391916 -0.601252 0.23747 0.654604 1
head 0.140788 1.65639 0.0713012 -0.0646391 -0.699266 -0.0412399 0.710738 1
hip -0.0312941 1.15923 0.0601808 0.447984 0.530043 0.468237 0.546917 1
lHand 0.0500813 1.4192 -0.707026 0.207624 -0.135626 -0.653356 0.715279 1
lForeArm -0.00338483 1.41447 -0.357634 0.66262 0.36964 0.651384 0.000211432 1
rHand 0.0594573 1.44525 0.857514 -0.688663 -0.688838 0.205051 0.0959172 1
rForeArm 0.0298634 1.41488 0.564369 -0.62579 0.267926 -0.629968 0.373823 1
lFoot -0.0113053 0.238715 -0.0777011 -0.0413615 -0.0324464 -0.745752 0.664147 1
rFoot -0.00552773 0.229278 0.21074 -0.815024 -0.575115 -0.0674913 0.0205912 1
lKnee 0.0806069 0.587555 -0.0160508 -0.0784755 -0.705868 -0.0878272 0.698482 1
rKnee 0.0971048 0.587212 0.162948 -0.392069 -0.601165 0.237378 0.654625 1
head 0.140897 1.65634 0.0713098 -0.0649824 -0.699331 -0.0412745 0.71064 1
hip -0.0312891 1.15925 0.0602717 0.447965 0.530346 0.468241 0.546636 1
lHand 0.0503602 1.41924 -0.706962 0.207494 -0.13585 -0.653311 0.715316 1
lForeArm -0.00331736 1.4145 -0.357593 0.662628 0.368969 0.651755 0.000876019 1
rHand 0.0598164 1.44561 0.856913 -0.689484 -0.68707 0.208395 0.0954902 1
rForeArm 0.0298605 1.41471 0.564385 -0.625544 0.267898 -0.630132 0.373977 1
lFoot -0.0112941 0.238709 -0.0777273 -0.0413966 -0.0324135 -0.745758 0.664139 1
rFoot -0.00555682 0.229291 0.21076 -0.814994 -0.575153 -0.0674984 0.020662 1
