tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.114042 1.66401 0.00258303 -0.0332321 -0.718535 -0.0248055 0.694254 1
hip -0.0770502 1.16324 -0.0218403 0.495359 0.4965 0.449537 0.553194 1
lHand -0.044589 1.39843 -0.764936 0.143612 -0.134443 -0.593779 0.78021 1
lForeArm -0.0810366 1.43973 -0.405382 0.706891 0.240407 0.620759 0.239097 1
rHand -0.00752735 1.36714 0.786512 -0.642714 -0.746961 0.0818633 0.149217 1
rForeArm -0.0640566 1.40853 0.426116 -0.601911 0.214485 -0.620122 0.455136 1
lFoot -0.0707123 0.241292 -0.145838 -0.055804 -0.0372678 -0.73568 0.673997 1
rFoot -0.0672081 0.226863 0.115479 -0.80597 -0.585817 -0.0779069 0.034067 1
lKnee 0.0124931 0.588107 -0.0923785 -0.0737619 -0.701947 -0.0750932 0.704408 1
rKnee 0.0366013 0.602833 0.0754163 -0.364918 -0.614644 0.249061 0.653465 1
head 0.114126 1.66391 0.0024991 -0.0336589 -0.718233 -0.0249517 0.69454 1
hip -0.0770378 1.16323 -0.0217752 0.495211 0.496986 0.449716 0.552744 1
lHand -0.0443413 1.39808 -0.764904 0.14329 -0.134958 -0.594066 0.779962 1
lForeArm -0.0809216 1.43963 -0.405352 0.706839 0.240743 0.620693 0.239086 1
rHand -0.00780344 1.36788 0.786685 -0.642034 -0.747877 0.0840316 0.146328 1
rForeArm -0.0640256 1.40849 0.426049 -0.601762 0.214573 -0.620165 0.455233 1
lFoot -0.0706825 0.241268 -0.145898 -0.0558435 -0.0372958 -0.735736 0.673931 1
rFoot -0.0671751 0.226915 0.115403 -0.806033 -0.585748 -0.0778384 0.0339417 1
lKnee 0.0123329 0.58793 -0.0923667 -0.0737716 -0.702043 -0.0750081 0.704321 1
rKnee 0.0367031 0.60278 0.0753529 -0.364974 -0.614507 0.249046 0.653568 1
head 0.114173 1.66385 0.00240207 -0.034107 -0.717973 -0.0251678 0.694779 1
hip -0.0770183 1.16318 -0.0218127 0.495131 0.497331 0.449803 0.552434 1
lHand -0.0440931 1.39776 -0.764862 0.143078 -0.135378 -0.593944 0.78002 1
lForeArm -0.0808523 1.43953 -0.405318 0.70682 0.241004 0.620627 0.23905 1
rHand -0.00800467 1.36856 0.786659 -0.641497 -0.748524 0.0860468 0.144189 1
rForeArm -0.064045 1.40842 0.425987 -0.601647 0.214615 -0.620259 0.455236 1
lFoot -0.0706134 0.241207 -0.145907 -0.0557821 -0.0373788 -0.735758 0.673907 1
rFoot -0.0671637 0.226901 0.115431 -0.806037 -0.58575 -0.0777992 0.0339011 1
lKnee 0.0123301 0.58788 -0.0923381 -0.0738899 -0.70206 -0.0750379 0.704288 1
rKnee 0.0367332 0.602805 0.0753081 -0.365062 -0.614389 0.248947 0.653667 1
head 0.114196 1.66378 0.00237179 -0.0345094 -0.717676 -0.025412 0.695057 1
hip -0.0769782 1.16316 -0.0219045 0.49502 0.49747 0.449881 0.552346 1
lHand -0.043921 1.39753 -0.764917 0.14281 -0.135503 -0.593233 0.780589 1
lForeArm -0.0807898 1.43943 -0.405346 0.706475 0.241314 0.620877 0.239107 1
rHand -0.0082314 1.36894 0.786428 -0.641887 -0.748277 0.088079 0.142493 1
rForeArm -0.0640807 1.40842 0.425964 -0.601453 0.214612 -0.620325 0.455404 1
lFoot -0.0705571 0.241224 -0.145909 -0.0557991 -0.0373497 -0.735818 0.673842 1
rFoot -0.067167 0.226892 0.115437 -0.806056 -0.585723 -0.0778137 0.0338701 1
lKnee 0.0122824 0.587829 -0.0923221 -0.0739774 -0.702118 -0.075116 0.704213 1
rKnee 0.0368159 0.602828 0.0752585 -0.36509 -0.614362 0.249011 0.653653 1
head 0.114195 1.66371 0.0023129 -0.0348879 -0.717402 -0.0255805 0.695315 1
hip -0.0769718 1.16315 -0.0219587 0.494794 0.49747 0.45014 0.552338 1
lHand -0.0437393 1.39723 -0.764919 0.142508 -0.135539 -0.592699 0.781043 1
lForeArm -0.0807533 1.43933 -0.405366 0.706153 0.241685 0.621137 0.239007 1
rHand -0.00851226 1.36928 0.786328 -0.642584 -0.747831 0.0896782 0.140687 1
rForeArm -0.0640728 1.40841 0.425976 -0.601558 0.214043 -0.62019 0.455718 1
lFoot -0.0705588 0.241247 -0.145904 -0.0558919 -0.0371966 -0.735798 0.673865 1
rFoot -0.0671461 0.226917 0.115429 -0.806095 -0.585675 -0.0777941 0.0338163 1
lKnee 0.0122664 0.587792 -0.0923001 -0.0740637 -0.702114 -0.0751497 0.704204 1
rKnee 0.0368984 0.602849 0.0752364 -0.36499 -0.61437 0.249138 0.653653 1
head 0.114337 1.66352 0.00217628 -0.0355802 -0.716931 -0.0260752 0.695747 1
hip -0.0770171 1.16312 -0.0220941 0.494234 0.497686 0.450657 0.552222 1
lHand -0.0435555 1.39673 -0.764879 0.141949 -0.135949 -0.592074 0.781548 1
lForeArm -0.0807099 1.43911 -0.405404 0.705863 0.242157 0.621324 0.2389 1
rHand -0.00878119 1.36925 0.786241 -0.642401 -0.748385 0.0888207 0.139114 1
rForeArm -0.0641778 1.40852 0.425976 -0.601713 0.213804 -0.620048 0.455818 1
lFoot -0.0705073 0.241218 -0.145927 -0.0558517 -0.0372545 -0.735829 0.673831 1
rFoot -0.0672209 0.226898 0.115396 -0.806157 -0.585601 -0.077692 0.0338593 1
lKnee 0.0121205 0.587666 -0.0921593 -0.0738564 -0.70207 -0.074919 0.704294 1
rKnee 0.0370297 0.60277 0.0752378 -0.364985 -0.614483 0.249137 0.653549 1
head 0.114393 1.66341 0.00211978 -0.0358759 -0.716746 -0.026264 0.695915 1
hip -0.0771377 1.16309 -0.0219574 0.494082 0.498065 0.450838 0.551868 1
lHand -0.04357 1.39644 -0.764728 0.141568 -0.136818 -0.592138 0.781417 1
lForeArm -0.0807352 1.43901 -0.405428 0.706012 0.241997 0.621129 0.239131 1
rHand -0.00901937 1.36915 0.786064 -0.64274 -0.748221 0.0877225 0.139122 1
rForeArm -0.0644262 1.40858 0.426045 -0.601618 0.21402 -0.620098 0.455774 1
lFoot -0.0705707 0.24116 -0.145909 -0.0557424 -0.0372551 -0.735839 0.673829 1
rFoot -0.0673037 0.226938 0.115419 -0.80616 -0.585599 -0.0776857 0.0338333 1
lKnee 0.0120664 0.587598 -0.0921228 -0.0738204 -0.70196 -0.075034 0.704395 1
rKnee 0.0369959 0.602718 0.0752611 -0.365004 -0.614389 0.249068 0.653654 1
head 0.114454 1.66332 0.00204837 -0.0362265 -0.71659 -0.0264667 0.696051 1
hip -0.0770214 1.16297 -0.0221093 0.493989 0.498287 0.450925 0.551681 1
lHand -0.0434272 1.39611 -0.764671 0.141142 -0.137895 -0.592605 0.78095 1
lForeArm -0.0807459 1.43893 -0.405449 0.706053 0.241741 0.620969 0.239684 1
rHand -0.00930071 1.36904 0.785929 -0.643766 -0.747361 0.0873046 0.139269 1
rForeArm -0.0644896 1.40863 0.426003 -0.601604 0.214155 -0.620246 0.455528 1
lFoot -0.0705528 0.241164 -0.145946 -0.0558638 -0.0373796 -0.73585 0.6738 1
rFoot -0.067256 0.226895 0.115431 -0.80612 -0.585641 -0.0777686 0.0338659 1
lKnee 0.012259 0.587763 -0.0922291 -0.0739154 -0.702028 -0.0750183 0.704319 1
rKnee 0.0369987 0.602669 0.0752203 -0.365122 -0.614297 0.249039 0.653686 1
head 0.114445 1.66323 0.00199533 -0.0368248 -0.716348 -0.0266851 0.696259 1
hip -0.0769808 1.16295 -0.0221031 0.493775 0.498127 0.45113 0.551849 1
lHand -0.0435553 1.39563 -0.764663 0.141915 -0.137971 -0.593997 0.779738 1
lForeArm -0.0808053 1.43876 -0.405454 0.705834 0.241841 0.62093 0.240328 1
rHand -0.00968409 1.36846 0.785633 -0.646185 -0.744893 0.0863726 0.141845 1
rForeArm -0.0644476 1.4087 0.425823 -0.601475 0.214635 -0.620663 0.454905 1
lFoot -0.0706806 0.241183 -0.14591 -0.05577 -0.0374231 -0.735768 0.673895 1
rFoot -0.0672827 0.226865 0.115394 -0.806121 -0.585635 -0.0777599 0.0339726 1
lKnee 0.0119486 0.587623 -0.0921055 -0.0739908 -0.702227 -0.07518 0.704095 1
rKnee 0.0369034 0.602694 0.0752625 -0.365126 -0.614564 0.24892 0.653477 1
head 0.114465 1.66318 0.00195456 -0.0370587 -0.716355 -0.0267019 0.696239 1
hip -0.0769467 1.16294 -0.0221171 0.49365 0.498044 0.45122 0.551962 1
lHand -0.0436509 1.39571 -0.764742 0.142318 -0.137169 -0.593424 0.780242 1
lForeArm -0.0808249 1.43864 -0.405474 0.70591 0.242278 0.620808 0.23998 1
rHand -0.00981021 1.3682 0.785581 -0.646434 -0.744652 0.0857848 0.142327 1
rForeArm -0.0644538 1.40879 0.425779 -0.601127 0.214847 -0.620921 0.454911 1
lFoot -0.0706758 0.241189 -0.145912 -0.0558418 -0.0373699 -0.735748 0.673914 1
rFoot -0.0672803 0.226894 0.115386 -0.806107 -0.585648 -0.0778271 0.0339202 1
lKnee 0.0118752 0.587583 -0.0920541 -0.0739334 -0.702127 -0.0750935 0.704211 1
rKnee 0.0368731 0.602705 0.0752716 -0.365098 -0.614649 0.248879 0.653429 1
head 0.114492 1.66321 0.00200868 -0.0373725 -0.716295 -0.0266759 0.696285 1
