tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.130746 1.65314 -0.00223219 -0.0898932 -0.675418 -0.0430718 0.730668 1
hip -0.0533257 1.16075 -0.0109336 0.455395 0.525455 0.466502 0.546706 1
lHand -0.000877142 1.42629 -0.761665 0.189596 -0.0854649 -0.609337 0.765152 1
lForeArm -0.0438232 1.41909 -0.410503 -0.689529 -0.34604 -0.636099 0.0135828 1
rHand 0.0506327 1.42275 0.785902 -0.672977 -0.70614 0.188201 0.114227 1
rForeArm -0.0336165 1.43271 0.452552 -0.618906 0.259652 -0.606547 0.426188 1
lFoot -0.0206904 0.236363 -0.118252 -0.0446876 -0.0560679 -0.734416 0.674902 1
rFoot -0.0306838 0.230767 0.153207 -0.808316 -0.584509 -0.070243 0.00639909 1
lKnee 0.0656133 0.587541 -0.0652747 0.186839 -0.76659 -0.285031 0.544232 1
rKnee 0.0760601 0.608785 0.0982486 -0.352825 -0.598486 0.271654 0.665983 1
head 0.130847 1.65314 -0.00224745 -0.0899638 -0.675438 -0.0430868 0.730639 1
hip -0.0532465 1.16073 -0.0109234 0.455381 0.525307 0.466602 0.546776 1
lHand -0.000717402 1.42636 -0.761612 0.189806 -0.0855078 -0.609117 0.76527 1
lForeArm -0.0438187 1.4191 -0.410383 -0.689498 -0.346075 -0.636112 0.0136615 1
rHand 0.0502589 1.42321 0.78607 -0.671615 -0.707579 0.188957 0.112073 1
rForeArm -0.0335243 1.43258 0.452428 -0.618448 0.259559 -0.606784 0.426572 1
lFoot -0.0207057 0.23643 -0.118265 -0.0447096 -0.0559776 -0.734486 0.674831 1
rFoot -0.0305054 0.23057 0.15314 -0.808354 -0.584444 -0.0703403 0.0063781 1
lKnee 0.0655656 0.587475 -0.0653005 0.186751 -0.766579 -0.285085 0.544249 1
rKnee 0.0760911 0.608764 0.0982203 -0.352794 -0.59845 0.271584 0.66606 1
head 0.130933 1.65315 -0.00223172 -0.0899825 -0.675471 -0.0431413 0.730603 1
hip -0.0536487 1.16093 -0.0105834 0.455339 0.525128 0.466817 0.546799 1
lHand -0.00057745 1.42643 -0.761578 0.189906 -0.0854925 -0.608973 0.765362 1
lForeArm -0.0434453 1.41891 -0.410713 -0.689372 -0.346058 -0.636256 0.0137425 1
rHand 0.0501702 1.4236 0.785779 -0.671547 -0.707522 0.190917 0.10949 1
rForeArm -0.0335364 1.43247 0.45243 -0.617917 0.2597 -0.606932 0.427046 1
lFoot -0.0206861 0.236453 -0.118258 -0.0446647 -0.0559974 -0.734485 0.674835 1
rFoot -0.0303779 0.230659 0.153097 -0.8085 -0.584254 -0.0702462 0.00641189 1
lKnee 0.0656071 0.58749 -0.0653156 0.186729 -0.766608 -0.285078 0.544219 1
rKnee 0.0761061 0.608755 0.0982139 -0.352876 -0.598357 0.271548 0.666115 1
head 0.131014 1.65316 -0.00218034 -0.0900361 -0.675387 -0.0430549 0.73068 1
hip -0.0536118 1.16092 -0.0105743 0.455317 0.525117 0.466803 0.54684 1
lHand -0.000421286 1.42654 -0.761505 0.190167 -0.0853854 -0.608648 0.765568 1
lForeArm -0.0432696 1.41879 -0.410815 -0.689221 -0.346391 -0.636231 0.014046 1
rHand 0.0499735 1.42396 0.785476 -0.672019 -0.706676 0.193293 0.107878 1
rForeArm -0.0335851 1.43238 0.452521 -0.617591 0.259688 -0.606864 0.427621 1
lFoot -0.0207076 0.23649 -0.118255 -0.0447457 -0.0559715 -0.734471 0.674846 1
rFoot -0.0303793 0.230684 0.153101 -0.808488 -0.584269 -0.0702668 0.00638744 1
lKnee 0.0656896 0.587558 -0.0653195 0.186787 -0.766593 -0.285094 0.544212 1
rKnee 0.0761454 0.608697 0.0983222 -0.352885 -0.598317 0.271486 0.666172 1
head 0.13113 1.65317 -0.00214839 -0.0899478 -0.675394 -0.0429833 0.730688 1
hip -0.0536382 1.16085 -0.0105599 0.455327 0.525292 0.466641 0.546802 1
lHand -0.000292301 1.42657 -0.761493 0.190438 -0.0852396 -0.608462 0.765664 1
lForeArm -0.0431681 1.41885 -0.410733 -0.689192 -0.346737 -0.636072 0.0141591 1
rHand 0.0501142 1.42405 0.785567 -0.671283 -0.707121 0.194062 0.108161 1
rForeArm -0.0335159 1.43226 0.452498 -0.61791 0.259495 -0.607032 0.427037 1
lFoot -0.0207446 0.236458 -0.118237 -0.0447446 -0.0559563 -0.734476 0.674842 1
rFoot -0.0303969 0.230465 0.153102 -0.8085 -0.58426 -0.0701899 0.00640375 1
lKnee 0.0657382 0.587563 -0.0653243 0.186789 -0.76658 -0.285004 0.544278 1
rKnee 0.0762749 0.608738 0.0983262 -0.352886 -0.598242 0.271472 0.666244 1
head 0.131244 1.65319 -0.00213492 -0.0898193 -0.675374 -0.0429891 0.730722 1
hip -0.0536015 1.16084 -0.0106 0.455198 0.525266 0.466622 0.546951 1
lHand -0.000161648 1.42663 -0.761502 0.190819 -0.0850132 -0.608127 0.76586 1
lForeArm -0.0427442 1.4187 -0.411108 -0.689309 -0.347 -0.635797 0.0143722 1
rHand 0.0501046 1.42396 0.785678 -0.671217 -0.70734 0.192943 0.109139 1
rForeArm -0.0335968 1.43222 0.45262 -0.618184 0.259172 -0.606899 0.427026 1
lFoot -0.0207593 0.236513 -0.118261 -0.044772 -0.0558962 -0.734491 0.674828 1
rFoot -0.0304506 0.230543 0.153061 -0.808545 -0.584186 -0.0702918 0.00640142 1
lKnee 0.0656228 0.587542 -0.0652294 0.186727 -0.766532 -0.285056 0.544338 1
rKnee 0.0763278 0.608753 0.0983214 -0.352849 -0.598275 0.271405 0.666262 1
head 0.131534 1.65317 -0.00206351 -0.0896821 -0.675417 -0.0431753 0.730688 1
hip -0.0539978 1.16115 -0.00996447 0.455051 0.524997 0.46697 0.547034 1
lHand 0.000100613 1.42675 -0.761388 0.190512 -0.0849424 -0.609382 0.764946 1
lForeArm -0.0421004 1.4186 -0.411569 -0.689519 -0.345842 -0.636221 0.0134058 1
rHand 0.0498972 1.42252 0.785799 -0.673176 -0.706378 0.188065 0.111784 1
rForeArm -0.033484 1.43208 0.452575 -0.618709 0.259021 -0.606724 0.426606 1
lFoot -0.0208168 0.236585 -0.118187 -0.0448485 -0.0558994 -0.734555 0.674754 1
rFoot -0.0303905 0.230536 0.152944 -0.808655 -0.584053 -0.0701207 0.00650533 1
lKnee 0.0656374 0.587551 -0.0652086 0.186709 -0.766376 -0.285224 0.544477 1
rKnee 0.0764897 0.608737 0.0982127 -0.352669 -0.598001 0.27145 0.666584 1
head 0.131628 1.65317 -0.00203872 -0.0896827 -0.67542 -0.0432329 0.730682 1
hip -0.0545452 1.1615 -0.00932646 0.45524 0.525253 0.466871 0.546715 1
lHand -0.000577927 1.42646 -0.761464 0.189991 -0.0845172 -0.610696 0.764075 1
lForeArm -0.0417194 1.41838 -0.411977 -0.689618 -0.345595 -0.636255 0.013049 1
rHand 0.0497618 1.42211 0.785765 -0.673528 -0.706121 0.187457 0.112309 1
