tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.154513 1.65964 -0.0258416 -0.0622136 -0.674401 -0.0223475 0.7354 1
hip -0.0205808 1.16155 -0.0311656 0.452494 0.504296 0.45838 0.575172 1
lHand 0.0358634 1.40277 -0.786363 0.17159 -0.09912 -0.563705 0.801853 1
lForeArm 0.0341604 1.38881 -0.472648 -0.675938 -0.389884 -0.625135 0.0174398 1
rHand 0.0254085 1.40417 0.769022 -0.682424 -0.713293 0.130499 0.09209 1
rForeArm -0.0299253 1.42277 0.425887 -0.590835 0.237821 -0.613039 0.467481 1
lFoot -0.0266163 0.235301 -0.127429 -0.0747272 -0.0306238 -0.742299 0.665185 1
rFoot -0.00847292 0.227811 0.152488 -0.80933 -0.585106 -0.0481504 0.0178244 1
lKnee 0.0821569 0.592712 -0.0875474 0.208433 -0.699933 -0.35217 0.585343 1
rKnee 0.0965447 0.605774 0.0899122 -0.361125 -0.600639 0.268302 0.660935 1
head 0.154447 1.65961 -0.0257996 -0.0622049 -0.674469 -0.0223804 0.735337 1
hip -0.0205576 1.1615 -0.0312386 0.452492 0.504216 0.458272 0.57533 1
lHand 0.035959 1.4027 -0.786382 0.171771 -0.0990816 -0.563575 0.801911 1
lForeArm 0.0344658 1.38867 -0.473001 -0.675764 -0.390096 -0.625186 0.0176274 1
rHand 0.0252512 1.40431 0.769028 -0.681959 -0.713831 0.130319 0.0916208 1
rForeArm -0.0299821 1.42275 0.425899 -0.590846 0.237965 -0.61313 0.467274 1
lFoot -0.0265772 0.235245 -0.1274 -0.074834 -0.0306027 -0.742282 0.665192 1
rFoot -0.00848317 0.227772 0.152487 -0.809297 -0.585157 -0.0481115 0.0177561 1
lKnee 0.0821896 0.592695 -0.087568 0.208487 -0.699866 -0.352085 0.585454 1
rKnee 0.0965512 0.605754 0.0898786 -0.361208 -0.6007 0.268297 0.660837 1
head 0.154391 1.65961 -0.0257745 -0.062207 -0.674554 -0.0225472 0.735254 1
hip -0.0205207 1.16146 -0.0313008 0.452433 0.504234 0.45828 0.575354 1
lHand 0.036135 1.40277 -0.786361 0.172233 -0.0988904 -0.563345 0.801997 1
lForeArm 0.034415 1.38867 -0.472928 -0.675617 -0.390402 -0.625147 0.0178715 1
rHand 0.0252018 1.40466 0.768955 -0.682227 -0.71343 0.131465 0.0911098 1
rForeArm -0.0301027 1.42264 0.425792 -0.590562 0.238134 -0.613462 0.467111 1
lFoot -0.0265858 0.235252 -0.127389 -0.0747112 -0.030663 -0.742338 0.665141 1
rFoot -0.00849104 0.227773 0.152493 -0.809314 -0.585129 -0.0481326 0.0178164 1
lKnee 0.0822339 0.59271 -0.0875854 0.208473 -0.699874 -0.352037 0.585478 1
rKnee 0.0965278 0.605772 0.0898725 -0.361251 -0.600657 0.268334 0.660837 1
head 0.154353 1.65961 -0.025732 -0.0621309 -0.67467 -0.0226505 0.735151 1
hip -0.0207026 1.16155 -0.0311108 0.452373 0.504137 0.458233 0.575524 1
lHand 0.0361836 1.40279 -0.786372 0.172419 -0.0987045 -0.563078 0.802167 1
lForeArm 0.0345507 1.38853 -0.472892 -0.675557 -0.390786 -0.624959 0.0183075 1
rHand 0.0252378 1.40493 0.768601 -0.682881 -0.712541 0.133437 0.0902908 1
rForeArm -0.0300083 1.42245 0.425532 -0.590055 0.238591 -0.613722 0.467178 1
lFoot -0.0265226 0.235243 -0.1274 -0.0747198 -0.0305988 -0.742354 0.665125 1
rFoot -0.00843978 0.227782 0.152455 -0.809338 -0.585106 -0.0480104 0.0178114 1
lKnee 0.0822289 0.592746 -0.0875897 0.208413 -0.699953 -0.352027 0.585412 1
rKnee 0.0965099 0.605773 0.0897872 -0.361258 -0.60062 0.268346 0.660862 1
head 0.154267 1.6596 -0.0256674 -0.0620959 -0.674733 -0.0227631 0.735093 1
hip -0.0206828 1.16152 -0.0311605 0.452346 0.504104 0.458251 0.57556 1
lHand 0.0362678 1.40286 -0.786397 0.172538 -0.0985567 -0.56309 0.802152 1
lForeArm 0.0346479 1.38844 -0.472964 -0.675614 -0.390881 -0.624837 0.0183471 1
rHand 0.0254445 1.40543 0.767776 -0.685787 -0.708974 0.138631 0.0885108 1
rForeArm -0.0301452 1.42227 0.425429 -0.589186 0.239051 -0.614156 0.467469 1
lFoot -0.0264852 0.235266 -0.127399 -0.0747366 -0.0305747 -0.742347 0.665132 1
rFoot -0.00846195 0.227772 0.152452 -0.809371 -0.585062 -0.048029 0.0177599 1
lKnee 0.0822966 0.592778 -0.0876153 0.208341 -0.700029 -0.352063 0.585324 1
rKnee 0.096463 0.605774 0.0897725 -0.361314 -0.600601 0.268278 0.660876 1
head 0.154262 1.6596 -0.0256393 -0.062077 -0.674788 -0.022802 0.735042 1
hip -0.0206909 1.16147 -0.0312473 0.452247 0.504202 0.458394 0.575436 1
lHand 0.0363374 1.40288 -0.786428 0.172529 -0.0986794 -0.563544 0.801819 1
lForeArm 0.0345497 1.38845 -0.472918 -0.675646 -0.390738 -0.624896 0.0182065 1
rHand 0.0256574 1.40596 0.767479 -0.68782 -0.706365 0.14298 0.0866483 1
rForeArm -0.0300226 1.4221 0.425199 -0.589065 0.239343 -0.614616 0.466867 1
lFoot -0.026526 0.235328 -0.127393 -0.0748328 -0.0306382 -0.742283 0.665189 1
rFoot -0.00847411 0.227833 0.152447 -0.80939 -0.585032 -0.0480428 0.0178152 1
lKnee 0.0821991 0.592732 -0.0876452 0.208347 -0.700023 -0.352043 0.585342 1
rKnee 0.0964622 0.605774 0.0898007 -0.361277 -0.600641 0.268257 0.660869 1
head 0.154152 1.65956 -0.025552 -0.0621171 -0.674914 -0.0227528 0.734925 1
hip -0.0207431 1.16142 -0.031287 0.452233 0.504447 0.458483 0.575163 1
lHand 0.036438 1.4028 -0.786294 0.172475 -0.0988206 -0.564324 0.801265 1
lForeArm 0.0344024 1.3885 -0.472931 -0.67566 -0.389994 -0.625362 0.017631 1
rHand 0.0257041 1.40633 0.767734 -0.688382 -0.705511 0.145239 0.0853821 1
rForeArm -0.0304389 1.422 0.425487 -0.58985 0.239796 -0.614037 0.466404 1
lFoot -0.0265636 0.235248 -0.127417 -0.0748055 -0.0307886 -0.742255 0.665217 1
rFoot -0.0084362 0.227777 0.15241 -0.809356 -0.585086 -0.0480044 0.0176606 1
lKnee 0.0823441 0.59289 -0.0877746 0.208437 -0.699886 -0.351911 0.585553 1
rKnee 0.0964379 0.605759 0.0897901 -0.361249 -0.600687 0.268372 0.660795 1
head 0.154115 1.65954 -0.0255283 -0.0622329 -0.674927 -0.0227452 0.734903 1
hip -0.0207894 1.16145 -0.0312356 0.452144 0.504559 0.458519 0.575105 1
lHand 0.0366096 1.40282 -0.786179 0.172642 -0.0988433 -0.564042 0.801425 1
lForeArm 0.0348494 1.3883 -0.473322 -0.675622 -0.390002 -0.625405 0.0174037 1
rHand 0.0256798 1.40625 0.767729 -0.688852 -0.705144 0.144709 0.0855189 1
rForeArm -0.0305526 1.42191 0.425552 -0.59016 0.239588 -0.613819 0.466406 1
lFoot -0.02652 0.235277 -0.127441 -0.0748013 -0.0307721 -0.742241 0.665234 1
rFoot -0.00842667 0.227802 0.152404 -0.809369 -0.58507 -0.0479968 0.0176585 1
lKnee 0.0823669 0.592911 -0.0878201 0.208434 -0.699915 -0.351886 0.585534 1
rKnee 0.0964777 0.605815 0.0897686 -0.361275 -0.600699 0.268374 0.660769 1
head 0.154112 1.65952 -0.0254955 -0.0622859 -0.674946 -0.0227054 0.734883 1
hip -0.0207682 1.1614 -0.0312998 0.451959 0.504587 0.458603 0.57516 1
lHand 0.0367212 1.40286 -0.786137 0.172987 -0.0988066 -0.563404 0.801803 1
lForeArm 0.0348134 1.38838 -0.473175 -0.675672 -0.390419 -0.625089 0.0174409 1
rHand 0.0254645 1.40582 0.767802 -0.689449 -0.704837 0.142658 0.0866863 1
rForeArm -0.0306125 1.4219 0.425499 -0.59026 0.239064 -0.613797 0.466578 1
lFoot -0.0264826 0.235231 -0.127517 -0.0748622 -0.0308587 -0.742233 0.665232 1
rFoot -0.00841331 0.227826 0.152374 -0.809352 -0.585085 -0.0480994 0.0176437 1
lKnee 0.0821917 0.592711 -0.0877558 0.20835 -0.700022 -0.351936 0.585406 1
rKnee 0.0965011 0.605747 0.0897945 -0.36128 -0.600704 0.268336 0.660778 1
head 0.154034 1.65953 -0.0254636 -0.0625124 -0.674857 -0.0228092 0.734943 1
hip -0.0207319 1.16134 -0.03142 0.451443 0.504338 0.458938 0.575516 1
lHand 0.0365262 1.4031 -0.786276 0.173038 -0.098336 -0.561911 0.802897 1
lForeArm 0.0349603 1.3883 -0.473361 -0.675477 -0.391071 -0.624871 0.0181663 1
rHand 0.0247495 1.40482 0.767665 -0.691122 -0.703491 0.139867 0.0888153 1
rForeArm -0.0305815 1.42207 0.425369 -0.58979 0.239301 -0.61431 0.466376 1
lFoot -0.0266235 0.235203 -0.127669 -0.0747796 -0.0309385 -0.742155 0.665324 1
rFoot -0.00840592 0.227682 0.152327 -0.809334 -0.58512 -0.0479803 0.017626 1
lKnee 0.0821986 0.592832 -0.0879197 0.208338 -0.700132 -0.351854 0.585329 1
rKnee 0.0964046 0.605707 0.0897274 -0.361371 -0.600717 0.268322 0.660722 1
head 0.153945 1.65961 -0.0254064 -0.0624712 -0.674764 -0.0230022 0.735025 1
hip -0.0206146 1.16127 -0.0316604 0.451577 0.504262 0.45886 0.575539 1
lHand 0.0364227 1.40309 -0.786429 0.172738 -0.0981773 -0.562165 0.802804 1
lForeArm 0.0350833 1.38819 -0.473368 -0.675388 -0.391098 -0.624944 0.0183873 1
rHand 0.0243812 1.40463 0.767688 -0.691424 -0.703291 0.139195 0.0890993 1
rForeArm -0.0306911 1.42212 0.425499 -0.589784 0.239604 -0.614474 0.466011 1
lFoot -0.0266025 0.235227 -0.127664 -0.0749276 -0.0308698 -0.742144 0.665323 1
rFoot -0.00846434 0.227697 0.152316 -0.8093 -0.585155 -0.0481186 0.0176357 1
lKnee 0.0818582 0.592673 -0.08778 0.208433 -0.70006 -0.351856 0.58538 1
rKnee 0.0963726 0.605813 0.0898056 -0.361306 -0.600816 0.268358 0.660653 1
head 0.153893 1.65963 -0.0253713 -0.0623453 -0.674799 -0.023225 0.734996 1
hip -0.0205989 1.16125 -0.0317416 0.451573 0.504322 0.458818 0.575523 1
lHand 0.0362346 1.40307 -0.786595 0.172343 -0.0980343 -0.563033 0.802297 1
lForeArm 0.0350485 1.38825 -0.473359 -0.675284 -0.391018 -0.6251 0.0186286 1
rHand 0.0241287 1.40434 0.767627 -0.690745 -0.704214 0.137915 0.0890636 1
rForeArm -0.0307722 1.42221 0.425521 -0.589852 0.239866 -0.614518 0.465732 1
lFoot -0.0266042 0.235184 -0.127609 -0.0748278 -0.0307898 -0.742207 0.665268 1
rFoot -0.00845623 0.227712 0.152306 -0.809325 -0.585122 -0.0480875 0.0176741 1
lKnee 0.0818915 0.592715 -0.0878139 0.208379 -0.700095 -0.35184 0.585367 1
rKnee 0.0963311 0.605814 0.0898185 -0.361178 -0.600926 0.268348 0.660627 1
head 0.153874 1.65964 -0.0253227 -0.0621849 -0.674792 -0.0233427 0.735013 1
hip -0.0207658 1.16129 -0.0316682 0.451519 0.50434 0.458926 0.575464 1
lHand 0.0361121 1.40299 -0.786534 0.172109 -0.0978979 -0.563395 0.80211 1
lForeArm 0.0352545 1.38817 -0.473557 -0.67534 -0.390869 -0.625134 0.0185808 1
rHand 0.023653 1.40406 0.767611 -0.689551 -0.705759 0.136042 0.0889707 1
rForeArm -0.0307708 1.42205 0.425376 -0.589756 0.23988 -0.614605 0.465732 1
lFoot -0.0264702 0.235209 -0.12759 -0.0748129 -0.0307937 -0.742249 0.665223 1
rFoot -0.00845242 0.227807 0.15236 -0.809336 -0.585115 -0.0479871 0.0176779 1
lKnee 0.0816455 0.592512 -0.0876316 0.208455 -0.700072 -0.35183 0.585372 1
rKnee 0.0963912 0.605745 0.0897405 -0.361168 -0.600963 0.268323 0.660608 1
head 0.153745 1.65964 -0.0252278 -0.0619566 -0.674877 -0.0234135 0.734952 1
hip -0.0210071 1.16135 -0.0316477 0.451351 0.504439 0.459139 0.57534 1
lHand 0.03597 1.40299 -0.786341 0.171755 -0.0977236 -0.563233 0.802321 1
lForeArm 0.0355525 1.38812 -0.473909 -0.675389 -0.390736 -0.625168 0.0184514 1
rHand 0.023313 1.40381 0.767634 -0.68896 -0.706612 0.134597 0.0889744 1
rForeArm -0.0310767 1.42209 0.425362 -0.589624 0.239711 -0.614731 0.46582 1
lFoot -0.0264435 0.2352 -0.127594 -0.0748477 -0.0308058 -0.742263 0.665202 1
rFoot -0.00847292 0.227817 0.152349 -0.809292 -0.585176 -0.0479862 0.0177006 1
lKnee 0.0816972 0.592587 -0.0876728 0.20863 -0.700033 -0.351805 0.585372 1
rKnee 0.0963883 0.605759 0.0897174 -0.360996 -0.60094 0.268438 0.660676 1
head 0.153727 1.65967 -0.025198 -0.0617607 -0.675008 -0.0235143 0.734845 1
hip -0.0210729 1.16131 -0.0317061 0.451287 0.504571 0.459232 0.575199 1
lHand 0.0358357 1.40294 -0.786212 0.171251 -0.0976728 -0.562518 0.802936 1
lForeArm 0.0354519 1.3882 -0.473719 -0.675428 -0.39078 -0.625098 0.0184447 1
rHand 0.0230386 1.40353 0.767628 -0.68939 -0.706286 0.134093 0.0890001 1
rForeArm -0.031049 1.42205 0.425197 -0.589208 0.239651 -0.614938 0.466103 1
lFoot -0.0264874 0.235253 -0.127544 -0.0747619 -0.0308679 -0.74228 0.665191 1
rFoot -0.0084331 0.227751 0.152299 -0.809279 -0.585196 -0.0479769 0.0176382 1
lKnee 0.0816114 0.592622 -0.0876056 0.208727 -0.699994 -0.351729 0.58543 1
rKnee 0.0964417 0.605666 0.0896416 -0.360974 -0.600879 0.268497 0.660721 1
head 0.153732 1.65969 -0.0251465 -0.0616362 -0.675079 -0.0234813 0.734791 1
hip -0.0211294 1.16123 -0.0316579 0.451188 0.504589 0.459442 0.575094 1
lHand 0.0357385 1.40288 -0.786232 0.170553 -0.0976925 -0.561642 0.803696 1
lForeArm 0.0357108 1.3882 -0.473976 -0.675356 -0.390763 -0.62518 0.018645 1
rHand 0.0228417 1.40349 0.767619 -0.690391 -0.705224 0.134465 0.0890918 1
rForeArm -0.0313056 1.42218 0.425313 -0.588672 0.239844 -0.615308 0.466193 1
lFoot -0.0264845 0.235255 -0.127536 -0.0748439 -0.0308582 -0.742272 0.665191 1
rFoot -0.00849843 0.22771 0.152317 -0.809279 -0.585205 -0.0479206 0.0175187 1
lKnee 0.0816035 0.592649 -0.0876646 0.208741 -0.700079 -0.351684 0.585351 1
rKnee 0.0964334 0.605656 0.0896168 -0.361197 -0.600836 0.26845 0.660657 1
head 0.153749 1.65976 -0.0251076 -0.0616642 -0.675095 -0.023423 0.734776 1
hip -0.0211854 1.16121 -0.0317001 0.451107 0.504658 0.459621 0.574953 1
lHand 0.0357223 1.40288 -0.78621 0.170077 -0.098082 -0.56102 0.804183 1
lForeArm 0.0355577 1.38827 -0.473788 -0.675266 -0.390835 -0.625228 0.0188028 1
rHand 0.0224781 1.40359 0.767645 -0.690907 -0.704636 0.134877 0.0891357 1
rForeArm -0.0311785 1.42202 0.425126 -0.588365 0.240478 -0.615548 0.465936 1
lFoot -0.0265112 0.235241 -0.127559 -0.0747714 -0.0308341 -0.742263 0.66521 1
rFoot -0.00857115 0.227819 0.15233 -0.809276 -0.585202 -0.0479862 0.0175552 1
lKnee 0.0818362 0.592876 -0.0878544 0.208669 -0.700067 -0.351747 0.585352 1
rKnee 0.0964456 0.605613 0.0895302 -0.361261 -0.60087 0.268499 0.660571 1
head 0.153702 1.65977 -0.0250731 -0.0615395 -0.675173 -0.023314 0.734718 1
hip -0.0210285 1.16112 -0.0318434 0.450949 0.504706 0.459774 0.574913 1
lHand 0.035778 1.40282 -0.786285 0.169632 -0.09847 -0.560704 0.80445 1
lForeArm 0.0354857 1.38846 -0.473528 -0.675258 -0.390754 -0.625285 0.0189114 1
rHand 0.0223179 1.40378 0.767641 -0.69164 -0.703873 0.135525 0.0884836 1
rForeArm -0.0309992 1.42187 0.424997 -0.58835 0.241019 -0.615747 0.465413 1
lFoot -0.0264506 0.235265 -0.127569 -0.0748327 -0.0309327 -0.742235 0.66523 1
rFoot -0.00847316 0.227887 0.15234 -0.809257 -0.585229 -0.0479974 0.0175217 1
lKnee 0.0818453 0.592925 -0.0879121 0.208618 -0.700048 -0.351746 0.585394 1
rKnee 0.0964952 0.605681 0.0895027 -0.361337 -0.600995 0.268496 0.660417 1
head 0.153702 1.6598 -0.0250511 -0.0614472 -0.675099 -0.0233729 0.734792 1
hip -0.0210474 1.16112 -0.0319173 0.450808 0.504801 0.459951 0.574798 1
lHand 0.0357792 1.4028 -0.786366 0.169266 -0.0987921 -0.560852 0.804384 1
lForeArm 0.0353765 1.38857 -0.473519 -0.675355 -0.390562 -0.625308 0.0186318 1
rHand 0.0219522 1.40398 0.767708 -0.691975 -0.703603 0.135803 0.0875852 1
rForeArm -0.0311832 1.42173 0.424994 -0.588316 0.241316 -0.615791 0.465244 1
lFoot -0.0264561 0.235224 -0.127577 -0.0749011 -0.0308881 -0.742223 0.665238 1
rFoot -0.0085032 0.227849 0.152365 -0.809254 -0.585236 -0.0479663 0.0175178 1
lKnee 0.0816414 0.592769 -0.0878036 0.208628 -0.699905 -0.351697 0.585591 1
rKnee 0.0964675 0.605668 0.0895689 -0.361285 -0.601058 0.268636 0.660331 1
head 0.153682 1.65978 -0.0249832 -0.0612885 -0.675091 -0.0234105 0.734811 1
hip -0.0209892 1.16109 -0.0319743 0.450625 0.505006 0.460001 0.574722 1
lHand 0.0358012 1.40288 -0.786352 0.169207 -0.0986154 -0.561187 0.804185 1
lForeArm 0.0356081 1.38847 -0.473812 -0.675327 -0.390293 -0.625509 0.0185072 1
rHand 0.0218067 1.40417 0.767776 -0.692399 -0.703223 0.136141 0.0867509 1
rForeArm -0.0314388 1.42173 0.425135 -0.588333 0.241489 -0.615808 0.465111 1
lFoot -0.0264487 0.235233 -0.127562 -0.0748875 -0.0309134 -0.74218 0.665286 1
rFoot -0.00837374 0.227781 0.15246 -0.80931 -0.585157 -0.0479475 0.0175722 1
lKnee 0.0816765 0.592874 -0.0876733 0.208719 -0.699826 -0.351708 0.585647 1
rKnee 0.0964146 0.605736 0.0896235 -0.361247 -0.601062 0.268667 0.660336 1
head 0.153652 1.65975 -0.0249178 -0.0611027 -0.67513 -0.0235156 0.734788 1
hip -0.020905 1.16102 -0.0321304 0.450618 0.504834 0.459986 0.57489 1
lHand 0.0357857 1.40306 -0.78637 0.169451 -0.0983045 -0.56117 0.804184 1
lForeArm 0.0355153 1.38851 -0.473753 -0.675409 -0.389846 -0.625714 0.0180542 1
rHand 0.021734 1.40416 0.767758 -0.692414 -0.703167 0.136534 0.0864736 1
rForeArm -0.0316377 1.42159 0.425117 -0.588447 0.241185 -0.615654 0.465328 1
lFoot -0.026536 0.235212 -0.12745 -0.0747557 -0.0308987 -0.742172 0.66531 1
rFoot -0.00837302 0.227778 0.152473 -0.809279 -0.585206 -0.0479048 0.017528 1
lKnee 0.0816634 0.592925 -0.087712 0.208705 -0.699805 -0.351738 0.585659 1
rKnee 0.0963163 0.605697 0.0896282 -0.36118 -0.601077 0.268728 0.660333 1
head 0.153631 1.65972 -0.0248971 -0.0609828 -0.675207 -0.0236063 0.734724 1
hip -0.0210562 1.16109 -0.0320287 0.450623 0.504614 0.459932 0.575123 1
lHand 0.0356798 1.40337 -0.786216 0.169865 -0.0978614 -0.560677 0.804494 1
lForeArm 0.0354896 1.38845 -0.473742 -0.675421 -0.389779 -0.625744 0.0179827 1
rHand 0.0216646 1.40408 0.76765 -0.692197 -0.703273 0.136963 0.0866752 1
rForeArm -0.0315757 1.42144 0.424851 -0.588429 0.240993 -0.615574 0.465555 1
lFoot -0.0265546 0.235219 -0.127493 -0.0748243 -0.0309106 -0.742163 0.665312 1
rFoot -0.00845861 0.227895 0.152473 -0.809274 -0.585208 -0.0479803 0.0174812 1
lKnee 0.0815949 0.592788 -0.0876737 0.208628 -0.6998 -0.351718 0.585703 1
rKnee 0.0962863 0.605733 0.0897059 -0.360973 -0.601058 0.268781 0.660443 1
head 0.153541 1.65968 -0.0248277 -0.0610671 -0.675245 -0.0236988 0.734679 1
hip -0.0211782 1.16107 -0.0319762 0.450809 0.504382 0.459672 0.575389 1
lHand 0.0355897 1.40373 -0.78618 0.170815 -0.0967254 -0.55993 0.80495 1
lForeArm 0.0354002 1.38847 -0.473626 -0.675303 -0.389988 -0.625739 0.0180538 1
rHand 0.0215685 1.40368 0.767583 -0.691587 -0.703704 0.137001 0.0879707 1
rForeArm -0.0317154 1.42152 0.424928 -0.588412 0.240612 -0.615395 0.466011 1
lFoot -0.0266151 0.235187 -0.127509 -0.0748889 -0.0308582 -0.742096 0.665382 1
rFoot -0.00845242 0.227905 0.15247 -0.809251 -0.585239 -0.0480173 0.017364 1
lKnee 0.0815909 0.592825 -0.0877098 0.208722 -0.69965 -0.351647 0.585891 1
rKnee 0.0961819 0.605697 0.0897205 -0.360971 -0.600975 0.268845 0.660493 1
head 0.15349 1.65965 -0.0247914 -0.0612413 -0.675246 -0.0237396 0.734663 1
hip -0.0211792 1.16104 -0.0320499 0.450866 0.504503 0.459657 0.575249 1
lHand 0.0355134 1.40414 -0.786166 0.171778 -0.095526 -0.55899 0.805542 1
lForeArm 0.0352862 1.38854 -0.473428 -0.675243 -0.39029 -0.625609 0.0183004 1
rHand 0.0215027 1.40337 0.76755 -0.691561 -0.703663 0.136839 0.0887501 1
rForeArm -0.0318279 1.42149 0.42493 -0.58829 0.240622 -0.615494 0.466029 1
