tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.144673 1.65361 -0.0010047 -0.0773652 -0.714141 -0.0541913 0.6936 1
hip -0.0385742 1.1603 -0.018584 0.440095 0.514269 0.463464 0.571878 1
lHand 0.0104933 1.4293 -0.773593 0.181503 -0.088588 -0.627905 0.751627 1
lForeArm -0.0339136 1.41437 -0.414616 0.696404 0.32731 0.638259 0.0226763 1
rHand 0.0721059 1.43602 0.778843 -0.728347 -0.648124 0.189969 0.115578 1
rForeArm -0.0253778 1.44203 0.450721 -0.617451 0.323298 -0.629155 0.344088 1
lFoot -0.0209396 0.237269 -0.135173 -0.0334335 -0.0563169 -0.738758 0.670781 1
rFoot -0.0311332 0.227403 0.158107 0.809694 0.582107 0.0744617 0.00179406 1
lKnee 0.0539298 0.547373 -0.0709367 0.127385 -0.802722 -0.353753 0.462892 1
rKnee 0.0770645 0.603325 0.12158 -0.417958 -0.70554 0.182721 0.542345 1
head 0.144712 1.65353 -0.000902534 -0.0776587 -0.71421 -0.0543983 0.69348 1
hip -0.0388103 1.16055 -0.0183228 0.440326 0.514375 0.463744 0.571379 1
lHand 0.0106835 1.42935 -0.773533 0.181926 -0.0873142 -0.628914 0.750831 1
lForeArm -0.0337176 1.41426 -0.414572 0.696273 0.327263 0.638411 0.0230929 1
rHand 0.07218 1.43622 0.778838 -0.728099 -0.648354 0.190397 0.11514 1
rForeArm -0.0253463 1.44201 0.45074 -0.617772 0.323066 -0.62892 0.34416 1
lFoot -0.0209794 0.237265 -0.135174 -0.033346 -0.0562389 -0.738812 0.670732 1
rFoot -0.0311484 0.227393 0.158113 0.809767 0.582018 0.0743642 0.00164682 1
lKnee 0.0539117 0.547493 -0.0708878 0.127354 -0.802672 -0.353786 0.462962 1
rKnee 0.0771337 0.603289 0.121459 -0.417959 -0.705559 0.182706 0.542323 1
head 0.144745 1.65344 -0.000827074 -0.0779609 -0.714317 -0.0545873 0.693321 1
hip -0.0387425 1.16054 -0.0182056 0.440099 0.514391 0.463839 0.571461 1
lHand 0.0108306 1.42932 -0.773385 0.182525 -0.0863416 -0.629474 0.750328 1
lForeArm -0.0336406 1.41424 -0.414372 0.696171 0.327216 0.638532 0.0234977 1
rHand 0.0722723 1.43635 0.779004 -0.727937 -0.648572 0.190556 0.114673 1
rForeArm -0.025162 1.44201 0.450689 -0.617854 0.32296 -0.628781 0.344366 1
lFoot -0.0213044 0.236998 -0.135036 -0.0333337 -0.0563206 -0.738751 0.670793 1
rFoot -0.0311489 0.227431 0.15804 0.80977 0.582017 0.0743326 0.00165134 1
lKnee 0.0539052 0.547503 -0.0708642 0.127469 -0.802669 -0.3537 0.463002 1
rKnee 0.0770388 0.603376 0.121461 -0.417958 -0.705494 0.18281 0.542374 1
head 0.14477 1.65338 -0.000723362 -0.0782377 -0.714318 -0.05469 0.69328 1
hip -0.0386999 1.16056 -0.018162 0.440004 0.514141 0.463819 0.571776 1
lHand 0.0111279 1.42942 -0.773353 0.183519 -0.0855317 -0.62931 0.750316 1
lForeArm -0.0331945 1.41406 -0.414644 0.696302 0.327028 0.638472 0.0238829 1
rHand 0.0724568 1.43633 0.778831 -0.727971 -0.648521 0.190797 0.114348 1
rForeArm -0.0250466 1.44202 0.450743 -0.617789 0.322819 -0.628808 0.344566 1
lFoot -0.0213575 0.236991 -0.135031 -0.0333292 -0.0562906 -0.738738 0.67081 1
rFoot -0.0311761 0.227413 0.158058 0.809777 0.582002 0.074381 0.00168262 1
lKnee 0.0539291 0.547538 -0.070852 0.127646 -0.802679 -0.353556 0.463045 1
rKnee 0.0770099 0.603339 0.121512 -0.417998 -0.705498 0.182756 0.542357 1
head 0.144822 1.65333 -0.000656009 -0.0784702 -0.714351 -0.0547888 0.693213 1
hip -0.0387588 1.16069 -0.0179875 0.439994 0.513869 0.463666 0.572152 1
lHand 0.0113564 1.42951 -0.773222 0.184478 -0.0856455 -0.627667 0.751443 1
lForeArm -0.0331197 1.41404 -0.414485 0.696308 0.326989 0.638485 0.0238714 1
rHand 0.0723624 1.43628 0.778553 -0.729245 -0.647027 0.191303 0.113851 1
rForeArm -0.0249846 1.442 0.450814 -0.61782 0.323006 -0.628783 0.344381 1
lFoot -0.0216682 0.236869 -0.134925 -0.0332536 -0.0563021 -0.738708 0.670846 1
rFoot -0.0312181 0.227428 0.158006 0.809716 0.582073 0.0744852 0.00166929 1
lKnee 0.0539212 0.547501 -0.0708835 0.127605 -0.802654 -0.353576 0.463085 1
