tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.155218 1.6323 -0.0171967 -0.0752245 -0.709159 -0.0566344 0.698732 1
hip -0.0248036 1.14054 -0.0102967 0.55405 0.412054 0.600007 0.404019 1
lHand -0.0196729 1.38995 -0.783507 0.15373 -0.103604 -0.721922 0.66668 1
lForeArm -0.00970483 1.46568 -0.464612 0.11369 -0.635502 0.753748 0.122784 1
rHand 0.0688219 1.43797 0.761581 -0.773075 -0.595063 0.162355 0.147975 1
rForeArm 0.0541334 1.48594 0.416753 0.606398 0.34955 -0.661348 0.269656 1
lFoot 0.0167124 0.215361 -0.148416 -0.120544 -0.03366 0.756081 0.6424 1
rFoot 0.0208068 0.226207 0.143035 0.204769 -0.957957 -0.106024 0.170726 1
lKnee 0.0938053 0.583745 -0.100185 0.405908 -0.543391 -0.558069 0.478042 1
rKnee 0.0880342 0.592884 0.091434 -0.0993373 -0.64103 -0.0225313 0.760727 1
head 0.15518 1.63227 -0.0172698 -0.0754712 -0.709147 -0.0565066 0.698728 1
hip -0.0248322 1.14051 -0.0102704 0.553777 0.412283 0.600247 0.403803 1
lHand -0.0196066 1.38985 -0.78352 0.15391 -0.103128 -0.721567 0.667097 1
lForeArm -0.00971031 1.46559 -0.464623 0.113131 -0.635312 0.753969 0.122928 1
rHand 0.068882 1.43845 0.761693 -0.773479 -0.594439 0.163302 0.147328 1
rForeArm 0.0540776 1.48614 0.416807 0.606388 0.348891 -0.661855 0.269289 1
lFoot 0.0167091 0.215416 -0.148308 -0.120607 -0.0336243 0.756073 0.6424 1
rFoot 0.0207803 0.226156 0.143046 0.204882 -0.957947 -0.106129 0.170579 1
lKnee 0.093998 0.583932 -0.100287 0.405917 -0.543362 -0.558089 0.478044 1
rKnee 0.0880945 0.592958 0.0914966 -0.0992625 -0.641106 -0.0225219 0.760673 1
head 0.155133 1.63221 -0.0173409 -0.0756608 -0.709159 -0.0564181 0.698703 1
hip -0.0248718 1.14051 -0.010231 0.553641 0.412417 0.600348 0.403703 1
lHand -0.0195096 1.3898 -0.78346 0.154158 -0.103113 -0.721025 0.667628 1
lForeArm -0.00973511 1.46549 -0.464638 0.112785 -0.635201 0.754086 0.123101 1
rHand 0.0690467 1.4389 0.761703 -0.773887 -0.593695 0.164381 0.146987 1
rForeArm 0.0541534 1.48629 0.416686 0.606261 0.348366 -0.662249 0.269288 1
lFoot 0.0167782 0.215441 -0.148309 -0.12055 -0.0335271 0.75605 0.642442 1
rFoot 0.0207255 0.22613 0.143078 0.204954 -0.957919 -0.106163 0.170631 1
lKnee 0.0940104 0.583943 -0.100275 0.405945 -0.543439 -0.558041 0.477989 1
rKnee 0.08798 0.592885 0.0916094 -0.0991179 -0.641323 -0.0225022 0.760509 1
head 0.155051 1.63219 -0.0174131 -0.0757823 -0.709121 -0.0563474 0.698734 1
hip -0.0248876 1.14048 -0.0102013 0.553558 0.41263 0.600352 0.403594 1
lHand -0.0194106 1.38971 -0.783463 0.154391 -0.103411 -0.720208 0.668409 1
lForeArm -0.00974607 1.46541 -0.46457 0.113009 -0.63528 0.753997 0.123035 1
rHand 0.0696578 1.43919 0.761195 -0.773289 -0.593609 0.165519 0.149184 1
rForeArm 0.0541661 1.4865 0.416737 0.606047 0.348054 -0.662567 0.269388 1
lFoot 0.0167212 0.215726 -0.147734 -0.120299 -0.0337868 0.756064 0.64246 1
rFoot 0.0206964 0.226094 0.143105 0.204983 -0.957905 -0.10622 0.17064 1
lKnee 0.0939236 0.58383 -0.10006 0.406065 -0.543452 -0.557936 0.477995 1
rKnee 0.0879951 0.592856 0.0918016 -0.0990389 -0.641368 -0.0224704 0.760482 1
head 0.155013 1.6322 -0.0174925 -0.0758924 -0.709045 -0.0562 0.698811 1
