tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.118082 1.65596 -0.00297952 -0.0820288 -0.694683 -0.0419985 0.713388 1
hip -0.0676494 1.15983 -0.0122454 0.447833 0.525743 0.453147 0.563646 1
lHand -0.0274022 1.44138 -0.767229 0.221926 -0.0788819 -0.657156 0.716011 1
lForeArm -0.0674655 1.42038 -0.417206 0.711623 0.305585 0.632357 0.0183187 1
rHand 0.0598731 1.42438 0.786743 -0.736865 -0.625224 0.204731 0.155599 1
rForeArm -0.0433207 1.44149 0.448698 -0.61814 0.294847 -0.619578 0.383526 1
lFoot -0.0493975 0.234725 -0.123631 -0.0496321 -0.0385831 -0.738922 0.670852 1
rFoot -0.044035 0.232781 0.156043 -0.808135 -0.585288 -0.0659164 0.00330267 1
lKnee 0.05761 0.61471 -0.0741417 0.181824 -0.74907 -0.265934 0.57889 1
rKnee 0.0623794 0.619182 0.0989809 -0.345801 -0.589502 0.282192 0.673258 1
head 0.118369 1.65601 -0.00303018 -0.0820908 -0.694592 -0.0420391 0.713468 1
hip -0.0668826 1.16006 -0.0122049 0.447776 0.525817 0.452661 0.564014 1
lHand -0.0274208 1.44118 -0.767252 0.222071 -0.0783775 -0.65673 0.716412 1
lForeArm -0.0672479 1.42022 -0.417253 0.711605 0.306329 0.632026 0.0179926 1
rHand 0.0602722 1.42452 0.786626 -0.73699 -0.624714 0.205349 0.156236 1
rForeArm -0.0429463 1.44151 0.448623 -0.618255 0.295202 -0.619619 0.382999 1
lFoot -0.0494597 0.234844 -0.123594 -0.0496963 -0.038536 -0.738894 0.670881 1
rFoot -0.044065 0.232784 0.156027 -0.808211 -0.58518 -0.0659452 0.00317617 1
lKnee 0.0571353 0.614326 -0.0737913 0.182139 -0.74916 -0.265447 0.578898 1
rKnee 0.0624809 0.619292 0.0989799 -0.3458 -0.589435 0.282107 0.673354 1
head 0.118639 1.656 -0.00308013 -0.0819709 -0.694536 -0.0419896 0.713539 1
