tag;rawPosX;rawPosY;rawPosZ;rawRotX;rawRotY;rawRotZ;rawRotW;scale
hip;0.0201669;1.06781;-0.0819799;0.0224257;-0.0647536;-0.9908;0.116699;1.00002
lhc;0.811455;1.40586;-0.0186203;0.456877;-0.577576;-0.464604;0.491745;1.00002
rhc;-0.743531;1.42128;0.0150032;0.499684;0.570821;0.483087;0.437158;1.00002
lft;0.11913;0.147968;0.00753474;-0.394087;-0.886122;0.115583;0.214764;1.00002
rft;-0.140408;0.162592;0.00204265;0.897471;0.226725;0.350108;0.143413;1.00002
hip;0.0201886;1.06778;-0.0820266;0.022195;-0.0645427;-0.9908;0.116861;1.00002
lhc;0.811405;1.40586;-0.0187478;0.456727;-0.57759;-0.464717;0.49176;1.00002
rhc;-0.743508;1.42138;0.0149941;0.500197;0.570548;0.482964;0.437063;1.00002
lft;0.11915;0.147997;0.00749421;-0.394088;-0.886157;0.115482;0.214675;1.00002
rft;-0.140424;0.162581;0.00202918;0.897482;0.226781;0.350068;0.143348;1.00002
hip;0.0202028;1.06779;-0.0820343;0.0221987;-0.0645508;-0.9908;0.116854;1.00002
lhc;0.811543;1.40595;-0.0188614;0.457355;-0.576834;-0.465352;0.491464;1.00002
rhc;-0.743494;1.42137;0.0150015;0.50099;0.56998;0.483332;0.436488;1.00002
lft;0.119176;0.147996;0.00750268;-0.394126;-0.886161;0.115566;0.214541;1.00002
rft;-0.140404;0.162588;0.00203264;0.897414;0.226724;0.350197;0.143547;1.00002
hip;0.0202402;1.06776;-0.0821023;0.0225219;-0.06485;-0.990781;0.116791;1.00002
lhc;0.811595;1.40603;-0.0188928;0.45805;-0.576126;-0.465761;0.491259;1.00002
rhc;-0.743183;1.42143;0.0151218;0.50241;0.56893;0.483571;0.43596;1.00002
lft;0.119217;0.147994;0.007581;-0.394128;-0.886098;0.115699;0.214723;1.00002
rft;-0.140372;0.162595;0.0020647;0.897407;0.226706;0.350199;0.14362;1.00002
hip;0.0202756;1.06773;-0.0821604;0.0229154;-0.0654133;-0.990727;0.116856;1.00002
lhc;0.811625;1.40616;-0.0189424;0.458687;-0.575625;-0.465706;0.491305;1.00002
rhc;-0.742739;1.42146;0.0151951;0.504723;0.567331;0.483981;0.434917;1.00002
lft;0.119184;0.147996;0.0075767;-0.39418;-0.886077;0.115674;0.214729;1.00002
rft;-0.140415;0.162565;0.00209093;0.897428;0.226721;0.350154;0.143571;1.00002
hip;0.0202031;1.0677;-0.0821153;0.0232072;-0.0662242;-0.990668;0.116844;1.00002
lhc;0.811656;1.40641;-0.0189276;0.45887;-0.575677;-0.465181;0.49157;1.00002
rhc;-0.742552;1.4213;0.0152427;0.505527;0.566986;0.484256;0.434126;1.00002
