tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.120736 1.5694 -0.0271164 -0.060493 -0.68261 -0.052615 0.726371 0.984607
hip -0.0263371 1.06811 0.0673505 -0.0453345 0.83228 -0.0603351 0.549195 0.984607
lHand -0.0105957 1.38677 -0.765559 0.0560842 -0.0991708 -0.634959 0.764099 0.984607
rHand 0.0334861 1.39809 0.787078 -0.649224 -0.755881 0.0516741 0.0669555 0.984607
lFoot -0.0112391 0.149376 -0.142956 -0.0989102 -0.143286 0.0212928 0.984496 0.984607
rFoot 0.00579894 0.137017 0.152366 0.223499 -0.941351 -0.109284 0.227956 0.984607
head 0.120806 1.56933 -0.0272245 -0.0608396 -0.682508 -0.0527535 0.726428 0.984607
hip -0.0262686 1.06807 0.0672293 -0.0456384 0.832259 -0.0599443 0.549244 0.984607
lHand -0.0102969 1.38704 -0.765694 0.0564914 -0.0987145 -0.63553 0.763653 0.984607
rHand 0.0337923 1.39816 0.787061 -0.648697 -0.756314 0.0525341 0.0664955 0.984607
lFoot -0.0112449 0.149436 -0.142955 -0.0987915 -0.143372 0.0213389 0.984495 0.984607
rFoot 0.00573885 0.137071 0.152365 0.223473 -0.941326 -0.109257 0.228097 0.984607
head 0.121067 1.56927 -0.0273979 -0.0610753 -0.682373 -0.0531208 0.726509 0.984607
hip -0.0261952 1.06806 0.0671959 -0.0461053 0.832273 -0.0594056 0.549243 0.984607
lHand -0.00997436 1.3872 -0.765823 0.0569247 -0.0983305 -0.636164 0.763142 0.984607
rHand 0.0340896 1.39836 0.787047 -0.648034 -0.75691 0.0533919 0.0654832 0.984607
lFoot -0.0112362 0.149446 -0.142983 -0.0987902 -0.143351 0.0213483 0.984497 0.984607
rFoot 0.00575256 0.13709 0.152364 0.223523 -0.941341 -0.109194 0.228018 0.984607
head 0.121257 1.56921 -0.0274782 -0.0611307 -0.682287 -0.0535059 0.726557 0.984607
hip -0.0261395 1.06811 0.0671321 -0.0465951 0.832232 -0.0587044 0.549338 0.984607
lHand -0.0097028 1.3874 -0.765933 0.057349 -0.0977916 -0.63678 0.762666 0.984607
rHand 0.0343812 1.39862 0.787035 -0.647088 -0.757748 0.0543116 0.0643811 0.984607
lFoot -0.0112402 0.14944 -0.142982 -0.0988583 -0.143212 0.0213874 0.98451 0.984607
rFoot 0.00576282 0.137072 0.152421 0.223544 -0.941354 -0.109168 0.227955 0.984607
head 0.12141 1.56913 -0.0275041 -0.0612072 -0.682252 -0.0537132 0.726567 0.984607
hip -0.0259974 1.0681 0.0671134 -0.0467104 0.832127 -0.0584777 0.549512 0.984607
lHand -0.00936222 1.38757 -0.765845 0.0576112 -0.0976845 -0.636801 0.762643 0.984607
rHand 0.0348105 1.39862 0.786518 -0.647436 -0.757445 0.0553626 0.0635472 0.984607
lFoot -0.0112445 0.149515 -0.14293 -0.0987386 -0.14316 0.0214743 0.984528 0.984607
rFoot 0.00579572 0.137096 0.152405 0.223592 -0.941356 -0.109207 0.227882 0.984607
head 0.121608 1.5691 -0.027593 -0.0613673 -0.682175 -0.0539674 0.726608 0.984607
hip -0.0259005 1.06813 0.0670683 -0.0465443 0.831766 -0.0587796 0.550039 0.984607
lHand -0.00904834 1.38765 -0.765837 0.0575793 -0.0981476 -0.636454 0.762875 0.984607
rHand 0.0350695 1.39869 0.786205 -0.649387 -0.755674 0.0569099 0.0633614 0.984607
lFoot -0.0112454 0.149525 -0.142951 -0.0988424 -0.143085 0.0215616 0.984526 0.984607
rFoot 0.00577378 0.137119 0.152411 0.223543 -0.941393 -0.109094 0.227827 0.984607
head 0.121696 1.56901 -0.0275719 -0.0616458 -0.682014 -0.0539079 0.726739 0.984607
hip -0.0259686 1.06822 0.0672541 -0.0462646 0.831192 -0.0588972 0.550918 0.984607
lHand -0.00878131 1.38763 -0.765728 0.057833 -0.0985417 -0.635681 0.763449 0.984607
rHand 0.0354822 1.39836 0.785714 -0.651085 -0.753963 0.0579929 0.0653068 0.984607
lFoot -0.0113651 0.149395 -0.14287 -0.098949 -0.143067 0.0216437 0.984516 0.984607
rFoot 0.00570798 0.137003 0.152522 0.223586 -0.941399 -0.109031 0.227793 0.984607
head 0.121803 1.56896 -0.0275956 -0.062036 -0.681796 -0.0538439 0.726916 0.984607
hip -0.0256778 1.06802 0.0670742 -0.0462754 0.83104 -0.0587802 0.551159 0.984607
