tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.135578 1.65439 -0.0115862 -0.0885712 -0.6844 -0.0289034 0.723129 1
hip -0.0420864 1.16039 -0.0224607 0.447461 0.525246 0.468878 0.551406 1
lHand 0.0265667 1.41102 -0.77326 0.189067 -0.0887574 -0.581981 0.785923 1
lForeArm -0.0128713 1.40715 -0.42503 -0.669147 -0.405377 -0.621576 0.039431 1
rHand 0.00307751 1.40756 0.779387 -0.603013 -0.788016 0.117834 0.0390047 1
rForeArm -0.0413902 1.41908 0.43164 -0.599878 0.202434 -0.599359 0.489833 1
lFoot -0.0216172 0.23988 -0.145478 -0.0452109 -0.0451038 -0.736863 0.673019 1
rFoot -0.024241 0.230921 0.139869 0.808524 0.582567 0.0830871 0.000880262 1
lKnee 0.070405 0.577061 -0.0934074 0.208439 -0.704858 -0.39631 0.550152 1
rKnee 0.0791502 0.592119 0.0900238 -0.384445 -0.615919 0.244863 0.642563 1
head 0.135581 1.65439 -0.0115969 -0.0885482 -0.684374 -0.028863 0.723158 1
hip -0.0421338 1.1604 -0.0223613 0.447627 0.525337 0.468788 0.551261 1
lHand 0.0264893 1.41088 -0.77306 0.188812 -0.0891199 -0.581681 0.786165 1
lForeArm -0.0129223 1.40715 -0.424912 -0.669236 -0.405312 -0.621524 0.0394096 1
rHand 0.0031743 1.40765 0.779412 -0.602405 -0.788441 0.118166 0.0388153 1
rForeArm -0.0411878 1.41918 0.431555 -0.599747 0.202773 -0.599493 0.489689 1
lFoot -0.0216787 0.239835 -0.14543 -0.0452285 -0.0450635 -0.736871 0.673012 1
rFoot -0.0242774 0.23086 0.139912 0.808528 0.582553 0.0831458 0.000945553 1
lKnee 0.0702105 0.576826 -0.0932527 0.208366 -0.704894 -0.39629 0.550148 1
rKnee 0.0790672 0.592105 0.0901167 -0.384406 -0.615929 0.244873 0.642574 1
head 0.135573 1.65438 -0.0116229 -0.0885055 -0.684385 -0.0288127 0.723155 1
hip -0.0421069 1.16036 -0.0223564 0.447603 0.525572 0.468743 0.551095 1
lHand 0.0264204 1.41065 -0.772974 0.188284 -0.0894665 -0.581393 0.786465 1
lForeArm -0.0130105 1.40708 -0.424843 -0.669227 -0.405124 -0.621674 0.0391383 1
rHand 0.00327969 1.40769 0.779401 -0.602262 -0.78848 0.118392 0.0395218 1
rForeArm -0.0411382 1.41926 0.431562 -0.599737 0.203071 -0.599597 0.48945 1
lFoot -0.0216784 0.239832 -0.145444 -0.0452272 -0.0450072 -0.736904 0.67298 1
rFoot -0.0242667 0.230864 0.139941 0.80855 0.582524 0.0831347 0.0009534 1
lKnee 0.0702307 0.576842 -0.0932438 0.208303 -0.704887 -0.396405 0.550098 1
rKnee 0.079057 0.59211 0.0901356 -0.384458 -0.615811 0.244776 0.642693 1
head 0.135577 1.6544 -0.0116383 -0.0884955 -0.684318 -0.0287144 0.723224 1
hip -0.0420914 1.16034 -0.0223521 0.447432 0.52558 0.46885 0.551135 1
lHand 0.02635 1.41043 -0.772915 0.187905 -0.0897227 -0.58149 0.786454 1
lForeArm -0.0130515 1.40706 -0.424811 -0.669321 -0.405256 -0.621507 0.0387922 1
rHand 0.00341368 1.40767 0.779428 -0.602701 -0.788118 0.118386 0.0400737 1
rForeArm -0.040942 1.41922 0.431437 -0.599552 0.203148 -0.599975 0.489182 1
lFoot -0.021678 0.239861 -0.14542 -0.0451777 -0.0449434 -0.736912 0.672978 1
rFoot -0.0242448 0.230839 0.13988 0.808544 0.582529 0.0831581 0.00092966 1
lKnee 0.0700114 0.576604 -0.0931063 0.208144 -0.704977 -0.396461 0.550001 1
rKnee 0.0790906 0.592084 0.0902064 -0.384465 -0.615816 0.244807 0.642672 1
head 0.135564 1.6544 -0.0116777 -0.0882363 -0.684197 -0.0286361 0.723373 1
hip -0.0420113 1.16027 -0.0224531 0.447039 0.525356 0.469017 0.551525 1
lHand 0.0262923 1.41013 -0.772937 0.187547 -0.0898122 -0.582275 0.785949 1
lForeArm -0.0130982 1.40702 -0.424811 -0.669368 -0.405339 -0.621416 0.0385856 1
rHand 0.00342131 1.40767 0.77948 -0.603563 -0.787457 0.118274 0.0404326 1
rForeArm -0.0412641 1.41924 0.431647 -0.599509 0.202962 -0.599964 0.489324 1
lFoot -0.021663 0.239861 -0.145436 -0.0451908 -0.0448565 -0.736902 0.672994 1
rFoot -0.024241 0.230843 0.139901 0.808545 0.582521 0.0832102 0.00092966 1
lKnee 0.0699241 0.576501 -0.0930223 0.208255 -0.705025 -0.396407 0.549937 1
rKnee 0.0790887 0.592109 0.0902244 -0.384335 -0.615753 0.244855 0.642791 1
head 0.135581 1.65443 -0.0117149 -0.0882433 -0.684117 -0.0284764 0.723454 1
hip -0.0419674 1.16026 -0.0224295 0.447082 0.52503 0.469004 0.551811 1
lHand 0.0261676 1.4098 -0.772954 0.187168 -0.0899049 -0.582488 0.785871 1
lForeArm -0.0131691 1.40695 -0.424847 -0.669238 -0.405352 -0.621544 0.0386424 1
rHand 0.00336456 1.40763 0.779362 -0.604233 -0.78697 0.118159 0.0402486 1
rForeArm -0.0410857 1.41911 0.431647 -0.599802 0.202979 -0.599692 0.489291 1
lFoot -0.0216877 0.239825 -0.145439 -0.0452695 -0.0448789 -0.736901 0.672989 1
rFoot -0.0243173 0.230852 0.139888 0.80852 0.58256 0.0831793 0.000961183 1
lKnee 0.0700805 0.576612 -0.0931398 0.208301 -0.704969 -0.396428 0.549976 1
rKnee 0.0791101 0.592092 0.090143 -0.384263 -0.615726 0.244878 0.642852 1
head 0.135571 1.65444 -0.0117956 -0.0883297 -0.683966 -0.028435 0.723588 1
hip -0.0419672 1.16026 -0.0224012 0.448055 0.52531 0.468468 0.551211 1
lHand 0.0258927 1.40928 -0.772911 0.186162 -0.0905851 -0.582042 0.786362 1
lForeArm -0.0132356 1.40677 -0.424718 -0.668963 -0.405528 -0.621688 0.039241 1
rHand 0.00415063 1.40751 0.779134 -0.603185 -0.78747 0.119001 0.043577 1
rForeArm -0.0411286 1.41909 0.431783 -0.600876 0.20232 -0.599174 0.488881 1
lFoot -0.0217011 0.239843 -0.145457 -0.0451437 -0.0448518 -0.736912 0.672987 1
rFoot -0.0243437 0.230891 0.139893 0.80851 0.582574 0.0831781 0.000905298 1
lKnee 0.0702856 0.576759 -0.0931346 0.208256 -0.70482 -0.396465 0.550158 1
rKnee 0.0791059 0.592115 0.0901014 -0.384303 -0.615785 0.244802 0.6428 1
head 0.135558 1.65438 -0.0118144 -0.0883976 -0.683884 -0.0284049 0.723659 1
hip -0.0420427 1.16027 -0.0223552 0.448211 0.525483 0.468311 0.551053 1
lHand 0.0257578 1.40908 -0.772923 0.186018 -0.0908852 -0.581778 0.786557 1
lForeArm -0.013356 1.40666 -0.424699 -0.669155 -0.406054 -0.621122 0.0394881 1
rHand 0.00383472 1.40712 0.779284 -0.602471 -0.78844 0.116188 0.0434853 1
rForeArm -0.040997 1.41908 0.431633 -0.60106 0.201667 -0.598919 0.489238 1
lFoot -0.0217595 0.239891 -0.145426 -0.0451578 -0.044888 -0.736931 0.672962 1
rFoot -0.0243452 0.230882 0.139835 0.808528 0.582536 0.0832626 0.000999189 1
lKnee 0.0700665 0.576559 -0.0931008 0.20823 -0.704731 -0.396443 0.550298 1
rKnee 0.079124 0.592124 0.0900943 -0.384406 -0.615738 0.24468 0.64283 1
head 0.135515 1.65437 -0.0118527 -0.0885322 -0.683804 -0.0284556 0.723716 1
hip -0.0420184 1.16024 -0.022347 0.448069 0.525636 0.468294 0.551037 1
lHand 0.0256248 1.40897 -0.772886 0.186327 -0.090816 -0.581917 0.786389 1
lForeArm -0.0134563 1.40661 -0.424627 -0.669362 -0.406297 -0.620746 0.0394004 1
rHand 0.003968 1.40673 0.77923 -0.601731 -0.789101 0.114979 0.0449406 1
rForeArm -0.0410516 1.41915 0.431695 -0.601289 0.201062 -0.59874 0.489425 1
lFoot -0.0217719 0.239912 -0.145426 -0.0450907 -0.0448859 -0.73693 0.672968 1
rFoot -0.0243363 0.23088 0.139849 0.808502 0.582574 0.0832563 0.0009534 1
lKnee 0.0700724 0.576572 -0.0930927 0.208254 -0.70484 -0.396393 0.550185 1
rKnee 0.0791051 0.592149 0.0901349 -0.38441 -0.615811 0.244695 0.642752 1
head 0.13551 1.65437 -0.0118647 -0.0886722 -0.683796 -0.0285385 0.723703 1
hip -0.0417523 1.16011 -0.0226116 0.447908 0.525576 0.468366 0.551164 1
lHand 0.025456 1.40895 -0.772872 0.186613 -0.0904303 -0.581934 0.786353 1
lForeArm -0.0135732 1.40655 -0.424565 -0.669541 -0.406306 -0.62056 0.0391877 1
rHand 0.0037477 1.40645 0.779117 -0.60114 -0.789603 0.114147 0.046131 1
rForeArm -0.0412507 1.41927 0.431862 -0.601571 0.200622 -0.598694 0.489314 1
lFoot -0.0217488 0.239942 -0.145457 -0.0451049 -0.044842 -0.736907 0.672995 1
rFoot -0.0243626 0.230902 0.139864 0.808519 0.582552 0.0832425 0.000984162 1
lKnee 0.0701008 0.576598 -0.0932016 0.208253 -0.704926 -0.3963 0.550142 1
rKnee 0.079134 0.592112 0.0900416 -0.384421 -0.615779 0.24468 0.642782 1
head 0.135514 1.65432 -0.0119053 -0.0888071 -0.683737 -0.0284204 0.723747 1
hip -0.041703 1.1601 -0.0226269 0.447667 0.525237 0.468691 0.551406 1
lHand 0.0251644 1.40898 -0.772859 0.186838 -0.0898027 -0.581632 0.786595 1
lForeArm -0.013715 1.40652 -0.42453 -0.669815 -0.406009 -0.620478 0.0388818 1
rHand 0.00373626 1.40628 0.778981 -0.600764 -0.789956 0.11326 0.0471691 1
rForeArm -0.0412974 1.41935 0.431876 -0.601771 0.20036 -0.598624 0.489262 1
lFoot -0.0217636 0.239956 -0.145479 -0.0451211 -0.0447564 -0.736954 0.672949 1
rFoot -0.0243409 0.230905 0.139851 0.808557 0.582493 0.0832804 0.00089703 1
lKnee 0.0701075 0.576596 -0.0931957 0.20823 -0.704991 -0.396373 0.550014 1
rKnee 0.0791655 0.592122 0.09004 -0.384337 -0.615718 0.244719 0.642875 1
head 0.135502 1.65432 -0.0119271 -0.0888805 -0.683783 -0.0283973 0.723696 1
hip -0.0413802 1.15994 -0.0228852 0.447693 0.525125 0.468677 0.551504 1
lHand 0.0248737 1.40901 -0.772784 0.186736 -0.0893363 -0.581446 0.786809 1
lForeArm -0.0137181 1.40641 -0.424572 -0.669921 -0.405894 -0.62045 0.0386922 1
rHand 0.00367999 1.40629 0.778944 -0.601173 -0.789613 0.113313 0.0475658 1
rForeArm -0.0412233 1.41941 0.431751 -0.601714 0.200471 -0.598788 0.489085 1
lFoot -0.0216932 0.239991 -0.145411 -0.045073 -0.0447852 -0.73694 0.672966 1
rFoot -0.0243382 0.230911 0.13985 0.808572 0.582473 0.0832872 0.000863167 1
lKnee 0.0698583 0.576395 -0.0930027 0.208163 -0.704954 -0.39647 0.550018 1
rKnee 0.0792465 0.59206 0.090142 -0.384272 -0.615673 0.244765 0.64294 1
head 0.13549 1.65428 -0.0119783 -0.0890056 -0.683905 -0.028185 0.723573 1
hip -0.041486 1.16004 -0.0225029 0.447982 0.525314 0.468565 0.551184 1
lHand 0.024437 1.40884 -0.772835 0.185835 -0.0888591 -0.582067 0.786618 1
lForeArm -0.0138903 1.4063 -0.424575 -0.670049 -0.406116 -0.620131 0.0392659 1
rHand 0.00358033 1.40652 0.779012 -0.603674 -0.787662 0.114241 0.0460051 1
rForeArm -0.0412557 1.41955 0.431785 -0.600958 0.201802 -0.599205 0.488957 1
lFoot -0.0216637 0.239994 -0.145424 -0.0450583 -0.0447091 -0.73693 0.672982 1
rFoot -0.0242972 0.230956 0.139863 0.808625 0.582404 0.0832494 0.00077204 1
lKnee 0.0700061 0.576441 -0.0930028 0.208197 -0.704803 -0.396603 0.550102 1
rKnee 0.0792823 0.592105 0.0902009 -0.384303 -0.615684 0.244673 0.642946 1
