Iterations ø;Reached [%];Error ø;Error Min;Error Max;Time ø [us]
2.08243;0.543351;0.257811;4.13826e-07;1.13943;93.9726
2.09906;0.536613;0.266637;4.13826e-07;1.13943;89.615
2.08805;0.535939;0.26665;4.13826e-07;1.13943;94.2206
2.08783;0.535939;0.266649;4.13826e-07;1.13943;96.8026
2.08895;0.536164;0.26665;4.13826e-07;1.14021;97.1602
2.08962;0.536164;0.266644;4.13826e-07;1.14021;98.5921
2.09659;0.536613;0.266653;4.13826e-07;1.14021;94.8695
2.08872;0.536388;0.26664;4.13826e-07;1.14021;93.3032
2.09052;0.535939;0.266651;4.13826e-07;1.14021;93.2217
2.09164;0.535939;0.266651;4.13826e-07;1.14021;92.9629
2.08872;0.535939;0.266647;4.13826e-07;1.14021;93.2316
2.08805;0.536613;0.266635;4.13826e-07;1.14021;91.8655
2.08783;0.536388;0.26664;4.13826e-07;1.14021;92.1229
2.09119;0.536388;0.266646;4.13826e-07;1.14021;93.9389
2.0876;0.536388;0.266644;4.13826e-07;1.14021;93.9292
