tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.149559 1.57568 -0.0198934 -0.0207867 -0.703369 -0.0383312 0.709486 0.99295
hip 0.00406122 1.07124 0.0640981 -0.048138 0.821342 -0.0602219 0.565202 0.99295
lHand -0.0253415 1.37209 -0.770195 0.0529462 -0.0774871 -0.652137 0.752269 0.99295
rHand -0.0267835 1.38799 0.765543 -0.66816 -0.743276 0.00767297 0.0323171 0.99295
lFoot 0.0424964 0.15159 -0.13927 -0.0955117 -0.135235 0.026516 0.985843 0.99295
rFoot 0.0425313 0.135396 0.146563 0.216332 -0.948718 -0.103474 0.205981 0.99295
head 0.149486 1.57559 -0.019733 -0.0208808 -0.703398 -0.0385939 0.70944 0.99295
hip 0.00400925 1.07121 0.0640876 -0.0482325 0.821441 -0.0600674 0.565067 0.99295
lHand -0.0253379 1.37239 -0.770305 0.0531307 -0.0766399 -0.652459 0.752064 0.99295
rHand -0.0271015 1.38806 0.765518 -0.667439 -0.743969 0.00711367 0.031369 0.99295
lFoot 0.042493 0.151594 -0.139235 -0.0954279 -0.135114 0.0265258 0.985867 0.99295
rFoot 0.0425595 0.135399 0.146552 0.216275 -0.948687 -0.103702 0.206068 0.99295
head 0.14949 1.57556 -0.0196892 -0.0209838 -0.703506 -0.0389181 0.709312 0.99295
hip 0.00390089 1.07119 0.0641234 -0.0481855 0.821584 -0.0599388 0.564876 0.99295
lHand -0.0253605 1.37281 -0.770143 0.0539345 -0.0754327 -0.652347 0.752226 0.99295
rHand -0.0274637 1.38796 0.765452 -0.667928 -0.743535 0.00632296 0.031429 0.99295
lFoot 0.0424789 0.151569 -0.139248 -0.0954517 -0.135153 0.0266547 0.985856 0.99295
rFoot 0.0425296 0.135453 0.146603 0.216373 -0.948652 -0.103805 0.206072 0.99295
head 0.149398 1.57551 -0.0195552 -0.021101 -0.703623 -0.0392466 0.709175 0.99295
hip 0.00380123 1.07118 0.0641439 -0.0482755 0.821603 -0.0597525 0.564861 0.99295
lHand -0.0252244 1.37323 -0.770176 0.0547126 -0.0745264 -0.652106 0.75247 0.99295
rHand -0.0274773 1.38786 0.765316 -0.668197 -0.743286 0.00627209 0.0316113 0.99295
lFoot 0.0425084 0.151593 -0.139228 -0.0954658 -0.135183 0.0266267 0.985851 0.99295
rFoot 0.0425611 0.135432 0.146697 0.216389 -0.94866 -0.103711 0.206067 0.99295
head 0.149281 1.57546 -0.0195012 -0.0211539 -0.70374 -0.0395175 0.709042 0.99295
hip 0.00356925 1.07125 0.0644093 -0.048395 0.82149 -0.0595327 0.565039 0.99295
lHand -0.0250167 1.37375 -0.770241 0.0555303 -0.0739527 -0.651895 0.752649 0.99295
rHand -0.0273602 1.38779 0.764852 -0.669204 -0.742341 0.00715857 0.0323099 0.99295
lFoot 0.0424939 0.151581 -0.139237 -0.0953891 -0.135159 0.0266832 0.985861 0.99295
rFoot 0.0424892 0.135434 0.146619 0.216367 -0.948659 -0.103754 0.206075 0.99295
head 0.149272 1.57543 -0.0194879 -0.0212423 -0.703866 -0.0397841 0.7089 0.99295
hip 0.00378656 1.07116 0.0642269 -0.0485765 0.821261 -0.0593888 0.56537 0.99295
lHand -0.0249734 1.37404 -0.770151 0.0555553 -0.07437 -0.652296 0.752258 0.99295
rHand -0.0265669 1.38767 0.764441 -0.669839 -0.741631 0.00921125 0.0348455 0.99295
lFoot 0.0425086 0.151545 -0.139267 -0.0954667 -0.135203 0.0267317 0.985846 0.99295
rFoot 0.0425258 0.135386 0.146606 0.216483 -0.948628 -0.103766 0.206088 0.99295
head 0.149166 1.5754 -0.0193604 -0.0214128 -0.703944 -0.0398858 0.708811 0.99295
hip 0.00367427 1.07116 0.0642781 -0.0488364 0.821072 -0.0591904 0.565643 0.99295
lHand -0.0248134 1.37415 -0.770093 0.0552012 -0.0752737 -0.653085 0.75151 0.99295
rHand -0.0272617 1.38737 0.764728 -0.668034 -0.743322 0.00686639 0.0340084 0.99295
lFoot 0.042521 0.151562 -0.139277 -0.0953725 -0.135219 0.0267345 0.985853 0.99295
rFoot 0.0425233 0.135352 0.146601 0.216523 -0.948636 -0.103782 0.206003 0.99295
head 0.148979 1.57536 -0.0192933 -0.0215343 -0.704024 -0.0399366 0.708725 0.99295
hip 0.00353098 1.07116 0.06424 -0.0490997 0.821005 -0.0589572 0.565742 0.99295
lHand -0.0247291 1.37418 -0.770015 0.0550316 -0.0761157 -0.653661 0.750937 0.99295
rHand -0.0275164 1.38733 0.764566 -0.666641 -0.744603 0.00637226 0.0334011 0.99295
lFoot 0.0425206 0.151568 -0.139253 -0.095359 -0.135093 0.0266927 0.985872 0.99295
rFoot 0.0425211 0.135371 0.146548 0.216461 -0.94859 -0.103832 0.206252 0.99295
head 0.148917 1.57541 -0.0192405 -0.0215484 -0.704098 -0.0400247 0.708646 0.99295
hip 0.00342488 1.07116 0.0642556 -0.0492651 0.821036 -0.0588253 0.565696 0.99295
lHand -0.0246514 1.3743 -0.770033 0.0551321 -0.0763778 -0.654091 0.750527 0.99295
rHand -0.0277762 1.38731 0.764534 -0.664639 -0.746457 0.00582366 0.0319992 0.99295
lFoot 0.0425037 0.151581 -0.139245 -0.0953449 -0.135262 0.0267044 0.98585 0.99295
rFoot 0.0424674 0.135439 0.146592 0.216545 -0.948619 -0.103735 0.206081 0.99295
head 0.14865 1.57532 -0.0190474 -0.021471 -0.704271 -0.0401234 0.708471 0.99295
hip 0.00330508 1.07116 0.0642803 -0.0492322 0.820928 -0.0588514 0.565854 0.99295
lHand -0.0247509 1.37437 -0.769971 0.0554405 -0.0764247 -0.654079 0.750511 0.99295
rHand -0.0281208 1.38702 0.764483 -0.663268 -0.747714 0.00472619 0.0312529 0.99295
lFoot 0.0424902 0.151583 -0.139248 -0.0952957 -0.135269 0.026634 0.985856 0.99295
rFoot 0.0424318 0.135401 0.146516 0.21657 -0.948617 -0.103709 0.206077 0.99295
head 0.148538 1.5753 -0.018968 -0.0214205 -0.704404 -0.0402382 0.708334 0.99295
hip 0.00318038 1.07105 0.0641978 -0.0492986 0.82076 -0.05871 0.566106 0.99295
lHand -0.0250149 1.37425 -0.769803 0.0557571 -0.0761174 -0.653318 0.751181 0.99295
rHand -0.0284437 1.38676 0.764401 -0.663017 -0.747943 0.00380382 0.0312309 0.99295
lFoot 0.0424803 0.151558 -0.139195 -0.0952611 -0.135125 0.0265878 0.98588 0.99295
rFoot 0.0425109 0.135411 0.146533 0.216465 -0.948547 -0.103758 0.206485 0.99295
head 0.148453 1.5753 -0.0189244 -0.0216352 -0.704498 -0.0403816 0.708226 0.99295
hip 0.00303364 1.07105 0.0642153 -0.0494912 0.82068 -0.0585403 0.566223 0.99295
