tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.126442 1.604 -0.0348973 -0.0624996 -0.709385 -0.0678352 0.69876 1.01266
hip -0.0565984 1.11239 0.00257123 -0.666292 0.271894 -0.634076 0.282977 1.01266
lHand -0.00295937 1.4547 -0.80284 0.153909 -0.0213099 -0.671222 0.724789 1.01266
rHand 0.0491905 1.44408 0.76603 -0.629466 -0.766149 0.114315 0.0609956 1.01266
lFoot 0.0362995 0.214918 -0.0997994 0.0741375 -0.754842 -0.0147947 0.651536 1.01266
rFoot -0.0162419 0.209664 0.134043 -0.956954 -0.264316 0.0203187 0.118164 1.01266
head 0.126638 1.60405 -0.0350505 -0.0627313 -0.70913 -0.0676697 0.699013 1.01266
hip -0.0567218 1.11244 0.00272524 -0.666392 0.271843 -0.633959 0.283053 1.01266
lHand -0.00244093 1.45419 -0.802864 0.153101 -0.0223799 -0.671284 0.724871 1.01266
rHand 0.0496912 1.44504 0.765946 -0.630811 -0.764737 0.116568 0.0605528 1.01266
lFoot 0.0363635 0.214958 -0.0997326 0.0740804 -0.754692 -0.0147033 0.651718 1.01266
rFoot -0.0161765 0.209728 0.134021 -0.956972 -0.264285 0.0203448 0.118081 1.01266
head 0.126736 1.60407 -0.0350569 -0.062901 -0.709005 -0.0675969 0.699133 1.01266
hip -0.0563985 1.11236 0.00254452 -0.666511 0.271879 -0.63387 0.282939 1.01266
lHand -0.00215077 1.45363 -0.802691 0.15221 -0.0234159 -0.672518 0.72388 1.01266
rHand 0.0506456 1.44565 0.765158 -0.632171 -0.762903 0.120867 0.0610736 1.01266
lFoot 0.0364435 0.214968 -0.0996211 0.0741254 -0.754789 -0.0147574 0.651598 1.01266
rFoot -0.0161604 0.209746 0.134077 -0.956995 -0.264174 0.0203327 0.118147 1.01266
head 0.12701 1.60399 -0.0352312 -0.062965 -0.708916 -0.0675372 0.699222 1.01266
hip -0.0563159 1.11234 0.00255322 -0.6666 0.271857 -0.633779 0.282952 1.01266
lHand -0.00182319 1.45298 -0.802768 0.151268 -0.0241607 -0.674253 0.722439 1.01266
rHand 0.0515474 1.44584 0.764364 -0.633416 -0.761268 0.123914 0.0624581 1.01266
lFoot 0.0367032 0.214713 -0.0997548 0.0740475 -0.754719 -0.0150003 0.651683 1.01266
rFoot -0.0160427 0.209606 0.134005 -0.956972 -0.264231 0.0205067 0.118176 1.01266
head 0.12711 1.60395 -0.0352889 -0.0630374 -0.708959 -0.0673479 0.69919 1.01266
hip -0.0562423 1.11231 0.00252318 -0.666629 0.271689 -0.63372 0.283179 1.01266
lHand -0.00151634 1.45251 -0.802737 0.15084 -0.0247725 -0.674823 0.721975 1.01266
rHand 0.052489 1.44554 0.763962 -0.634254 -0.760217 0.123875 0.0666927 1.01266
lFoot 0.0366805 0.214713 -0.099751 0.0740293 -0.754705 -0.0148369 0.651705 1.01266
rFoot -0.0159895 0.209666 0.133986 -0.957012 -0.264137 0.0203751 0.118085 1.01266
head 0.127162 1.60391 -0.0352647 -0.0632121 -0.708928 -0.0670789 0.699232 1.01266
hip -0.0562166 1.11231 0.00254083 -0.666538 0.271304 -0.633862 0.283445 1.01266
lHand -0.00120735 1.45233 -0.802658 0.151084 -0.0253551 -0.674298 0.722394 1.01266
rHand 0.0533609 1.44438 0.763806 -0.635085 -0.759609 0.120145 0.0722978 1.01266
lFoot 0.0367335 0.214728 -0.0997716 0.0740266 -0.754684 -0.0148603 0.651729 1.01266
rFoot -0.015995 0.209651 0.134022 -0.957002 -0.264119 0.0203151 0.118221 1.01266
head 0.127118 1.60394 -0.0352277 -0.0633968 -0.709112 -0.066896 0.699046 1.01266
hip -0.0561261 1.11226 0.00252569 -0.666535 0.271012 -0.633928 0.283581 1.01266
lHand -0.00118721 1.45252 -0.802545 0.152096 -0.0255728 -0.673087 0.723303 1.01266
rHand 0.0537945 1.4435 0.763616 -0.635606 -0.75925 0.117079 0.0763935 1.01266
lFoot 0.0365986 0.214884 -0.0996405 0.0742181 -0.754667 -0.0148362 0.651728 1.01266
rFoot -0.0158186 0.209433 0.1339 -0.95699 -0.264141 0.0202526 0.118281 1.01266
head 0.127253 1.60394 -0.0354216 -0.0637146 -0.709219 -0.0668016 0.698918 1.01266
hip -0.0560031 1.11221 0.00251281 -0.666692 0.271184 -0.633664 0.283639 1.01266
lHand -0.00101399 1.45258 -0.802637 0.153161 -0.0253095 -0.67303 0.72314 1.01266
rHand 0.0541126 1.44258 0.763399 -0.635106 -0.759786 0.114323 0.0793457 1.01266
lFoot 0.0365343 0.214872 -0.0996805 0.0741542 -0.754628 -0.0148249 0.65178 1.01266
rFoot -0.0158203 0.209416 0.13381 -0.95702 -0.264074 0.0201427 0.118203 1.01266
head 0.127186 1.60389 -0.035409 -0.0640678 -0.709486 -0.0668062 0.698614 1.01266
hip -0.0559431 1.11223 0.00246596 -0.66679 0.271129 -0.633575 0.283659 1.01266
lHand -0.000820637 1.45253 -0.80285 0.153816 -0.0249555 -0.673387 0.722681 1.01266
rHand 0.0541506 1.44258 0.763257 -0.633435 -0.761196 0.114499 0.0789333 1.01266
lFoot 0.0364887 0.214867 -0.099738 0.0741439 -0.754651 -0.0147561 0.651757 1.01266
rFoot -0.0158808 0.209411 0.133791 -0.956987 -0.264219 0.019995 0.118168 1.01266
head 0.127369 1.6038 -0.0354975 -0.0642932 -0.709658 -0.0669842 0.698401 1.01266
hip -0.0558233 1.11223 0.00241792 -0.666703 0.270969 -0.633715 0.283704 1.01266
lHand -0.000664115 1.45241 -0.802978 0.154292 -0.0241196 -0.674202 0.721847 1.01266
rHand 0.0544082 1.44273 0.76316 -0.632269 -0.762129 0.115854 0.077292 1.01266
lFoot 0.0364679 0.214869 -0.0996941 0.0741182 -0.75464 -0.0148475 0.65177 1.01266
rFoot -0.0162054 0.209725 0.134023 -0.956892 -0.264448 0.0199502 0.118434 1.01266
head 0.127571 1.60382 -0.0356559 -0.0644181 -0.710039 -0.067155 0.697986 1.01266
hip -0.0557013 1.11224 0.00237834 -0.666514 0.270969 -0.633926 0.283678 1.01266
lHand -0.000112534 1.45253 -0.80322 0.154108 -0.0237212 -0.67452 0.721603 1.01266
rHand 0.0543969 1.44391 0.763547 -0.631887 -0.76254 0.119282 0.0708798 1.01266
lFoot 0.036512 0.214952 -0.0997362 0.074084 -0.754722 -0.0147816 0.651681 1.01266
rFoot -0.0162148 0.209765 0.133998 -0.9569 -0.264446 0.0199674 0.118374 1.01266
head 0.127535 1.60378 -0.0356437 -0.0644884 -0.710281 -0.0673969 0.697711 1.01266
hip -0.0556856 1.11235 0.0023936 -0.666405 0.271219 -0.634005 0.283516 1.01266
lHand 7.55787e-05 1.45251 -0.80331 0.154168 -0.0235403 -0.674263 0.721837 1.01266
rHand 0.0541784 1.44454 0.763694 -0.63212 -0.762397 0.121015 0.0673033 1.01266
lFoot 0.0364735 0.214955 -0.0997628 0.0741166 -0.754726 -0.0147473 0.651673 1.01266
rFoot -0.0162444 0.209798 0.13404 -0.956896 -0.26446 0.0200604 0.118359 1.01266
head 0.127743 1.60368 -0.0357933 -0.0647073 -0.710477 -0.067358 0.697494 1.01266
hip -0.055548 1.11233 0.00234282 -0.666345 0.271486 -0.634078 0.28324 1.01266
lHand 0.000246763 1.45245 -0.803378 0.154612 -0.0237071 -0.672585 0.7233 1.01266
rHand 0.0542043 1.44499 0.763832 -0.632168 -0.762357 0.1218 0.0658846 1.01266
lFoot 0.0365187 0.214907 -0.0997645 0.0740843 -0.75463 -0.014795 0.651787 1.01266
rFoot -0.0162675 0.209794 0.134057 -0.956851 -0.264613 0.0200749 0.118375 1.01266
head 0.127939 1.6037 -0.0359266 -0.064974 -0.710569 -0.0671599 0.697395 1.01266
hip -0.0554376 1.11228 0.00228012 -0.666212 0.271514 -0.634286 0.28306 1.01266
lHand 0.000701666 1.45255 -0.803433 0.155229 -0.0237514 -0.671966 0.723741 1.01266
rHand 0.0543988 1.44522 0.764025 -0.63248 -0.762067 0.122153 0.065591 1.01266
lFoot 0.0365416 0.21491 -0.0997531 0.074066 -0.7547 -0.0147508 0.651709 1.01266
rFoot -0.0162741 0.209813 0.134078 -0.956874 -0.264584 0.0198832 0.118287 1.01266
head 0.12801 1.60371 -0.0359339 -0.0651287 -0.710522 -0.066991 0.697445 1.01266
hip -0.0555012 1.11231 0.00232732 -0.666067 0.27132 -0.634468 0.28318 1.01266
lHand 0.000753164 1.45256 -0.803159 0.155378 -0.0243728 -0.67232 0.72336 1.01266
rHand 0.0551054 1.44569 0.763983 -0.634354 -0.760312 0.123098 0.0660888 1.01266
lFoot 0.0365294 0.214908 -0.0997068 0.0740794 -0.754803 -0.0147854 0.651588 1.01266
rFoot -0.0162885 0.20983 0.134137 -0.95688 -0.26453 0.019899 0.118361 1.01266
head 0.128204 1.60367 -0.036106 -0.0650852 -0.710618 -0.0670135 0.697348 1.01266
hip -0.0554386 1.11226 0.00226402 -0.666131 0.271084 -0.634402 0.283403 1.01266
lHand 0.000971913 1.45235 -0.803191 0.155002 -0.0249116 -0.672988 0.7228 1.01266
rHand 0.0550679 1.44657 0.764175 -0.635031 -0.759561 0.12493 0.0647716 1.01266
lFoot 0.036605 0.214829 -0.0996976 0.0740103 -0.754842 -0.0148176 0.651549 1.01266
rFoot -0.0161252 0.209637 0.134057 -0.956876 -0.264524 0.0199113 0.118402 1.01266
head 0.128384 1.60371 -0.0362498 -0.0649721 -0.710622 -0.0671532 0.697342 1.01266
hip -0.0553714 1.11223 0.00219131 -0.666236 0.270878 -0.63429 0.283603 1.01266
lHand 0.00106597 1.45234 -0.803305 0.154315 -0.025494 -0.673883 0.722094 1.01266
rHand 0.0552436 1.44722 0.764482 -0.63555 -0.758933 0.126896 0.0632037 1.01266
