tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.117078 1.65322 0.0101662 -0.0862953 -0.70061 -0.035875 0.707398 1
hip -0.0557117 1.17674 0.0119379 0.456972 0.54674 0.472205 0.518916 1
lHand -0.0221541 1.38717 -0.762086 0.157463 -0.0881641 -0.668265 0.721703 1
lForeArm -0.0594282 1.39552 -0.408522 0.684827 0.386157 0.617664 0.0196687 1
rHand 0.0242808 1.40617 0.801035 -0.656798 -0.733123 0.155793 0.0829176 1
rForeArm -0.044332 1.41595 0.45214 -0.621282 0.230023 -0.61285 0.430713 1
lFoot -0.0358667 0.238172 -0.129958 -0.0442437 -0.0379248 -0.739162 0.671003 1
rFoot -0.0319352 0.228802 0.13865 -0.809714 -0.58084 -0.0804587 0.0226972 1
lKnee 0.057898 0.604287 -0.0729333 -0.0734449 -0.716844 -0.0650382 0.690297 1
rKnee 0.0778403 0.606258 0.0948844 -0.358918 -0.593866 0.260914 0.671137 1
head 0.116997 1.65327 0.0102142 -0.0859981 -0.700824 -0.0357315 0.707229 1
hip -0.056078 1.17697 0.0117784 0.456909 0.546284 0.472657 0.519041 1
lHand -0.0218718 1.38741 -0.762201 0.157758 -0.0885288 -0.668915 0.720991 1
lForeArm -0.0594428 1.39569 -0.408489 0.684905 0.385689 0.617853 0.0201989 1
rHand 0.0240159 1.40647 0.801024 -0.657188 -0.732705 0.156799 0.081616 1
rForeArm -0.0446827 1.41618 0.452268 -0.620906 0.230504 -0.613105 0.430634 1
lFoot -0.0359478 0.23809 -0.130003 -0.0442223 -0.0379126 -0.739113 0.671058 1
rFoot -0.0319989 0.228798 0.138571 -0.809725 -0.580823 -0.0804491 0.0227588 1
lKnee 0.0578668 0.604296 -0.0728829 -0.0734652 -0.716958 -0.0650876 0.690172 1
rKnee 0.0776572 0.606401 0.0948436 -0.358682 -0.594046 0.261035 0.671057 1
head 0.116859 1.65337 0.0102496 -0.0857188 -0.701009 -0.0356933 0.707082 1
