tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.132898 1.65927 0.0280465 -0.0686361 -0.702589 -0.0266357 0.707777 1
hip -0.0468225 1.15934 0.0140599 0.45391 0.519779 0.459703 0.558989 1
lHand 0.0175886 1.39142 -0.744405 0.162987 -0.110014 -0.684603 0.701891 1
lForeArm -0.0319257 1.40336 -0.395281 0.688433 0.349808 0.633035 0.05442 1
rHand 0.00699258 1.42833 0.812165 -0.699359 -0.691171 0.155212 0.0953393 1
rForeArm -0.0660186 1.43009 0.470163 -0.58634 0.27689 -0.666149 0.368488 1
lFoot -0.0153661 0.236925 -0.106509 -0.0550632 -0.0348965 -0.737179 0.672546 1
rFoot -0.0138683 0.228589 0.160584 -0.802897 -0.590759 -0.0773386 0.0194498 1
lKnee 0.0701637 0.581437 -0.0547211 -0.0786662 -0.715869 -0.0950821 0.687243 1
rKnee 0.0850532 0.595045 0.114969 -0.359234 -0.607991 0.262349 0.657625 1
head 0.132993 1.65931 0.0279169 -0.0684966 -0.702595 -0.0266689 0.707783 1
hip -0.046618 1.15934 0.0138674 0.454205 0.51963 0.459434 0.559109 1
lHand 0.0178041 1.3916 -0.74455 0.163362 -0.109811 -0.684479 0.701957 1
lForeArm -0.0317836 1.40343 -0.395453 0.688361 0.349946 0.633074 0.0539799 1
rHand 0.00716877 1.42854 0.81199 -0.699184 -0.691207 0.155979 0.0951113 1
rForeArm -0.0658691 1.43007 0.470058 -0.586158 0.277048 -0.666227 0.368516 1
lFoot -0.0153594 0.236886 -0.106563 -0.0552375 -0.0349808 -0.737166 0.672541 1
rFoot -0.0139117 0.228591 0.160561 -0.802962 -0.590677 -0.0773556 0.0191988 1
lKnee 0.0703123 0.581455 -0.0549029 -0.0789712 -0.715693 -0.0952794 0.687364 1
rKnee 0.0851579 0.595052 0.11487 -0.359445 -0.607942 0.262251 0.657595 1
head 0.133121 1.65932 0.0277869 -0.0683216 -0.70253 -0.0266478 0.707866 1
hip -0.0463932 1.15926 0.0135399 0.454457 0.519722 0.459314 0.558918 1
lHand 0.0180061 1.39169 -0.744689 0.163252 -0.110079 -0.684622 0.7018 1
lForeArm -0.0318213 1.40363 -0.395402 0.68813 0.349776 0.633441 0.0537191 1
rHand 0.00737762 1.42866 0.811824 -0.699268 -0.691037 0.156465 0.0949262 1
rForeArm -0.0657353 1.42997 0.469896 -0.586366 0.277098 -0.666133 0.368318 1
lFoot -0.0153556 0.236922 -0.106576 -0.0554054 -0.0350746 -0.73717 0.672517 1
rFoot -0.0139415 0.22862 0.160496 -0.803022 -0.590599 -0.0773604 0.0190739 1
lKnee 0.0702858 0.581429 -0.055047 -0.0791274 -0.715824 -0.0954234 0.68719 1
rKnee 0.0852714 0.595008 0.114756 -0.359637 -0.608007 0.262148 0.657471 1
head 0.133255 1.65933 0.027674 -0.0681043 -0.702574 -0.0266506 0.707843 1
hip -0.0461082 1.1591 0.0131947 0.454444 0.519998 0.459386 0.558611 1
lHand 0.018178 1.3917 -0.744835 0.16276 -0.110766 -0.684977 0.70146 1
lForeArm -0.0316834 1.40374 -0.395564 0.688058 0.349266 0.633794 0.0538046 1
