tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.156798 1.59175 0.0143219 -0.018937 -0.697139 -0.0169071 0.716486 1.00292
hip -0.0216727 1.08159 0.0387526 0.623127 0.350287 0.576804 0.395359 1.00292
lHand 0.0563729 1.41005 -0.758703 0.22937 -0.118998 -0.826069 0.500838 1.00292
lForeArm 0.0143397 1.45216 -0.546037 0.435016 0.627085 -0.415977 0.494458 1.00292
rHand 0.108672 1.42759 0.793669 -0.734395 -0.611678 0.257856 0.141505 1.00292
rForeArm 0.0483348 1.47116 0.620957 0.277691 -0.580232 0.719176 0.262687 1.00292
lLeg 0.0197806 0.169127 -0.13356 -0.101085 -0.0461858 0.118416 0.986725 1.00292
rLeg -0.0073173 0.175694 0.156657 -0.514262 0.826149 -0.00931501 0.230056 1.00292
head 0.156974 1.59174 0.0142255 -0.0189333 -0.697128 -0.0167034 0.716502 1.00292
hip -0.0215962 1.0816 0.0387564 0.623128 0.350085 0.576769 0.395587 1.00292
lHand 0.0569742 1.40983 -0.758599 0.230091 -0.119286 -0.826032 0.5005 1.00292
lForeArm 0.0145297 1.4521 -0.545995 0.435341 0.626394 -0.417228 0.493994 1.00292
rHand 0.108937 1.42818 0.793435 -0.734228 -0.611266 0.260174 0.139902 1.00292
rForeArm 0.0485437 1.47116 0.620985 0.277043 -0.581068 0.718471 0.263452 1.00292
lLeg 0.0197668 0.169186 -0.133606 -0.10108 -0.0462244 0.11849 0.986715 1.00292
rLeg -0.00749278 0.175807 0.156707 -0.514224 0.826156 -0.00932301 0.230116 1.00292
head 0.157108 1.59174 0.014159 -0.0189551 -0.697117 -0.0165548 0.716516 1.00292
hip -0.0217385 1.08175 0.03897 0.623263 0.349872 0.576755 0.395585 1.00292
lHand 0.0573652 1.40985 -0.75857 0.231038 -0.119365 -0.824759 0.502142 1.00292
lForeArm 0.0147979 1.45205 -0.546009 0.435413 0.626038 -0.417757 0.493935 1.00292
rHand 0.109219 1.42881 0.793283 -0.734075 -0.610653 0.262531 0.138977 1.00292
rForeArm 0.0486069 1.47125 0.62106 0.276912 -0.581082 0.718477 0.263542 1.00292
lLeg 0.0197184 0.169147 -0.133628 -0.101047 -0.0462039 0.118379 0.986733 1.00292
