tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.150499 1.65822 0.0146675 -0.0564139 -0.693955 -0.0336423 0.717016 1
hip -0.0337458 1.16042 0.0053525 0.456099 0.522471 0.457782 0.556267 1
lHand -0.0112021 1.44707 -0.751377 0.180139 -0.0978253 -0.641423 0.739295 1
lForeArm -0.0353959 1.43007 -0.404165 -0.696762 -0.354439 -0.623483 0.0128215 1
rHand 0.0782156 1.43566 0.801999 -0.648376 -0.727063 0.195142 0.113609 1
rForeArm -0.00161171 1.43342 0.451144 -0.635047 0.213603 -0.606104 0.428634 1
lFoot -0.0247464 0.237945 -0.141786 -0.0275065 -0.0419666 -0.73831 0.672592 1
rFoot -0.0245678 0.232099 0.195267 -0.811128 -0.583927 -0.0227293 0.0241496 1
lKnee 0.0719714 0.593984 -0.0803204 -0.0727896 -0.705665 -0.0895571 0.699084 1
rKnee 0.0806642 0.589734 0.124346 -0.397882 -0.590369 0.257375 0.653386 1
head 0.150432 1.65819 0.0145859 -0.0564826 -0.693888 -0.033647 0.717076 1
hip -0.0336649 1.16039 0.00524306 0.456325 0.522469 0.45761 0.556225 1
lHand -0.0111175 1.44687 -0.751484 0.180317 -0.0977168 -0.641568 0.73914 1
lForeArm -0.0350771 1.42982 -0.404511 -0.69665 -0.354771 -0.623414 0.0131258 1
rHand 0.0781784 1.43588 0.801679 -0.648751 -0.726236 0.197411 0.112837 1
rForeArm -0.00188065 1.43361 0.451298 -0.634992 0.213686 -0.606215 0.428517 1
lFoot -0.0247316 0.237952 -0.141807 -0.0275976 -0.0419592 -0.738272 0.672631 1
rFoot -0.0245807 0.232121 0.19528 -0.811132 -0.583919 -0.0228337 0.0241412 1
lKnee 0.0718679 0.593956 -0.0802941 -0.0726596 -0.705664 -0.0895266 0.699103 1
rKnee 0.0806274 0.58976 0.124355 -0.397806 -0.590395 0.257407 0.653396 1
head 0.150398 1.65818 0.0144892 -0.0567723 -0.693814 -0.0334157 0.717135 1
hip -0.0337372 1.16041 0.00528789 0.456524 0.522522 0.457458 0.556136 1
lHand -0.0109992 1.44678 -0.751494 0.181157 -0.0975534 -0.641653 0.738882 1
lForeArm -0.0349531 1.4297 -0.404563 -0.696725 -0.354846 -0.623292 0.0128606 1
rHand 0.0780358 1.43612 0.801466 -0.648499 -0.725946 0.199402 0.112654 1
