tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.0846462 1.80124 -0.00124323 -0.12201 -0.690968 -0.140812 0.698462 1.15824
spine -0.140395 1.55612 0.429124 0.0319955 0.72208 0.497447 0.479712 1.15824
hip -0.13919 1.23938 -0.0652969 -0.339385 0.577916 -0.320245 0.669533 1.15824
lHand 0.0021559 1.64246 -0.936038 0.124908 -0.0276259 -0.566336 0.814185 1.15824
lForeArm -0.0700997 1.68714 -0.720839 0.665523 0.0807843 0.0919222 0.736276 1.15824
rHand -0.0352339 1.58723 0.931736 -0.634804 -0.767201 0.0701703 0.0591753 1.15824
rForeArm -0.095188 1.65573 0.754977 0.732535 0.00238194 0.197857 0.651337 1.15824
rArm 0.0527874 1.56646 0.0198252 -0.439781 -0.57111 0.623688 0.302389 1.15824
lFoot 0.0629675 0.109167 -0.128058 0.447497 -0.405058 0.254602 0.755547 1.15824
lLeg -0.0696996 0.228372 -0.16448 0.101983 0.19137 0.849227 0.481446 1.15824
rFoot 0.0519618 0.104429 0.169027 0.432069 0.674671 -0.59793 0.0248102 1.15824
rLeg -0.0713023 0.23867 0.191836 -0.298029 0.952371 0.0613435 0.020146 1.15824
head 0.0845617 1.80128 -0.00112426 -0.121878 -0.691009 -0.140328 0.698542 1.15824
spine -0.14044 1.55604 0.429471 0.031668 0.722317 0.497346 0.479482 1.15824
hip -0.138968 1.23957 -0.0653183 -0.337721 0.578026 -0.32131 0.669769 1.15824
lHand 0.00191534 1.64266 -0.935955 0.124493 -0.0271142 -0.564895 0.815267 1.15824
lForeArm -0.0701318 1.68718 -0.720831 0.665622 0.0812387 0.0925647 0.736056 1.15824
rHand -0.0352557 1.58719 0.931708 -0.634748 -0.76724 0.0700425 0.0594312 1.15824
rForeArm -0.0953022 1.65583 0.755183 0.732339 0.0026678 0.197696 0.651605 1.15824
rArm 0.0524895 1.56625 0.020081 -0.440088 -0.57066 0.623557 0.303063 1.15824
lFoot 0.0629008 0.109262 -0.12804 0.447228 -0.405128 0.254654 0.755652 1.15824
lLeg -0.0698916 0.228209 -0.164472 0.101935 0.191517 0.849321 0.481232 1.15824
rFoot 0.0520095 0.104461 0.169165 0.432061 0.674753 -0.597844 0.024783 1.15824
rLeg -0.0713557 0.23866 0.19187 -0.298182 0.952326 0.0612412 0.0202894 1.15824
head 0.0844792 1.80135 -0.00111473 -0.121534 -0.691066 -0.140014 0.698608 1.15824
spine -0.140311 1.55592 0.429534 0.031334 0.722479 0.497267 0.479342 1.15824
hip -0.138805 1.23972 -0.0653052 -0.336349 0.578079 -0.322321 0.669927 1.15824
lHand 0.00150251 1.64298 -0.935946 0.123838 -0.0256374 -0.564815 0.81547 1.15824
lForeArm -0.070408 1.68728 -0.720776 0.665806 0.0813696 0.0928245 0.735843 1.15824
rHand -0.0353431 1.58774 0.932229 -0.63455 -0.76741 0.0706591 0.0586206 1.15824
rForeArm -0.0953928 1.6559 0.755209 0.732084 0.00289997 0.197781 0.651864 1.15824
rArm 0.0524505 1.56615 0.0202278 -0.440023 -0.570761 0.623494 0.303094 1.15824
lFoot 0.0627711 0.109237 -0.127979 0.447721 -0.404589 0.25531 0.755427 1.15824
lLeg -0.070069 0.22825 -0.164457 0.100666 0.190872 0.849672 0.481136 1.15824
rFoot 0.0519266 0.104431 0.169177 0.43193 0.675027 -0.597619 0.0250249 1.15824
rLeg -0.0714291 0.238627 0.191849 -0.298306 0.952284 0.0612885 0.020307 1.15824
head 0.0843401 1.80144 -0.00109756 -0.121173 -0.691145 -0.139608 0.698674 1.15824
spine -0.140325 1.5558 0.42957 0.0312904 0.722448 0.497171 0.47949 1.15824
hip -0.138563 1.23975 -0.0654398 -0.334313 0.578212 -0.323744 0.670146 1.15824
lHand 0.00110281 1.64339 -0.935769 0.124317 -0.0246189 -0.564683 0.815519 1.15824
lForeArm -0.0704195 1.68733 -0.72077 0.665969 0.080504 0.0920682 0.735885 1.15824
rHand -0.035539 1.58837 0.932377 -0.63382 -0.767997 0.0715087 0.0577825 1.15824
rForeArm -0.0954047 1.65585 0.755216 0.731964 0.00311339 0.197738 0.652012 1.15824
rArm 0.0524267 1.56603 0.0201094 -0.439793 -0.571556 0.623181 0.302574 1.15824
