tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.129014 1.59733 0.00153482 0.00679768 -0.71032 0.00938831 0.703784 1.00041
hip -0.0500636 1.08107 0.00964999 0.614324 0.344868 0.59021 0.394112 1.00041
lHand 0.0607224 1.37059 -0.772632 0.199982 -0.17567 -0.768127 0.582347 1.00041
lForeArm 0.00967574 1.42818 -0.563142 0.396927 0.623002 -0.379395 0.557115 1.00041
rHand 0.0847657 1.4154 0.774956 -0.697649 -0.648181 0.256706 0.165073 1.00041
rForeArm 0.0164249 1.4602 0.603921 0.30104 -0.574956 0.716082 0.256956 1.00041
lLeg -0.0039022 0.165832 -0.152221 -0.110725 -0.0553517 0.105984 0.986632 1.00041
rLeg -0.0505574 0.175801 0.117265 -0.496147 0.83101 -0.0262814 0.250142 1.00041
head 0.128984 1.59735 0.00160074 0.00677793 -0.710383 0.0094752 0.703719 1.00041
hip -0.0504196 1.08123 0.00982952 0.614126 0.344755 0.590414 0.394214 1.00041
lHand 0.0604959 1.37057 -0.772578 0.199564 -0.176033 -0.76793 0.58264 1.00041
lForeArm 0.00944972 1.42829 -0.563017 0.396564 0.623245 -0.379061 0.557328 1.00041
rHand 0.0846779 1.41599 0.775093 -0.698785 -0.646643 0.258427 0.163611 1.00041
rForeArm 0.0163906 1.46026 0.603951 0.300061 -0.57533 0.715858 0.257887 1.00041
lLeg -0.00387478 0.165807 -0.152228 -0.110658 -0.0553711 0.10595 0.986642 1.00041
rLeg -0.0505283 0.175761 0.117256 -0.496202 0.830976 -0.0262545 0.250149 1.00041
head 0.128988 1.59738 0.00162864 0.0068913 -0.710484 0.00954571 0.703615 1.00041
hip -0.0504482 1.08124 0.00981796 0.613841 0.344986 0.590723 0.393993 1.00041
lHand 0.0603268 1.37053 -0.772554 0.199306 -0.176175 -0.767932 0.582683 1.00041
lForeArm 0.00921464 1.42826 -0.562957 0.39648 0.623404 -0.37898 0.557265 1.00041
rHand 0.0846214 1.41671 0.774899 -0.699265 -0.64581 0.260272 0.161916 1.00041
rForeArm 0.0162899 1.4602 0.603943 0.298832 -0.575449 0.715876 0.258997 1.00041
lLeg -0.00383663 0.165845 -0.152277 -0.110623 -0.0554144 0.105931 0.986646 1.00041
rLeg -0.0507855 0.175931 0.11738 -0.496204 0.830962 -0.0262879 0.250186 1.00041
