tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.1493 1.58961 0.0246762 -0.0194695 -0.699643 -0.00335971 0.714219 1.004
hip -0.0293674 1.07723 0.0533984 0.613098 0.392992 0.591126 0.346753 1.004
lHand 0.0460656 1.39705 -0.754291 0.175927 -0.147887 -0.852121 0.470179 1.004
lForeArm 0.00975513 1.45352 -0.533253 0.481534 0.596758 -0.434305 0.472635 1.004
rHand 0.113357 1.42024 0.805242 -0.760087 -0.591149 0.197221 0.184158 1.004
rForeArm 0.0671723 1.47439 0.628894 0.231992 -0.590871 0.696856 0.333831 1.004
lFoot -0.00817752 0.17176 -0.167562 -0.0557674 -0.0192581 0.0778922 0.995215 1.004
rFoot -0.0322201 0.178202 0.18864 -0.504807 0.81559 -0.0655674 0.275108 1.004
head 0.149329 1.58962 0.0247805 -0.0194293 -0.699552 -0.00343211 0.714309 1.004
hip -0.0289319 1.07701 0.0531524 0.613078 0.392819 0.591098 0.347034 1.004
lHand 0.0461037 1.39732 -0.75418 0.176054 -0.147613 -0.852308 0.469878 1.004
lForeArm 0.00999761 1.45346 -0.533688 0.482283 0.595982 -0.43547 0.471777 1.004
rHand 0.113467 1.42031 0.805415 -0.760247 -0.591065 0.197489 0.183479 1.004
rForeArm 0.0673461 1.47433 0.629004 0.231893 -0.591096 0.696447 0.334354 1.004
lFoot -0.00817037 0.171753 -0.167532 -0.0557015 -0.0192639 0.0778384 0.995222 1.004
rFoot -0.0322425 0.178219 0.188699 -0.504796 0.815582 -0.0656473 0.275133 1.004
head 0.149383 1.58965 0.0248697 -0.0194709 -0.699499 -0.00340924 0.71436 1.004
hip -0.0288687 1.07702 0.0531294 0.613095 0.392574 0.591131 0.347224 1.004
lHand 0.0461574 1.39751 -0.754072 0.176664 -0.147591 -0.852385 0.469516 1.004
lForeArm 0.0102336 1.45374 -0.533696 0.483014 0.595352 -0.436344 0.471017 1.004
rHand 0.11362 1.42026 0.805514 -0.76045 -0.590737 0.197809 0.183352 1.004
rForeArm 0.0676885 1.47411 0.62911 0.231893 -0.591393 0.696016 0.334727 1.004
lFoot -0.00816703 0.171761 -0.167523 -0.055603 -0.0193168 0.0778448 0.995226 1.004
rFoot -0.0322824 0.178237 0.188719 -0.504816 0.815553 -0.0656891 0.275172 1.004
head 0.14938 1.58963 0.0249772 -0.0194218 -0.699402 -0.00347847 0.714456 1.004
hip -0.028666 1.07695 0.053054 0.613152 0.392398 0.591087 0.347397 1.004
lHand 0.0462081 1.39777 -0.754009 0.177253 -0.147617 -0.852444 0.469179 1.004
lForeArm 0.0101974 1.45384 -0.533626 0.483474 0.594842 -0.437244 0.470355 1.004
rHand 0.113894 1.42025 0.805529 -0.761001 -0.589703 0.198798 0.183325 1.004
rForeArm 0.0678809 1.47405 0.629261 0.231885 -0.591687 0.695708 0.334852 1.004
lFoot -0.00816607 0.171771 -0.167501 -0.055817 -0.0192979 0.0778453 0.995215 1.004
rFoot -0.0323174 0.178346 0.188806 -0.504836 0.815558 -0.0655712 0.275147 1.004
head 0.149406 1.58965 0.0250766 -0.0195383 -0.6993 -0.0035746 0.714552 1.004
hip -0.0286248 1.07693 0.0530398 0.61328 0.392312 0.591044 0.347341 1.004
lHand 0.0463808 1.39789 -0.753869 0.178057 -0.147956 -0.852143 0.469316 1.004
lForeArm 0.010371 1.45411 -0.533075 0.483187 0.595085 -0.437252 0.470335 1.004
rHand 0.114151 1.4201 0.805079 -0.761566 -0.5883 0.200381 0.183759 1.004
rForeArm 0.0679295 1.47394 0.629348 0.231686 -0.591612 0.695785 0.334963 1.004
lFoot -0.00817728 0.171752 -0.16753 -0.0557106 -0.0192639 0.077789 0.995226 1.004
rFoot -0.0323517 0.178369 0.188824 -0.504798 0.81558 -0.0656549 0.275132 1.004
head 0.149423 1.58967 0.0251536 -0.019523 -0.699225 -0.00374957 0.714625 1.004
hip -0.0287106 1.0769 0.0530813 0.613389 0.392278 0.590959 0.347332 1.004
lHand 0.046345 1.39807 -0.753825 0.178241 -0.147948 -0.851922 0.469649 1.004
lForeArm 0.0102875 1.45424 -0.53296 0.482844 0.5954 -0.437052 0.470474 1.004
rHand 0.114361 1.42005 0.80486 -0.761757 -0.587715 0.201231 0.183909 1.004
rForeArm 0.0680835 1.47391 0.629392 0.232404 -0.59119 0.695871 0.335031 1.004
lFoot -0.0081799 0.171757 -0.16749 -0.055718 -0.0193492 0.0777944 0.995223 1.004
rFoot -0.0322201 0.178236 0.188689 -0.504813 0.815578 -0.0656421 0.275113 1.004
head 0.149455 1.58965 0.0252477 -0.0194963 -0.699181 -0.00381262 0.714668 1.004
hip -0.0287316 1.07687 0.0530424 0.613208 0.392467 0.591144 0.347122 1.004
lHand 0.0463979 1.3982 -0.753706 0.17819 -0.148051 -0.851592 0.470235 1.004
lForeArm 0.0102932 1.4543 -0.53319 0.481901 0.596333 -0.435451 0.471743 1.004
rHand 0.114711 1.41974 0.804907 -0.76118 -0.588242 0.200901 0.184972 1.004
rForeArm 0.0681484 1.47396 0.629344 0.232988 -0.591029 0.69617 0.334287 1.004
lFoot -0.00818658 0.171736 -0.167528 -0.0556998 -0.019262 0.0777542 0.995229 1.004
rFoot -0.0322607 0.178258 0.188723 -0.504753 0.815649 -0.0656577 0.275009 1.004
head 0.149543 1.58965 0.0253081 -0.0194584 -0.699165 -0.00391863 0.714685 1.004
hip -0.028796 1.07688 0.0530034 0.612844 0.392703 0.591527 0.346845 1.004
lHand 0.0464561 1.39838 -0.753659 0.178005 -0.148174 -0.851258 0.470871 1.004
lForeArm 0.00999403 1.45433 -0.533098 0.481564 0.596888 -0.434479 0.472281 1.004
rHand 0.114836 1.41948 0.805103 -0.760711 -0.58899 0.199831 0.18568 1.004
rForeArm 0.0680828 1.47401 0.629495 0.233352 -0.591168 0.696069 0.333999 1.004
lFoot -0.00822449 0.171647 -0.167489 -0.0558152 -0.0192275 0.0777685 0.995222 1.004
rFoot -0.0324891 0.17836 0.188781 -0.504829 0.815604 -0.0656531 0.275005 1.004
head 0.149604 1.5896 0.0254046 -0.0193669 -0.699149 -0.00403756 0.714703 1.004
hip -0.0287695 1.07684 0.0529726 0.612614 0.39291 0.591802 0.346549 1.004
lHand 0.0464222 1.39853 -0.753618 0.17751 -0.148591 -0.851018 0.471359 1.004
lForeArm 0.00950623 1.45497 -0.532797 0.481035 0.597502 -0.433699 0.47276 1.004
rHand 0.114975 1.41904 0.805205 -0.760041 -0.58995 0.198613 0.186678 1.004
rForeArm 0.0681632 1.47402 0.629534 0.234159 -0.591029 0.695866 0.334104 1.004
lFoot -0.00815535 0.17171 -0.167642 -0.0557498 -0.0192894 0.0777558 0.995226 1.004
rFoot -0.0325394 0.178451 0.188837 -0.504769 0.815625 -0.0657321 0.275032 1.004
head 0.149655 1.58959 0.0254896 -0.0192668 -0.699146 -0.00415129 0.714708 1.004
hip -0.0287294 1.07681 0.0530055 0.612486 0.393365 0.591877 0.346132 1.004
lHand 0.0462852 1.39867 -0.753552 0.177094 -0.149166 -0.851138 0.471117 1.004
lForeArm 0.00950933 1.45525 -0.532725 0.481108 0.597685 -0.433544 0.472597 1.004
rHand 0.115096 1.41876 0.805329 -0.759583 -0.590351 0.198244 0.187666 1.004
rForeArm 0.0682247 1.474 0.629746 0.234116 -0.591538 0.695618 0.333749 1.004
lFoot -0.00811863 0.171705 -0.167629 -0.0557844 -0.0192299 0.0777939 0.995222 1.004
rFoot -0.0325873 0.178478 0.188866 -0.50474 0.815674 -0.065745 0.274936 1.004
head 0.149758 1.5896 0.0255802 -0.0192316 -0.699152 -0.00415308 0.714702 1.004
hip -0.0284369 1.07668 0.0528263 0.612534 0.393411 0.591868 0.346009 1.004
lHand 0.046123 1.39885 -0.753446 0.176994 -0.149514 -0.851699 0.47003 1.004
lForeArm 0.00944519 1.4554 -0.532713 0.481853 0.597438 -0.434023 0.47171 1.004
rHand 0.115219 1.41851 0.805407 -0.759701 -0.590006 0.197881 0.188657 1.004
rForeArm 0.0683184 1.47393 0.629852 0.233568 -0.591773 0.695771 0.333398 1.004
lFoot -0.00810838 0.171699 -0.167619 -0.0558702 -0.0192415 0.0778052 0.995216 1.004
rFoot -0.0328023 0.178766 0.189059 -0.504795 0.81562 -0.0656711 0.275015 1.004
head 0.149839 1.58964 0.0256627 -0.0191384 -0.699148 -0.00421717 0.714709 1.004
hip -0.0283372 1.07669 0.0528325 0.612919 0.393249 0.59154 0.346072 1.004
lHand 0.0459664 1.39905 -0.753482 0.176856 -0.149002 -0.852718 0.468392 1.004
lForeArm 0.0095284 1.45537 -0.532528 0.482169 0.597429 -0.434488 0.470969 1.004
rHand 0.11528 1.41851 0.805599 -0.760153 -0.58957 0.197769 0.188314 1.004
rForeArm 0.0683982 1.47372 0.629957 0.233491 -0.591534 0.695858 0.333692 1.004
lFoot -0.00809455 0.171735 -0.167631 -0.0557684 -0.019284 0.0778211 0.99522 1.004
