rawPosX;rawPosY;rawPosZ;rawRotX;rawRotY;rawRotZ;rawRotW
-0.920087;0.497065;0.208014;-0.0735926;0.767968;0.122537;0.624335
-0.903895;0.487913;-0.259633;-0.0971179;0.632495;0.0884634;0.763343
-0.368782;0.857235;-0.0212381;0.687097;0.179828;-0.675446;0.198325
-0.626763;0.101426;0.101995;-0.0434692;0.970205;0.0569032;0.231462
-0.601428;0.100466;-0.100848;0.0196431;0.0879698;0.109724;0.989867
-0.921166;0.509554;0.207043;-0.0776799;0.76233;0.118615;0.631466
-0.904643;0.500384;-0.258171;-0.0929091;0.63463;0.0946827;0.761346
-0.370512;0.862998;-0.0208809;0.687942;0.179732;-0.675119;0.196586
-0.626661;0.101592;0.10233;-0.0421586;0.970224;0.0577613;0.231412
-0.601259;0.100425;-0.10089;0.0186987;0.0872596;0.108221;0.990113
-0.922281;0.52247;0.20586;-0.0839343;0.755466;0.11216;0.640037
-0.905291;0.512645;-0.256694;-0.0903596;0.636668;0.0950682;0.759902
-0.372528;0.868766;-0.0205257;0.68883;0.17914;-0.674864;0.194885
-0.626567;0.101588;0.102503;-0.0408549;0.970356;0.0585444;0.230897
-0.597985;0.103098;-0.103775;0.017409;0.0865068;0.10674;0.990364
-0.923384;0.535206;0.204847;-0.0855885;0.750631;0.10889;0.646042
-0.905685;0.524985;-0.255844;-0.0926531;0.637144;0.091806;0.759628
-0.374936;0.87457;-0.020359;0.689737;0.179357;-0.674286;0.193474
-0.626307;0.101657;0.102661;-0.0396794;0.970504;0.0589701;0.230371
-0.597225;0.103664;-0.10437;0.0163465;0.0857944;0.105478;0.990579
-0.924294;0.547765;0.203921;-0.0842974;0.747489;0.107215;0.650122
-0.905989;0.537267;-0.254814;-0.0967785;0.636856;0.084398;0.760214
-0.377217;0.880354;-0.0200174;0.690568;0.179187;-0.673876;0.192094
-0.626107;0.101542;0.102765;-0.0383279;0.970588;0.0597885;0.230033
-0.597174;0.103676;-0.104448;0.0153513;0.086632;0.104501;0.990625
-0.924669;0.559231;0.202496;-0.0793325;0.747032;0.106906;0.651322
-0.905673;0.550161;-0.253998;-0.103351;0.634705;0.071206;0.762495
-0.380024;0.886045;-0.0198681;0.691508;0.179157;-0.673229;0.191002
-0.625961;0.101552;0.102978;-0.0371692;0.970715;0.0604099;0.229526
-0.597024;0.103683;-0.104554;0.0151589;0.0875282;0.103261;0.99068
-0.925109;0.570583;0.201796;-0.0750489;0.748507;0.106466;0.650208
-0.905121;0.56242;-0.253261;-0.109778;0.631283;0.0625082;0.765195
-0.382808;0.891446;-0.0192738;0.692606;0.17975;-0.672341;0.189588
-0.625814;0.101551;0.103199;-0.0358205;0.970806;0.0613796;0.229095
-0.596861;0.10367;-0.104678;0.0145903;0.0876052;0.101977;0.990814
-0.925297;0.582774;0.201853;-0.0722561;0.750404;0.10588;0.648431
-0.904443;0.573375;-0.252493;-0.118101;0.626645;0.0587502;0.768061
-0.385592;0.897104;-0.0188668;0.693319;0.178816;-0.672684;0.186629
-0.625496;0.101318;0.103079;-0.0344718;0.970942;0.0620739;0.228537
-0.596562;0.10364;-0.104749;0.0135168;0.0854265;0.100389;0.991182
-0.924588;0.594718;0.201747;-0.0728775;0.751186;0.104632;0.647658
-0.903656;0.584215;-0.252035;-0.125908;0.621394;0.0591437;0.77105
-0.388602;0.902542;-0.0186183;0.693823;0.177561;-0.673311;0.183668
-0.625418;0.101381;0.103172;-0.033528;0.971115;0.0622081;0.227909
-0.596323;0.103648;-0.104826;0.012811;0.0851507;0.0990196;0.991353
-0.923651;0.605997;0.201159;-0.0760096;0.752119;0.103601;0.646379
-0.902163;0.594935;-0.251547;-0.132118;0.616213;0.0618774;0.77395
-0.391778;0.907706;-0.0182784;0.694497;0.176924;-0.673479;0.181103
-0.625343;0.101362;0.103177;-0.03262;0.971185;0.0620738;0.227776
-0.596258;0.103712;-0.105067;0.0121618;0.0852334;0.0977683;0.991478
-0.922885;0.618007;0.201058;-0.0785564;0.752869;0.103707;0.645184
