tag;rawPosX;rawPosY;rawPosZ;rawRotX;rawRotY;rawRotZ;rawRotW;scale
hip;0.0171325;0.997031;-0.072932;0.219583;-0.111843;0.120573;0.961632;0.971508
lhc;0.761619;1.3998;-0.00462413;0.513298;-0.528785;-0.505303;0.448978;0.971508
rhc;-0.80225;1.36284;-0.0212888;0.444943;0.551662;0.479537;0.517435;0.971508
lft;0.147731;0.151142;-0.0978684;-0.0259904;-0.421056;-0.115459;0.899281;0.971508
rft;-0.149358;0.137296;-0.0749214;0.562633;0.164913;0.805615;0.085039;0.971508
hip;0.0171441;0.996992;-0.0729568;0.21954;-0.11187;0.120493;0.961649;0.971508
lhc;0.761645;1.39991;-0.00466466;0.513702;-0.528802;-0.505131;0.448689;0.971508
rhc;-0.802474;1.36287;-0.0216131;0.442951;0.552121;0.478801;0.519333;0.971508
lft;0.147765;0.151182;-0.0979085;-0.0261384;-0.420848;-0.115577;0.899359;0.971508
rft;-0.149325;0.137332;-0.07496;0.562607;0.164963;0.805619;0.0850853;0.971508
hip;0.0171831;0.996995;-0.0729735;0.219671;-0.112007;0.120573;0.961593;0.971508
lhc;0.761657;1.39991;-0.00455594;0.51403;-0.528645;-0.505102;0.44853;0.971508
rhc;-0.802358;1.36293;-0.0218166;0.442165;0.552162;0.478617;0.520128;0.971508
lft;0.14769;0.151108;-0.0978591;-0.0260508;-0.420798;-0.115561;0.899386;0.971508
rft;-0.149282;0.137321;-0.0748831;0.562649;0.164909;0.805597;0.0851171;0.971508
hip;0.0172306;0.997007;-0.0729506;0.219641;-0.112212;0.120564;0.961577;0.971508
lhc;0.761683;1.39985;-0.00467026;0.514231;-0.528121;-0.505366;0.44862;0.971508
rhc;-0.802242;1.36289;-0.021771;0.443071;0.552297;0.478762;0.519079;0.971508
lft;0.147684;0.151072;-0.0977664;-0.0260362;-0.420988;-0.115489;0.899307;0.971508
rft;-0.149284;0.137327;-0.0748737;0.562728;0.165003;0.805525;0.0850958;0.971508
hip;0.017269;0.996949;-0.0729693;0.219563;-0.112354;0.120543;0.961581;0.971508
lhc;0.761897;1.39973;-0.00485015;0.514008;-0.527719;-0.50562;0.449064;0.971508
rhc;-0.802;1.3628;-0.021567;0.443349;0.553187;0.478292;0.518327;0.971508
lft;0.147669;0.151093;-0.0977702;-0.0260908;-0.420912;-0.115549;0.899334;0.971508
rft;-0.149198;0.137285;-0.0749722;0.562663;0.164978;0.805568;0.0851602;0.971508
hip;0.01729;0.996953;-0.0730251;0.219396;-0.112448;0.120482;0.961616;0.971508
lhc;0.761999;1.39971;-0.0051266;0.513629;-0.527576;-0.50576;0.449506;0.971508
rhc;-0.801826;1.36263;-0.0211935;0.444503;0.55501;0.477557;0.516062;0.971508
