rawPosX;rawPosY;rawPosZ;rawRotX;rawRotY;rawRotZ;rawRotW
-0.00169091;0.932194;-0.0239881;-0.144118;-0.00517604;-0.00585287;0.98953
0.223627;0.976131;0.130665;-0.450114;0.244857;0.813712;-0.274436
-0.115331;0.995684;0.216129;0.508348;0.297929;0.773292;0.234178
0.134253;0.0737947;-0.056049;0.818362;0.06153;0.012552;0.571262
-0.145601;0.0658606;-0.0626382;-0.820958;0.0644661;0.0165404;-0.567096
-0.00172799;0.93218;-0.0236936;-0.144394;-0.0052418;-0.00587108;0.989489
0.224366;0.976591;0.131265;-0.449917;0.244746;0.813846;-0.274461
-0.114344;0.998904;0.216474;0.507844;0.298931;0.773531;0.233206
0.134246;0.0737896;-0.0560302;0.818425;0.0615471;0.0124647;0.571171
-0.145646;0.0658769;-0.0625712;-0.821006;0.0643798;0.0166597;-0.567034
-0.00176477;0.932172;-0.023527;-0.144462;-0.00527414;-0.00586141;0.989479
0.224433;0.976397;0.131236;-0.44973;0.24454;0.813935;-0.274686
-0.115152;1.00558;0.219261;0.487681;0.30523;0.78702;0.222715
0.13423;0.0738015;-0.0560193;0.818447;0.061619;0.0124499;0.571133
-0.145625;0.0658914;-0.0625499;-0.820975;0.0642145;0.0168195;-0.567092
-0.0016922;0.932171;-0.0234277;-0.144326;-0.005167;-0.00592065;0.989499
0.224449;0.976215;0.131083;-0.44965;0.244229;0.81394;-0.275082
-0.11738;1.01585;0.223357;0.455018;0.325293;0.803418;0.204113
0.134257;0.0738293;-0.0561039;0.818421;0.0614745;0.0124135;0.571187
-0.145684;0.0658494;-0.0626554;-0.821013;0.06444;0.0168147;-0.567012
-0.00173146;0.932178;-0.0233416;-0.144307;-0.0049979;-0.00584733;0.989503
0.224463;0.976051;0.130992;-0.449509;0.244037;0.814013;-0.275265
-0.118;1.0247;0.226467;0.432126;0.34535;0.812682;0.183163
0.134277;0.0738183;-0.0560836;0.81848;0.06175;0.0121719;0.571078
-0.145595;0.0658428;-0.0626557;-0.821055;0.0644877;0.0167438;-0.566948
-0.00177094;0.932181;-0.0232424;-0.144311;-0.0048054;-0.00578838;0.989504
0.225439;0.976266;0.131339;-0.449314;0.243782;0.814182;-0.27531
-0.115922;1.02728;0.225758;0.433045;0.352894;0.811473;0.171612
0.134241;0.0738621;-0.0560591;0.818519;0.0617799;0.0120791;0.57102
-0.145585;0.065841;-0.0626484;-0.821053;0.0645586;0.0167601;-0.566942
-0.00179829;0.932187;-0.023159;-0.144387;-0.00467448;-0.00569967;0.989494
0.225401;0.976029;0.131117;-0.449306;0.243424;0.814316;-0.275243
-0.114299;1.02895;0.224845;0.435486;0.356409;0.809623;0.166837
0.134244;0.0738776;-0.0560642;0.818512;0.0616431;0.012166;0.571044
-0.145745;0.0657914;-0.0626608;-0.821161;0.064438;0.016895;-0.566795
-0.00175623;0.932117;-0.0229644;-0.144539;-0.00460803;-0.00560719;0.989473
0.225384;0.975812;0.130932;-0.449249;0.243169;0.81442;-0.275254
-0.113024;1.02939;0.222962;0.441814;0.355957;0.806126;0.168097
0.134301;0.0739006;-0.0560569;0.818554;0.0616118;0.012206;0.570985
-0.145727;0.0657587;-0.0626148;-0.821173;0.0644335;0.0170204;-0.566774
-0.0017674;0.932124;-0.0228135;-0.144667;-0.00459301;-0.0055338;0.989454
0.225863;0.976369;0.131266;-0.448995;0.243105;0.814646;-0.275055
