rawPosX;rawPosY;rawPosZ;rawRotX;rawRotY;rawRotZ;rawRotW
0.0927657;0.926281;-0.164939;-0.197035;-0.0527597;-0.0100837;0.978924
0.379947;1.00572;0.20864;0.666884;-0.267352;-0.570559;0.397808
-0.108964;1.00134;0.221535;0.740856;0.257414;0.513619;0.347946
0.197935;0.0690316;-0.138585;0.798521;0.0847723;-0.0190716;0.595662
-0.0200184;0.0741163;-0.184306;-0.804363;0.140139;-0.0815433;-0.571587
0.09275;0.926297;-0.16484;-0.197208;-0.0531749;-0.0101741;0.978866
0.37931;1.0058;0.208525;0.666183;-0.267537;-0.571238;0.397884
-0.109958;1.00084;0.220831;0.742704;0.254674;0.511235;0.34953
0.19789;0.0689861;-0.13858;0.798514;0.0847704;-0.0191271;0.595671
-0.0200557;0.0740923;-0.184253;-0.80434;0.140142;-0.0814997;-0.571625
0.0927062;0.926301;-0.164843;-0.19725;-0.0533247;-0.0102119;0.978849
0.379125;1.00582;0.20879;0.665506;-0.267438;-0.571867;0.398179
-0.108758;1.00226;0.220444;0.741349;0.255333;0.51303;0.349295
0.198228;0.0697147;-0.138167;0.798538;0.0848261;-0.0191389;0.59563
-0.0199623;0.0741554;-0.184185;-0.804339;0.140021;-0.0815285;-0.571652
0.0926918;0.926374;-0.164739;-0.197284;-0.0532666;-0.0101744;0.978845
0.378779;1.00567;0.209013;0.664476;-0.267388;-0.572612;0.398862
-0.108144;1.00328;0.220978;0.738622;0.254663;0.516331;0.350693
0.198233;0.0696974;-0.138189;0.798551;0.084708;-0.0189812;0.595634
-0.0200109;0.0741551;-0.18418;-0.804326;0.139869;-0.0813549;-0.571732
0.0925979;0.926397;-0.164758;-0.197289;-0.0530472;-0.0101816;0.978856
0.378251;1.00564;0.20937;0.662749;-0.267518;-0.574164;0.399417
-0.106759;1.00548;0.221701;0.734512;0.258127;0.5224;0.347794
0.198672;0.0702687;-0.137753;0.798542;0.0847421;-0.0188771;0.595645
-0.0199648;0.0740993;-0.184134;-0.804288;0.140045;-0.0815091;-0.571721
0.0925216;0.926433;-0.164795;-0.19727;-0.0527374;-0.010156;0.978877
0.377797;1.00561;0.209604;0.661428;-0.267549;-0.575452;0.399732
-0.105119;1.00774;0.22221;0.73038;0.263108;0.528207;0.343973
0.198647;0.0702454;-0.137727;0.798522;0.0849177;-0.0190014;0.595644
-0.0199594;0.0740491;-0.184194;-0.804245;0.140224;-0.0817349;-0.571705
0.092348;0.926432;-0.164929;-0.197195;-0.0526256;-0.0101028;0.978899
0.377413;1.00565;0.209641;0.660512;-0.267548;-0.576554;0.39966
-0.102827;1.01074;0.222236;0.726286;0.27075;0.533443;0.338587
0.198579;0.0702267;-0.137702;0.798508;0.0849456;-0.0191449;0.595654
-0.0199496;0.074045;-0.184191;-0.804236;0.14026;-0.0817827;-0.571702
0.0922836;0.92648;-0.165047;-0.197067;-0.0527438;-0.0101724;0.978917
0.377027;1.00569;0.209682;0.659848;-0.267663;-0.577517;0.399289
-0.101375;1.01263;0.221672;0.72525;0.276981;0.534837;0.333532
0.198592;0.0702069;-0.137698;0.798495;0.0849554;-0.0190921;0.595671
-0.0198656;0.0738994;-0.184125;-0.804275;0.140122;-0.0815999;-0.571707
0.0923008;0.926488;-0.165233;-0.196823;-0.0529674;-0.0101845;0.978954
0.376713;1.00575;0.20971;0.659208;-0.267679;-0.578367;0.399106
-0.100387;1.01422;0.220825;0.726359;0.281176;0.534111;0.328737
0.199204;0.0707422;-0.137213;0.798528;0.0849498;-0.0191007;0.595627
-0.0198469;0.0738793;-0.184162;-0.804278;0.139971;-0.0815236;-0.571751
0.0924256;0.926437;-0.165322;-0.196665;-0.0531824;-0.0102443;0.978974
0.376475;1.00555;0.209817;0.658653;-0.267425;-0.578898;0.39942
-0.100502;1.01412;0.219143;0.729536;0.282734;0.53007;0.326902
0.199199;0.0707211;-0.137147;0.798496;0.0849719;-0.0191669;0.595665
-0.0198039;0.0738594;-0.184197;-0.804303;0.139985;-0.0815459;-0.571709
0.092315;0.926448;-0.165313;-0.196718;-0.0532978;-0.0103762;0.978956
0.37621;1.00543;0.209977;0.657773;-0.267414;-0.579677;0.399749
-0.101713;1.01296;0.218114;0.733516;0.281961;0.524094;0.328296
0.199207;0.0706047;-0.137237;0.798488;0.0850104;-0.0191787;0.59567
-0.0198756;0.0739222;-0.184204;-0.804252;0.140005;-0.0816219;-0.571764
0.0922602;0.926462;-0.165269;-0.196802;-0.0532783;-0.010375;0.97894
0.376071;1.00547;0.210182;0.657066;-0.267446;-0.580336;0.399934
-0.102134;1.01252;0.217825;0.735511;0.281535;0.520671;0.329643
0.199459;0.071166;-0.136967;0.798495;0.0850072;-0.0191568;0.595661
-0.0198076;0.07399;-0.18421;-0.804295;0.140035;-0.081759;-0.571678
0.0924282;0.926433;-0.165165;-0.196909;-0.0531386;-0.0103103;0.978926
0.375936;1.00543;0.210274;0.657135;-0.267569;-0.58021;0.39992
-0.103269;1.01133;0.2182;0.736524;0.279779;0.517841;0.333312
0.199515;0.0711593;-0.136934;0.798466;0.0850759;-0.0191036;0.595692
-0.0198546;0.0740007;-0.184159;-0.804269;0.140016;-0.0817754;-0.571717
0.0924572;0.926447;-0.165138;-0.196951;-0.0530181;-0.0101806;0.978926
0.375882;1.00547;0.210048;0.657658;-0.267638;-0.57968;0.399783
-0.104317;1.01076;0.218947;0.736053;0.278344;0.516841;0.337085
0.199412;0.0710265;-0.137055;0.798489;0.0850218;-0.0190781;0.595669
