tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.133573 1.65558 0.0160017 -0.0743625 -0.692466 -0.0299349 0.716984 1
hip -0.0475562 1.16288 0.00635648 0.452339 0.527995 0.466993 0.546377 1
lHand 0.0160518 1.39967 -0.746619 0.171712 -0.0781026 -0.660066 0.727137 1
lForeArm -0.0283353 1.41002 -0.395784 -0.663977 -0.415316 -0.621634 0.014804 1
rHand 0.00485229 1.40983 0.805938 -0.658617 -0.740478 0.116362 0.0661516 1
rForeArm -0.0427876 1.42555 0.45235 -0.607832 0.225055 -0.622644 0.438412 1
lFoot -0.0220172 0.237322 -0.128197 -0.0346189 -0.0483834 -0.738606 0.671507 1
rFoot -0.0315535 0.229742 0.148068 -0.811157 -0.578424 -0.0855381 0.0115419 1
lKnee 0.0718322 0.597115 -0.0704049 -0.0689923 -0.732511 -0.0730852 0.673295 1
rKnee 0.0800257 0.600945 0.10633 -0.373389 -0.617002 0.244951 0.647987 1
head 0.133615 1.65556 0.0160136 -0.07434 -0.692417 -0.0299157 0.717033 1
hip -0.047317 1.16275 0.00619924 0.452634 0.527854 0.466794 0.54644 1
lHand 0.01595 1.39959 -0.746562 0.171497 -0.078609 -0.660022 0.727173 1
lForeArm -0.0284233 1.4101 -0.395723 -0.664342 -0.415131 -0.621372 0.0145988 1
rHand 0.00478172 1.40983 0.805966 -0.659638 -0.739543 0.116237 0.0666575 1
rForeArm -0.0426292 1.42561 0.452307 -0.607597 0.224839 -0.622823 0.438594 1
lFoot -0.0220346 0.237327 -0.128188 -0.034597 -0.0483358 -0.738592 0.671528 1
rFoot -0.0315781 0.229743 0.148075 -0.811122 -0.578478 -0.0854916 0.0116358 1
lKnee 0.0718675 0.597106 -0.0703232 -0.0688634 -0.7324 -0.0730905 0.673428 1
rKnee 0.07991 0.600902 0.106336 -0.373307 -0.617045 0.244982 0.647983 1
head 0.133666 1.6556 0.0160474 -0.0742146 -0.692302 -0.0299182 0.717157 1
hip -0.0473125 1.1628 0.00622761 0.45326 0.527572 0.46623 0.546674 1
lHand 0.0157914 1.39956 -0.74657 0.171496 -0.0787858 -0.660125 0.72706 1
lForeArm -0.0285747 1.41016 -0.395677 -0.664575 -0.415051 -0.621177 0.0145164 1
rHand 0.00478244 1.40971 0.805945 -0.661031 -0.738277 0.115965 0.0673548 1
rForeArm -0.0425656 1.42573 0.452325 -0.607394 0.224675 -0.622933 0.438803 1
lFoot -0.0220709 0.237298 -0.128144 -0.0346056 -0.0483519 -0.738546 0.671576 1
rFoot -0.0315881 0.22972 0.148127 -0.811123 -0.57846 -0.0856023 0.0116313 1
lKnee 0.0718307 0.597091 -0.0703089 -0.0689088 -0.732362 -0.0731259 0.673461 1
rKnee 0.0799055 0.600895 0.106323 -0.373325 -0.617025 0.244976 0.647994 1
head 0.133728 1.65563 0.0160809 -0.0740927 -0.692196 -0.0299037 0.717273 1
