tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.151438 1.65711 -0.00488782 -0.059042 -0.68542 -0.0266403 0.725261 1
hip -0.0469532 1.16174 -0.0151253 0.462302 0.521177 0.45015 0.558584 1
lHand -0.0147562 1.42588 -0.76988 0.181494 -0.0838749 -0.64182 0.740332 1
lForeArm -0.0460811 1.41668 -0.417908 -0.70256 -0.373184 -0.605907 0.00452978 1
rHand 0.0695119 1.42391 0.777381 -0.651697 -0.728612 0.182387 0.105596 1
rForeArm -0.0152068 1.42894 0.429263 -0.629299 0.224836 -0.612001 0.422948 1
lFoot -0.054105 0.232655 -0.119968 -0.076288 -0.0321444 -0.740272 0.667191 1
rFoot -0.0446515 0.232204 0.151361 -0.812958 -0.578009 -0.0702531 0.00828281 1
lKnee 0.0466576 0.587174 -0.0807403 -0.0992991 -0.718324 -0.0821608 0.683667 1
rKnee 0.0682921 0.599032 0.0967126 -0.391712 -0.611231 0.247361 0.641694 1
head 0.15151 1.65708 -0.00481439 -0.0589271 -0.685498 -0.0268801 0.725188 1
hip -0.0468144 1.16182 -0.0152588 0.462765 0.520763 0.449835 0.558841 1
lHand -0.0147882 1.42603 -0.769757 0.182398 -0.0830206 -0.642608 0.739523 1
lForeArm -0.0459361 1.41662 -0.417932 -0.702435 -0.373375 -0.605932 0.00475448 1
rHand 0.0696514 1.42389 0.777384 -0.651611 -0.728711 0.181805 0.106443 1
rForeArm -0.015136 1.429 0.429302 -0.629792 0.224848 -0.611771 0.422541 1
lFoot -0.0540936 0.232699 -0.11991 -0.0763306 -0.0322806 -0.740253 0.667201 1
rFoot -0.0445766 0.232253 0.151366 -0.812945 -0.578015 -0.0703795 0.00806126 1
lKnee 0.0467074 0.587098 -0.080731 -0.0992741 -0.718399 -0.0821502 0.683592 1
rKnee 0.0683236 0.598976 0.0968206 -0.39163 -0.611305 0.247271 0.641708 1
head 0.15156 1.65706 -0.00476074 -0.0589008 -0.685553 -0.0270572 0.725131 1
hip -0.0467999 1.16187 -0.0152044 0.463125 0.520508 0.449571 0.558993 1
lHand -0.0148096 1.42612 -0.769737 0.182981 -0.0823005 -0.64276 0.739327 1
lForeArm -0.0457144 1.4165 -0.418095 -0.702608 -0.373711 -0.605527 0.00446434 1
rHand 0.0697498 1.42366 0.777377 -0.651939 -0.728496 0.180993 0.107293 1
rForeArm -0.0149634 1.42898 0.429176 -0.630049 0.224709 -0.6115 0.422626 1
