tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.0995443 1.65921 0.00703716 -0.069411 -0.689484 -0.0240604 0.720566 1
hip -0.0812645 1.16056 -0.0107145 0.451558 0.518396 0.468219 0.555096 1
lHand -0.0175438 1.41248 -0.758691 0.193321 -0.108852 -0.621997 0.750932 1
lForeArm -0.06271 1.4104 -0.410237 0.692694 0.359767 0.625087 0.00294364 1
rHand -0.00737524 1.4138 0.78252 -0.703249 -0.692855 0.120045 0.10479 1
rForeArm -0.0796688 1.42925 0.454457 -0.58713 0.271819 -0.628743 0.431364 1
lFoot -0.0464308 0.235981 -0.122878 -0.0427788 -0.0518165 -0.73256 0.677377 1
rFoot -0.0544024 0.229505 0.150517 -0.807319 -0.58494 -0.0778136 0.0051905 1
lKnee 0.0437329 0.590536 -0.076443 0.234924 -0.697999 -0.3482 0.57997 1
rKnee 0.0445075 0.60128 0.101233 -0.362181 -0.615046 0.260767 0.650034 1
head 0.0995452 1.65921 0.00707948 -0.0694459 -0.689432 -0.0240703 0.720612 1
hip -0.0812554 1.16055 -0.0106778 0.451703 0.518721 0.46816 0.554725 1
lHand -0.0175319 1.41234 -0.758672 0.192934 -0.108936 -0.621909 0.751092 1
lForeArm -0.0625191 1.41035 -0.410391 0.692707 0.359929 0.62498 0.00288226 1
rHand -0.0073638 1.41376 0.78251 -0.702968 -0.693157 0.120412 0.104259 1
rForeArm -0.0799491 1.42932 0.454674 -0.586908 0.271952 -0.628813 0.43148 1
lFoot -0.0464282 0.235981 -0.122886 -0.0427624 -0.0517782 -0.732603 0.677335 1
rFoot -0.0544016 0.229505 0.150522 -0.807313 -0.584949 -0.0777985 0.00517757 1
lKnee 0.0439472 0.590754 -0.0763638 0.234907 -0.698005 -0.3483 0.579909 1
rKnee 0.0444694 0.601284 0.101269 -0.362222 -0.615094 0.260682 0.65 1
head 0.0995719 1.65919 0.00708318 -0.0694867 -0.689351 -0.0239431 0.72069 1
hip -0.0817928 1.16089 -0.0101099 0.451595 0.51899 0.468273 0.554465 1
lHand -0.01753 1.4122 -0.758606 0.192709 -0.109115 -0.621703 0.751294 1
lForeArm -0.0625379 1.41034 -0.410294 0.692722 0.360206 0.624805 0.00257218 1
rHand -0.00745273 1.41372 0.782506 -0.702958 -0.69317 0.120662 0.103948 1
rForeArm -0.0799973 1.42927 0.454712 -0.586769 0.272224 -0.628832 0.43147 1
lFoot -0.0463593 0.235926 -0.122893 -0.0428524 -0.0517806 -0.732611 0.677321 1
rFoot -0.0543423 0.229502 0.150498 -0.807358 -0.584901 -0.0776972 0.00519911 1
lKnee 0.0439992 0.590794 -0.0763614 0.234906 -0.698051 -0.34839 0.5798 1
rKnee 0.0445645 0.601263 0.101259 -0.362184 -0.615116 0.26065 0.650013 1
head 0.0995636 1.65919 0.00713336 -0.0695776 -0.689236 -0.0239926 0.720789 1
hip -0.0817547 1.16088 -0.0100713 0.451248 0.519064 0.468556 0.55444 1
lHand -0.0175519 1.41212 -0.758617 0.192205 -0.10937 -0.621153 0.751841 1
lForeArm -0.0622697 1.41015 -0.41066 0.692784 0.360376 0.624639 0.00239519 1
rHand -0.00756431 1.41364 0.782485 -0.703146 -0.692979 0.120739 0.103861 1
rForeArm -0.0800087 1.42923 0.45471 -0.586735 0.272233 -0.628945 0.431346 1
lFoot -0.0463595 0.235928 -0.122915 -0.0427901 -0.0517987 -0.732582 0.677354 1
rFoot -0.0543375 0.229504 0.150494 -0.807362 -0.584889 -0.0777488 0.00516316 1
lKnee 0.0439918 0.590711 -0.0763474 0.234835 -0.698162 -0.348467 0.57965 1
rKnee 0.0446517 0.601239 0.101277 -0.362291 -0.614985 0.260609 0.650093 1
head 0.0995686 1.65918 0.00714219 -0.0695482 -0.689197 -0.023993 0.720829 1
hip -0.0817332 1.16088 -0.0100245 0.450913 0.519075 0.468856 0.554448 1
lHand -0.0176101 1.41194 -0.758601 0.191972 -0.109748 -0.620681 0.752235 1
lForeArm -0.0622978 1.41015 -0.410605 0.692639 0.360685 0.624622 0.00209485 1
rHand -0.0076592 1.41336 0.782219 -0.703862 -0.692209 0.120548 0.104365 1
rForeArm -0.0800612 1.42917 0.454745 -0.586723 0.272391 -0.628934 0.431279 1
lFoot -0.0463231 0.235896 -0.122911 -0.0428663 -0.0516434 -0.732632 0.677307 1
rFoot -0.0542998 0.229516 0.150503 -0.80737 -0.58488 -0.0777378 0.00512986 1
lKnee 0.0440521 0.590752 -0.0763688 0.234806 -0.698065 -0.348547 0.579729 1
rKnee 0.0446136 0.60125 0.101311 -0.362355 -0.614899 0.260568 0.650156 1
head 0.0996153 1.65919 0.00711989 -0.0694131 -0.689144 -0.0241074 0.720889 1
hip -0.0816548 1.16087 -0.0100355 0.450745 0.519062 0.469017 0.55446 1
lHand -0.0176516 1.41181 -0.758559 0.191907 -0.109951 -0.62059 0.752297 1
lForeArm -0.0621743 1.41007 -0.4107 0.692611 0.360758 0.624611 0.0020662 1
rHand -0.00779843 1.41311 0.78223 -0.704522 -0.691513 0.120342 0.104772 1
rForeArm -0.0802431 1.42914 0.454815 -0.586782 0.272416 -0.62895 0.431159 1
lFoot -0.0463762 0.235906 -0.122852 -0.0428237 -0.0516471 -0.732584 0.677362 1
rFoot -0.0543394 0.229506 0.150465 -0.807343 -0.584911 -0.0777861 0.00510365 1
lKnee 0.0441122 0.59075 -0.0765474 0.234774 -0.698068 -0.348531 0.579748 1
rKnee 0.0446012 0.601234 0.101239 -0.362406 -0.614977 0.260555 0.650059 1
head 0.0995862 1.6592 0.0071373 -0.0693024 -0.689082 -0.024109 0.720959 1
hip -0.0816166 1.16089 -0.00997162 0.450839 0.519103 0.469038 0.554329 1
lHand -0.0176249 1.41173 -0.75855 0.191963 -0.110045 -0.620749 0.752137 1
lForeArm -0.0622137 1.41009 -0.410611 0.692741 0.360749 0.624472 0.00213012 1
rHand -0.00802517 1.41279 0.782156 -0.704693 -0.691431 0.119646 0.104955 1
rForeArm -0.0803399 1.42916 0.454819 -0.58666 0.272544 -0.629021 0.43114 1
lFoot -0.04637 0.235907 -0.122861 -0.042907 -0.0516085 -0.732589 0.677354 1
rFoot -0.0543432 0.229512 0.150472 -0.807338 -0.584918 -0.0777811 0.00512405 1
lKnee 0.0441859 0.590796 -0.0765798 0.234738 -0.697945 -0.34857 0.579888 1
rKnee 0.0445518 0.60124 0.101261 -0.362433 -0.614992 0.260581 0.650019 1
head 0.0996139 1.65921 0.00713801 -0.0692364 -0.689156 -0.0241283 0.720894 1
hip -0.0817437 1.16099 -0.00984001 0.450986 0.519132 0.468973 0.554236 1
lHand -0.0176146 1.41176 -0.758576 0.192006 -0.11018 -0.621117 0.751803 1
lForeArm -0.0618544 1.40989 -0.411024 0.692805 0.36075 0.6244 0.00223925 1
rHand -0.00835991 1.41255 0.782229 -0.704821 -0.691384 0.11909 0.105038 1
rForeArm -0.0805168 1.4292 0.454886 -0.586312 0.272811 -0.629194 0.431193 1
lFoot -0.04638 0.235884 -0.122943 -0.0429519 -0.051708 -0.732612 0.677319 1
rFoot -0.0543542 0.229527 0.150481 -0.807421 -0.584808 -0.0777485 0.0051124 1
lKnee 0.0443013 0.590888 -0.0768058 0.234593 -0.697928 -0.348589 0.579956 1
