tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.115038 1.6657 -0.0109519 -0.0302928 -0.715353 0.00201508 0.698103 1
hip -0.0711074 1.15278 -0.0251101 0.445466 0.510368 0.472821 0.563493 1
lHand 0.0216355 1.39806 -0.777085 0.179221 -0.130164 -0.59675 0.77125 1
lForeArm -0.0488009 1.4065 -0.414596 0.677104 0.378558 0.631036 0.00412969 1
rHand 0.0121827 1.40814 0.772632 -0.687692 -0.703326 0.161604 0.0793516 1
rForeArm -0.0533764 1.42343 0.434223 -0.599597 0.251717 -0.614863 0.446168 1
lFoot -0.0479717 0.237547 -0.163733 -0.0265103 -0.0449776 -0.740343 0.670199 1
rFoot -0.0546858 0.230906 0.168654 0.804665 0.587504 0.0826835 0.0227457 1
lKnee 0.0517695 0.58994 -0.101823 0.240687 -0.703131 -0.366745 0.55962 1
rKnee 0.0528662 0.599826 0.103906 -0.387886 -0.621481 0.262811 0.627883 1
head 0.115148 1.66567 -0.010922 -0.0301673 -0.715177 0.00180441 0.69829 1
hip -0.0707858 1.1527 -0.0253422 0.445138 0.510249 0.472853 0.563834 1
lHand 0.0217898 1.39812 -0.777056 0.179795 -0.129904 -0.596151 0.771624 1
lForeArm -0.0486445 1.40646 -0.414544 0.677005 0.378872 0.630954 0.00422423 1
rHand 0.0122974 1.40829 0.772658 -0.687108 -0.704053 0.161309 0.0785606 1
rForeArm -0.0536125 1.42349 0.434425 -0.599931 0.251671 -0.614601 0.446105 1
lFoot -0.0479679 0.237569 -0.163744 -0.0265446 -0.0448704 -0.740423 0.670116 1
rFoot -0.0546727 0.230917 0.168677 0.804715 0.587431 0.082695 0.0228196 1
lKnee 0.0517833 0.590061 -0.101619 0.240765 -0.702765 -0.366997 0.559882 1
rKnee 0.0528679 0.599736 0.103896 -0.38797 -0.621437 0.262661 0.627937 1
head 0.115218 1.66566 -0.0108725 -0.0301349 -0.714981 0.00177107 0.698492 1
hip -0.0706875 1.15267 -0.0253148 0.445077 0.510186 0.472894 0.563903 1
lHand 0.0220108 1.39818 -0.776982 0.180225 -0.130017 -0.595078 0.772332 1
lForeArm -0.0486741 1.4065 -0.414399 0.677154 0.378902 0.630775 0.00431929 1
rHand 0.012392 1.40844 0.77272 -0.686647 -0.704598 0.161249 0.0778256 1
rForeArm -0.0535226 1.42346 0.43435 -0.600264 0.251359 -0.614279 0.446277 1
lFoot -0.0480812 0.237456 -0.163766 -0.0265659 -0.0450143 -0.740381 0.670152 1
rFoot -0.0545719 0.23097 0.168608 0.804805 0.587294 0.0827736 0.0228744 1
lKnee 0.0518236 0.590084 -0.101601 0.241006 -0.702612 -0.366822 0.560084 1
rKnee 0.0529213 0.599715 0.103895 -0.38804 -0.621298 0.26263 0.628044 1
head 0.115293 1.66568 -0.0108273 -0.0300646 -0.714756 0.00177527 0.698725 1
hip -0.0705543 1.15274 -0.0253007 0.445298 0.510328 0.47285 0.563638 1
lHand 0.0221343 1.39819 -0.776887 0.18002 -0.130426 -0.594308 0.772904 1
lForeArm -0.0488524 1.40657 -0.414073 0.677145 0.378591 0.63097 0.00458048 1
rHand 0.0124161 1.40847 0.772934 -0.687076 -0.704165 0.161542 0.0773468 1
rForeArm -0.0535512 1.42356 0.434392 -0.600105 0.2514 -0.61416 0.446631 1
lFoot -0.047997 0.237622 -0.163734 -0.0266628 -0.0449913 -0.740403 0.670126 1
rFoot -0.054563 0.231009 0.168571 0.804806 0.58727 0.0828966 0.0230289 1
lKnee 0.0518041 0.590045 -0.101783 0.241142 -0.702741 -0.366609 0.560004 1
rKnee 0.0529439 0.599728 0.103922 -0.388071 -0.621203 0.262557 0.628149 1
head 0.115332 1.66569 -0.0107429 -0.0300322 -0.714523 0.00164908 0.698965 1
hip -0.0704963 1.15276 -0.0252426 0.445816 0.510498 0.472694 0.563205 1
lHand 0.0222316 1.39805 -0.776819 0.179167 -0.131144 -0.594156 0.773097 1
lForeArm -0.0488791 1.40661 -0.413987 0.677066 0.378046 0.631379 0.00482448 1
rHand 0.0126524 1.40829 0.772738 -0.689422 -0.701802 0.162152 0.0766673 1
rForeArm -0.0534844 1.42363 0.434453 -0.600287 0.25168 -0.613935 0.446538 1
lFoot -0.0478892 0.237531 -0.163703 -0.0266787 -0.0449086 -0.74041 0.670123 1
rFoot -0.0545118 0.230969 0.168598 0.804832 0.587236 0.0828932 0.0229865 1
lKnee 0.0518706 0.590026 -0.10176 0.240918 -0.703019 -0.366575 0.559773 1
rKnee 0.0529873 0.599736 0.103916 -0.388052 -0.621131 0.262607 0.628211 1
head 0.115382 1.66567 -0.0107269 -0.029984 -0.71438 0.00161253 0.699113 1
hip -0.070513 1.15287 -0.0250778 0.446042 0.510674 0.472549 0.562988 1
lHand 0.022191 1.39791 -0.776648 0.178787 -0.131693 -0.594868 0.772544 1
lForeArm -0.0489697 1.4067 -0.413687 0.676994 0.377764 0.631624 0.00497128 1
rHand 0.0127149 1.40799 0.772682 -0.6927 -0.698543 0.162414 0.0763355 1
rForeArm -0.0535071 1.42379 0.434615 -0.600579 0.251757 -0.613807 0.446278 1
lFoot -0.0478239 0.237566 -0.163763 -0.0268083 -0.0447267 -0.740445 0.670091 1
rFoot -0.0545061 0.230953 0.168527 0.804929 0.58712 0.0828164 0.022817 1
