tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.129723 1.65989 0.00279641 -0.0554426 -0.69993 -0.0299894 0.711424 1
hip -0.0620224 1.16449 -0.00192821 0.467688 0.528162 0.447067 0.549949 1
lHand -0.0506186 1.44591 -0.762054 0.168695 -0.0482831 -0.652571 0.737131 1
lForeArm -0.0651765 1.43189 -0.412167 -0.713093 -0.341652 -0.610515 0.0452023 1
rHand 0.033411 1.43699 0.798884 -0.654753 -0.730205 0.162975 0.107414 1
rForeArm -0.0458951 1.4486 0.455875 -0.611298 0.236108 -0.616648 0.436248 1
lFoot -0.0419831 0.236132 -0.123282 -0.0516567 -0.0439431 -0.737602 0.671822 1
rFoot -0.0357983 0.231415 0.155504 0.809345 0.581843 0.080123 0.000456745 1
lKnee 0.0549006 0.594911 -0.0791442 0.232978 -0.687361 -0.35457 0.589522 1
rKnee 0.0672252 0.598344 0.101905 -0.368997 -0.60453 0.26349 0.654949 1
head 0.129846 1.65985 0.00280309 -0.0556118 -0.699889 -0.030189 0.711443 1
hip -0.062067 1.16454 -0.00187409 0.467706 0.528091 0.447051 0.550015 1
lHand -0.0503273 1.44607 -0.761965 0.169115 -0.0484639 -0.652085 0.737453 1
lForeArm -0.0651069 1.4319 -0.412146 -0.712895 -0.341553 -0.610795 0.0453063 1
rHand 0.0335555 1.43706 0.798916 -0.654194 -0.730751 0.162755 0.107447 1
rForeArm -0.0458007 1.44861 0.455957 -0.611532 0.2359 -0.616494 0.436251 1
lFoot -0.0419538 0.236146 -0.123255 -0.0515654 -0.0438594 -0.737619 0.671815 1
rFoot -0.0357485 0.231434 0.155435 0.809366 0.581814 0.0801183 0.000488281 1
lKnee 0.0551977 0.595237 -0.0791531 0.232966 -0.68713 -0.354729 0.589701 1
rKnee 0.067215 0.598319 0.101829 -0.36887 -0.604431 0.263517 0.655101 1
head 0.129917 1.65977 0.00282645 -0.0558399 -0.699848 -0.0302005 0.711465 1
hip -0.0621324 1.16459 -0.00179219 0.467759 0.52793 0.446949 0.550207 1
lHand -0.050179 1.44626 -0.761928 0.169693 -0.047781 -0.652109 0.737344 1
lForeArm -0.0650382 1.43185 -0.412003 -0.712595 -0.341857 -0.61096 0.0455113 1
rHand 0.0335579 1.43697 0.798937 -0.654071 -0.731038 0.16173 0.107785 1
rForeArm -0.0459192 1.44863 0.456134 -0.612074 0.235606 -0.616177 0.436098 1
lFoot -0.0419493 0.236154 -0.123256 -0.051589 -0.0439041 -0.737599 0.671832 1
rFoot -0.0357802 0.231445 0.155449 0.809341 0.581862 0.0800178 0.000545915 1
lKnee 0.0552258 0.595265 -0.0791874 0.233038 -0.687112 -0.354636 0.589749 1
rKnee 0.0672016 0.598306 0.101834 -0.368874 -0.604266 0.263488 0.655262 1
head 0.130045 1.65972 0.00284672 -0.0562655 -0.69973 -0.0302795 0.711545 1
hip -0.0621793 1.16463 -0.00174952 0.467917 0.527767 0.446815 0.550338 1
lHand -0.0499525 1.4464 -0.761896 0.170185 -0.0472221 -0.652143 0.737236 1
lForeArm -0.0649133 1.43187 -0.411899 -0.71246 -0.342083 -0.610979 0.0456655 1
rHand 0.0336547 1.43699 0.798948 -0.654092 -0.731083 0.161438 0.107792 1
rForeArm -0.0458472 1.44848 0.456057 -0.612301 0.235693 -0.616067 0.435887 1
lFoot -0.0419884 0.236218 -0.12326 -0.0516353 -0.0439463 -0.737585 0.671841 1
rFoot -0.0357265 0.231388 0.155432 0.809346 0.58185 0.0800546 0.000532092 1
lKnee 0.0552576 0.595255 -0.0793104 0.233047 -0.687039 -0.35471 0.589786 1
rKnee 0.0671849 0.598214 0.101792 -0.368938 -0.604193 0.263461 0.655304 1
head 0.130112 1.65969 0.00289273 -0.0566438 -0.699639 -0.0303966 0.711599 1
hip -0.0622952 1.16475 -0.00161874 0.467982 0.52761 0.446706 0.550522 1
lHand -0.0498695 1.44654 -0.761849 0.170382 -0.0468327 -0.652075 0.737275 1
lForeArm -0.0646763 1.43182 -0.411995 -0.712447 -0.342454 -0.610781 0.0457351 1
rHand 0.0338559 1.43686 0.798952 -0.654819 -0.730339 0.16153 0.108287 1
rForeArm -0.0457492 1.44855 0.456019 -0.611901 0.23617 -0.616356 0.435782 1
lFoot -0.0419717 0.23622 -0.123331 -0.0516093 -0.0439285 -0.737541 0.671893 1
rFoot -0.0356889 0.231333 0.155441 0.809388 0.581785 0.080104 0.0005179 1
lKnee 0.0552721 0.595283 -0.0793425 0.233014 -0.687036 -0.354732 0.589789 1
rKnee 0.0672102 0.598209 0.101801 -0.369001 -0.604187 0.263439 0.655283 1
head 0.130316 1.6596 0.00295889 -0.0571809 -0.699513 -0.0307831 0.711663 1
hip -0.0625174 1.16486 -0.00145626 0.468279 0.52756 0.446663 0.550352 1
lHand -0.0495157 1.4465 -0.76182 0.169765 -0.0472374 -0.651408 0.737981 1
lForeArm -0.0642219 1.43181 -0.412291 -0.712378 -0.34237 -0.610913 0.0456665 1
rHand 0.0341961 1.43668 0.798877 -0.655391 -0.729448 0.162727 0.109036 1
rForeArm -0.0456724 1.4488 0.456303 -0.611331 0.237142 -0.616624 0.435674 1
lFoot -0.0419705 0.236233 -0.123303 -0.0515086 -0.0439356 -0.737517 0.671927 1
rFoot -0.0357559 0.231327 0.15549 0.809338 0.581846 0.0801693 0.000559396 1
lKnee 0.0551288 0.595127 -0.0792226 0.233017 -0.687308 -0.354647 0.589522 1
rKnee 0.0671628 0.598224 0.101851 -0.369092 -0.604347 0.263363 0.655115 1
head 0.13042 1.65952 0.00297344 -0.0572832 -0.699413 -0.0309846 0.711744 1
hip -0.0624847 1.16487 -0.00142503 0.468423 0.527753 0.446585 0.550108 1
lHand -0.0493219 1.44635 -0.761787 0.169022 -0.0480295 -0.651272 0.738221 1
lForeArm -0.0639551 1.4318 -0.412443 -0.712324 -0.341969 -0.611224 0.0453558 1
rHand 0.0343788 1.43663 0.798853 -0.655895 -0.728798 0.163372 0.109384 1
rForeArm -0.0455763 1.44871 0.456299 -0.61181 0.237176 -0.616403 0.435298 1
lFoot -0.0420103 0.236219 -0.123276 -0.0515702 -0.0438231 -0.737543 0.6719 1
rFoot -0.0357554 0.231347 0.15551 0.809288 0.581913 0.0801823 0.000488281 1
lKnee 0.0551641 0.595169 -0.0792406 0.23305 -0.687347 -0.354664 0.589454 1
rKnee 0.067143 0.598181 0.101892 -0.369128 -0.60448 0.263361 0.654972 1
head 0.130499 1.6594 0.00294018 -0.0574203 -0.699437 -0.0313186 0.711695 1
hip -0.0625288 1.16492 -0.00139284 0.468251 0.527892 0.446765 0.549975 1
lHand -0.0490737 1.44617 -0.761841 0.168731 -0.0487174 -0.651786 0.737788 1
lForeArm -0.0638242 1.43184 -0.412347 -0.712332 -0.342013 -0.611199 0.0452367 1
rHand 0.0344257 1.43654 0.798774 -0.656406 -0.728243 0.163398 0.109977 1
rForeArm -0.045517 1.44868 0.456303 -0.612013 0.237144 -0.616307 0.435165 1
lFoot -0.0420284 0.236238 -0.123372 -0.0515542 -0.0439026 -0.737536 0.671904 1
rFoot -0.0357876 0.231308 0.155446 0.809258 0.581958 0.0801618 0.000545915 1
lKnee 0.0551329 0.595217 -0.079298 0.232954 -0.687306 -0.354634 0.589557 1
rKnee 0.0670948 0.598176 0.101812 -0.369177 -0.604374 0.263366 0.655042 1
head 0.130575 1.65928 0.00295413 -0.057558 -0.699417 -0.0315148 0.711695 1
hip -0.0624747 1.1649 -0.00139451 0.468127 0.527676 0.446807 0.550253 1
lHand -0.0488982 1.44598 -0.761771 0.168688 -0.0491003 -0.652492 0.737148 1
lForeArm -0.0636244 1.43181 -0.412382 -0.71238 -0.342108 -0.611085 0.0452915 1
rHand 0.034513 1.4364 0.79876 -0.656996 -0.727728 0.163119 0.110271 1
rForeArm -0.0455778 1.44864 0.456406 -0.611979 0.23736 -0.616348 0.435037 1
lFoot -0.0420327 0.23629 -0.12342 -0.0515296 -0.0438464 -0.737519 0.671929 1
rFoot -0.0357459 0.231343 0.155463 0.809285 0.581927 0.0801155 0.000456745 1
lKnee 0.0551848 0.595243 -0.0793402 0.233008 -0.687219 -0.35462 0.589645 1
rKnee 0.0671182 0.598197 0.101804 -0.369104 -0.604346 0.263421 0.655086 1
