tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.141219 1.65553 -0.0123038 -0.0654439 -0.698226 -0.0447865 0.711472 1
hip -0.0427089 1.16087 -0.0112975 0.458255 0.523299 0.460457 0.551489 1
lHand 0.00231647 1.43639 -0.781928 0.167904 -0.0803719 -0.625586 0.757622 1
lForeArm -0.0380235 1.42813 -0.428071 0.701752 0.296043 0.64795 0.00799118 1
rHand 0.070394 1.44828 0.773034 -0.694165 -0.69056 0.169217 0.112377 1
rForeArm -0.0125253 1.45281 0.443158 -0.620726 0.307158 -0.630753 0.350007 1
lFoot -0.00836968 0.237479 -0.13223 -0.043935 -0.0458812 -0.737292 0.672581 1
rFoot -0.016293 0.230365 0.147794 -0.809417 -0.582774 -0.0719027 0.00703044 1
lKnee 0.0860622 0.596406 -0.0788088 0.188545 -0.74555 -0.279188 0.57503 1
rKnee 0.0907383 0.608533 0.0939567 -0.354886 -0.598196 0.268474 0.666438 1
head 0.141243 1.65551 -0.0122643 -0.0653751 -0.698182 -0.0448421 0.711518 1
hip -0.0426083 1.16077 -0.0113811 0.458313 0.523444 0.460397 0.551354 1
lHand 0.00238705 1.43616 -0.781927 0.167865 -0.0802568 -0.626285 0.757065 1
lForeArm -0.0377584 1.42789 -0.428292 0.701791 0.296128 0.647865 0.00827201 1
rHand 0.070442 1.44837 0.773093 -0.694104 -0.690709 0.169221 0.111825 1
rForeArm -0.0124397 1.45284 0.443183 -0.620611 0.307087 -0.630881 0.350041 1
lFoot -0.00835037 0.237491 -0.132227 -0.044009 -0.0458448 -0.73729 0.672581 1
rFoot -0.0162525 0.230377 0.147801 -0.809482 -0.582697 -0.0717761 0.00711786 1
lKnee 0.0859966 0.596273 -0.0786567 0.188571 -0.745507 -0.279245 0.57505 1
rKnee 0.0907373 0.608514 0.0939953 -0.354858 -0.598245 0.268472 0.666409 1
head 0.141283 1.65547 -0.0123179 -0.0652718 -0.698112 -0.045035 0.711584 1
hip -0.0426407 1.1608 -0.0113536 0.458403 0.52346 0.460324 0.551324 1
lHand 0.00243831 1.43616 -0.781862 0.16817 -0.0798823 -0.625139 0.757983 1
lForeArm -0.0377402 1.4278 -0.428213 0.701832 0.296454 0.647673 0.00817917 1
rHand 0.0704982 1.44836 0.773055 -0.693617 -0.691222 0.169099 0.111866 1
rForeArm -0.0122974 1.45286 0.443153 -0.620612 0.306913 -0.630893 0.35017 1
lFoot -0.00826287 0.237436 -0.132174 -0.0439172 -0.0458305 -0.737353 0.672519 1
rFoot -0.0162234 0.230394 0.147858 -0.809507 -0.582668 -0.0717317 0.00713459 1
lKnee 0.08606 0.596319 -0.0786645 0.18859 -0.74561 -0.279225 0.57492 1
rKnee 0.0908005 0.608501 0.0940845 -0.354794 -0.598153 0.268514 0.666509 1
head 0.141289 1.65541 -0.0123199 -0.0653614 -0.698006 -0.0451862 0.711669 1
hip -0.0424802 1.16063 -0.0115047 0.458383 0.523136 0.460357 0.551621 1
lHand 0.00249624 1.43605 -0.781828 0.168301 -0.079778 -0.624076 0.758841 1
lForeArm -0.0375214 1.42763 -0.428452 0.701727 0.296956 0.647561 0.00780105 1
rHand 0.0706484 1.44819 0.772775 -0.693183 -0.691543 0.168645 0.113246 1
rForeArm -0.0123434 1.45289 0.443115 -0.62064 0.306824 -0.631092 0.349839 1
lFoot -0.0082612 0.237428 -0.132137 -0.0438903 -0.0459361 -0.737327 0.672542 1
rFoot -0.0162687 0.230378 0.147853 -0.809492 -0.582687 -0.071738 0.00715649 1
lKnee 0.0861986 0.59642 -0.0785573 0.188575 -0.74571 -0.279436 0.574693 1
rKnee 0.0908527 0.608387 0.094003 -0.354736 -0.59807 0.26859 0.666583 1
head 0.141296 1.65536 -0.0123305 -0.0655422 -0.697924 -0.0452284 0.711731 1
hip -0.0424902 1.16064 -0.0114634 0.45843 0.522929 0.460319 0.551809 1
lHand 0.00251627 1.43593 -0.781644 0.168453 -0.0796604 -0.622388 0.760204 1
lForeArm -0.0374889 1.4275 -0.42846 0.701625 0.297303 0.647516 0.00751104 1
rHand 0.0708709 1.44777 0.77252 -0.693036 -0.691425 0.168121 0.115625 1
rForeArm -0.0123343 1.45298 0.44316 -0.620769 0.306812 -0.631147 0.349522 1
lFoot -0.00826073 0.237417 -0.132137 -0.0439684 -0.0459458 -0.737348 0.672513 1
rFoot -0.0162926 0.230332 0.147848 -0.809502 -0.582675 -0.0717457 0.00707587 1
lKnee 0.0862668 0.59648 -0.0785694 0.188682 -0.745736 -0.279362 0.574659 1
rKnee 0.0907931 0.608324 0.0940096 -0.354717 -0.597986 0.268525 0.666696 1
head 0.141289 1.65532 -0.0123158 -0.0657841 -0.697863 -0.0452197 0.711768 1
hip -0.0423517 1.16055 -0.0115409 0.458498 0.523075 0.460329 0.551606 1
lHand 0.00249434 1.4358 -0.781632 0.168582 -0.0797434 -0.621306 0.761052 1
lForeArm -0.0373437 1.42735 -0.428588 0.701586 0.297554 0.647446 0.00724084 1
rHand 0.0708849 1.44757 0.772511 -0.693114 -0.691185 0.167689 0.117203 1
rForeArm -0.0123794 1.45305 0.443192 -0.620783 0.307178 -0.631449 0.34863 1
lFoot -0.00826073 0.23744 -0.132166 -0.0439241 -0.046043 -0.737387 0.672467 1
rFoot -0.016305 0.23034 0.147856 -0.809502 -0.582678 -0.0717135 0.00705266 1
lKnee 0.0861595 0.596337 -0.0786595 0.188688 -0.745761 -0.279321 0.574646 1
rKnee 0.090795 0.60832 0.0940132 -0.354693 -0.598011 0.268552 0.666675 1
head 0.141314 1.65529 -0.0123562 -0.06606 -0.697822 -0.0452242 0.711783 1
hip -0.0423281 1.16058 -0.0115044 0.458588 0.523166 0.460264 0.551499 1
lHand 0.00246716 1.43559 -0.781616 0.168197 -0.0799053 -0.621063 0.761318 1
lForeArm -0.0371206 1.42712 -0.428843 0.701555 0.297583 0.647465 0.007342 1
rHand 0.0710742 1.44726 0.772527 -0.693646 -0.690665 0.166879 0.118274 1
rForeArm -0.0123425 1.45315 0.443219 -0.620729 0.307613 -0.631475 0.348294 1
lFoot -0.00823474 0.237439 -0.132167 -0.043888 -0.0460336 -0.737361 0.672498 1
rFoot -0.0162661 0.23035 0.14787 -0.809519 -0.58265 -0.0717578 0.00705055 1
lKnee 0.0862231 0.596358 -0.0787013 0.188724 -0.745748 -0.279353 0.574634 1
rKnee 0.090863 0.608336 0.0940223 -0.354817 -0.598145 0.268506 0.666507 1
head 0.141331 1.65528 -0.0123605 -0.0662296 -0.697833 -0.0451844 0.711759 1
hip -0.0422411 1.1607 -0.0115174 0.459287 0.522775 0.459752 0.551715 1
lHand 0.00255585 1.43506 -0.781817 0.167403 -0.080578 -0.622469 0.760274 1
lForeArm -0.0370677 1.427 -0.428806 0.701466 0.297821 0.647449 0.00759931 1
rHand 0.0711195 1.44719 0.772358 -0.694418 -0.690017 0.167115 0.117188 1
rForeArm -0.0122862 1.45319 0.443241 -0.62045 0.30879 -0.631599 0.347525 1
lFoot -0.00831127 0.237444 -0.132257 -0.0438978 -0.0461326 -0.737321 0.672535 1
rFoot -0.0162537 0.230331 0.147923 -0.809506 -0.58267 -0.0717339 0.00709269 1
lKnee 0.0859342 0.596197 -0.0785071 0.188693 -0.745853 -0.279516 0.57443 1
rKnee 0.0907841 0.608384 0.0940229 -0.354812 -0.598213 0.268576 0.666421 1
head 0.141376 1.65525 -0.0123982 -0.0663122 -0.697885 -0.045278 0.711694 1
hip -0.0422561 1.16072 -0.0115116 0.459405 0.522499 0.459636 0.551975 1
lHand 0.00255919 1.43493 -0.781745 0.167311 -0.0809782 -0.623388 0.759498 1
lForeArm -0.0370698 1.42698 -0.428757 0.701626 0.297755 0.647303 0.00786193 1
rHand 0.0709295 1.44737 0.77234 -0.693776 -0.69058 0.167763 0.116745 1
rForeArm -0.0121377 1.45306 0.443144 -0.620318 0.309272 -0.631588 0.347351 1
lFoot -0.00827813 0.237444 -0.132287 -0.043945 -0.0461099 -0.737328 0.672525 1
rFoot -0.0163002 0.230352 0.147879 -0.809514 -0.582649 -0.0718029 0.00715753 1
lKnee 0.0857496 0.596094 -0.0785321 0.188694 -0.745955 -0.279336 0.574384 1
rKnee 0.0907567 0.608411 0.0940034 -0.354795 -0.598261 0.268476 0.666427 1
head 0.141396 1.65517 -0.0123811 -0.0663458 -0.697962 -0.0453426 0.711612 1
hip -0.0422516 1.16081 -0.0115733 0.459424 0.522446 0.459703 0.551954 1
lHand 0.0025692 1.43465 -0.781701 0.167285 -0.0816127 -0.624677 0.758376 1
lForeArm -0.0372338 1.42707 -0.428572 0.701689 0.29772 0.647248 0.00809631 1
rHand 0.0709887 1.44755 0.772167 -0.692776 -0.691552 0.168504 0.115858 1
rForeArm -0.0120957 1.45297 0.44305 -0.620245 0.309052 -0.631566 0.347718 1
lFoot -0.00818014 0.237409 -0.132239 -0.0439092 -0.0459961 -0.737342 0.67252 1
rFoot -0.0163343 0.230344 0.147903 -0.809501 -0.582673 -0.0717645 0.00703362 1
lKnee 0.0858264 0.596134 -0.0785484 0.188689 -0.745899 -0.27931 0.574471 1
