tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.100055 1.65599 0.0187728 -0.0606607 -0.698102 -0.0391604 0.712348 1
hip -0.0824301 1.15911 0.00494552 0.454372 0.536319 0.468445 0.535227 1
lHand -0.0341606 1.44717 -0.74955 0.197688 -0.0744666 -0.664911 0.716427 1
lForeArm -0.0623465 1.4314 -0.408347 -0.695014 -0.33675 -0.634547 0.0300609 1
rHand 0.0110407 1.43828 0.803887 -0.742771 -0.639912 0.162328 0.111595 1
rForeArm -0.0651093 1.44526 0.4675 -0.611589 0.263473 -0.626884 0.404422 1
lFoot -0.0749671 0.235754 -0.108995 -0.0551742 -0.0392186 -0.73808 0.671309 1
rFoot -0.0769851 0.228649 0.155707 -0.813598 -0.57572 -0.0803404 0.012246 1
lKnee 0.0270166 0.592704 -0.0661256 0.217217 -0.695713 -0.355291 0.585293 1
rKnee 0.0355115 0.602635 0.107313 -0.362515 -0.601417 0.249985 0.666624 1
head 0.100131 1.65601 0.0187511 -0.0606014 -0.69806 -0.0391734 0.712394 1
hip -0.0823858 1.1591 0.00489986 0.454368 0.53654 0.468508 0.534952 1
lHand -0.0340943 1.44715 -0.749558 0.198044 -0.0744282 -0.665126 0.716133 1
lForeArm -0.0623374 1.43141 -0.408341 -0.69491 -0.336844 -0.63461 0.030094 1
rHand 0.0111425 1.4384 0.803801 -0.742549 -0.640184 0.162542 0.111207 1
rForeArm -0.0650074 1.44531 0.467542 -0.611806 0.263228 -0.626771 0.404428 1
lFoot -0.0749683 0.235746 -0.109048 -0.0552018 -0.0392879 -0.73809 0.671292 1
rFoot -0.0769634 0.228625 0.155666 -0.81359 -0.575722 -0.0804167 0.0122003 1
lKnee 0.0271118 0.592762 -0.0661774 0.217228 -0.695723 -0.355298 0.585273 1
rKnee 0.035522 0.602628 0.107276 -0.362537 -0.601481 0.249993 0.666551 1
head 0.100181 1.65602 0.0187271 -0.0605421 -0.698043 -0.0391741 0.712416 1
hip -0.0824656 1.15913 0.00494099 0.454366 0.536566 0.468505 0.534931 1
lHand -0.034025 1.44714 -0.749453 0.198336 -0.0742036 -0.665392 0.715828 1
lForeArm -0.0622215 1.43135 -0.408482 -0.694819 -0.337007 -0.634621 0.030141 1
rHand 0.0112772 1.43856 0.803678 -0.742471 -0.640223 0.162775 0.111157 1
rForeArm -0.0648227 1.4453 0.467498 -0.611846 0.263168 -0.626812 0.404343 1
lFoot -0.0749147 0.235676 -0.109169 -0.0552206 -0.03915 -0.738107 0.671279 1
rFoot -0.0770247 0.228635 0.155622 -0.813604 -0.5757 -0.0804437 0.012117 1
lKnee 0.0270472 0.592749 -0.0662373 0.217281 -0.69578 -0.355129 0.585288 1
rKnee 0.0355313 0.602618 0.107211 -0.362563 -0.601544 0.250019 0.666471 1
head 0.100183 1.65606 0.0187383 -0.0604998 -0.697996 -0.0391533 0.712466 1
hip -0.0824404 1.15911 0.00490677 0.454176 0.536689 0.468668 0.534827 1
lHand -0.0339293 1.44721 -0.749434 0.198584 -0.0739475 -0.665455 0.715727 1
lForeArm -0.0622008 1.43135 -0.408454 -0.694812 -0.337208 -0.634517 0.0302563 1
rHand 0.0114758 1.43856 0.803424 -0.742967 -0.639526 0.163108 0.111369 1
rForeArm -0.0647631 1.44532 0.467507 -0.611957 0.263134 -0.62675 0.404294 1
lFoot -0.0749109 0.235688 -0.109194 -0.0551596 -0.0391243 -0.738101 0.671292 1
rFoot -0.0770371 0.228639 0.155612 -0.813607 -0.575698 -0.0804181 0.0121642 1
lKnee 0.0271242 0.592801 -0.0662947 0.217259 -0.695774 -0.355113 0.585313 1
rKnee 0.0355401 0.602622 0.107196 -0.362634 -0.601579 0.249991 0.666411 1
head 0.100234 1.65609 0.0187237 -0.0604667 -0.697988 -0.039163 0.712476 1
hip -0.0824516 1.15904 0.00484133 0.454005 0.536651 0.46882 0.534877 1
lHand -0.0339108 1.44725 -0.749553 0.19854 -0.0739357 -0.665082 0.716087 1
lForeArm -0.062053 1.4313 -0.408592 -0.694833 -0.337276 -0.63445 0.0304105 1
rHand 0.0116427 1.43853 0.803121 -0.743525 -0.638607 0.163565 0.112242 1
rForeArm -0.0647688 1.44526 0.467532 -0.61216 0.263282 -0.626683 0.403994 1
lFoot -0.0749116 0.235777 -0.109228 -0.0552028 -0.0391456 -0.738071 0.671321 1
rFoot -0.077039 0.228637 0.155614 -0.813615 -0.575693 -0.0803795 0.0121661 1
lKnee 0.0269232 0.592655 -0.0661733 0.217301 -0.695813 -0.355149 0.58523 1
rKnee 0.035454 0.60263 0.107159 -0.362647 -0.601529 0.249986 0.666451 1
head 0.100288 1.65608 0.0187132 -0.0604602 -0.698045 -0.0391112 0.712424 1
hip -0.0824003 1.15904 0.00483584 0.454088 0.536642 0.468731 0.534894 1
lHand -0.0339868 1.44716 -0.749579 0.197975 -0.0740829 -0.664782 0.716507 1
lForeArm -0.0620008 1.43123 -0.408726 -0.694782 -0.337069 -0.634615 0.0304392 1
rHand 0.0118513 1.43827 0.803033 -0.744133 -0.637806 0.162833 0.11382 1
rForeArm -0.064719 1.44531 0.467572 -0.6124 0.263424 -0.626695 0.403518 1
lFoot -0.0749197 0.235784 -0.109228 -0.0552074 -0.0392482 -0.738128 0.671252 1
rFoot -0.0770364 0.228646 0.155607 -0.813601 -0.575713 -0.0803636 0.0122326 1
lKnee 0.0269821 0.592715 -0.0662255 0.217161 -0.695853 -0.355231 0.585184 1
rKnee 0.0354419 0.602659 0.10713 -0.362633 -0.601472 0.250003 0.666504 1
head 0.100351 1.65608 0.0186939 -0.0603882 -0.698147 -0.0389895 0.712337 1
hip -0.0823236 1.15906 0.00490379 0.454248 0.536591 0.468584 0.534938 1
lHand -0.0339932 1.44709 -0.749731 0.197515 -0.0740424 -0.664768 0.716652 1
lForeArm -0.0617843 1.43113 -0.408962 -0.694724 -0.336923 -0.634763 0.0303086 1
rHand 0.0116148 1.43797 0.803233 -0.747732 -0.633929 0.161936 0.113171 1
rForeArm -0.0645642 1.44547 0.467594 -0.612407 0.263542 -0.62673 0.403376 1
