tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.141603 1.65725 -0.020923 -0.100458 -0.683832 -0.0321655 0.721974 1
hip -0.0366564 1.16507 -0.022748 0.457896 0.516931 0.452592 0.564159 1
lHand -0.00505972 1.41479 -0.776422 0.187884 -0.0685205 -0.673574 0.711549 1
lForeArm -0.0423532 1.40988 -0.431797 0.678672 0.394585 0.617409 0.0501286 1
rHand -0.00326204 1.41764 0.774714 -0.650271 -0.739547 0.143769 0.0977183 1
rForeArm -0.0449636 1.42864 0.422005 -0.612068 0.150611 -0.608075 0.482632 1
lFoot -0.0106354 0.234891 -0.140784 -0.0336653 -0.059836 -0.733775 0.675915 1
rFoot -0.0101099 0.229491 0.14045 -0.805589 -0.58799 -0.0719386 0.0109176 1
lKnee 0.0696552 0.589587 -0.0877793 -0.0667025 -0.71887 -0.0697776 0.688409 1
rKnee 0.0892148 0.610395 0.0879159 -0.361489 -0.626864 0.280196 0.63076 1
head 0.141477 1.65718 -0.0209122 -0.100518 -0.683783 -0.0323413 0.722005 1
hip -0.0369372 1.1652 -0.0225402 0.457599 0.517152 0.452842 0.563996 1
lHand -0.0048275 1.41486 -0.7764 0.188104 -0.0681008 -0.672738 0.712322 1
lForeArm -0.042134 1.40983 -0.43182 0.678293 0.39536 0.617384 0.0494624 1
rHand -0.0030458 1.41803 0.77467 -0.650761 -0.738853 0.145449 0.0972189 1
rForeArm -0.0450931 1.42863 0.421993 -0.612109 0.151008 -0.608343 0.482119 1
lFoot -0.0106125 0.234905 -0.140792 -0.0336972 -0.0598528 -0.733769 0.675918 1
rFoot -0.0101175 0.229511 0.140465 -0.805565 -0.588006 -0.0720695 0.010921 1
lKnee 0.0693767 0.589448 -0.0875933 -0.0667696 -0.71911 -0.0698588 0.688144 1
rKnee 0.0891597 0.610391 0.0879531 -0.361402 -0.626845 0.280281 0.63079 1
head 0.141339 1.65712 -0.0209508 -0.100583 -0.683659 -0.0325992 0.722102 1
hip -0.0369794 1.16517 -0.0226498 0.457065 0.517138 0.453243 0.564119 1
lHand -0.00459886 1.41487 -0.776415 0.188052 -0.0679086 -0.672243 0.712822 1
lForeArm -0.0420208 1.40987 -0.431857 0.677984 0.39583 0.617443 0.0491983 1
rHand -0.00290537 1.41839 0.774446 -0.651225 -0.738267 0.146755 0.0965994 1
rForeArm -0.0452378 1.42863 0.422013 -0.612051 0.151508 -0.608548 0.481776 1
lFoot -0.0105779 0.234848 -0.140768 -0.0335911 -0.059799 -0.733743 0.675956 1
