tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.15492 1.65956 -0.00977302 -0.0591793 -0.699989 -0.0159646 0.711518 1
hip -0.0288496 1.16039 -0.017674 0.444763 0.527528 0.462941 0.556405 1
lHand 0.0288854 1.40111 -0.776878 0.21056 -0.074266 -0.628847 0.744782 1
lForeArm -0.0133352 1.39937 -0.432134 0.661981 0.424074 0.617188 0.0319553 1
rHand 0.029758 1.4059 0.76602 -0.641544 -0.752687 0.13905 0.0504867 1
rForeArm -0.0138302 1.41377 0.41692 -0.610568 0.203385 -0.608952 0.463702 1
lFoot -0.0156374 0.235607 -0.125449 -0.0672963 -0.0341437 -0.737878 0.670702 1
rFoot -0.0158525 0.227716 0.157833 -0.808643 -0.58396 -0.0712682 0.00264078 1
lKnee 0.0823059 0.604601 -0.0816662 -0.0848201 -0.710531 -0.0706488 0.694953 1
rKnee 0.0983953 0.613337 0.0999163 -0.383505 -0.611695 0.254812 0.643292 1
head 0.154998 1.65954 -0.00977993 -0.0592421 -0.699908 -0.0160994 0.711589 1
hip -0.0287814 1.16042 -0.0176328 0.444719 0.52736 0.462838 0.556684 1
lHand 0.0289822 1.40108 -0.77686 0.210941 -0.0742597 -0.629021 0.744528 1
lForeArm -0.0134106 1.39939 -0.43207 0.661933 0.424137 0.61719 0.0320846 1
rHand 0.0294836 1.4059 0.76596 -0.641564 -0.752842 0.138345 0.0498515 1
rForeArm -0.0137928 1.41377 0.416844 -0.61052 0.203755 -0.60915 0.463343 1
lFoot -0.0156796 0.235635 -0.125392 -0.0673018 -0.0342257 -0.737839 0.670741 1
rFoot -0.0158274 0.227738 0.157873 -0.808708 -0.583874 -0.0712508 0.0025195 1
lKnee 0.0821419 0.604327 -0.0814211 -0.0848975 -0.710524 -0.0709485 0.694921 1
rKnee 0.0984545 0.613302 0.0999753 -0.383617 -0.611534 0.254784 0.643388 1
head 0.155095 1.65948 -0.00969863 -0.0592317 -0.699828 -0.0161933 0.711667 1
hip -0.0288596 1.16048 -0.0174766 0.444605 0.527329 0.462799 0.556837 1
lHand 0.028913 1.40111 -0.776829 0.210967 -0.0742212 -0.628738 0.744763 1
lForeArm -0.0134664 1.39933 -0.432083 0.661949 0.424111 0.617181 0.0322537 1
rHand 0.0293705 1.40604 0.765964 -0.641613 -0.752886 0.138037 0.0494086 1
rForeArm -0.0138512 1.41373 0.416882 -0.610431 0.203857 -0.609175 0.463381 1
lFoot -0.0156312 0.235658 -0.125365 -0.067295 -0.0340895 -0.73788 0.670703 1
rFoot -0.0158482 0.227693 0.15792 -0.808688 -0.583897 -0.0712838 0.0025895 1
lKnee 0.0822253 0.60434 -0.0814288 -0.0848435 -0.710421 -0.0709892 0.695028 1
rKnee 0.0984788 0.613317 0.0999987 -0.383546 -0.611426 0.254825 0.643517 1
head 0.155162 1.65945 -0.00970292 -0.0592263 -0.699776 -0.0163636 0.711715 1
hip -0.0288014 1.16049 -0.0174081 0.444506 0.527307 0.462874 0.556874 1
lHand 0.0289431 1.40112 -0.776875 0.210971 -0.0742015 -0.628134 0.745274 1
lForeArm -0.0134442 1.39924 -0.432055 0.6621 0.423823 0.617215 0.0323095 1
rHand 0.0293179 1.40588 0.765728 -0.641589 -0.752968 0.137726 0.0493412 1
rForeArm -0.0138226 1.41373 0.416882 -0.610225 0.203474 -0.609142 0.463864 1
lFoot -0.0155149 0.235545 -0.125384 -0.0672972 -0.0340191 -0.73794 0.670641 1
rFoot -0.0158362 0.227707 0.157951 -0.808733 -0.583834 -0.0712832 0.00270765 1
lKnee 0.0822532 0.60443 -0.081355 -0.08484 -0.710238 -0.0709669 0.695218 1
rKnee 0.0985286 0.613301 0.10006 -0.383443 -0.611396 0.254876 0.643588 1
head 0.155287 1.65941 -0.00965834 -0.0591927 -0.699737 -0.0165456 0.711752 1
hip -0.0288088 1.16051 -0.0172231 0.444498 0.527343 0.46297 0.556767 1
lHand 0.0289171 1.40107 -0.776864 0.210819 -0.0741783 -0.627922 0.745498 1
lForeArm -0.0136714 1.39933 -0.431765 0.662161 0.42361 0.617292 0.0323839 1
rHand 0.0292029 1.40569 0.765568 -0.641732 -0.752845 0.137552 0.0498286 1
rForeArm -0.0139897 1.41385 0.417159 -0.610327 0.203023 -0.60912 0.463956 1
lFoot -0.0155046 0.235577 -0.125383 -0.0672857 -0.0339535 -0.737979 0.670602 1
rFoot -0.0158086 0.22771 0.157974 -0.808719 -0.583857 -0.0712546 0.00273503 1
lKnee 0.0823178 0.60446 -0.0813463 -0.0848064 -0.710152 -0.0709446 0.695312 1
rKnee 0.098572 0.613319 0.100076 -0.383394 -0.611383 0.254897 0.64362 1
head 0.155379 1.65935 -0.00968432 -0.0591811 -0.699762 -0.0167239 0.711724 1
hip -0.0287476 1.1605 -0.0171305 0.444789 0.527372 0.462863 0.556596 1
lHand 0.0289783 1.40099 -0.776852 0.210791 -0.0743733 -0.628002 0.745419 1
lForeArm -0.01373 1.39931 -0.431697 0.662323 0.423399 0.617253 0.0325586 1
rHand 0.0292368 1.40526 0.765596 -0.641021 -0.753547 0.136277 0.051854 1
rForeArm -0.0139909 1.41392 0.417298 -0.610621 0.202591 -0.609049 0.463851 1
