tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.0735776 1.59118 0.0223355 -0.0225736 -0.708372 -0.0111903 0.70539 1.00529
hip -0.0988934 1.07824 0.0421249 0.616443 0.359602 0.587388 0.381655 1.00529
lHand 0.00636435 1.41 -0.748306 0.180365 -0.140132 -0.702947 0.67357 1.00529
lForeArm -0.0450256 1.4565 -0.536022 0.36814 0.664414 -0.319716 0.566399 1.00529
rHand 0.00457406 1.44993 0.798061 -0.737861 -0.623159 0.212894 0.148021 1.00529
rForeArm -0.0385387 1.49315 0.620856 0.229311 -0.577712 0.715884 0.318081 1.00529
lFoot -0.0625145 0.168248 -0.121855 -0.106642 -0.0500217 0.106664 0.987293 1.00529
rFoot -0.093421 0.178142 0.159987 -0.50374 0.826035 -0.0298584 0.25104 1.00529
head 0.0735404 1.59117 0.0224071 -0.0223682 -0.708373 -0.011253 0.705394 1.00529
hip -0.0991137 1.07831 0.0422187 0.616273 0.359406 0.587577 0.381822 1.00529
lHand 0.00641036 1.41023 -0.748233 0.181412 -0.139902 -0.702799 0.673491 1.00529
lForeArm -0.0450256 1.45654 -0.536005 0.367973 0.664568 -0.319578 0.566405 1.00529
rHand 0.00468349 1.4499 0.797975 -0.738133 -0.622641 0.21375 0.147608 1.00529
rForeArm -0.0387094 1.49325 0.621054 0.229615 -0.5777 0.715946 0.317742 1.00529
lFoot -0.0625203 0.168282 -0.12183 -0.106578 -0.0499764 0.106623 0.987307 1.00529
rFoot -0.0932372 0.177972 0.159815 -0.503763 0.825999 -0.0298209 0.251116 1.00529
head 0.073524 1.59118 0.0224164 -0.0222667 -0.708397 -0.0113276 0.705372 1.00529
hip -0.0991404 1.0783 0.0422072 0.616188 0.359303 0.587612 0.382003 1.00529
lHand 0.0065105 1.41051 -0.748157 0.182242 -0.139666 -0.702439 0.673691 1.00529
lForeArm -0.0450971 1.45657 -0.535983 0.367434 0.664955 -0.318958 0.566651 1.00529
rHand 0.00485086 1.45004 0.797901 -0.737962 -0.622604 0.214711 0.147225 1.00529
rForeArm -0.0387208 1.49309 0.621063 0.230166 -0.577531 0.716177 0.31713 1.00529
lFoot -0.0625169 0.168289 -0.121832 -0.10659 -0.0498805 0.106739 0.987298 1.00529
rFoot -0.0932581 0.177999 0.15973 -0.503775 0.82596 -0.0298646 0.251216 1.00529
head 0.0735028 1.59118 0.022469 -0.0222267 -0.708421 -0.0113062 0.705349 1.00529
hip -0.0989251 1.07815 0.0419583 0.616177 0.359344 0.587632 0.38195 1.00529
lHand 0.00646567 1.41071 -0.748061 0.182723 -0.139366 -0.702151 0.673924 1.00529
lForeArm -0.0451198 1.45664 -0.536013 0.367238 0.665261 -0.318488 0.566683 1.00529
rHand 0.00508142 1.45008 0.797882 -0.738228 -0.621938 0.215893 0.146975 1.00529
rForeArm -0.0385139 1.49279 0.62105 0.23034 -0.577349 0.716468 0.316678 1.00529
lFoot -0.0625336 0.16834 -0.121851 -0.106532 -0.0500563 0.106765 0.987292 1.00529
rFoot -0.0932591 0.177976 0.159706 -0.503771 0.825965 -0.0299025 0.251204 1.00529
head 0.0734751 1.59119 0.0225306 -0.0223897 -0.708429 -0.011252 0.705337 1.00529
hip -0.0989897 1.07817 0.0420434 0.616359 0.359438 0.587468 0.38182 1.00529
lHand 0.00643063 1.41094 -0.74804 0.182727 -0.13898 -0.701863 0.674302 1.00529
lForeArm -0.0450375 1.45672 -0.535979 0.367125 0.665399 -0.31816 0.566779 1.00529
rHand 0.00529075 1.45004 0.797115 -0.738768 -0.62061 0.217983 0.146794 1.00529
rForeArm -0.0384381 1.49272 0.621121 0.231104 -0.576695 0.716784 0.316599 1.00529
lFoot -0.062613 0.168286 -0.121866 -0.106539 -0.0499475 0.106841 0.987289 1.00529
rFoot -0.0934217 0.178037 0.159908 -0.503805 0.825919 -0.0297711 0.251303 1.00529
head 0.0734606 1.5912 0.0225654 -0.0224992 -0.708503 -0.0111522 0.705261 1.00529
hip -0.0990183 1.07819 0.0420699 0.616612 0.359449 0.587223 0.381779 1.00529
lHand 0.00630283 1.41106 -0.748014 0.182319 -0.13861 -0.702068 0.674276 1.00529
lForeArm -0.0451474 1.45688 -0.535488 0.367243 0.665382 -0.317986 0.566819 1.00529
rHand 0.0057683 1.44984 0.796413 -0.738987 -0.61905 0.220395 0.148666 1.00529
rForeArm -0.0385654 1.49299 0.621268 0.23189 -0.576469 0.716707 0.31661 1.00529
lFoot -0.0626242 0.168282 -0.121872 -0.106588 -0.0499042 0.106821 0.987288 1.00529
rFoot -0.0934131 0.178024 0.159891 -0.503828 0.825952 -0.0296611 0.25116 1.00529
head 0.073478 1.59122 0.0226009 -0.0226323 -0.708493 -0.0110185 0.705269 1.00529
hip -0.0988653 1.0781 0.0419943 0.61689 0.359159 0.587045 0.381876 1.00529
lHand 0.00621653 1.4111 -0.747887 0.182222 -0.138302 -0.702411 0.674008 1.00529
lForeArm -0.0452616 1.45708 -0.535175 0.367627 0.665133 -0.318351 0.566658 1.00529
rHand 0.00634837 1.44948 0.795876 -0.738083 -0.618812 0.221535 0.152404 1.00529
rForeArm -0.0385249 1.49305 0.621382 0.231192 -0.57698 0.716571 0.316496 1.00529
lFoot -0.0626357 0.168275 -0.121877 -0.106556 -0.0500082 0.106912 0.987276 1.00529
rFoot -0.0932715 0.177909 0.159869 -0.503845 0.825907 -0.0296163 0.251278 1.00529
head 0.073489 1.59122 0.0226451 -0.0227484 -0.70844 -0.0108306 0.705321 1.00529
hip -0.098912 1.0781 0.0420103 0.616995 0.358906 0.586894 0.382178 1.00529
lHand 0.00615716 1.41114 -0.747823 0.182269 -0.138164 -0.702814 0.673603 1.00529
lForeArm -0.0452406 1.45721 -0.535049 0.367991 0.664901 -0.318862 0.566407 1.00529
rHand 0.00686526 1.44865 0.795906 -0.737477 -0.61877 0.2204 0.157085 1.00529
rForeArm -0.0383701 1.49328 0.621475 0.231424 -0.576613 0.716504 0.317148 1.00529
lFoot -0.0626163 0.168234 -0.121845 -0.106461 -0.0499901 0.106898 0.987289 1.00529
rFoot -0.0932624 0.177879 0.159866 -0.503785 0.82593 -0.0296458 0.25132 1.00529
head 0.0735228 1.59121 0.0226671 -0.0229612 -0.708387 -0.0107574 0.705369 1.00529
hip -0.0990987 1.07818 0.0421607 0.616872 0.358866 0.586965 0.382304 1.00529
lHand 0.00610971 1.41119 -0.747759 0.182109 -0.138221 -0.703037 0.673402 1.00529
lForeArm -0.0453227 1.45726 -0.534951 0.368157 0.66487 -0.319199 0.566146 1.00529
rHand 0.00711322 1.44796 0.795953 -0.73836 -0.617531 0.218807 0.160008 1.00529
rForeArm -0.0382216 1.4933 0.621689 0.231639 -0.577008 0.715331 0.318914 1.00529
lFoot -0.0625656 0.168253 -0.121829 -0.106422 -0.0499256 0.106954 0.987291 1.00529
rFoot -0.0929143 0.177627 0.159685 -0.503796 0.825925 -0.0296133 0.251319 1.00529
head 0.0735323 1.5912 0.0227288 -0.0230889 -0.708299 -0.0107307 0.705454 1.00529
hip -0.0991452 1.07816 0.0421816 0.616737 0.359064 0.587103 0.382124 1.00529
lHand 0.00615072 1.41114 -0.747714 0.181719 -0.138758 -0.703078 0.673355 1.00529
lForeArm -0.0452816 1.45727 -0.535103 0.3684 0.664695 -0.319619 0.565956 1.00529
rHand 0.00721097 1.44757 0.796068 -0.738648 -0.617375 0.217519 0.161035 1.00529
rForeArm -0.0380316 1.49331 0.621821 0.230842 -0.577482 0.714847 0.319721 1.00529
lFoot -0.0625579 0.168263 -0.121827 -0.106438 -0.0499362 0.106913 0.987293 1.00529
rFoot -0.0928979 0.177593 0.15969 -0.503814 0.825919 -0.0295834 0.251305 1.00529
head 0.07355 1.5912 0.0227685 -0.0233592 -0.708135 -0.0106963 0.705609 1.00529
hip -0.0993569 1.07819 0.042357 0.616669 0.359255 0.587187 0.381925 1.00529
lHand 0.00609612 1.41109 -0.747646 0.181283 -0.139248 -0.703167 0.673277 1.00529
lForeArm -0.0454385 1.45747 -0.534705 0.368452 0.664765 -0.319339 0.565998 1.00529
rHand 0.00728035 1.44747 0.796192 -0.73867 -0.617381 0.217215 0.161322 1.00529
rForeArm -0.0379155 1.4932 0.621938 0.229485 -0.578378 0.714142 0.320649 1.00529
lFoot -0.0625572 0.168255 -0.121832 -0.106401 -0.0499888 0.106926 0.987293 1.00529
rFoot -0.0927985 0.177506 0.159674 -0.503789 0.825922 -0.0295375 0.251351 1.00529
head 0.0735631 1.5912 0.0227675 -0.0235297 -0.707977 -0.0108006 0.705761 1.00529
hip -0.0994461 1.07819 0.0423844 0.616641 0.359476 0.587293 0.381599 1.00529
