tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.075103 1.65802 0.0161159 -0.0654935 -0.71369 -0.0367274 0.696425 1
hip -0.111493 1.16514 0.00850463 0.44277 0.53801 0.470101 0.541761 1
lHand -0.0827885 1.44348 -0.755995 0.232607 -0.0562822 -0.653669 0.717944 1
lForeArm -0.116388 1.41662 -0.403234 0.711917 0.316432 0.6268 0.0129259 1
rHand 0.0233858 1.40786 0.794702 -0.706944 -0.661617 0.212972 0.130908 1
rForeArm -0.0829017 1.42481 0.460788 -0.613912 0.303216 -0.614738 0.391497 1
lFoot -0.074811 0.23684 -0.126408 -0.0343202 -0.0477615 -0.742865 0.666852 1
rFoot -0.0847564 0.22753 0.15599 -0.806231 -0.585031 -0.0879158 0.00125085 1
lKnee 0.0257287 0.606684 -0.0644846 0.193493 -0.754739 -0.266714 0.567268 1
rKnee 0.028424 0.613103 0.104507 -0.347284 -0.593068 0.268728 0.674869 1
head 0.075232 1.65798 0.0161244 -0.0656112 -0.713662 -0.0368013 0.69644 1
hip -0.111413 1.16519 0.00855148 0.442788 0.538078 0.470111 0.54167 1
lHand -0.0826712 1.44308 -0.756029 0.231696 -0.056815 -0.653444 0.718401 1
lForeArm -0.116147 1.41649 -0.403326 0.711846 0.316492 0.626851 0.0128829 1
rHand 0.0233927 1.408 0.794806 -0.706895 -0.661882 0.212902 0.129939 1
rForeArm -0.0825553 1.42473 0.460672 -0.6138 0.303463 -0.615018 0.391041 1
lFoot -0.074831 0.23683 -0.126409 -0.034403 -0.0476162 -0.742876 0.666847 1
rFoot -0.0848043 0.227632 0.155858 -0.806256 -0.584981 -0.0880185 0.00111879 1
lKnee 0.0258136 0.606681 -0.064482 0.193301 -0.754808 -0.266894 0.567157 1
rKnee 0.0284133 0.613101 0.104567 -0.347277 -0.593121 0.268716 0.674832 1
head 0.0754056 1.65797 0.0161371 -0.0656985 -0.713596 -0.0368194 0.696498 1
hip -0.110044 1.16446 0.00820255 0.443385 0.537681 0.469722 0.541913 1
lHand -0.0825696 1.44271 -0.756075 0.230944 -0.05708 -0.653601 0.718479 1
lForeArm -0.115984 1.41645 -0.403209 0.711824 0.316582 0.626826 0.013125 1
rHand 0.0233493 1.4082 0.794935 -0.70682 -0.662175 0.2128 0.129022 1
rForeArm -0.0824285 1.42475 0.460702 -0.613685 0.303435 -0.615149 0.391036 1
lFoot -0.0748184 0.236838 -0.126456 -0.0343786 -0.04766 -0.742938 0.666775 1
rFoot -0.0847969 0.227648 0.155793 -0.806266 -0.58496 -0.0880608 0.00118352 1
lKnee 0.0257058 0.60658 -0.0645041 0.19306 -0.75493 -0.267024 0.567016 1
rKnee 0.0283983 0.613093 0.104618 -0.347343 -0.593179 0.268671 0.674765 1
head 0.0755618 1.65793 0.0161676 -0.0658507 -0.713544 -0.0367791 0.696539 1
hip -0.10887 1.16406 0.00731182 0.443399 0.537393 0.46937 0.542492 1
lHand -0.0824881 1.44228 -0.75618 0.230189 -0.0571194 -0.654499 0.717901 1
lForeArm -0.115737 1.41637 -0.403218 0.711783 0.316786 0.626762 0.0134516 1
rHand 0.0234048 1.4082 0.794792 -0.706888 -0.662122 0.212998 0.128594 1
rForeArm -0.0821853 1.42471 0.460662 -0.613542 0.303526 -0.615341 0.390888 1
lFoot -0.0748217 0.236835 -0.126419 -0.0344569 -0.0476218 -0.74298 0.666727 1
rFoot -0.0848029 0.227679 0.155815 -0.806275 -0.584942 -0.0880968 0.00123888 1
lKnee 0.0258074 0.606621 -0.0645981 0.193033 -0.754978 -0.266938 0.567002 1
rKnee 0.0283928 0.613045 0.104652 -0.347615 -0.593378 0.268398 0.674558 1
head 0.075758 1.65788 0.0160952 -0.0659881 -0.713453 -0.0367424 0.696621 1
hip -0.108711 1.16409 0.00731277 0.443519 0.53696 0.469308 0.542876 1
lHand -0.0823767 1.44191 -0.756195 0.229969 -0.0571689 -0.655375 0.717168 1
lForeArm -0.115445 1.41631 -0.403245 0.712009 0.317058 0.626357 0.0139283 1
rHand 0.0232248 1.40805 0.794338 -0.709336 -0.659683 0.213551 0.126711 1
rForeArm -0.08202 1.42474 0.460718 -0.614028 0.302991 -0.615108 0.390906 1
lFoot -0.0748196 0.236835 -0.126425 -0.0344444 -0.0476043 -0.742957 0.666755 1
rFoot -0.0847216 0.227557 0.155831 -0.806285 -0.584924 -0.0881327 0.0012207 1
lKnee 0.0258863 0.606636 -0.0646148 0.192762 -0.754784 -0.267294 0.567184 1
rKnee 0.0283914 0.613004 0.104724 -0.347817 -0.593294 0.268224 0.674597 1
head 0.0759535 1.65783 0.0161071 -0.0660347 -0.713345 -0.0367493 0.696727 1
hip -0.108457 1.16397 0.00701189 0.443154 0.536698 0.469254 0.54348 1
lHand -0.0822532 1.44163 -0.756164 0.22991 -0.0572516 -0.655799 0.716792 1
lForeArm -0.115395 1.41635 -0.403012 0.712084 0.317226 0.626187 0.0139561 1
rHand 0.0236418 1.40796 0.794198 -0.709896 -0.658751 0.214133 0.127443 1
rForeArm -0.0819705 1.42495 0.460729 -0.614521 0.302373 -0.615064 0.39068 1
lFoot -0.0747802 0.236787 -0.126451 -0.0345845 -0.0476346 -0.743007 0.666689 1
rFoot -0.0847955 0.227514 0.155886 -0.806286 -0.58492 -0.0881491 0.00124488 1
lKnee 0.0258331 0.606609 -0.0646327 0.192692 -0.75471 -0.26757 0.567176 1
rKnee 0.0284011 0.613006 0.104764 -0.347934 -0.593316 0.268085 0.674573 1
head 0.0760615 1.65787 0.0161667 -0.0661553 -0.713326 -0.036787 0.696732 1
hip -0.107695 1.16358 0.00649488 0.442746 0.536684 0.469356 0.543738 1
lHand -0.0821159 1.44146 -0.756064 0.230023 -0.0574969 -0.655746 0.716785 1
