tag time posX posY posZ rotX rotY rotZ rotW
head 101.658 -0.0095357 -0.0118964 0.999884 0.751008 -0.00285165 0.0048596 -0.00285165
hip 101.658 0.000806466 0.0269883 0.999635 0.550341 0.00658895 0.0335186 0.00658895
lHand 101.658 0.359614 -0.242341 0.901082 0.155154 0.437703 -0.861812 0.437703
rHand 101.658 -0.301643 -0.3232 0.896969 -0.105807 0.380453 -0.900449 0.380453
lFoot 101.658 0.778988 0.376773 0.501218 -0.981911 -0.0239053 -0.0511399 -0.0239053
rFoot 101.658 -0.800255 -0.106627 0.590103 -0.986226 -0.0735852 0.0250051 -0.0735852
head 101.669 -0.00956757 -0.0120135 0.999882 0.751199 -0.00309766 0.00492741 -0.00309766
hip 101.669 0.00108161 0.0269283 0.999637 0.550359 0.00679567 0.033478 0.00679567
lHand 101.669 0.359542 -0.242382 0.9011 0.155245 0.437277 -0.861854 0.437277
rHand 101.669 -0.301222 -0.322918 0.897212 -0.106493 0.379697 -0.900602 0.379697
lFoot 101.669 0.778856 0.377058 0.501209 -0.981921 -0.0239328 -0.0508862 -0.0239328
rFoot 101.669 -0.800077 -0.107205 0.59024 -0.986199 -0.0738657 0.0251503 -0.0738657
head 101.681 -0.00949937 -0.0120587 0.999882 0.751383 -0.00329744 0.00489505 -0.00329744
hip 101.681 0.00146184 0.026835 0.999639 0.550618 0.00649401 0.032601 0.00649401
lHand 101.681 0.359617 -0.242634 0.901002 0.155442 0.437015 -0.861875 0.437015
rHand 101.681 -0.300975 -0.32271 0.89737 -0.108085 0.379411 -0.900392 0.379411
lFoot 101.681 0.778693 0.378281 0.500542 -0.981945 -0.0242561 -0.0504598 -0.0242561
rFoot 101.681 -0.800157 -0.108585 0.589879 -0.98615 -0.0741072 0.0255338 -0.0741072
head 101.691 -0.00940316 -0.0122097 0.999881 0.751599 -0.00347647 0.00490402 -0.00347647
hip 101.691 0.00155285 0.0271404 0.99963 0.550587 0.00623317 0.0321671 0.00623317
lHand 101.691 0.359692 -0.242774 0.900934 0.15576 0.436773 -0.862064 0.436773
rHand 101.691 -0.300247 -0.322408 0.897722 -0.109752 0.378626 -0.900359 0.378626
lFoot 101.691 0.77863 0.378492 0.500479 -0.981943 -0.0242948 -0.0502241 -0.0242948
rFoot 101.691 -0.80027 -0.107805 0.58987 -0.986132 -0.0744894 0.0258221 -0.0744894
head 101.702 -0.00928612 -0.0123594 0.999881 0.751757 -0.00352038 0.00491436 -0.00352038
hip 101.702 0.00190052 0.0269565 0.999635 0.550399 0.00596447 0.0318411 0.00596447
lHand 101.702 0.359831 -0.242823 0.900865 0.155902 0.436574 -0.862372 0.436574
rHand 101.702 -0.299073 -0.32231 0.898149 -0.113721 0.377058 -0.900199 0.377058
lFoot 101.702 0.778979 0.378319 0.500066 -0.981982 -0.0241321 -0.0500279 -0.0241321
rFoot 101.702 -0.799952 -0.108027 0.590261 -0.98612 -0.0745558 0.0259154 -0.0745558
head 101.714 -0.00912527 -0.0124609 0.999881 0.75184 -0.00355438 0.00486491 -0.00355438
hip 101.714 0.0021759 0.0267667 0.999639 0.550105 0.0058959 0.0317402 0.0058959
lHand 101.714 0.360137 -0.243707 0.900505 0.156081 0.436399 -0.862585 0.436399
rHand 101.714 -0.297993 -0.322241 0.898533 -0.114468 0.376663 -0.900122 0.376663
lFoot 101.714 0.779052 0.377417 0.500635 -0.981996 -0.0242526 -0.0497239 -0.0242526
rFoot 101.714 -0.799911 -0.108314 0.590263 -0.986097 -0.074497 0.0261222 -0.074497
head 101.724 -0.00901294 -0.0125692 0.99988 0.751949 -0.0035691 0.00482185 -0.0035691
hip 101.724 0.00269549 0.0264307 0.999647 0.55018 0.00611858 0.031939 0.00611858
lHand 101.724 0.360297 -0.243668 0.900451 0.156357 0.435977 -0.863094 0.435977
rHand 101.724 -0.297229 -0.322574 0.898666 -0.116162 0.374004 -0.900613 0.374004
lFoot 101.724 0.778987 0.37743 0.500724 -0.982015 -0.0243072 -0.0493194 -0.0243072
rFoot 101.724 -0.801953 -0.106107 0.587888 -0.986119 -0.0742914 0.0261944 -0.0742914
head 101.736 -0.00898329 -0.0126317 0.99988 0.752041 -0.00366837 0.00487758 -0.00366837
hip 101.736 0.00295229 0.0263855 0.999648 0.550472 0.00616547 0.0320109 0.00616547
lHand 101.736 0.36069 -0.243952 0.900217 0.156563 0.435517 -0.863481 0.435517
rHand 101.736 -0.296856 -0.322887 0.898677 -0.115578 0.372835 -0.900765 0.372835
lFoot 101.736 0.779517 0.377072 0.50017 -0.982025 -0.0242072 -0.0490579 -0.0242072
rFoot 101.736 -0.801663 -0.105989 0.588305 -0.986104 -0.0743038 0.026331 -0.0743038
head 101.747 -0.00883304 -0.0127528 0.99988 0.752145 -0.0038135 0.00486993 -0.0038135
hip 101.747 0.00321257 0.0263377 0.999648 0.550754 0.00623766 0.0319744 0.00623766
lHand 101.747 0.360811 -0.243954 0.900168 0.156904 0.434975 -0.863899 0.434975
rHand 101.747 -0.29642 -0.32325 0.898691 -0.115013 0.372354 -0.900688 0.372354
lFoot 101.747 0.779566 0.376677 0.500391 -0.982028 -0.0241784 -0.0489435 -0.0241784
rFoot 101.747 -0.799164 -0.108093 0.591314 -0.986081 -0.0743389 0.026475 -0.0743389
head 101.758 -0.00875705 -0.0127986 0.99988 0.752223 -0.00400547 0.0050027 -0.00400547
hip 101.758 0.00344189 0.0264434 0.999644 0.551092 0.00613054 0.0316275 0.00613054
lHand 101.758 0.360924 -0.244014 0.900106 0.157123 0.434475 -0.864225 0.434475
rHand 101.758 -0.296036 -0.32334 0.898785 -0.114492 0.371895 -0.900675 0.371895
lFoot 101.758 0.779632 0.376759 0.500227 -0.982036 -0.0242889 -0.0487392 -0.0242889
rFoot 101.758 -0.798934 -0.108947 0.591468 -0.986082 -0.0742745 0.0265764 -0.0742745
head 101.769 -0.00858732 -0.0128289 0.999881 0.752281 -0.00418635 0.00487636 -0.00418635
hip 101.769 0.00374567 0.026338 0.999646 0.551234 0.00601729 0.0312291 0.00601729
lHand 101.769 0.361405 -0.244439 0.899798 0.157108 0.433978 -0.864559 0.433978
rHand 101.769 -0.295731 -0.32365 0.898773 -0.113711 0.371562 -0.900705 0.371562
lFoot 101.769 0.779596 0.376789 0.500261 -0.982034 -0.0243681 -0.048375 -0.0243681
rFoot 101.769 -0.798764 -0.108609 0.591761 -0.986048 -0.0743423 0.0267193 -0.0743423
head 101.78 -0.00845561 -0.0128501 0.999882 0.752261 -0.00425039 0.00471583 -0.00425039
hip 101.78 0.00397672 0.0264557 0.999642 0.551127 0.00586917 0.0308378 0.00586917
lHand 101.78 0.361529 -0.244534 0.899722 0.157018 0.433784 -0.864668 0.433784
rHand 101.78 -0.295547 -0.323873 0.898753 -0.112686 0.371908 -0.900649 0.371908
lFoot 101.78 0.779673 0.376753 0.500167 -0.982013 -0.0245936 -0.0481424 -0.0245936
rFoot 101.78 -0.798617 -0.108203 0.592032 -0.986025 -0.0743535 0.0268902 -0.0743535
head 101.791 -0.00835245 -0.0128703 0.999882 0.752301 -0.00437409 0.00467683 -0.00437409
hip 101.791 0.00421894 0.026365 0.999644 0.551091 0.00582566 0.0307003 0.00582566
lHand 101.791 0.361625 -0.244647 0.899653 0.157067 0.433661 -0.864712 0.433661
rHand 101.791 -0.295319 -0.323954 0.8988 -0.112305 0.371695 -0.900645 0.371695
lFoot 101.791 0.779893 0.37665 0.499902 -0.982022 -0.0243776 -0.0479666 -0.0243776
rFoot 101.791 -0.798439 -0.108075 0.592297 -0.986033 -0.0742873 0.0269733 -0.0742873
head 101.803 -0.00811304 -0.0129562 0.999883 0.752326 -0.00458407 0.00446478 -0.00458407
hip 101.803 0.00445004 0.0262754 0.999645 0.551159 0.00577559 0.0306663 0.00577559
lHand 101.803 0.362111 -0.245209 0.899304 0.156918 0.433977 -0.86448 0.433977
rHand 101.803 -0.295418 -0.324469 0.898581 -0.111986 0.372082 -0.900727 0.372082
lFoot 101.803 0.780456 0.376217 0.499348 -0.982061 -0.0237652 -0.0478009 -0.0237652
rFoot 101.803 -0.798163 -0.108453 0.592599 -0.986038 -0.0739995 0.0271193 -0.0739995
head 101.814 -0.0079908 -0.0129844 0.999884 0.752305 -0.00478405 0.00438651 -0.00478405
hip 101.814 0.00463312 0.0263611 0.999642 0.551244 0.00577118 0.0307895 0.00577118
lHand 101.814 0.362208 -0.245436 0.899203 0.156659 0.434488 -0.864032 0.434488
rHand 101.814 -0.295649 -0.324757 0.898401 -0.111629 0.372179 -0.900881 0.372179
lFoot 101.814 0.780606 0.37632 0.499037 -0.982079 -0.0237359 -0.0475433 -0.0237359
rFoot 101.814 -0.798847 -0.107852 0.591786 -0.986021 -0.0739007 0.027428 -0.0739007
head 101.825 -0.00786406 -0.0130266 0.999884 0.752267 -0.00498616 0.00425618 -0.00498616
hip 101.825 0.00491938 0.0262204 0.999644 0.551303 0.00585501 0.0307376 0.00585501
lHand 101.825 0.362329 -0.24564 0.899099 0.156415 0.434871 -0.863674 0.434871
rHand 101.825 -0.296238 -0.325279 0.898018 -0.111166 0.372778 -0.900925 0.372778
lFoot 101.825 0.780697 0.376432 0.49881 -0.982099 -0.0236306 -0.0473102 -0.0236306
rFoot 101.825 -0.798659 -0.108065 0.592002 -0.985999 -0.0738815 0.0276813 -0.0738815
head 101.836 -0.00773215 -0.0130897 0.999884 0.752218 -0.00514489 0.00406641 -0.00514489
hip 101.836 0.00517188 0.026134 0.999645 0.55128 0.00582781 0.030485 0.00582781
lHand 101.836 0.362529 -0.246135 0.898883 0.156238 0.435129 -0.863429 0.435129
rHand 101.836 -0.296751 -0.325547 0.897752 -0.111176 0.373281 -0.900903 0.373281
lFoot 101.836 0.780445 0.376729 0.49898 -0.982113 -0.0238951 -0.0469127 -0.0238951
rFoot 101.836 -0.7985 -0.107679 0.592286 -0.985981 -0.0739227 0.0280284 -0.0739227
head 101.847 -0.00757912 -0.0131266 0.999885 0.752173 -0.0053273 0.0038527 -0.0053273
hip 101.847 0.00545703 0.026002 0.999647 0.55114 0.00569567 0.029933 0.00569567
lHand 101.847 0.362601 -0.246333 0.8988 0.15621 0.43525 -0.863176 0.43525
rHand 101.847 -0.29726 -0.325561 0.897578 -0.111523 0.374128 -0.90092 0.374128
lFoot 101.847 0.780338 0.376843 0.499062 -0.98211 -0.0242302 -0.046563 -0.0242302
rFoot 101.847 -0.79857 -0.107698 0.592189 -0.985956 -0.0740253 0.028456 -0.0740253
head 101.859 -0.00746536 -0.0131113 0.999886 0.752148 -0.00547575 0.00372466 -0.00547575
hip 101.859 0.00576721 0.0258881 0.999648 0.551037 0.00560794 0.029424 0.00560794
lHand 101.859 0.362635 -0.246474 0.898747 0.156357 0.435219 -0.862982 0.435219
