tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.181116 1.58108 0.009323 -0.0519018 -0.662703 -0.0506541 0.745363 1.00678
hip -0.0450988 1.07811 0.0168917 -0.280317 0.673864 -0.28558 0.621107 1.00678
lHand 0.116998 0.787273 -0.280467 -0.143479 -0.557192 -0.511665 0.638083 1.00678
lForeArm 0.0358412 0.980756 -0.265046 -0.0841359 0.246918 -0.949807 0.172684 1.00678
rHand 0.163743 0.760573 0.263367 -0.506868 -0.510201 -0.0824828 0.689911 1.00678
rForeArm 0.117359 0.923138 0.283854 0.699971 -0.607702 -0.210743 0.310363 1.00678
lFoot -0.0212147 0.235953 -0.143335 0.18944 0.216799 0.865048 0.410857 1.00678
rFoot 0.0396955 0.203051 0.131545 -0.922755 -0.249787 0.187023 0.226169 1.00678
head 0.181116 1.58108 0.009323 -0.0519018 -0.662703 -0.0506541 0.745363 1.00678
hip -0.0450988 1.07811 0.0168917 -0.280317 0.673864 -0.28558 0.621107 1.00678
lHand 0.116998 0.787273 -0.280467 -0.143479 -0.557192 -0.511665 0.638083 1.00678
lForeArm 0.0358412 0.980756 -0.265046 -0.0841359 0.246918 -0.949807 0.172684 1.00678
rHand 0.163743 0.760573 0.263367 -0.506868 -0.510201 -0.0824828 0.689911 1.00678
rForeArm 0.117359 0.923138 0.283854 0.699971 -0.607702 -0.210743 0.310363 1.00678
lFoot -0.0212147 0.235953 -0.143335 0.18944 0.216799 0.865048 0.410857 1.00678
rFoot 0.0396955 0.203051 0.131545 -0.922755 -0.249787 0.187023 0.226169 1.00678
head 0.181116 1.58108 0.009323 -0.0519018 -0.662703 -0.0506541 0.745363 1.00678
hip -0.0450988 1.07811 0.0168917 -0.280317 0.673864 -0.28558 0.621107 1.00678
lHand 0.116998 0.787273 -0.280467 -0.143479 -0.557192 -0.511665 0.638083 1.00678
lForeArm 0.0358412 0.980756 -0.265046 -0.0841359 0.246918 -0.949807 0.172684 1.00678
rHand 0.163743 0.760573 0.263367 -0.506868 -0.510201 -0.0824828 0.689911 1.00678
rForeArm 0.117359 0.923138 0.283854 0.699971 -0.607702 -0.210743 0.310363 1.00678
lFoot -0.0212147 0.235953 -0.143335 0.18944 0.216799 0.865048 0.410857 1.00678
rFoot 0.0396955 0.203051 0.131545 -0.922755 -0.249787 0.187023 0.226169 1.00678
