tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.190074 1.5811 0.0149977 -0.0489873 -0.661343 -0.0490098 0.746876 1.00678
hip -0.0481739 1.0805 0.0235945 -0.272467 0.684424 -0.298858 0.606638 1.00678
lHand 0.111167 0.781047 -0.246941 -0.171213 -0.563154 -0.502762 0.633067 1.00678
lForeArm 0.033783 0.975798 -0.239741 -0.079854 0.222455 -0.957268 0.166661 1.00678
rHand 0.16811 0.756483 0.232267 -0.499143 -0.454104 -0.0369857 0.737074 1.00678
rForeArm 0.123559 0.917059 0.264585 0.685548 -0.580142 -0.274689 0.343519 1.00678
lFoot -0.0204847 0.236964 -0.141204 0.2029 0.212373 0.86209 0.412953 1.00678
rFoot 0.0392578 0.202583 0.130152 -0.910876 -0.241568 0.228945 0.243995 1.00678
head 0.19473 1.58071 0.0175097 -0.0464915 -0.660406 -0.0475363 0.747959 1.00678
hip -0.0498078 1.08107 0.0267866 -0.269562 0.689295 -0.304553 0.599547 1.00678
lHand 0.110273 0.778954 -0.235541 -0.17453 -0.5668 -0.502828 0.628841 1.00678
lForeArm 0.0329263 0.97403 -0.231058 -0.081046 0.212854 -0.95906 0.16831 1.00678
rHand 0.17223 0.755098 0.22433 -0.495237 -0.448364 -0.0296026 0.743528 1.00678
rForeArm 0.127055 0.915077 0.258687 0.686656 -0.567881 -0.290769 0.348523 1.00678
lFoot -0.020036 0.23741 -0.140376 0.207548 0.210318 0.860946 0.414079 1.00678
rFoot 0.0408382 0.202433 0.130415 -0.908548 -0.24209 0.234937 0.246451 1.00678
head 0.197299 1.58032 0.0188088 -0.0453621 -0.659785 -0.0465327 0.74864 1.00678
hip -0.0510383 1.08104 0.0288823 -0.268687 0.691238 -0.306052 0.596934 1.00678
lHand 0.110355 0.778255 -0.230179 -0.174582 -0.569731 -0.501688 0.627086 1.00678
lForeArm 0.0326464 0.973258 -0.227491 -0.0787468 0.208017 -0.959802 0.171197 1.00678
rHand 0.174633 0.754309 0.220467 -0.492457 -0.447519 -0.0276459 0.745955 1.00678
rForeArm 0.128819 0.913861 0.2559 0.687887 -0.561641 -0.298024 0.350075 1.00678
lFoot -0.0198712 0.237648 -0.139948 0.209896 0.208985 0.860395 0.414716 1.00678
rFoot 0.0426767 0.201985 0.130674 -0.90753 -0.244683 0.237347 0.245327 1.00678
head 0.200044 1.57978 0.0201169 -0.0441448 -0.659101 -0.0455544 0.749374 1.00678
hip -0.0521991 1.08105 0.0307949 -0.26779 0.69351 -0.307067 0.594173 1.00678
lHand 0.11051 0.777344 -0.224939 -0.175068 -0.573674 -0.49988 0.624796 1.00678
lForeArm 0.0323966 0.972573 -0.224326 -0.0737229 0.202977 -0.960644 0.174725 1.00678
rHand 0.176998 0.75373 0.216525 -0.488946 -0.445604 -0.0249403 0.749497 1.00678
rForeArm 0.130584 0.912808 0.25328 0.688873 -0.555524 -0.305172 0.351733 1.00678
lFoot -0.019721 0.237871 -0.139452 0.21205 0.207733 0.859976 0.415119 1.00678
rFoot 0.0440814 0.201562 0.130679 -0.906405 -0.245446 0.239904 0.246237 1.00678
head 0.202891 1.57909 0.0214388 -0.0430218 -0.658495 -0.0445949 0.75003 1.00678
hip -0.0535064 1.08087 0.0329072 -0.267337 0.696208 -0.307375 0.591055 1.00678
lHand 0.111159 0.776738 -0.219837 -0.173006 -0.579491 -0.497349 0.622016 1.00678
lForeArm 0.032233 0.97163 -0.221026 -0.0685674 0.197875 -0.961495 0.177966 1.00678
rHand 0.179322 0.752967 0.21229 -0.485355 -0.443259 -0.021526 0.753319 1.00678
rForeArm 0.132313 0.911562 0.250592 0.690347 -0.549395 -0.311746 0.352703 1.00678
lFoot -0.0195818 0.238027 -0.138931 0.214251 0.206479 0.85949 0.415619 1.00678
rFoot 0.0456908 0.200882 0.130911 -0.906354 -0.247246 0.238498 0.24599 1.00678
head 0.206022 1.57816 0.0227315 -0.0417855 -0.658046 -0.0435283 0.750556 1.00678
hip -0.0546548 1.08033 0.0351068 -0.267845 0.699957 -0.305077 0.587578 1.00678
lHand 0.11195 0.776093 -0.2148 -0.169157 -0.586312 -0.49538 0.618242 1.00678
lForeArm 0.0322683 0.970711 -0.218257 -0.0604567 0.192654 -0.962433 0.181525 1.00678
rHand 0.18202 0.752256 0.208184 -0.481045 -0.441627 -0.0177011 0.757131 1.00678
rForeArm 0.13445 0.9104 0.248473 0.693142 -0.543314 -0.317272 0.351714 1.00678
lFoot -0.0193739 0.238131 -0.138273 0.216383 0.205454 0.858977 0.416083 1.00678
rFoot 0.0472615 0.2002 0.131107 -0.906955 -0.250123 0.23483 0.244388 1.00678
head 0.209278 1.57704 0.0240352 -0.0405352 -0.657591 -0.042527 0.751081 1.00678
hip -0.0563092 1.07974 0.0375566 -0.269725 0.704095 -0.300053 0.584352 1.00678
lHand 0.112675 0.775459 -0.209652 -0.164943 -0.593072 -0.493723 0.614245 1.00678
lForeArm 0.0322857 0.969697 -0.215734 -0.0502469 0.187096 -0.963462 0.184964 1.00678
rHand 0.185081 0.75225 0.204425 -0.476308 -0.439248 -0.0127116 0.761597 1.00678
rForeArm 0.13642 0.909245 0.246221 0.694644 -0.537166 -0.32423 0.351847 1.00678
lFoot -0.0190752 0.238284 -0.137741 0.218552 0.204456 0.85846 0.416508 1.00678
rFoot 0.0479591 0.199332 0.131451 -0.908069 -0.252888 0.228063 0.243814 1.00678
head 0.2127 1.5759 0.0253061 -0.0392877 -0.657157 -0.0413593 0.751592 1.00678
hip -0.0572789 1.07913 0.0392386 -0.272668 0.707664 -0.295004 0.581237 1.00678
lHand 0.113796 0.775493 -0.204976 -0.155858 -0.601857 -0.491312 0.609991 1.00678
lForeArm 0.0324271 0.969016 -0.21319 -0.0382867 0.182322 -0.964333 0.188026 1.00678
rHand 0.187595 0.751368 0.199975 -0.472949 -0.435717 -0.00721223 0.765779 1.00678
rForeArm 0.138459 0.907885 0.243916 0.696277 -0.530745 -0.331596 0.3515 1.00678
lFoot -0.0187747 0.238504 -0.137142 0.219564 0.20302 0.858288 0.417034 1.00678
rFoot 0.0472825 0.198892 0.132077 -0.909813 -0.251194 0.219943 0.246511 1.00678
head 0.216307 1.57461 0.0265605 -0.0384043 -0.656807 -0.0402069 0.752006 1.00678
hip -0.0592484 1.07927 0.041678 -0.27577 0.710079 -0.29133 0.578676 1.00678
lHand 0.114369 0.775467 -0.200674 -0.150079 -0.608769 -0.487941 0.607281 1.00678
lForeArm 0.0322914 0.968411 -0.210616 -0.0260922 0.178455 -0.965032 0.190228 1.00678
rHand 0.189821 0.750013 0.197024 -0.471006 -0.43025 0.000472776 0.77009 1.00678
rForeArm 0.140401 0.906718 0.241832 0.696993 -0.524018 -0.340378 0.351779 1.00678
lFoot -0.0186357 0.238904 -0.136635 0.220032 0.201438 0.858402 0.417319 1.00678
rFoot 0.0469885 0.198818 0.132698 -0.911988 -0.253225 0.21078 0.244391 1.00678
head 0.220059 1.57324 0.0277723 -0.03747 -0.656396 -0.0389196 0.752479 1.00678
