tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.145116 1.59028 0.0197277 -0.0119055 -0.711788 -0.0180102 0.702062 0.999508
hip -0.0314493 1.0795 0.0432694 0.612009 0.397387 0.586946 0.350747 0.999508
lHand 0.0141635 1.3885 -0.760245 0.146807 -0.113544 -0.768722 0.612063 0.999508
lForeArm -0.018101 1.44841 -0.54247 0.39114 0.654988 -0.392635 0.513652 0.999508
rHand 0.169724 1.43551 0.783213 -0.691423 -0.646973 0.256491 0.193837 0.999508
rForeArm 0.0967085 1.47972 0.614054 0.277055 -0.568136 0.696451 0.339732 0.999508
lFoot -0.0150368 0.168158 -0.111769 -0.118467 -0.0530148 0.106803 0.985773 0.999508
rFoot -0.0164587 0.176508 0.15655 -0.510475 0.837254 0.0178331 0.1952 0.999508
head 0.145171 1.59027 0.0197233 -0.0120182 -0.711747 -0.018061 0.702101 0.999508
hip -0.0314076 1.07952 0.0432765 0.611986 0.397212 0.586964 0.350953 0.999508
lHand 0.0141106 1.38861 -0.760247 0.147397 -0.112863 -0.76761 0.613442 0.999508
lForeArm -0.0182121 1.44838 -0.54249 0.390921 0.654956 -0.392737 0.513782 0.999508
rHand 0.169946 1.43563 0.78319 -0.692387 -0.645743 0.257549 0.193093 0.999508
rForeArm 0.0968926 1.47979 0.614097 0.276627 -0.568245 0.696282 0.340245 0.999508
lFoot -0.0149641 0.168237 -0.111816 -0.118391 -0.0530616 0.106706 0.98579 0.999508
rFoot -0.016495 0.176555 0.156585 -0.510429 0.837291 0.0178277 0.195164 0.999508
head 0.145242 1.59026 0.0197289 -0.0122375 -0.711718 -0.0180812 0.702126 0.999508
hip -0.0316138 1.07967 0.0434728 0.611917 0.396936 0.587069 0.351212 0.999508
lHand 0.0139897 1.38868 -0.760286 0.147586 -0.112757 -0.767262 0.613851 0.999508
lForeArm -0.0183711 1.44828 -0.542498 0.390643 0.654958 -0.392927 0.513845 0.999508
rHand 0.170106 1.43592 0.783186 -0.692467 -0.645476 0.258698 0.192161 0.999508
rForeArm 0.096977 1.47976 0.614061 0.275557 -0.568856 0.695698 0.341286 0.999508
lFoot -0.0148931 0.16826 -0.111833 -0.118353 -0.0529768 0.106721 0.985797 0.999508
rFoot -0.0166397 0.176641 0.156647 -0.51044 0.837279 0.0177464 0.195194 0.999508
head 0.145272 1.59022 0.0197055 -0.0122958 -0.7117 -0.0181323 0.702142 0.999508
hip -0.0315669 1.0797 0.043509 0.611986 0.396609 0.586967 0.35163 0.999508
lHand 0.0139167 1.38863 -0.760251 0.147777 -0.113149 -0.767128 0.613901 0.999508
lForeArm -0.0185091 1.44821 -0.542501 0.390279 0.655276 -0.392758 0.513845 0.999508
rHand 0.17036 1.43621 0.783207 -0.692411 -0.645307 0.259989 0.191184 0.999508
rForeArm 0.0970294 1.47982 0.614102 0.275284 -0.569132 0.695337 0.341781 0.999508
lFoot -0.014874 0.168285 -0.111824 -0.118374 -0.0530215 0.106683 0.985797 0.999508
rFoot -0.0166914 0.176686 0.156693 -0.510474 0.837256 0.0177997 0.195198 0.999508
head 0.145311 1.5902 0.0196804 -0.0124876 -0.711733 -0.0181557 0.702104 0.999508
hip -0.0312481 1.07957 0.0433378 0.612279 0.396221 0.58664 0.352104 0.999508
lHand 0.0137749 1.38846 -0.760123 0.147665 -0.113856 -0.767453 0.61339 0.999508
lForeArm -0.0186532 1.44817 -0.542522 0.389975 0.655697 -0.392281 0.513903 0.999508
rHand 0.170544 1.43648 0.783161 -0.692122 -0.645459 0.260981 0.190367 0.999508
rForeArm 0.0970662 1.47975 0.614226 0.275665 -0.569187 0.695258 0.341542 0.999508
lFoot -0.0149937 0.168191 -0.111858 -0.118307 -0.0529915 0.106724 0.985802 0.999508
rFoot -0.0171268 0.176936 0.156902 -0.510434 0.837272 0.0179431 0.195219 0.999508
head 0.145357 1.59016 0.0196775 -0.012586 -0.711728 -0.0182517 0.702106 0.999508
hip -0.031178 1.07961 0.0433879 0.612698 0.395789 0.586212 0.352572 0.999508
lHand 0.0136454 1.38819 -0.760033 0.146986 -0.114458 -0.768324 0.61235 0.999508
lForeArm -0.0187304 1.44809 -0.542504 0.389729 0.655929 -0.39206 0.513963 0.999508
rHand 0.170809 1.43663 0.78311 -0.691574 -0.645825 0.261408 0.190531 0.999508
rForeArm 0.0971227 1.47983 0.61423 0.276384 -0.568979 0.695243 0.341337 0.999508
lFoot -0.0149784 0.168191 -0.111881 -0.118319 -0.052977 0.106731 0.985801 0.999508
rFoot -0.0171919 0.176996 0.156929 -0.510407 0.837309 0.0178744 0.195135 0.999508
head 0.145391 1.59012 0.0196404 -0.0128153 -0.711745 -0.018366 0.70208 0.999508
hip -0.0306914 1.07945 0.0431988 0.613162 0.395174 0.58576 0.353208 0.999508
lHand 0.0135009 1.38798 -0.76002 0.146555 -0.114431 -0.76863 0.612074 0.999508
lForeArm -0.0187418 1.44802 -0.542387 0.389858 0.655812 -0.392267 0.513856 0.999508
rHand 0.171034 1.43676 0.783 -0.691699 -0.645253 0.262396 0.190655 0.999508
rForeArm 0.0971479 1.47979 0.614315 0.277696 -0.568333 0.695548 0.340728 0.999508
lFoot -0.0149913 0.168207 -0.111821 -0.118375 -0.0530314 0.106658 0.985799 0.999508
rFoot -0.0173161 0.177095 0.157033 -0.510449 0.83725 0.0177695 0.195291 0.999508
head 0.145447 1.59008 0.0196218 -0.0130658 -0.711709 -0.0184296 0.702111 0.999508
hip -0.030618 1.07949 0.0432281 0.613444 0.394609 0.585498 0.353783 0.999508
lHand 0.0133772 1.38778 -0.760024 0.14608 -0.114127 -0.768978 0.611807 0.999508
lForeArm -0.0187321 1.44796 -0.54233 0.390245 0.65529 -0.392969 0.513692 0.999508
rHand 0.17118 1.43693 0.782609 -0.692218 -0.644378 0.263597 0.190071 0.999508
rForeArm 0.0975039 1.47966 0.614321 0.279008 -0.567698 0.695858 0.340082 0.999508
lFoot -0.0149989 0.168268 -0.111752 -0.118229 -0.0529193 0.106615 0.985827 0.999508
rFoot -0.0173755 0.177134 0.157083 -0.510406 0.837278 0.0178335 0.195279 0.999508
head 0.145475 1.59007 0.0196042 -0.0133897 -0.711695 -0.0183843 0.702121 0.999508
hip -0.0304611 1.07946 0.0432494 0.613604 0.393779 0.585317 0.354727 0.999508
lHand 0.0132444 1.38767 -0.759969 0.145849 -0.11401 -0.768764 0.612154 0.999508
lForeArm -0.0187266 1.44788 -0.542327 0.39069 0.65494 -0.393692 0.513247 0.999508
rHand 0.171536 1.43709 0.782455 -0.692128 -0.644249 0.263903 0.190412 0.999508
rForeArm 0.0978057 1.47973 0.614293 0.279658 -0.567227 0.696082 0.339876 0.999508
lFoot -0.015008 0.168242 -0.111733 -0.118271 -0.0529965 0.106639 0.985815 0.999508
rFoot -0.0174205 0.177192 0.157122 -0.510382 0.837298 0.0178899 0.19525 0.999508
head 0.145531 1.59003 0.0196035 -0.0135797 -0.71162 -0.0183197 0.702194 0.999508
hip -0.0302706 1.07945 0.0432649 0.613721 0.393226 0.585159 0.355401 0.999508
lHand 0.0131576 1.38752 -0.759901 0.145814 -0.114034 -0.76838 0.612639 0.999508
lForeArm -0.0189087 1.4478 -0.542161 0.390696 0.654735 -0.394347 0.513 0.999508
rHand 0.171513 1.43706 0.782698 -0.692041 -0.645082 0.262326 0.190091 0.999508
