tag rawPosX rawPosY rawPosZ rawRotX rawRotY rawRotZ rawRotW scale
head 0.134797 1.57337 -0.0243583 -0.048594 -0.6908 -0.0479975 0.719813 0.992742
hip -0.0165466 1.06752 0.0590377 -0.0329618 0.837542 -0.0557527 0.54252 0.992742
lHand -0.030256 1.40213 -0.764686 0.0330048 -0.0699161 -0.66962 0.738669 0.992742
rHand 0.0459661 1.38322 0.780627 -0.661852 -0.745509 0.0358326 0.0698897 0.992742
lFoot 0.00493383 0.149879 -0.144591 -0.104954 -0.128435 0.025373 0.985822 0.992742
rFoot 0.0167102 0.136789 0.116034 0.218309 -0.940324 -0.127579 0.227719 0.992742
head 0.134814 1.57339 -0.0243078 -0.0482669 -0.690815 -0.0481955 0.719807 0.992742
hip -0.0165935 1.0675 0.05905 -0.0331189 0.837556 -0.0555011 0.542515 0.992742
lHand -0.0305403 1.40207 -0.764739 0.0323958 -0.0692626 -0.670433 0.738019 0.992742
rHand 0.0458634 1.38341 0.780606 -0.660853 -0.746484 0.0356259 0.0690306 0.992742
lFoot 0.00492764 0.149836 -0.144585 -0.104972 -0.128467 0.02527 0.985819 0.992742
rFoot 0.0167634 0.136838 0.115971 0.218298 -0.940302 -0.127636 0.227788 0.992742
head 0.134906 1.5734 -0.024305 -0.0478741 -0.690846 -0.0484804 0.719784 0.992742
hip -0.0166262 1.06753 0.0590065 -0.0334201 0.837738 -0.0551612 0.542251 0.992742
lHand -0.0307896 1.40208 -0.76486 0.0320192 -0.0686307 -0.671297 0.737309 0.992742
rHand 0.0458728 1.38349 0.780553 -0.658445 -0.748835 0.0354168 0.0666457 0.992742
lFoot 0.00491154 0.149877 -0.144592 -0.10514 -0.128529 0.0252077 0.985794 0.992742
rFoot 0.0167218 0.136849 0.116035 0.218264 -0.940292 -0.127657 0.227848 0.992742
head 0.134996 1.57341 -0.0243464 -0.0476565 -0.690929 -0.0486174 0.71971 0.992742
hip -0.0165946 1.06758 0.0589567 -0.0334299 0.837915 -0.0552639 0.541965 0.992742
lHand -0.0311857 1.40206 -0.764926 0.0319176 -0.068252 -0.671917 0.736784 0.992742
rHand 0.0458424 1.38354 0.780397 -0.657495 -0.749743 0.0354912 0.0657727 0.992742
lFoot 0.00490141 0.149895 -0.144618 -0.105151 -0.128579 0.0252402 0.985786 0.992742
rFoot 0.0167296 0.136846 0.116004 0.218265 -0.940306 -0.127593 0.227827 0.992742
head 0.134914 1.57336 -0.0243508 -0.0473942 -0.690972 -0.0486048 0.719687 0.992742
hip -0.0165423 1.06759 0.0589346 -0.0328477 0.837984 -0.0560264 0.541817 0.992742
lHand -0.0311739 1.40219 -0.765138 0.0320564 -0.0681144 -0.672237 0.736499 0.992742
rHand 0.0455601 1.38367 0.780144 -0.658042 -0.749246 0.0355728 0.0659221 0.992742
lFoot 0.00481296 0.149884 -0.144724 -0.105077 -0.128651 0.0252514 0.985784 0.992742
rFoot 0.016668 0.136889 0.115818 0.218257 -0.94029 -0.127629 0.22788 0.992742
head 0.134951 1.57344 -0.0242891 -0.0473269 -0.690952 -0.0486976 0.719705 0.992742
hip -0.0165205 1.06759 0.058943 -0.032493 0.83792 -0.0564736 0.541891 0.992742
lHand -0.0312803 1.40241 -0.765121 0.0323855 -0.0682504 -0.671957 0.736727 0.992742
rHand 0.0455999 1.38355 0.779778 -0.658134 -0.7492 0.0352352 0.0657071 0.992742
lFoot 0.00476789 0.149907 -0.144751 -0.105196 -0.128417 0.0252517 0.985802 0.992742
rFoot 0.0166306 0.136889 0.115834 0.218284 -0.940293 -0.127637 0.227836 0.992742
head 0.134998 1.57342 -0.0242643 -0.0473595 -0.691058 -0.048626 0.719605 0.992742
hip -0.0164858 1.06758 0.0589585 -0.0324001 0.837806 -0.0563885 0.54208 0.992742
lHand -0.0308522 1.40269 -0.76525 0.0326809 -0.0680804 -0.671597 0.737058 0.992742
rHand 0.0454345 1.38335 0.779917 -0.657649 -0.749698 0.0337775 0.0656497 0.992742
lFoot 0.00482881 0.149954 -0.144758 -0.105212 -0.128414 0.0252933 0.985799 0.992742
rFoot 0.0166888 0.136872 0.115962 0.218307 -0.940257 -0.127705 0.227926 0.992742
head 0.135207 1.57347 -0.0243175 -0.0473099 -0.691141 -0.0486206 0.719529 0.992742
hip -0.0162486 1.06753 0.0589328 -0.0325828 0.837897 -0.0559613 0.541974 0.992742
lHand -0.0307492 1.4028 -0.765076 0.0330849 -0.0680075 -0.671252 0.737361 0.992742
rHand 0.0453532 1.38352 0.779709 -0.657259 -0.750103 0.0329024 0.0653773 0.992742
lFoot 0.00493503 0.149966 -0.14463 -0.105165 -0.128448 0.0253166 0.985799 0.992742
rFoot 0.0168302 0.136923 0.115995 0.218293 -0.940273 -0.127719 0.227865 0.992742
