rawPosX, rawPosY, rawPosZ, rawRotX, rawRotY, rawRotZ, rawRotW
0.227161,1.22173,1.13204,-0.184318,0.506085,-0.526217,0.658028
0.229002,1.23585,1.13226,-0.178861,0.4947,-0.506689,0.683042
0.229926,1.23957,1.13227,-0.178193,0.487878,-0.499677,0.693214
0.230891,1.24364,1.13232,-0.175353,0.483713,-0.495065,0.700131
0.23149,1.24774,1.13281,-0.172078,0.478909,-0.492102,0.706308
0.231692,1.25221,1.13371,-0.164937,0.48021,-0.487103,0.710581
0.231765,1.25665,1.13463,-0.156436,0.487646,-0.482871,0.710327
0.231906,1.26075,1.13565,-0.146704,0.499578,-0.480607,0.705633
0.232092,1.26445,1.13648,-0.137086,0.511079,-0.479032,0.700382
0.232461,1.26797,1.13711,-0.129015,0.52082,-0.477535,0.695745
0.2329,1.2707,1.13722,-0.122104,0.529245,-0.475162,0.692251
0.233381,1.27266,1.13664,-0.118776,0.53263,-0.471658,0.69263
0.234165,1.2742,1.13578,-0.118058,0.530659,-0.467692,0.696942
0.235088,1.27582,1.13494,-0.120043,0.523059,-0.461337,0.706518
0.23586,1.27792,1.13443,-0.120156,0.519592,-0.455042,0.713108
0.236782,1.28019,1.13435,-0.118207,0.519864,-0.449862,0.716515
0.237349,1.28309,1.13479,-0.111427,0.531196,-0.447238,0.710909
0.237886,1.286,1.13547,-0.102425,0.544138,-0.444161,0.704375
0.238059,1.2892,1.1368,-0.0889811,0.563226,-0.439564,0.694005
0.23814,1.29143,1.13791,-0.0788753,0.583575,-0.43451,0.681484
0.238593,1.29321,1.13841,-0.0729942,0.598794,-0.430029,0.671709
0.240257,1.29373,1.13943,-0.0699724,0.610333,-0.425277,0.664632
0.241983,1.29425,1.14028,-0.0637198,0.620291,-0.420866,0.658825
0.244438,1.29371,1.14128,-0.0560144,0.629147,-0.421632,0.650587
0.247282,1.29299,1.14299,-0.0464424,0.642726,-0.424748,0.635874
0.248924,1.29273,1.14534,-0.0328735,0.661969,-0.425499,0.616171
0.250088,1.29269,1.149,-0.0249263,0.68539,-0.420755,0.593788
0.252168,1.29223,1.15288,-0.0139529,0.712385,-0.414161,0.566378
0.254591,1.29069,1.15739,0.00377728,0.743818,-0.406806,0.530311
0.255904,1.2895,1.1592,0.0160881,0.764511,-0.402947,0.502889
0.258354,1.28687,1.16172,0.0254912,0.778913,-0.400977,0.48152
0.260626,1.28423,1.16365,0.0336751,0.788471,-0.399226,0.466689
0.263908,1.28021,1.16536,0.0366353,0.790154,-0.399039,0.46377
0.266827,1.27583,1.16597,0.039366,0.792416,-0.39973,0.459068
0.269522,1.27158,1.16689,0.0444742,0.796094,-0.403251,0.449048
0.272269,1.26749,1.16768,0.0494153,0.801426,-0.405262,0.437077
0.275063,1.26368,1.16849,0.0564191,0.808736,-0.405628,0.422171
0.278408,1.25935,1.16936,0.0668603,0.819714,-0.408661,0.395721
0.279478,1.25591,1.16803,0.0762444,0.828555,-0.41068,0.37286
0.282266,1.25165,1.16861,0.0884643,0.838192,-0.411695,0.346576
0.28444,1.24769,1.16899,0.0999517,0.846921,-0.410611,0.322695
0.28833,1.24283,1.17187,0.109122,0.852901,-0.409909,0.304348
