rawPosX; rawPosY; rawPosZ; rawRotX; rawRotY; rawRotZ; rawRotW
0.227923;0.876417;1.3751;0.938246;-0.12547;0.322412;0.00142357
0.226452;0.876567;1.37605;0.937603;-0.126708;0.32378;0.00343319
0.226092;0.876735;1.37631;0.937728;-0.127195;0.323224;0.00377432
0.225813;0.876486;1.37649;0.938119;-0.128285;0.321654;0.00366211
0.22566;0.876508;1.3766;0.938856;-0.129191;0.319136;0.00337188
0.225496;0.876654;1.37688;0.939308;-0.129831;0.317544;0.00315027
0.225284;0.876314;1.37694;0.939811;-0.131049;0.315548;0.00321117
0.225181;0.876317;1.37698;0.940262;-0.131648;0.313953;0.00308092
0.225147;0.876297;1.37711;0.940737;-0.132163;0.312315;0.00263514
0.225039;0.875897;1.37698;0.941056;-0.132827;0.311072;0.00245054
0.224922;0.875721;1.37684;0.941339;-0.132902;0.310184;0.00199091
0.224959;0.875656;1.37677;0.941586;-0.13278;0.309488;0.00132602
0.224891;0.875245;1.37657;0.941659;-0.132931;0.309202;0.0010781
0.225044;0.875123;1.37625;0.941643;-0.132542;0.309419;0.000679659
0.225138;0.875132;1.37624;0.9417;-0.132229;0.30938;0.000172633
0.225169;0.874769;1.37584;0.941478;-0.131921;0.310186;0.000272958
0.225339;0.874616;1.37551;0.941406;-0.131495;0.310586;0.000272958
0.225516;0.874554;1.37547;-0.941406;0.131036;-0.310781;0.00038602
0.225589;0.874131;1.37514;-0.941271;0.130752;-0.311309;0.00059802
0.225846;0.873893;1.37483;-0.941249;0.130037;-0.311673;0.00120225
0.226127;0.873761;1.37481;-0.94126;0.129425;-0.311888;0.00220741
0.226261;0.873322;1.37454;-0.941258;0.129131;-0.312013;0.00247776
0.226534;0.87312;1.37431;-0.941329;0.128614;-0.312009;0.00285498
0.226809;0.872923;1.37426;-0.94139;0.128087;-0.312033;0.00370258
0.226947;0.872556;1.37408;-0.941456;0.127752;-0.311969;0.00380969
0.227293;0.872396;1.37392;-0.941541;0.127143;-0.311957;0.00422688
0.227553;0.872239;1.37397;-0.941625;0.126506;-0.311953;0.00492081
0.227717;0.871911;1.37388;-0.941657;0.126034;-0.312044;0.00504492
0.228094;0.871836;1.37384;-0.94174;0.125413;-0.312041;0.00521627
0.228305;0.871675;1.37408;-0.941891;0.124951;-0.311764;0.00570083
0.228411;0.871527;1.37419;-0.94216;0.124949;-0.310951;0.0055953
0.228846;0.871569;1.3743;-0.942398;0.124952;-0.310231;0.0054208
0.228957;0.871478;1.37491;-0.943169;0.124953;-0.307905;0.00354425
0.22902;0.871357;1.37507;-0.943513;0.125151;-0.30677;0.00348489
0.229297;0.871417;1.37532;-0.943956;0.125277;-0.305352;0.00363761
0.229449;0.871464;1.37577;-0.94442;0.125295;-0.303899;0.00418436
0.229488;0.871378;1.37604;-0.944761;0.12561;-0.302708;0.00398181
0.22955;0.871347;1.37629;-0.945094;0.12545;-0.301737;0.00388905
0.229621;0.871492;1.37682;-0.945303;0.125363;-0.301109;0.00452813
0.229496;0.87147;1.37702;-0.945407;0.125402;-0.300769;0.00420921
0.229487;0.871534;1.37727;-0.945419;0.125027;-0.300891;0.00386599
0.229431;0.871624;1.37762;-0.945337;0.124624;-0.30131;0.00430893
0.229144;0.871445;1.37776;-0.945215;0.124858;-0.301601;0.00389288
0.228995;0.871472;1.37798;-0.945138;0.124576;-0.301963;0.00361707
0.22893;0.871579;1.37835;-0.945071;0.124264;-0.302297;0.00406881
0.22872;0.871406;1.37847;-0.944888;0.124363;-0.302833;0.00365192
0.228538;0.871396;1.37861;-0.944766;0.124218;-0.303278;0.00326638
0.228406;0.871539;1.37899;-0.944553;0.123957;-0.304043;0.0033408
