rawPosX;rawPosY;rawPosZ;rawRotX;rawRotY;rawRotZ;rawRotW
0.582884;1.51163;1.27889;-0.373201;-0.302483;0.702093;0.525634
0.186399;0.83233;1.54817;-0.150732;-0.940386;-0.10789;0.285155
0.251184;0.987729;1.19204;0.332741;0.12746;0.934364;0.000711786
0.164738;0.1744;1.34838;-0.0814827;0.850188;0.138994;0.501221
0.58085;1.5123;1.28171;-0.378932;-0.310061;0.698686;0.521642
0.174536;0.827709;1.5348;-0.150524;-0.942485;-0.121348;0.272652
0.252543;0.986814;1.19041;0.326259;0.128639;0.936486;0.00135383
0.164464;0.17423;1.34818;-0.0838015;0.849717;0.138395;0.501801
0.580371;1.5124;1.28268;-0.380845;-0.311846;0.697515;0.520752
0.172432;0.827246;1.53245;-0.14991;-0.942826;-0.123056;0.271042
0.252612;0.986568;1.18981;0.324664;0.129131;0.936972;0.00152954
0.164333;0.174188;1.34824;-0.08446;0.849522;0.138009;0.502128
0.580044;1.51248;1.28307;-0.381582;-0.312863;0.696847;0.520495
0.171387;0.827355;1.53122;-0.149435;-0.943002;-0.123739;0.27038
0.251175;0.987107;1.18785;0.323888;0.12947;0.937193;0.00155849
0.164153;0.174214;1.34818;-0.0849671;0.849322;0.137943;0.502399
0.579751;1.51261;1.2835;-0.382056;-0.314027;0.696423;0.520015
0.170546;0.827283;1.53015;-0.148901;-0.943211;-0.124609;0.269542
0.251071;0.987148;1.18729;0.323061;0.129405;0.937487;0.00183105
0.164092;0.174224;1.34812;-0.0852574;0.849063;0.137798;0.502827
0.579396;1.51264;1.28377;-0.382824;-0.314947;0.69577;0.519767
0.169701;0.827081;1.529;-0.148555;-0.943368;-0.125561;0.268742
0.252762;0.986376;1.18893;0.322018;0.129376;0.93785;0.00189897
0.164033;0.17421;1.34807;-0.0856274;0.848938;0.137513;0.503052
0.57899;1.5126;1.28415;-0.383672;-0.315674;0.694949;0.5198
0.168609;0.826985;1.52804;-0.147959;-0.943602;-0.126495;0.267811
0.252687;0.986398;1.18839;0.320911;0.129355;0.938232;0.0020021
0.163931;0.17423;1.34803;-0.0861378;0.848813;0.137429;0.503199
0.578352;1.51238;1.28445;-0.384445;-0.3163;0.694409;0.51957
0.167722;0.826832;1.52708;-0.147527;-0.943777;-0.127471;0.266968
0.251128;0.987005;1.1862;0.319981;0.129586;0.938518;0.00196832
0.163777;0.174158;1.34798;-0.086573;0.848745;0.137329;0.503267
0.577922;1.51238;1.28483;-0.385293;-0.317522;0.693719;0.519118
0.166951;0.826827;1.52635;-0.147367;-0.943893;-0.128044;0.266373
0.253332;0.986115;1.18843;0.319006;0.129596;0.938848;0.00194548
0.163676;0.174153;1.34799;-0.0871694;0.848598;0.137034;0.503492
0.57724;1.51206;1.28534;-0.385918;-0.31853;0.693089;0.518877
0.166365;0.826474;1.52559;-0.147315;-0.943973;-0.128672;0.265813
0.25327;0.986116;1.18792;0.317996;0.129767;0.939167;0.00200953
0.163391;0.173942;1.3481;-0.0876699;0.848318;0.136963;0.503896
0.577015;1.51211;1.28598;-0.386865;-0.319339;0.692658;0.51825
0.165427;0.826413;1.52502;-0.146912;-0.94415;-0.129042;0.265229
0.251405;0.986733;1.18585;0.317002;0.130064;0.939462;0.00189504
0.163322;0.173999;1.34809;-0.0880291;0.848176;0.136757;0.504128
0.576638;1.51208;1.28653;-0.387832;-0.320544;0.691821;0.517901
0.164767;0.826393;1.5246;-0.146532;-0.944354;-0.129456;0.264507
0.251892;0.986483;1.18609;0.315969;0.130188;0.939793;0.00194931
0.163216;0.173964;1.34797;-0.0886412;0.848037;0.136471;0.504333
0.576234;1.51188;1.28717;-0.388966;-0.321721;0.69098;0.517443
0.163948;0.826306;1.52414;-0.146484;-0.944536;-0.129634;0.263799
0.250454;0.987084;1.18375;0.315004;0.130543;0.940067;0.00207878
0.163172;0.173983;1.34787;-0.0891981;0.847893;0.136423;0.504489
0.575868;1.51195;1.28779;-0.389674;-0.323757;0.689943;0.517024
0.16329;0.826291;1.52369;-0.146313;-0.944758;-0.129831;0.262999
0.250258;0.987126;1.1832;0.314073;0.130675;0.94036;0.00221415
0.163089;0.173985;1.3478;-0.0897023;0.847803;0.136273;0.504592
0.575508;1.51198;1.28833;-0.390699;-0.325171;0.689359;0.516142
0.162706;0.826357;1.5234;-0.146257;-0.94505;-0.129645;0.262072
0.251557;0.986339;1.18446;0.313028;0.130621;0.940716;0.00232895
0.162984;0.173919;1.34781;-0.0902036;0.847501;0.135883;0.505116
0.575087;1.51212;1.28882;-0.391146;-0.326174;0.688812;0.5159
0.162001;0.826694;1.52315;-0.146323;-0.945315;-0.129087;0.261354
0.249987;0.98699;1.1821;0.312114;0.130656;0.941014;0.00257508
0.162828;0.173935;1.34771;-0.0906862;0.847354;0.135702;0.505323
0.574888;1.51232;1.28946;-0.391623;-0.327226;0.688233;0.515646
0.161562;0.827028;1.52306;-0.146473;-0.945619;-0.128308;0.260553
0.249755;0.987033;1.18157;0.311156;0.130381;0.941369;0.00280496
0.162931;0.173971;1.34761;-0.0912404;0.847189;0.13533;0.505601
0.574439;1.5123;1.28962;-0.392489;-0.327816;0.68785;0.515122
0.161122;0.827244;1.52284;-0.146585;-0.94591;-0.127447;0.259853
0.251239;0.986519;1.18308;0.310269;0.130196;0.941686;0.00307123
0.162813;0.173973;1.34754;-0.0916687;0.847147;0.135369;0.505583
0.574048;1.5123;1.29017;-0.393265;-0.328662;0.68719;0.514873
0.160677;0.827598;1.52275;-0.146455;-0.946251;-0.126685;0.259059
0.249648;0.987118;1.18085;0.30963;0.130245;0.941889;0.00316442
0.162839;0.17397;1.34747;-0.091997;0.847111;0.13535;0.505588
0.573696;1.51231;1.29064;-0.394068;-0.329703;0.686738;0.514196
0.159986;0.82759;1.52255;-0.146239;-0.946598;-0.126112;0.25819
0.249388;0.987139;1.18037;0.308966;0.130306;0.942099;0.00329137
0.162654;0.17364;1.34731;-0.0923724;0.847128;0.135267;0.505514
0.573308;1.51243;1.29112;-0.394767;-0.331199;0.68594;0.513764
0.15959;0.827934;1.52279;-0.145941;-0.947;-0.125521;0.257169
0.249194;0.986975;1.18003;0.308476;0.13035;0.942253;0.0033586
0.16248;0.173654;1.34742;-0.092879;0.847017;0.135269;0.505606
0.572909;1.51241;1.29164;-0.395442;-0.332211;0.685281;0.51347
0.159164;0.828279;1.52282;-0.145578;-0.947345;-0.125054;0.256331
0.247568;0.987525;1.17806;0.307863;0.130612;0.942417;0.0033763
0.162403;0.173616;1.34736;-0.0930989;0.847009;0.135296;0.505571
0.572607;1.51247;1.2922;-0.396625;-0.333018;0.685025;0.512375
0.158786;0.828544;1.52284;-0.145176;-0.947695;-0.124554;0.255506
0.247889;0.987325;1.17846;0.307569;0.130778;0.94249;0.00327776
0.162432;0.17376;1.34735;-0.0934049;0.846955;0.135145;0.505646
0.572267;1.51262;1.29267;-0.397387;-0.334711;0.684243;0.511726
