rawPosX;rawPosY;rawPosZ;rawRotX;rawRotY;rawRotZ;rawRotW
0.317539;0.995969;1.06087;0.140289;0.125581;0.982053;0.0109551
0.233734;0.175997;1.18536;-0.132183;0.688159;0.12936;0.701592
0.317428;0.995858;1.06156;0.142297;0.125506;0.981778;0.0105469
0.234036;0.175672;1.18592;-0.131188;0.687977;0.129922;0.701853
0.317472;0.995963;1.06151;0.142172;0.125097;0.981847;0.010681
0.233552;0.176031;1.18535;-0.13107;0.687992;0.13001;0.701844
0.317278;0.996132;1.06119;0.142059;0.124536;0.981933;0.0108134
0.233641;0.175939;1.18545;-0.131076;0.687998;0.129968;0.701845
0.317551;0.996123;1.0613;0.142069;0.123951;0.982005;0.010921
0.234168;0.175566;1.18596;-0.131109;0.687959;0.129921;0.701885
0.31752;0.996163;1.0612;0.142109;0.123656;0.982034;0.0110856
0.233776;0.175875;1.18548;-0.131027;0.687982;0.129843;0.701893
0.317364;0.996267;1.06093;0.142029;0.123526;0.982061;0.0111719
0.233872;0.175799;1.1856;-0.131096;0.688007;0.129845;0.701855
0.317759;0.996125;1.06121;0.141787;0.123611;0.982085;0.011255
0.234282;0.175465;1.18605;-0.131082;0.688088;0.129753;0.701795
0.317779;0.996171;1.06106;0.141719;0.123808;0.982068;0.0113905
0.233852;0.175816;1.18551;-0.131175;0.688054;0.129723;0.701816
0.317678;0.996252;1.06074;0.141591;0.12399;0.982063;0.0114623
0.233938;0.175745;1.1856;-0.131268;0.688034;0.129628;0.701836
0.318208;0.99609;1.06109;0.141432;0.123956;0.982089;0.0115452
0.234324;0.175465;1.18599;-0.131497;0.688057;0.129473;0.7018
0.318441;0.996068;1.0611;0.141324;0.12389;0.982111;0.0116729
0.233828;0.17584;1.18536;-0.131678;0.688086;0.129485;0.701736
0.318394;0.996193;1.06079;0.141162;0.123733;0.982154;0.0117403
0.233907;0.175769;1.18544;-0.131857;0.688086;0.129283;0.701739
0.319056;0.996078;1.06118;0.140753;0.123365;0.982257;0.011844
0.234297;0.175431;1.18588;-0.132146;0.688052;0.129013;0.701767
0.319468;0.996133;1.06134;0.140479;0.123018;0.982338;0.0120393
0.233784;0.175801;1.18522;-0.132382;0.687941;0.128894;0.701854
0.319476;0.996249;1.06107;0.140048;0.122861;0.982418;0.0121028
0.233863;0.175709;1.18529;-0.13245;0.687887;0.128717;0.701926
0.319864;0.996122;1.06156;0.139615;0.122722;0.982497;0.0120813
0.234189;0.175348;1.18587;-0.132676;0.687873;0.128613;0.701917
0.320451;0.996099;1.06189;0.139504;0.122845;0.982496;0.012257
0.233731;0.175805;1.18533;-0.132777;0.687885;0.128592;0.701889
0.320482;0.996164;1.06163;0.139181;0.122978;0.982525;0.0122758
0.233818;0.175734;1.18544;-0.132928;0.687937;0.128474;0.701831
0.32096;0.996062;1.06172;0.138802;0.123057;0.982567;0.0123906
0.234385;0.175366;1.18593;-0.13293;0.688022;0.128231;0.701792
0.321368;0.995908;1.06182;0.138444;0.12302;0.98262;0.0125263
0.233834;0.175734;1.18525;-0.133146;0.687928;0.128131;0.701862
0.321443;0.995957;1.06158;0.138038;0.122989;0.98268;0.0126046
0.233943;0.17567;1.18536;-0.133202;0.68794;0.128032;0.701857
0.322004;0.995815;1.06184;0.137636;0.122993;0.982736;0.0126087
0.234378;0.175426;1.18567;-0.133178;0.688017;0.127854;0.701819
0.322255;0.995736;1.06178;0.137346;0.123263;0.982743;0.0125987
0.233867;0.17584;1.18499;-0.133189;0.68798;0.12774;0.701874
0.322328;0.995751;1.06155;0.136994;0.123632;0.982746;0.0125673
0.233988;0.175779;1.18511;-0.133224;0.688027;0.127665;0.701835
0.323033;0.995539;1.06184;0.136831;0.124079;0.982711;0.0126883
0.234489;0.175476;1.18552;-0.133178;0.688028;0.127538;0.701865
0.323363;0.995473;1.06181;0.136648;0.124247;0.982713;0.0128592
0.233872;0.175964;1.18469;-0.133066;0.688007;0.127499;0.701914
