rawPosX;rawPosY;rawPosZ;rawRotX;rawRotY;rawRotZ;rawRotW
0.595699;0.551677;1.49809;0.0388494;-0.984191;0.0943408;0.144771
-0.433477;0.749745;2.39594;0.0491093;0.990153;-0.116603;0.0599155
-0.0437474;0.941002;1.36081;-0.0207387;-0.118481;0.992444;0.0242306
0.134559;0.12729;1.3969;-0.13924;-0.676572;-0.1739;0.70187
-0.233451;0.126029;1.36822;-0.123317;0.533526;0.0813598;0.832781
0.595408;0.551021;1.49799;0.0389339;-0.984176;0.0944541;0.144779
-0.433996;0.74944;2.39617;0.0490495;0.990164;-0.116504;0.0599635
-0.0447813;0.940891;1.36112;-0.0197365;-0.118469;0.992469;0.024093
0.134442;0.127568;1.3969;-0.1393;-0.676149;-0.172735;0.702552
-0.233885;0.126068;1.36855;-0.12336;0.533777;0.0821578;0.832535
0.595316;0.551067;1.49788;0.038927;-0.984181;0.0945064;0.144712
-0.433781;0.74956;2.39613;0.0491061;0.990156;-0.11654;0.0599922
-0.0448511;0.941025;1.36061;-0.0197731;-0.118409;0.992476;0.0240828
0.134549;0.127626;1.39687;-0.13944;-0.676326;-0.172648;0.702376
-0.232965;0.125272;1.36964;-0.123322;0.533768;0.0820206;0.83256
0.595263;0.550928;1.49781;0.0389668;-0.984171;0.0945103;0.144762
-0.433827;0.749506;2.39612;0.0490449;0.99016;-0.116532;0.0599801
-0.044781;0.941054;1.36072;-0.0197415;-0.11845;0.992473;0.0240172
0.134529;0.127564;1.3968;-0.139382;-0.676455;-0.1725;0.7023
-0.233639;0.125942;1.36851;-0.12349;0.533804;0.0820732;0.832507
0.595322;0.550923;1.49778;0.0389316;-0.984175;0.094494;0.144755
-0.433836;0.749507;2.39597;0.049087;0.990158;-0.116539;0.0599721
-0.0448902;0.941116;1.36053;-0.0197965;-0.118492;0.992466;0.024076
0.134539;0.127582;1.39685;-0.139303;-0.676328;-0.172347;0.702476
-0.233569;0.125875;1.36859;-0.123583;0.533876;0.0820553;0.832448
0.595457;0.550786;1.49783;0.0388153;-0.984191;0.0944067;0.144739
-0.433481;0.749442;2.39589;0.0491372;0.990143;-0.116653;0.0599473
-0.0449771;0.941229;1.36005;-0.0197437;-0.118444;0.992469;0.0241958
0.134638;0.127592;1.39683;-0.139417;-0.676373;-0.172301;0.70242
-0.232749;0.125115;1.36968;-0.123703;0.533821;0.0819409;0.832478
0.595511;0.550858;1.49785;0.0388339;-0.984188;0.09442;0.144744
-0.433416;0.749472;2.39589;0.0491931;0.990148;-0.116612;0.0598967
-0.0450971;0.941285;1.35988;-0.019732;-0.118448;0.99247;0.0241622
0.134655;0.127569;1.39681;-0.139536;-0.676231;-0.172152;0.70257
-0.232665;0.125041;1.36978;-0.123816;0.533764;0.0818303;0.832508
0.595481;0.550848;1.49797;0.0388901;-0.984195;0.0943481;0.144725
-0.433398;0.749459;2.3959;0.0491893;0.990156;-0.116536;0.059922
-0.0452172;0.941297;1.35964;-0.0196651;-0.118472;0.992466;0.0242806
0.134598;0.127575;1.39697;-0.139448;-0.67631;-0.172065;0.702533
-0.233379;0.125838;1.36851;-0.123947;0.533866;0.0818511;0.832421
0.595378;0.550917;1.49782;0.0388811;-0.98419;0.0944234;0.144715
-0.433377;0.749647;2.39584;0.0491477;0.990149;-0.116606;0.0599403
-0.0454214;0.941368;1.35926;-0.0196571;-0.118435;0.992469;0.0243269
0.134588;0.127609;1.39692;-0.139559;-0.676504;-0.171944;0.702354
-0.233317;0.125756;1.36859;-0.124071;0.533805;0.0818221;0.832445
0.595403;0.550931;1.49783;0.0388274;-0.984196;0.0943791;0.144717
-0.433387;0.749604;2.39582;0.0491722;0.990151;-0.116575;0.0599425
-0.0456161;0.94137;1.35886;-0.0196294;-0.118218;0.992497;0.0242825
0.134594;0.127474;1.39682;-0.139604;-0.676437;-0.171913;0.702417
-0.233539;0.125944;1.36812;-0.124267;0.534004;0.0818781;0.832282
