tag time posX posY posZ rotX rotY rotZ rotW  
head 386.19 -0.00291207 -0.00389315 0.999988 0.708671 -0.0121331 0.0241812 -0.0121331
hip 386.19 0.00142265 0.0625378 0.998042 0.586715 0.00763457 0.000721354 0.00763457
lHand 386.19 0.344243 -0.0961026 0.933949 0.120113 0.476845 -0.870742 0.476845
rHand 386.19 -0.408154 -0.0275144 0.912498 0.171383 -0.52221 0.835405 -0.52221
lFoot 386.19 0.86484 0.302001 0.401058 -0.983306 -0.0227951 -0.0574973 -0.0227951
rFoot 386.19 -0.858195 0.273823 0.434192 -0.977948 0.00647591 0.081746 0.00647591
head 386.203 -0.00308211 -0.00411259 0.999987 0.708641 -0.0123665 0.0240786 -0.0123665
hip 386.203 0.00110446 0.0595194 0.998227 0.587712 0.00695718 -0.000613667 0.00695718
lHand 386.203 0.322576 -0.091706 0.942091 0.124525 0.476058 -0.870524 0.476058
rHand 386.203 -0.384866 -0.0263628 0.922596 0.17224 -0.522275 0.83519 -0.522275
lFoot 386.203 0.85383 0.301547 0.424315 -0.983292 -0.022476 -0.0579148 -0.022476
rFoot 386.203 -0.844835 0.271416 0.461072 -0.977471 0.00528391 0.0827927 0.00528391
head 386.223 -0.00350846 -0.00458972 0.999983 0.708573 -0.0127991 0.0242237 -0.0127991
hip 386.223 0.000730293 0.0602756 0.998182 0.588791 0.00630929 -0.0017296 0.00630929
lHand 386.223 0.321716 -0.0927821 0.942279 0.130985 0.475215 -0.869945 0.475215
rHand 386.223 -0.385546 -0.0264427 0.92231 0.173515 -0.521865 0.835183 -0.521865
lFoot 386.223 0.853595 0.301665 0.424704 -0.983264 -0.0216701 -0.0582506 -0.0216701
rFoot 386.223 -0.844621 0.269503 0.462583 -0.976985 0.00366947 0.0841422 0.00366947
head 386.242 -0.00398571 -0.00506675 0.999979 0.708285 -0.0133346 0.0243682 -0.0133346
hip 386.242 0.000164846 0.0614764 0.998109 0.590294 0.005813 -0.002181 0.005813
lHand 386.242 0.321375 -0.0935803 0.942317 0.137862 0.474506 -0.869161 0.474506
rHand 386.242 -0.386705 -0.026735 0.921816 0.176634 -0.521125 0.834995 -0.521125
lFoot 386.242 0.853745 0.301413 0.424582 -0.98325 -0.020961 -0.0588793 -0.020961
rFoot 386.242 -0.844652 0.267054 0.463945 -0.976486 0.0017478 0.0854173 0.0017478
head 386.255 -0.00453964 -0.00550822 0.999975 0.708167 -0.0138264 0.0244495 -0.0138264
hip 386.255 -0.000541672 0.0629479 0.998017 0.59153 0.00531734 -0.00267386 0.00531734
lHand 386.255 0.321213 -0.0945762 0.942272 0.144517 0.474728 -0.867861 0.474728
rHand 386.255 -0.387781 -0.0269633 0.921357 0.179279 -0.52053 0.834807 -0.52053
lFoot 386.255 0.853679 0.301747 0.424478 -0.983203 -0.0212215 -0.0595157 -0.0212215
rFoot 386.255 -0.844089 0.265457 0.465883 -0.975974 0.000365555 0.086577 0.000365555
head 386.272 -0.00512287 -0.00606818 0.999968 0.708035 -0.0142171 0.0243918 -0.0142171
hip 386.272 -0.000821259 0.0636085 0.997975 0.592709 0.00457197 -0.00361653 0.00457197
lHand 386.272 0.320553 -0.0957862 0.942375 0.151656 0.475196 -0.866291 0.475196
rHand 386.272 -0.389036 -0.0273572 0.920816 0.182704 -0.519911 0.834453 -0.519911
lFoot 386.272 0.853564 0.301622 0.424797 -0.983192 -0.0214337 -0.0599297 -0.0214337
rFoot 386.272 -0.844128 0.263351 0.467006 -0.975501 -0.00125751 0.0878432 -0.00125751
head 386.288 -0.00574611 -0.00660531 0.999962 0.707943 -0.0146653 0.0244172 -0.0146653
hip 386.288 -0.00129578 0.0644821 0.997918 0.593585 0.00308867 -0.00504221 0.00308867
lHand 386.288 0.32023 -0.0970468 0.942356 0.158524 0.474748 -0.865236 0.474748
rHand 386.288 -0.390426 -0.0278349 0.920214 0.186552 -0.519247 0.834014 -0.519247
lFoot 386.288 0.853403 0.301654 0.425097 -0.983165 -0.0215783 -0.0606842 -0.0215783
rFoot 386.288 -0.844005 0.26175 0.468127 -0.975089 -0.00284627 0.0888568 -0.00284627
head 386.301 -0.00640831 -0.00715613 0.999954 0.707929 -0.0152403 0.024367 -0.0152403
hip 386.301 -0.00191618 0.0654537 0.997854 0.594313 0.00118547 -0.00688935 0.00118547
lHand 386.301 0.320072 -0.0981831 0.942292 0.164055 0.473315 -0.864931 0.473315
rHand 386.301 -0.391611 -0.0284395 0.919691 0.190121 -0.518768 0.8335 -0.518768
lFoot 386.301 0.853361 0.30203 0.424915 -0.983123 -0.0222668 -0.0614669 -0.0222668
rFoot 386.301 -0.842844 0.26167 0.470257 -0.974852 -0.00191259 0.0890296 -0.00191259
head 386.322 -0.00700449 -0.00778582 0.999945 0.708005 -0.0158894 0.0241695 -0.0158894
hip 386.322 -0.00228283 0.0660146 0.997816 0.595171 -0.000460753 -0.00830752 -0.000460753
lHand 386.322 0.319857 -0.0996221 0.942214 0.167966 0.470578 -0.865739 0.470578
