tag time posX posY posZ rotX rotY rotZ rotW
head 572.896 -0.0804559 -0.304506 0.949107 0.64709 -0.0156542 0.00208164 -0.0156542
hip 572.896 -0.122645 -0.385395 0.914565 0.574794 0.0281142 -0.023569 0.0281142
lHand 572.896 0.15456 -0.648255 0.745572 0.187359 0.445649 -0.79913 0.445649
rHand 572.896 -0.36533 -0.587197 0.722312 -0.224451 0.508008 -0.733701 0.508008
lFoot 572.896 0.00666236 -0.9913 0.131454 -0.989928 0.0715483 -0.0489947 0.0715483
rFoot 572.896 -0.460771 -0.874481 0.151567 -0.971802 0.16511 0.0151873 0.16511
head 572.908 -0.0804209 -0.304568 0.94909 0.647031 -0.0156588 0.00189318 -0.0156588
hip 572.908 -0.122747 -0.385275 0.914602 0.574977 0.0278886 -0.0237461 0.0278886
lHand 572.908 0.154746 -0.648265 0.745524 0.187901 0.444884 -0.799456 0.444884
rHand 572.908 -0.365567 -0.586976 0.722371 -0.224866 0.508327 -0.733554 0.508327
lFoot 572.908 0.00668202 -0.991286 0.131561 -0.989935 0.0713717 -0.0490286 0.0713717
rFoot 572.908 -0.460766 -0.87448 0.151588 -0.971774 0.165355 0.0150211 0.165355
head 572.919 -0.080374 -0.304639 0.949071 0.646986 -0.0156426 0.001636 -0.0156426
hip 572.919 -0.122862 -0.385143 0.914642 0.575165 0.0277085 -0.0239382 0.0277085
lHand 572.919 0.15429 -0.648373 0.745525 0.187698 0.444484 -0.799712 0.444484
rHand 572.919 -0.365774 -0.586889 0.722337 -0.225007 0.508353 -0.733757 0.508353
lFoot 572.919 0.00656988 -0.991298 0.131472 -0.989914 0.0714928 -0.0490591 0.0714928
rFoot 572.919 -0.460833 -0.874462 0.151489 -0.971762 0.165663 0.0149354 0.165663
head 572.93 -0.0803412 -0.304686 0.949058 0.646952 -0.0156649 0.00148647 -0.0156649
hip 572.93 -0.122913 -0.385093 0.914656 0.575205 0.0276562 -0.0241079 0.0276562
lHand 572.93 0.153861 -0.648478 0.745522 0.186807 0.444179 -0.80009 0.444179
rHand 572.93 -0.365872 -0.586817 0.722346 -0.225435 0.507766 -0.73409 0.507766
lFoot 572.93 0.00642883 -0.991299 0.131471 -0.989917 0.0714473 -0.0489861 0.0714473
rFoot 572.93 -0.460869 -0.87445 0.151448 -0.971767 0.16579 0.0148868 0.16579
head 572.943 -0.0803377 -0.304746 0.949039 0.647019 -0.0157024 0.00134694 -0.0157024
hip 572.943 -0.123055 -0.38504 0.914659 0.575102 0.0276182 -0.0241013 0.0276182
lHand 572.943 0.153687 -0.64865 0.745408 0.186308 0.443941 -0.800321 0.443941
rHand 572.943 -0.3657 -0.5867 0.722527 -0.226277 0.506738 -0.734235 0.506738
lFoot 572.943 0.00647142 -0.991297 0.131484 -0.989888 0.0717188 -0.0490546 0.0717188
rFoot 572.943 -0.460969 -0.874392 0.151482 -0.971723 0.166144 0.0149048 0.166144
head 572.955 -0.0804147 -0.304784 0.949021 0.647135 -0.0156577 0.00122881 -0.0156577
hip 572.955 -0.123199 -0.385017 0.91465 0.574887 0.0276851 -0.0240455 0.0276851
lHand 572.955 0.153162 -0.648777 0.745406 0.185738 0.443841 -0.800312 0.443841
rHand 572.955 -0.365392 -0.586413 0.722916 -0.228323 0.504878 -0.734198 0.504878
lFoot 572.955 0.0064154 -0.991303 0.131439 -0.989839 0.0720027 -0.0492599 0.0720027
rFoot 572.955 -0.461159 -0.874318 0.15133 -0.971764 0.166042 0.0146827 0.166042
head 572.965 -0.0804581 -0.304843 0.948998 0.647228 -0.015517 0.00124566 -0.015517
hip 572.965 -0.123167 -0.385156 0.914595 0.574846 0.0276971 -0.024041 0.0276971
lHand 572.965 0.152599 -0.64887 0.74544 0.185629 0.443983 -0.800037 0.443983
rHand 572.965 -0.365024 -0.586488 0.723042 -0.229967 0.503603 -0.733691 0.503603
lFoot 572.965 0.00629205 -0.991297 0.131491 -0.98981 0.0721071 -0.049561 0.0721071
rFoot 572.965 -0.461207 -0.874306 0.151251 -0.971762 0.166243 0.014632 0.166243
head 572.974 -0.0804858 -0.304899 0.948978 0.647522 -0.0155308 0.00120836 -0.0155308
hip 572.974 -0.123246 -0.3851 0.914608 0.575022 0.0275764 -0.0242697 0.0275764
lHand 572.974 0.152646 -0.648949 0.745362 0.185901 0.444437 -0.799566 0.444437
rHand 572.974 -0.364429 -0.586849 0.723049 -0.230926 0.503064 -0.731899 0.503064
lFoot 572.974 0.00645921 -0.9913 0.131466 -0.989771 0.0724718 -0.0498535 0.0724718
