tag;time;posX;posY;posZ;rotX;rotY;rotZ;rotW    
head;3.57215;-0.00704186;-0.00803154;0.999943;0.708005;-0.0158894;0.0241695;-0.0158894
hip;3.57215;-0.00229469;0.0680887;0.997677;0.595171;-0.000460753;-0.00830752;-0.000460753
lHand;3.57215;0.321286;-0.102678;0.941399;0.167966;0.470578;-0.865739;0.470578
rHand;3.57215;-0.394903;-0.0301413;0.918228;0.19472;-0.517958;0.83292;-0.517958
lFoot;3.57215;0.852244;0.309316;0.421905;-0.983127;-0.0222057;-0.0618507;-0.0222057
rFoot;3.57215;-0.841718;0.267463;0.469014;-0.974507;-0.000909537;0.0899422;-0.000909537
head;3.58077;-0.00781723;-0.0086371;0.999932;0.708215;-0.0163682;0.023822;-0.0163682
hip;3.58077;-0.00296513;0.0690561;0.997608;0.596194;-0.00188947;-0.00945747;-0.00188947
lHand;3.58077;0.320967;-0.104249;0.941335;0.171209;0.467697;-0.866763;0.467697
rHand;3.58077;-0.396484;-0.0308506;0.917523;0.199207;-0.516963;0.832437;-0.516963
lFoot;3.58077;0.852227;0.309266;0.421976;-0.983146;-0.0221028;-0.0623438;-0.0221028
rFoot;3.58077;-0.841443;0.266848;0.469856;-0.974146;-0.000319451;0.0907042;-0.000319451
head;3.59395;-0.0085784;-0.00928791;0.99992;0.708408;-0.0168415;0.0233594;-0.0168415
hip;3.59395;-0.00393191;0.0703727;0.997513;0.597573;-0.00320034;-0.00999525;-0.00320034
lHand;3.59395;0.320609;-0.105814;0.941283;0.174957;0.465282;-0.867385;0.465282
rHand;3.59395;-0.397746;-0.0315197;0.916954;0.20303;-0.51596;0.832088;-0.51596
lFoot;3.59395;0.852154;0.309624;0.421861;-0.983121;-0.0227144;-0.0631959;-0.0227144
rFoot;3.59395;-0.841115;0.266472;0.470657;-0.973891;-0.000305444;0.0906103;-0.000305444
head;3.60756;-0.0092915;-0.0100197;0.999907;0.708674;-0.017397;0.0227921;-0.017397
hip;3.60756;-0.00460317;0.0711805;0.997453;0.599097;-0.00445852;-0.0102138;-0.00445852
lHand;3.60756;0.320139;-0.107201;0.941286;0.177379;0.462261;-0.868622;0.462261
