tag time posX posY posZ rotX rotY rotZ rotW
head 604.386 0.0591043 -0.0940653 0.99381 0.698217 0.0021148 0.0065837 0.0021148
hip 604.386 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.386 0.360541 -0.441691 0.821535 0.616535 0.163176 -0.392017 0.163176
rHand 604.386 -0.193016 -0.429161 0.882364 -0.485052 0.314009 -0.413042 0.314009
lFoot 604.386 0.840385 -0.483954 0.244011 -0.971468 0.185344 -0.0917619 0.185344
rFoot 604.386 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.396 0.0588974 -0.0939974 0.993829 0.698059 0.0031279 0.00730682 0.0031279
hip 604.396 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.396 0.362111 -0.440684 0.821385 0.615678 0.165311 -0.39394 0.165311
rHand 604.396 -0.194291 -0.427824 0.882733 -0.485431 0.316125 -0.414245 0.316125
lFoot 604.396 0.840233 -0.484005 0.244433 -0.971447 0.185538 -0.0916907 0.185538
rFoot 604.396 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.408 0.0587352 -0.0939427 0.993843 0.697817 0.00406715 0.00795279 0.00406715
hip 604.408 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.408 0.363304 -0.439781 0.821342 0.614791 0.167236 -0.395677 0.167236
rHand 604.408 -0.194614 -0.426939 0.88309 -0.485392 0.318273 -0.415868 0.318273
lFoot 604.408 0.840161 -0.484163 0.244368 -0.971422 0.185816 -0.0917829 0.185816
rFoot 604.408 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.42 0.058539 -0.0939148 0.993858 0.697508 0.00502542 0.00863972 0.00502542
hip 604.42 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.42 0.364546 -0.438839 0.821296 0.613865 0.169152 -0.397459 0.169152
rHand 604.42 -0.194921 -0.425962 0.883494 -0.486002 0.319968 -0.41811 0.319968
lFoot 604.42 0.840133 -0.484239 0.244312 -0.971432 0.185817 -0.0919654 0.185817
rFoot 604.42 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.43 0.0583721 -0.0938435 0.993874 0.69697 0.00572163 0.00917678 0.00572163
hip 604.43 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.43 0.365867 -0.437849 0.821236 0.612917 0.171054 -0.399294 0.171054
rHand 604.43 -0.196768 -0.424892 0.8836 -0.486373 0.321518 -0.419832 0.321518
lFoot 604.43 0.839836 -0.484561 0.244697 -0.971424 0.18609 -0.0918036 0.18609
rFoot 604.43 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.442 0.058239 -0.0938343 0.993883 0.696354 0.00647222 0.00982227 0.00647222
hip 604.442 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.442 0.367188 -0.436833 0.821188 0.611933 0.172734 -0.401142 0.172734
rHand 604.442 -0.19674 -0.424311 0.883886 -0.487701 0.321942 -0.42079 0.321942
lFoot 604.442 0.839717 -0.484848 0.244536 -0.971488 0.186105 -0.0916049 0.186105
rFoot 604.442 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.453 0.0581012 -0.0939101 0.993884 0.695604 0.00738975 0.0102393 0.00738975
hip 604.453 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.453 0.368467 -0.435829 0.821149 0.610938 0.174296 -0.402865 0.174296
rHand 604.453 -0.196633 -0.424156 0.883984 -0.488782 0.321878 -0.420747 0.321878
lFoot 604.453 0.839565 -0.485183 0.244394 -0.971596 0.185923 -0.0913132 0.185923
rFoot 604.453 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.464 0.0579359 -0.0939029 0.993894 0.694913 0.00829372 0.0106143 0.00829372
hip 604.464 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.464 0.369704 -0.43497 0.821048 0.609897 0.17595 -0.404585 0.17595
rHand 604.464 -0.197866 -0.423992 0.883787 -0.489201 0.321951 -0.420824 0.321951
lFoot 604.464 0.839119 -0.485599 0.245097 -0.971668 0.185851 -0.0911196 0.185851
rFoot 604.464 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.475 0.0578419 -0.0939303 0.993897 0.694174 0.00907955 0.0110025 0.00907955
hip 604.475 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.475 0.3709 -0.434056 0.820992 0.608698 0.177399 -0.406058 0.177399
rHand 604.475 -0.197812 -0.424112 0.883742 -0.489447 0.320985 -0.420706 0.320985
lFoot 604.475 0.838939 -0.485969 0.244982 -0.97178 0.18568 -0.0908052 0.18568
rFoot 604.475 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.487 0.0578101 -0.0938775 0.993904 0.693502 0.00956693 0.0115463 0.00956693
hip 604.487 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.487 0.372145 -0.433091 0.820939 0.607565 0.179299 -0.40763 0.179299
rHand 604.487 -0.197784 -0.424195 0.883708 -0.490032 0.319915 -0.420617 0.319915
lFoot 604.487 0.838743 -0.486323 0.244948 -0.971805 0.185956 -0.0904495 0.185956
rFoot 604.487 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.498 0.0578138 -0.0938304 0.993908 0.692889 0.00983998 0.0121521 0.00983998
hip 604.498 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.498 0.373111 -0.431902 0.821126 0.606449 0.181326 -0.409353 0.181326
rHand 604.498 -0.199149 -0.423621 0.883677 -0.490744 0.318007 -0.42056 0.318007
lFoot 604.498 0.83844 -0.486385 0.245862 -0.971766 0.186292 -0.0905322 0.186292
rFoot 604.498 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.509 0.0578046 -0.0937514 0.993916 0.692277 0.0100649 0.0126786 0.0100649
hip 604.509 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.509 0.374346 -0.430874 0.821105 0.605077 0.18347 -0.411249 0.18347
rHand 604.509 -0.199119 -0.423845 0.883576 -0.490942 0.316058 -0.420739 0.316058
lFoot 604.509 0.838254 -0.486664 0.245944 -0.97182 0.186246 -0.0904714 0.186246
rFoot 604.509 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.52 0.057847 -0.0936562 0.993923 0.691658 0.0103421 0.0129913 0.0103421
hip 604.52 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.52 0.375703 -0.429853 0.82102 0.603187 0.185983 -0.413548 0.185983
rHand 604.52 -0.199194 -0.423968 0.8835 -0.491534 0.313396 -0.421661 0.313396
lFoot 604.52 0.838078 -0.4869 0.246075 -0.971864 0.186177 -0.0904404 0.186177
rFoot 604.52 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
head 604.532 0.0578226 -0.0935764 0.993932 0.691099 0.0106844 0.013235 0.0106844
hip 604.532 0.175114 0.344587 0.922277 0.596017 0.050263 0.101914 0.050263
lHand 604.532 0.37698 -0.42887 0.820948 0.60146 0.188024 -0.415589 0.188024
rHand 604.532 -0.199985 -0.423521 0.883536 -0.492446 0.310461 -0.422942 0.310461
lFoot 604.532 0.837728 -0.487269 0.246539 -0.971855 0.186418 -0.0902585 0.186418
rFoot 604.532 -0.111633 -0.55335 0.825434 -0.983673 0.0182183 0.054697 0.0182183
