tag time posX posY posZ rotX rotY rotZ rotW
head 534.389 -0.0179074 0.0667885 0.997606 0.680444 0.0397168 -0.0101913 0.0397168
hip 534.389 -0.0479091 0.127303 0.990706 -0.483896 -0.0182537 0.00440925 -0.0182537
lHand 534.389 0.400797 -0.00451809 0.916156 0.411716 0.518009 -0.700019 0.518009
rHand 534.389 -0.421032 -0.0529988 0.905496 -0.293339 0.463987 -0.804319 0.463987
lFoot 534.389 0.360679 0.810916 0.460788 0.983872 -0.0170494 0.0286117 -0.0170494
rFoot 534.389 -0.676137 0.617603 0.401753 -0.988721 -0.0144199 0.0197258 -0.0144199
head 534.401 -0.0173823 0.0672214 0.997587 0.679493 0.0402151 -0.0104407 0.0402151
hip 534.401 -0.0472801 0.127208 0.990749 -0.484201 -0.0178275 0.00526228 -0.0178275
lHand 534.401 0.402592 -0.00162049 0.915378 0.411701 0.519136 -0.698544 0.519136
rHand 534.401 -0.419762 -0.0509534 0.906203 -0.300059 0.461251 -0.804242 0.461251
lFoot 534.401 0.360373 0.810988 0.460901 0.983879 -0.0173032 0.0282163 -0.0173032
rFoot 534.401 -0.676488 0.617227 0.40174 -0.988688 -0.0146145 0.0197351 -0.0146145
head 534.412 -0.0168854 0.0676886 0.997564 0.678458 0.0407977 -0.010798 0.0407977
hip 534.412 -0.0466412 0.127264 0.990772 -0.484298 -0.0176877 0.00584994 -0.0176877
lHand 534.412 0.403885 0.0015386 0.914808 0.411954 0.520857 -0.696772 0.520857
rHand 534.412 -0.419193 -0.050152 0.906511 -0.306704 0.456996 -0.804807 0.456996
lFoot 534.412 0.359817 0.811408 0.460596 0.98388 -0.016721 0.0279888 -0.016721
rFoot 534.412 -0.676542 0.617108 0.401832 -0.988648 -0.0148516 0.0199457 -0.0148516
head 534.423 -0.0163509 0.0681661 0.99754 0.677361 0.0411174 -0.0111023 0.0411174
hip 534.423 -0.0461249 0.127059 0.990822 -0.484464 -0.0176869 0.00612774 -0.0176869
lHand 534.423 0.404778 0.00476722 0.914402 0.412003 0.523317 -0.694782 0.523317
rHand 534.423 -0.419125 -0.0505883 0.906518 -0.313178 0.456598 -0.801433 0.456598
lFoot 534.423 0.3594 0.811492 0.460774 0.983868 -0.0163065 0.0276181 -0.0163065
rFoot 534.423 -0.676392 0.617346 0.40172 -0.988608 -0.0150688 0.0202175 -0.0150688
head 534.435 -0.015807 0.0685359 0.997523 0.676366 0.0415306 -0.0114709 0.0415306
hip 534.435 -0.045681 0.126862 0.990868 -0.484584 -0.0178042 0.006326 -0.0178042
lHand 534.435 0.405901 0.00804574 0.913882 0.411691 0.525748 -0.692935 0.525748
rHand 534.435 -0.418886 -0.0505992 0.906628 -0.319054 0.456321 -0.798211 0.456321
lFoot 534.435 0.359242 0.811615 0.46068 0.983861 -0.0164846 0.027338 -0.0164846
rFoot 534.435 -0.675604 0.617795 0.402354 -0.988569 -0.0151067 0.0201741 -0.0151067
head 534.447 -0.0153248 0.0688812 0.997507 0.675345 0.0418289 -0.0117584 0.0418289
hip 534.447 -0.0452574 0.1267 0.990908 -0.484802 -0.0179231 0.0064659 -0.0179231
lHand 534.447 0.406544 0.0119689 0.913553 0.409322 0.528714 -0.692608 0.528714
rHand 534.447 -0.418503 -0.051151 0.906774 -0.322823 0.457975 -0.793907 0.457975
lFoot 534.447 0.3592 0.811624 0.460697 0.983851 -0.0166298 0.0271337 -0.0166298
rFoot 534.447 -0.675782 0.617551 0.402429 -0.988545 -0.0153868 0.0204749 -0.0153868
head 534.457 -0.0148858 0.069256 0.997488 0.674421 0.0421411 -0.0119481 0.0421411
hip 534.457 -0.0447148 0.126536 0.990954 -0.485078 -0.0179952 0.00684057 -0.0179952
lHand 534.457 0.40672 0.0166404 0.913401 0.405804 0.531967 -0.693392 0.531967
rHand 534.457 -0.418596 -0.0507383 0.906754 -0.32462 0.458846 -0.791701 0.458846
lFoot 534.457 0.358514 0.811782 0.460953 0.983841 -0.0166413 0.0267438 -0.0166413
rFoot 534.457 -0.675775 0.617581 0.402395 -0.988509 -0.0157837 0.0208839 -0.0157837
head 534.468 -0.0144792 0.0696707 0.997465 0.673519 0.042388 -0.0123114 0.042388
hip 534.468 -0.044315 0.126448 0.990983 -0.485535 -0.0179898 0.00718264 -0.0179898
lHand 534.468 0.406535 0.0215913 0.91338 0.402631 0.53529 -0.694046 0.53529
rHand 534.468 -0.418677 -0.0494166 0.90679 -0.324426 0.459983 -0.790709 0.459983
lFoot 534.468 0.358475 0.811811 0.460932 0.983807 -0.0168912 0.0264395 -0.0168912
rFoot 534.468 -0.675645 0.61756 0.402646 -0.988517 -0.0156361 0.0210703 -0.0156361
head 534.479 -0.0140766 0.0700089 0.997447 0.672676 0.0426423 -0.0126881 0.0426423
hip 534.479 -0.0437897 0.126345 0.991019 -0.486019 -0.0179746 0.00767248 -0.0179746
lHand 534.479 0.406528 0.0262271 0.913262 0.39977 0.538604 -0.694337 0.538604
rHand 534.479 -0.418923 -0.0472753 0.90679 -0.323194 0.460814 -0.791333 0.460814
lFoot 534.479 0.358507 0.812103 0.460393 0.98378 -0.017439 0.0264035 -0.017439
rFoot 534.479 -0.675577 0.617479 0.402883 -0.988486 -0.0154119 0.0214903 -0.0154119
head 534.491 -0.0136898 0.0703452 0.997429 0.671871 0.042909 -0.012963 0.042909
hip 534.491 -0.0433316 0.126321 0.991043 -0.48659 -0.0178203 0.00814931 -0.0178203
lHand 534.491 0.406157 0.0311612 0.913272 0.396215 0.542359 -0.695013 0.542359
