tag time posX posY posZ rotX rotY rotZ rotW
head 1038.09 0.0152817 -0.0336472 0.999317 0.684745 0.00542713 -0.00453299 0.00542713
hip 1038.09 0.00890755 -0.0128473 0.999878 0.514694 0.0188559 0.0234299 0.0188559
lHand 1038.09 0.359205 -0.0412877 0.932345 0.169292 0.57771 -0.796917 0.57771
rHand 1038.09 -0.404119 -0.144269 0.903258 0.374523 -0.586841 0.698122 -0.586841
lFoot 1038.09 0.953037 -0.224351 0.203436 0.990336 0.114135 0.078364 0.114135
rFoot 1038.09 -0.835696 0.201859 0.51075 -0.975022 0.0356747 0.0808044 0.0356747
head 1038.1 0.0151102 -0.0335179 0.999324 0.684942 0.00497432 -0.00511759 0.00497432
hip 1038.1 0.00897355 -0.0128495 0.999877 0.514515 0.0182668 0.022374 0.0182668
lHand 1038.1 0.359307 -0.0436307 0.932199 0.170817 0.576275 -0.797767 0.576275
rHand 1038.1 -0.40451 -0.14221 0.903409 0.373433 -0.587811 0.698541 -0.587811
lFoot 1038.1 0.953345 -0.223174 0.203289 0.990382 0.113609 0.0786132 0.113609
rFoot 1038.1 -0.83574 0.201858 0.510678 -0.975057 0.0357723 0.0805925 0.0357723
head 1038.11 0.0149621 -0.0334986 0.999327 0.685192 0.00442213 -0.00571735 0.00442213
hip 1038.11 0.00918804 -0.0129847 0.999873 0.514453 0.0173147 0.0212028 0.0173147
lHand 1038.11 0.359577 -0.0457566 0.931993 0.171803 0.574563 -0.798895 0.574563
rHand 1038.11 -0.404666 -0.140288 0.90364 0.372176 -0.589014 0.698964 -0.589014
lFoot 1038.11 0.953506 -0.22263 0.203129 0.990409 0.113206 0.0789188 0.113206
rFoot 1038.11 -0.835986 0.203218 0.509735 -0.975113 0.0358542 0.0803856 0.0358542
head 1038.12 0.0149047 -0.0334389 0.99933 0.685368 0.00392615 -0.00629763 0.00392615
hip 1038.12 0.00932884 -0.0129232 0.999873 0.514341 0.0165078 0.0200504 0.0165078
lHand 1038.12 0.359823 -0.0478743 0.931791 0.172188 0.572695 -0.800225 0.572695
rHand 1038.12 -0.404574 -0.138257 0.903994 0.371187 -0.590044 0.699488 -0.590044
lFoot 1038.12 0.95359 -0.221667 0.203786 0.990422 0.112963 0.0791676 0.112963
rFoot 1038.12 -0.835917 0.203432 0.509764 -0.975114 0.0360896 0.0802751 0.0360896
head 1038.13 0.0147776 -0.0333835 0.999333 0.685464 0.00332769 -0.00686977 0.00332769
hip 1038.13 0.00948526 -0.0128107 0.999873 0.514296 0.0156399 0.0188723 0.0156399
lHand 1038.13 0.359869 -0.0500435 0.93166 0.173005 0.570932 -0.801381 0.570932
rHand 1038.13 -0.404224 -0.136264 0.904453 0.370474 -0.590655 0.700089 -0.590655
lFoot 1038.13 0.953423 -0.221399 0.204861 0.990456 0.112488 0.0794686 0.112488
rFoot 1038.13 -0.835888 0.203533 0.509769 -0.975121 0.0363149 0.080178 0.0363149
head 1038.15 0.0146713 -0.0333289 0.999337 0.685485 0.00258531 -0.00749935 0.00258531
hip 1038.15 0.00993551 -0.0133328 0.999862 0.514194 0.0148732 0.0176733 0.0148732
lHand 1038.15 0.359783 -0.0517513 0.9316 0.173867 0.569622 -0.802195 0.569622
rHand 1038.15 -0.404426 -0.13484 0.904576 0.370621 -0.590323 0.70078 -0.590323
lFoot 1038.15 0.953481 -0.220593 0.205457 0.990517 0.111767 0.0797702 0.111767
rFoot 1038.15 -0.835272 0.203875 0.510643 -0.975136 0.0364866 0.0799722 0.0364866
head 1038.16 0.0145344 -0.0332135 0.999343 0.685566 0.00200372 -0.0080645 0.00200372
hip 1038.16 0.0100646 -0.0133182 0.999861 0.513927 0.0141331 0.0165745 0.0141331
lHand 1038.16 0.35957 -0.0534503 0.931586 0.174828 0.568638 -0.802754 0.568638
rHand 1038.16 -0.404809 -0.13324 0.904642 0.370282 -0.589998 0.701614 -0.589998
lFoot 1038.16 0.95351 -0.220236 0.205707 0.99055 0.111263 0.0801065 0.111263
rFoot 1038.16 -0.835341 0.203931 0.510507 -0.975166 0.0366685 0.0797944 0.0366685
head 1038.17 0.014423 -0.0331315 0.999347 0.685604 0.00124061 -0.00862965 0.00124061
hip 1038.17 0.0102469 -0.0133502 0.999858 0.513627 0.0132969 0.015543 0.0132969
