tag time posX posY posZ rotX rotY rotZ rotW
head 521.031 0.0893309 0.0399157 0.995202 0.725424 0.011706 0.0356213 0.011706
hip 521.031 0.145512 0.132878 0.980393 0.554747 0.00530415 -0.00276447 0.00530415
lHand 521.031 0.525548 -0.141783 0.838866 0.102805 0.420905 -0.865947 0.420905
rHand 521.031 -0.202405 -0.145283 0.968465 0.032415 -0.417147 0.908246 -0.417147
lFoot 521.031 0.839959 0.491358 0.230294 -0.981179 -0.0184471 -0.0640907 -0.0184471
rFoot 521.031 0.114145 0.882541 0.456171 -0.986016 -0.00741558 0.049824 -0.00741558
head 521.043 0.0893331 0.04003 0.995197 0.725444 0.0121881 0.0356296 0.0121881
hip 521.043 0.145151 0.133338 0.980384 0.555079 0.0052911 -0.0023585 0.0052911
lHand 521.043 0.525214 -0.141438 0.839134 0.103016 0.420844 -0.86601 0.420844
rHand 521.043 -0.203154 -0.145416 0.968288 0.0349735 -0.415726 0.908798 -0.415726
lFoot 521.043 0.839873 0.491552 0.230196 -0.981194 -0.0185149 -0.0642757 -0.0185149
rFoot 521.043 0.113723 0.882825 0.455727 -0.986055 -0.0072677 0.0495551 -0.0072677
head 521.054 0.0892709 0.0401142 0.995199 0.725473 0.012737 0.0358206 0.012737
hip 521.054 0.14504 0.133417 0.980389 0.555547 0.00549278 -0.00159331 0.00549278
lHand 521.054 0.524931 -0.141468 0.839306 0.102861 0.420648 -0.866169 0.420648
rHand 521.054 -0.203244 -0.145104 0.968316 0.0391759 -0.414244 0.909304 -0.414244
lFoot 521.054 0.839701 0.491725 0.230454 -0.981187 -0.0190033 -0.064191 -0.0190033
rFoot 521.054 0.113148 0.882964 0.4556 -0.986093 -0.00713958 0.0493428 -0.00713958
head 521.065 0.0891143 0.0402106 0.995209 0.725449 0.0132784 0.0360613 0.0132784
hip 521.065 0.144801 0.133799 0.980373 0.555888 0.00579377 -0.000815898 0.00579377
lHand 521.065 0.524588 -0.140861 0.839622 0.102472 0.420443 -0.866336 0.420443
