tag time posX posY posZ rotX rotY rotZ rotW
head 1223.19 0.069937 0.0122112 0.997477 0.656583 0.089591 0.0244608 0.089591
hip 1223.19 0.118774 0.0322359 0.992398 0.569918 -0.0104305 -0.0116168 -0.0104305
lHand 1223.19 0.383681 -0.022198 0.923199 0.0259933 0.370081 -0.928233 0.370081
rHand 1223.19 -0.097664 -0.0666554 0.992985 -0.0649331 -0.276418 0.958607 -0.276418
lFoot 1223.19 0.930258 0.262358 0.256491 -0.978027 -0.0989878 -0.0598423 -0.0989878
rFoot 1223.19 -0.0885953 0.768799 0.633324 -0.97931 0.104337 0.0360282 0.104337
head 1223.2 0.069908 0.0121018 0.99748 0.656531 0.0896854 0.0246708 0.0896854
hip 1223.2 0.118973 0.0316783 0.992392 0.569982 -0.0102868 -0.0113245 -0.0102868
lHand 1223.2 0.383934 -0.022001 0.923098 0.0262535 0.370174 -0.928203 0.370174
rHand 1223.2 -0.0977549 -0.0665263 0.992984 -0.0645279 -0.276088 0.958727 -0.276088
lFoot 1223.2 0.930253 0.262302 0.256567 -0.978016 -0.0990851 -0.0599341 -0.0990851
rFoot 1223.2 -0.0892617 0.769028 0.632952 -0.979295 0.104607 0.0361063 0.104607
head 1223.21 0.0698804 0.0120094 0.997483 0.656459 0.0897964 0.0247967 0.0897964
hip 1223.21 0.118878 0.0316454 0.992404 0.569841 -0.0102659 -0.0111937 -0.0102659
lHand 1223.21 0.383982 -0.0218064 0.923083 0.0261994 0.370294 -0.928164 0.370294
rHand 1223.21 -0.0978168 -0.0665831 0.992975 -0.0642314 -0.275883 0.958789 -0.275883
lFoot 1223.21 0.930365 0.262064 0.256405 -0.978012 -0.0991764 -0.0599274 -0.0991764
rFoot 1223.21 -0.088267 0.769326 0.63273 -0.97927 0.104913 0.035801 0.104913
head 1223.22 0.0698149 0.0119227 0.997489 0.65642 0.0900135 0.0248114 0.0900135
hip 1223.22 0.118748 0.031244 0.992433 0.569651 -0.010292 -0.0111975 -0.010292
lHand 1223.22 0.383975 -0.0219487 0.923082 0.0259305 0.370551 -0.928068 0.370551
rHand 1223.22 -0.0979586 -0.0666016 0.992959 -0.0640118 -0.275713 0.958834 -0.275713
lFoot 1223.22 0.930386 0.261878 0.256517 -0.978022 -0.099038 -0.0600448 -0.099038
rFoot 1223.22 -0.08772 0.76845 0.633869 -0.979316 0.104603 0.0358191 0.104603
head 1223.23 0.0697656 0.0118195 0.997493 0.656497 0.0901304 0.0249128 0.0901304
hip 1223.23 0.118679 0.0313001 0.992439 0.569696 -0.0103014 -0.0109967 -0.0103014
lHand 1223.23 0.383893 -0.0221152 0.923113 0.0258595 0.370799 -0.927956 0.370799
rHand 1223.23 -0.0981293 -0.0666685 0.992938 -0.0634189 -0.27559 0.958901 -0.27559
lFoot 1223.23 0.930393 0.261891 0.256482 -0.977986 -0.099272 -0.0600694 -0.099272
rFoot 1223.23 -0.0876389 0.768762 0.633502 -0.979333 0.104365 0.0358082 0.104365
head 1223.24 0.0696638 0.01176 0.997501 0.656547 0.0902974 0.0250042 0.0902974
hip 1223.24 0.118623 0.0313899 0.992443 0.569793 -0.0103122 -0.0108383 -0.0103122
lHand 1223.24 0.384001 -0.0221072 0.923068 0.0260475 0.370945 -0.927877 0.370945
rHand 1223.24 -0.0982596 -0.0665182 0.992935 -0.0633716 -0.275059 0.959045 -0.275059
lFoot 1223.24 0.930381 0.261807 0.25661 -0.97801 -0.0991186 -0.0599733 -0.0991186
rFoot 1223.24 -0.0873178 0.769116 0.633116 -0.979293 0.104601 0.0356133 0.104601
head 1223.25 0.0695896 0.0116746 0.997507 0.65657 0.0904299 0.0249921 0.0904299
hip 1223.25 0.118439 0.031479 0.992462 0.569778 -0.010383 -0.0108699 -0.010383
lHand 1223.25 0.383923 -0.0221248 0.9231 0.0260483 0.37092 -0.927869 0.37092
rHand 1223.25 -0.098336 -0.0664265 0.992934 -0.064334 -0.2744 0.959158 -0.2744
lFoot 1223.25 0.930381 0.261866 0.256548 -0.977995 -0.0990234 -0.0602741 -0.0990234
rFoot 1223.25 -0.0870169 0.769022 0.633272 -0.979303 0.104566 0.0355022 0.104566
head 1223.26 0.0695124 0.0116666 0.997513 0.656603 0.0904588 0.0251535 0.0904588
hip 1223.26 0.118337 0.0314361 0.992476 0.569583 -0.010487 -0.0109054 -0.010487
lHand 1223.26 0.383789 -0.0219933 0.923159 0.0260232 0.370743 -0.927937 0.370743
rHand 1223.26 -0.0985617 -0.0663961 0.992913 -0.0669205 -0.273774 0.959154 -0.273774
lFoot 1223.26 0.930425 0.261737 0.25652 -0.977981 -0.099094 -0.0603738 -0.099094
rFoot 1223.26 -0.0870925 0.768882 0.633431 -0.979352 0.104197 0.0354694 0.104197
head 1223.27 0.0694102 0.0116098 0.997521 0.656648 0.0903918 0.0252364 0.0903918
hip 1223.27 0.118279 0.0314262 0.992483 0.569492 -0.0103517 -0.0106903 -0.0103517
lHand 1223.27 0.38378 -0.021943 0.923164 0.0257625 0.370409 -0.928091 0.370409
rHand 1223.27 -0.0987873 -0.0662953 0.992898 -0.0691419 -0.272554 0.959345 -0.272554
lFoot 1223.27 0.930409 0.261653 0.256666 -0.977992 -0.0991244 -0.0602299 -0.0991244
rFoot 1223.27 -0.0880935 0.768911 0.633257 -0.979332 0.104391 0.0354672 0.104391
