tag time posX posY posZ rotX rotY rotZ rotW
head 2441.65 0.188491 0.289355 0.93848 0.681537 -0.0122304 -0.0201769 -0.0122304
hip 2441.65 0.280777 0.461339 0.841624 0.553978 -0.0248911 -0.0371954 -0.0248911
lHand 2441.65 0.567104 0.396981 0.721665 0.20643 0.286541 -0.882554 0.286541
rHand 2441.65 -0.00240321 0.576535 0.817069 0.143296 -0.324989 0.922 -0.324989
lFoot 2441.65 0.658948 0.746829 0.0896309 -0.98055 -0.0548462 -0.079259 -0.0548462
rFoot 2441.65 0.302581 0.94297 0.13875 -0.989555 -0.110557 0.088347 -0.110557
head 2441.66 0.188393 0.289454 0.938469 0.681751 -0.0122888 -0.0201018 -0.0122888
hip 2441.66 0.280751 0.461215 0.8417 0.553947 -0.024784 -0.0370115 -0.024784
lHand 2441.66 0.566987 0.396811 0.72185 0.205893 0.286136 -0.882844 0.286136
rHand 2441.66 -0.00252426 0.576727 0.816933 0.143153 -0.324812 0.92197 -0.324812
lFoot 2441.66 0.658935 0.746846 0.0895852 -0.980537 -0.0549095 -0.0793279 -0.0549095
rFoot 2441.66 0.302443 0.943027 0.138671 -0.98955 -0.110648 0.088233 -0.110648
head 2441.68 0.188311 0.289388 0.938506 0.682006 -0.0121295 -0.0202031 -0.0121295
hip 2441.68 0.280768 0.461084 0.841766 0.553919 -0.0247766 -0.0369169 -0.0247766
lHand 2441.68 0.56685 0.396672 0.722033 0.205915 0.285652 -0.882906 0.285652
rHand 2441.68 -0.00208741 0.576611 0.817016 0.142653 -0.324861 0.921959 -0.324861
lFoot 2441.68 0.658919 0.746849 0.0896811 -0.980535 -0.054609 -0.0792942 -0.054609
rFoot 2441.68 0.30236 0.943044 0.138731 -0.989519 -0.11085 0.0882778 -0.11085
head 2441.69 0.188296 0.289323 0.938529 0.682262 -0.0119857 -0.0202134 -0.0119857
hip 2441.69 0.280783 0.460967 0.841826 0.55393 -0.0248031 -0.0368453 -0.0248031
lHand 2441.69 0.566778 0.396613 0.722122 0.206092 0.285284 -0.882882 0.285284
rHand 2441.69 -0.0012304 0.576466 0.81712 0.141081 -0.325177 0.922075 -0.325177
lFoot 2441.69 0.658968 0.746798 0.0897399 -0.980496 -0.0545663 -0.0793603 -0.0545663
rFoot 2441.69 0.302428 0.943046 0.138571 -0.989508 -0.110929 0.088272 -0.110929
head 2441.7 0.188269 0.289277 0.938549 0.682571 -0.011897 -0.0202152 -0.011897
hip 2441.7 0.280762 0.460838 0.841903 0.553946 -0.024588 -0.0366517 -0.024588
lHand 2441.7 0.566856 0.396186 0.722296 0.206134 0.284846 -0.882943 0.284846
rHand 2441.7 0.000382667 0.576423 0.817152 0.138593 -0.325562 0.922504 -0.325562
lFoot 2441.7 0.658928 0.746826 0.089805 -0.980443 -0.0547351 -0.0794546 -0.0547351
rFoot 2441.7 0.302462 0.94303 0.1386 -0.989514 -0.110891 0.0882006 -0.110891
head 2441.71 0.188241 0.289281 0.938553 0.682748 -0.0117251 -0.0201434 -0.0117251
hip 2441.71 0.280658 0.46088 0.841915 0.553896 -0.0246553 -0.0364702 -0.0246553
lHand 2441.71 0.566789 0.396027 0.722435 0.205907 0.28417 -0.883104 0.28417
rHand 2441.71 0.00317124 0.576426 0.817143 0.13444 -0.326889 0.923074 -0.326889
lFoot 2441.71 0.658937 0.746817 0.0898149 -0.980434 -0.0547424 -0.0794632 -0.0547424
rFoot 2441.71 0.302468 0.943033 0.138571 -0.989524 -0.110707 0.0882754 -0.110707
head 2441.72 0.188186 0.289259 0.938571 0.682903 -0.011567 -0.0200335 -0.011567
hip 2441.72 0.280704 0.460739 0.841977 0.553726 -0.0249302 -0.0366723 -0.0249302
lHand 2441.72 0.566913 0.395848 0.722436 0.206124 0.283591 -0.883097 0.283591
rHand 2441.72 0.00397099 0.576309 0.817222 0.133421 -0.328548 0.922712 -0.328548
lFoot 2441.72 0.659057 0.746728 0.0896752 -0.980422 -0.0548187 -0.0794543 -0.0548187
rFoot 2441.72 0.302667 0.943013 0.138274 -0.989509 -0.110788 0.0882981 -0.110788
head 2441.73 0.188126 0.289187 0.938605 0.682971 -0.0113186 -0.0200688 -0.0113186
hip 2441.73 0.280737 0.460593 0.842046 0.553499 -0.0251384 -0.0367451 -0.0251384
lHand 2441.73 0.566917 0.395558 0.722592 0.20648 0.283045 -0.883038 0.283045
rHand 2441.73 0.00488723 0.576328 0.817204 0.131816 -0.329049 0.922927 -0.329049
lFoot 2441.73 0.659005 0.746771 0.0896999 -0.980396 -0.0550358 -0.0793964 -0.0550358
rFoot 2441.73 0.302717 0.943005 0.138219 -0.989505 -0.110874 0.0881958 -0.110874
head 2441.74 0.188074 0.289118 0.938637 0.682862 -0.0110208 -0.020278 -0.0110208
hip 2441.74 0.280481 0.460695 0.842075 0.553262 -0.0250538 -0.0365327 -0.0250538
lHand 2441.74 0.566794 0.395412 0.722768 0.20633 0.28273 -0.883124 0.28273
rHand 2441.74 0.00630237 0.576329 0.817194 0.130029 -0.328781 0.923429 -0.328781
lFoot 2441.74 0.659004 0.74677 0.0897135 -0.980386 -0.0552908 -0.0793653 -0.0552908
rFoot 2441.74 0.302752 0.942997 0.138196 -0.989518 -0.110691 0.0882458 -0.110691
head 2441.75 0.187979 0.289054 0.938675 0.682754 -0.0107451 -0.0203204 -0.0107451
hip 2441.75 0.280475 0.460581 0.842139 0.553098 -0.0248564 -0.0362466 -0.0248564
lHand 2441.75 0.56677 0.395162 0.722924 0.206033 0.282279 -0.883272 0.282279
rHand 2441.75 0.00707392 0.576207 0.817273 0.128768 -0.327894 0.923993 -0.327894
lFoot 2441.75 0.658764 0.74695 0.0899788 -0.980361 -0.0553166 -0.0794622 -0.0553166
rFoot 2441.75 0.30224 0.943109 0.138553 -0.989522 -0.110582 0.0883411 -0.110582
head 2441.76 0.187907 0.288884 0.938742 0.682568 -0.0104149 -0.0203986 -0.0104149
hip 2441.76 0.280442 0.460465 0.842214 0.552941 -0.0246887 -0.0361213 -0.0246887
lHand 2441.76 0.566715 0.394909 0.723105 0.205932 0.281929 -0.883299 0.281929
rHand 2441.76 0.00783934 0.576145 0.81731 0.127294 -0.327037 0.924591 -0.327037
lFoot 2441.76 0.658818 0.746893 0.0900509 -0.980339 -0.0553279 -0.0796467 -0.0553279
rFoot 2441.76 0.302416 0.943051 0.138563 -0.989534 -0.110642 0.0880799 -0.110642
head 2441.78 0.187801 0.288725 0.938812 0.682438 -0.0101187 -0.0205033 -0.0101187
hip 2441.78 0.280441 0.460259 0.842327 0.552813 -0.0245603 -0.0359456 -0.0245603
lHand 2441.78 0.566682 0.394637 0.723279 0.2059 0.281578 -0.88326 0.281578
rHand 2441.78 0.00863328 0.575997 0.817406 0.126127 -0.325866 0.925283 -0.325866
lFoot 2441.78 0.658794 0.74691 0.0900899 -0.980341 -0.0553408 -0.0795413 -0.0553408
rFoot 2441.78 0.302339 0.94307 0.138599 -0.989497 -0.111013 0.0880389 -0.111013
head 2441.79 0.187626 0.288753 0.938839 0.682335 -0.00984524 -0.0205697 -0.00984524
hip 2441.79 0.28039 0.460173 0.842391 0.552773 -0.0244853 -0.0359785 -0.0244853
lHand 2441.79 0.566606 0.393967 0.723704 0.205321 0.28137 -0.883368 0.28137
rHand 2441.79 0.00891032 0.57595 0.817437 0.125396 -0.324582 0.925888 -0.324582
lFoot 2441.79 0.658763 0.746927 0.0901763 -0.98035 -0.0551478 -0.0795611 -0.0551478
rFoot 2441.79 0.302102 0.943135 0.138673 -0.989485 -0.111061 0.0880761 -0.111061
head 2441.8 0.187516 0.288679 0.938883 0.682343 -0.00954686 -0.0205856 -0.00954686
hip 2441.8 0.280348 0.460064 0.842464 0.552713 -0.0244143 -0.0359432 -0.0244143
lHand 2441.8 0.566369 0.393933 0.723908 0.204783 0.280998 -0.883546 0.280998
rHand 2441.8 0.00930825 0.575888 0.817476 0.124749 -0.324236 0.926193 -0.324236
lFoot 2441.8 0.658715 0.746973 0.0901419 -0.980335 -0.0551126 -0.0797159 -0.0551126
rFoot 2441.8 0.301913 0.94319 0.138715 -0.989494 -0.11112 0.0878669 -0.11112
head 2441.81 0.18741 0.288575 0.938937 0.682411 -0.00922861 -0.0206062 -0.00922861
hip 2441.81 0.280262 0.45977 0.842654 0.552777 -0.0244179 -0.035849 -0.0244179
lHand 2441.81 0.566367 0.393641 0.724069 0.204866 0.280624 -0.883462 0.280624
rHand 2441.81 0.0103804 0.575873 0.817473 0.123882 -0.324827 0.926398 -0.324827
lFoot 2441.81 0.65869 0.746992 0.0901674 -0.980326 -0.0552998 -0.0795886 -0.0552998
rFoot 2441.81 0.301852 0.943205 0.138741 -0.989479 -0.111177 0.0879453 -0.111177
head 2441.82 0.187258 0.288556 0.938973 0.682431 -0.00887363 -0.0204771 -0.00887363
hip 2441.82 0.2802 0.459671 0.842728 0.552838 -0.0243357 -0.03579 -0.0243357
lHand 2441.82 0.566491 0.392713 0.724475 0.20499 0.280318 -0.883367 0.280318
rHand 2441.82 0.012169 0.575787 0.817509 0.121836 -0.326519 0.926514 -0.326519
lFoot 2441.82 0.65868 0.746997 0.0902008 -0.980334 -0.0552294 -0.0795176 -0.0552294
rFoot 2441.82 0.301897 0.943211 0.138606 -0.989492 -0.111048 0.0879473 -0.111048
head 2441.83 0.187088 0.288619 0.938987 0.682403 -0.008534 -0.0203469 -0.008534
hip 2441.83 0.28012 0.459593 0.842797 0.552966 -0.0243226 -0.0358 -0.0243226
lHand 2441.83 0.566396 0.392442 0.724696 0.204814 0.280326 -0.883337 0.280326
