tag time posX posY posZ rotX rotY rotZ rotW
head 201.661 0.0460743 0.0214344 0.998708 0.713518 -0.0416736 -0.003655 -0.0416736
hip 201.661 0.0930402 0.104649 0.990148 0.552783 -0.000566903 -0.0118349 -0.000566903
lHand 201.661 0.455723 -0.187045 0.870247 0.182202 0.426132 -0.868076 0.426132
rHand 201.661 -0.274393 -0.162837 0.94773 -0.0213822 -0.438277 0.897764 -0.438277
lFoot 201.661 0.875419 0.395125 0.278421 -0.984927 -0.0253113 -0.0585067 -0.0253113
rFoot 201.661 -0.348671 0.690222 0.634052 -0.985931 -0.0454119 0.0534904 -0.0454119
head 201.673 0.0459077 0.0213762 0.998717 0.71376 -0.0415521 -0.00379478 -0.0415521
hip 201.673 0.0926967 0.104384 0.990208 0.552201 -0.000572635 -0.011673 -0.000572635
lHand 201.673 0.455346 -0.187027 0.870449 0.181679 0.425596 -0.868427 0.425596
rHand 201.673 -0.274734 -0.163174 0.947574 -0.0207269 -0.437692 0.898065 -0.437692
lFoot 201.673 0.875373 0.395354 0.27824 -0.98492 -0.02525 -0.0588568 -0.02525
rFoot 201.673 -0.34992 0.690202 0.633386 -0.985946 -0.0454485 0.0532576 -0.0454485
head 201.684 0.0457388 0.0213039 0.998726 0.713996 -0.0414502 -0.00389633 -0.0414502
hip 201.684 0.0923706 0.104602 0.990215 0.551665 -0.000525499 -0.0113542 -0.000525499
lHand 201.684 0.454925 -0.187076 0.870658 0.18109 0.424986 -0.868788 0.424986
rHand 201.684 -0.27509 -0.163103 0.947482 -0.0197327 -0.437172 0.898349 -0.437172
lFoot 201.684 0.875295 0.395365 0.278468 -0.984895 -0.0254449 -0.0591508 -0.0254449
rFoot 201.684 -0.350494 0.690019 0.633267 -0.985956 -0.0455255 0.0530708 -0.0455255
head 201.695 0.0455069 0.0212793 0.998737 0.714132 -0.041379 -0.00382717 -0.041379
hip 201.695 0.092016 0.104797 0.990228 0.551076 -0.000289172 -0.0109825 -0.000289172
lHand 201.695 0.454309 -0.186829 0.871033 0.180449 0.424592 -0.869134 0.424592
rHand 201.695 -0.275269 -0.163181 0.947417 -0.0175889 -0.436673 0.898675 -0.436673
lFoot 201.695 0.875244 0.395352 0.278647 -0.984908 -0.0254458 -0.0593802 -0.0254458
rFoot 201.695 -0.35155 0.689762 0.632962 -0.985976 -0.0456483 0.0528473 -0.0456483
head 201.706 0.0453242 0.0213283 0.998745 0.714346 -0.0413708 -0.00384307 -0.0413708
hip 201.706 0.0917556 0.104369 0.990297 0.550668 -0.000134142 -0.0106519 -0.000134142
lHand 201.706 0.453793 -0.186914 0.871284 0.179825 0.424065 -0.869502 0.424065
rHand 201.706 -0.275535 -0.163229 0.947331 -0.0146266 -0.435893 0.899167 -0.435893
lFoot 201.706 0.875132 0.395846 0.278299 -0.984887 -0.025811 -0.0596784 -0.025811
rFoot 201.706 -0.352681 0.691097 0.630874 -0.98601 -0.0459322 0.0527144 -0.0459322
head 201.72 0.0451328 0.0212894 0.998754 0.714528 -0.0412332 -0.00377458 -0.0412332
hip 201.72 0.0913987 0.104536 0.990312 0.550351 -8.08947e-05 -0.0103479 -8.08947e-05
lHand 201.72 0.453195 -0.187189 0.871535 0.179321 0.423725 -0.869775 0.423725
rHand 201.72 -0.276003 -0.163519 0.947145 -0.0116425 -0.435544 0.899457 -0.435544
lFoot 201.72 0.874958 0.396052 0.278551 -0.984897 -0.0259342 -0.0598255 -0.0259342
rFoot 201.72 -0.352987 0.691224 0.630563 -0.986032 -0.045702 0.0524934 -0.045702
head 201.729 0.0448992 0.0212892 0.998765 0.714666 -0.0410674 -0.00375997 -0.0410674
hip 201.729 0.091037 0.104736 0.990324 0.550242 -7.90544e-05 -0.0100969 -7.90544e-05
lHand 201.729 0.452479 -0.187081 0.871931 0.17894 0.423461 -0.869985 0.423461
rHand 201.729 -0.2768 -0.163499 0.946916 -0.0100864 -0.435166 0.899704 -0.435166
lFoot 201.729 0.87494 0.396006 0.278674 -0.984913 -0.0259061 -0.0599001 -0.0259061
rFoot 201.729 -0.353669 0.691253 0.630149 -0.986065 -0.0456176 0.052166 -0.0456176
head 201.74 0.0447268 0.0214045 0.99877 0.71476 -0.0408727 -0.0037391 -0.0408727
hip 201.74 0.090916 0.104268 0.990385 0.550153 -8.04495e-05 -0.00984057 -8.04495e-05
lHand 201.74 0.45189 -0.187213 0.872208 0.17845 0.423158 -0.870241 0.423158
rHand 201.74 -0.277384 -0.163488 0.946747 -0.010656 -0.435812 0.899441 -0.435812
lFoot 201.74 0.874866 0.396263 0.278541 -0.98491 -0.0260376 -0.0602823 -0.0260376
rFoot 201.74 -0.354841 0.691342 0.629392 -0.986085 -0.0459049 0.0519533 -0.0459049
head 201.751 0.0445419 0.0213842 0.998779 0.714922 -0.0405313 -0.00370841 -0.0405313
hip 201.751 0.0905476 0.104459 0.990399 0.550101 -8.15149e-05 -0.00941622 -8.15149e-05
lHand 201.751 0.451272 -0.187416 0.872484 0.177765 0.422912 -0.870517 0.422912
rHand 201.751 -0.277613 -0.163464 0.946684 -0.0103206 -0.436072 0.899361 -0.436072
lFoot 201.751 0.874908 0.396157 0.278561 -0.984888 -0.0262665 -0.0606414 -0.0262665
rFoot 201.751 -0.355802 0.691319 0.628874 -0.986103 -0.0460849 0.0516546 -0.0460849
head 201.762 0.0443377 0.021394 0.998787 0.715082 -0.0401613 -0.00368041 -0.0401613
hip 201.762 0.0901401 0.104698 0.990411 0.550054 0.000153709 -0.00891713 0.000153709
lHand 201.762 0.450611 -0.187786 0.872746 0.176805 0.422429 -0.870979 0.422429
rHand 201.762 -0.278134 -0.16341 0.94654 -0.0104013 -0.43648 0.899193 -0.43648
lFoot 201.762 0.87493 0.396084 0.278594 -0.984893 -0.0261623 -0.0608895 -0.0261623
rFoot 201.762 -0.356934 0.691132 0.628439 -0.986108 -0.0462157 0.0514268 -0.0462157
head 201.773 0.0441724 0.0214149 0.998794 0.715193 -0.0397235 -0.00362969 -0.0397235
hip 201.773 0.089905 0.104568 0.990446 0.550078 0.00037317 -0.00859695 0.00037317
lHand 201.773 0.45004 -0.188003 0.872994 0.175676 0.42189 -0.871475 0.42189
rHand 201.773 -0.278428 -0.163407 0.946454 -0.0107276 -0.436848 0.899031 -0.436848
lFoot 201.773 0.874875 0.3963 0.278461 -0.984885 -0.0264339 -0.0611538 -0.0264339
rFoot 201.773 -0.357382 0.691239 0.628066 -0.986137 -0.0464184 0.0511232 -0.0464184
head 201.785 0.0440089 0.0213732 0.998802 0.715302 -0.0393821 -0.00351554 -0.0393821
hip 201.785 0.0895368 0.104788 0.990456 0.550162 0.000503695 -0.0084575 0.000503695
lHand 201.785 0.449477 -0.188253 0.87323 0.174498 0.421171 -0.872072 0.421171
rHand 201.785 -0.278882 -0.163341 0.946332 -0.0115826 -0.437379 0.898755 -0.437379
lFoot 201.785 0.874808 0.396343 0.278609 -0.984899 -0.0266011 -0.0612115 -0.0266011
rFoot 201.785 -0.358328 0.691089 0.627692 -0.986161 -0.0468489 0.0509635 -0.0468489
head 201.795 0.0437989 0.0213921 0.998811 0.715424 -0.039051 -0.00343043 -0.039051
hip 201.795 0.0891202 0.105152 0.990455 0.550447 0.000227502 -0.00851335 0.000227502
lHand 201.795 0.448981 -0.188551 0.873421 0.173336 0.420437 -0.872659 0.420437
rHand 201.795 -0.279516 -0.163129 0.946182 -0.0120504 -0.437732 0.898562 -0.437732
lFoot 201.795 0.87468 0.397224 0.277756 -0.98491 -0.026619 -0.0614268 -0.026619
rFoot 201.795 -0.359119 0.691022 0.627313 -0.986178 -0.0469941 0.050714 -0.0469941
head 201.807 0.0436161 0.021487 0.998817 0.715501 -0.0387081 -0.00333817 -0.0387081
hip 201.807 0.0888662 0.105138 0.990479 0.550473 0.000184804 -0.00849663 0.000184804
lHand 201.807 0.44844 -0.188853 0.873634 0.172326 0.419646 -0.873231 0.419646
rHand 201.807 -0.280269 -0.162748 0.946025 -0.0125119 -0.437984 0.898416 -0.437984
lFoot 201.807 0.874589 0.397398 0.277794 -0.984895 -0.0269643 -0.0616092 -0.0269643
rFoot 201.807 -0.359432 0.692959 0.624993 -0.986236 -0.0468702 0.0505806 -0.0468702
head 201.818 0.0434256 0.0214924 0.998825 0.715617 -0.0382688 -0.00321177 -0.0382688
hip 201.818 0.0884895 0.105297 0.990496 0.550371 0.00029479 -0.00813774 0.00029479
lHand 201.818 0.447935 -0.189236 0.87381 0.171533 0.418816 -0.873769 0.418816
rHand 201.818 -0.280966 -0.162188 0.945914 -0.0132226 -0.438723 0.897996 -0.438723
lFoot 201.818 0.874368 0.397666 0.278105 -0.984889 -0.0270684 -0.0617434 -0.0270684
rFoot 201.818 -0.359734 0.693412 0.624317 -0.986278 -0.0466492 0.050368 -0.0466492
head 201.829 0.0432487 0.0214989 0.998833 0.715777 -0.037776 -0.00313029 -0.037776
hip 201.829 0.0880964 0.105476 0.990512 0.550317 0.000447566 -0.00773853 0.000447566
lHand 201.829 0.447278 -0.189244 0.874145 0.170974 0.41819 -0.874192 0.41819
rHand 201.829 -0.281743 -0.16188 0.945735 -0.0139611 -0.439768 0.897422 -0.439768
lFoot 201.829 0.874407 0.397205 0.27864 -0.984874 -0.0271378 -0.0620719 -0.0271378
rFoot 201.829 -0.359997 0.6938 0.623734 -0.986319 -0.0465681 0.0500896 -0.0465681
head 201.841 0.0430992 0.0215382 0.998839 0.715996 -0.037338 -0.00312393 -0.037338
hip 201.841 0.0879852 0.104891 0.990584 0.550295 0.000581011 -0.00719533 0.000581011
lHand 201.841 0.446722 -0.18965 0.874341 0.170876 0.417623 -0.874487 0.417623
rHand 201.841 -0.282639 -0.16183 0.945477 -0.0145993 -0.440712 0.896896 -0.440712
lFoot 201.841 0.874369 0.397188 0.278785 -0.98484 -0.027264 -0.0625357 -0.027264
rFoot 201.841 -0.360046 0.692847 0.624764 -0.986336 -0.0464171 0.0498017 -0.0464171
head 201.852 0.0429437 0.0215127 0.998846 0.716261 -0.036965 -0.00302503 -0.036965
hip 201.852 0.0875923 0.105027 0.990604 0.550103 0.000790413 -0.00670774 0.000790413
lHand 201.852 0.446091 -0.189854 0.874619 0.170669 0.417105 -0.874779 0.417105
rHand 201.852 -0.2834 -0.161412 0.94532 -0.0143231 -0.441261 0.896561 -0.441261
lFoot 201.852 0.87427 0.397281 0.278961 -0.984845 -0.0273154 -0.0627341 -0.0273154
rFoot 201.852 -0.360938 0.692754 0.624352 -0.98637 -0.0466559 0.0495192 -0.0466559
head 201.863 0.0427795 0.021479 0.998854 0.716581 -0.0365779 -0.00288595 -0.0365779
hip 201.863 0.0872141 0.105143 0.990625 0.549777 0.00102983 -0.00635593 0.00102983
lHand 201.863 0.445485 -0.189876 0.874923 0.170639 0.416616 -0.875052 0.416616
rHand 201.863 -0.283675 -0.161324 0.945253 -0.0125874 -0.441761 0.896289 -0.441761
lFoot 201.863 0.874207 0.397178 0.279307 -0.984849 -0.0274272 -0.0628746 -0.0274272
rFoot 201.863 -0.362167 0.692661 0.623743 -0.986383 -0.0471505 0.0492039 -0.0471505
head 201.874 0.0426222 0.0214009 0.998862 0.716796 -0.0360176 -0.00275127 -0.0360176
hip 201.874 0.0869405 0.104824 0.990683 0.549476 0.0011479 -0.0060122 0.0011479
lHand 201.874 0.444962 -0.190217 0.875115 0.170671 0.416097 -0.875331 0.416097
rHand 201.874 -0.284268 -0.161242 0.945089 -0.0105808 -0.441957 0.896173 -0.441957
lFoot 201.874 0.874128 0.397278 0.279411 -0.984827 -0.0277432 -0.0631803 -0.0277432
rFoot 201.874 -0.362224 0.692351 0.624054 -0.986412 -0.0471639 0.0490668 -0.0471639
head 201.885 0.0425113 0.0212749 0.998869 0.717254 -0.0354832 -0.0027523 -0.0354832
hip 201.885 0.0866064 0.104835 0.990711 0.548679 0.00111019 -0.00587452 0.00111019
lHand 201.885 0.44434 -0.190284 0.875416 0.170726 0.415551 -0.875595 0.415551
rHand 201.885 -0.284874 -0.161555 0.944853 -0.00817892 -0.442335 0.895988 -0.442335
lFoot 201.885 0.874115 0.3972 0.279563 -0.984824 -0.0278557 -0.0633119 -0.0278557
rFoot 201.885 -0.362317 0.692572 0.623756 -0.986425 -0.046943 0.0487949 -0.046943
head 201.896 0.042406 0.0212434 0.998875 0.717718 -0.0349231 -0.00258195 -0.0349231
hip 201.896 0.0863183 0.104775 0.990743 0.547711 0.000997389 -0.0056326 0.000997389
lHand 201.896 0.443872 -0.19054 0.875598 0.170921 0.414816 -0.875959 0.414816
rHand 201.896 -0.285474 -0.161469 0.944686 -0.0093358 -0.443014 0.895596 -0.443014
lFoot 201.896 0.874052 0.397432 0.279428 -0.984825 -0.0278826 -0.0634643 -0.0278826
rFoot 201.896 -0.362678 0.693266 0.622774 -0.98647 -0.0468038 0.0485218 -0.0468038
head 201.907 0.0422556 0.0212053 0.998882 0.718247 -0.034541 -0.00238813 -0.034541
hip 201.907 0.0861497 0.104365 0.990801 0.546894 0.00117909 -0.00532735 0.00117909
lHand 201.907 0.44338 -0.190844 0.875781 0.17105 0.413973 -0.876349 0.413973
rHand 201.907 -0.286202 -0.161074 0.944534 -0.0109399 -0.443928 0.89508 -0.443928
lFoot 201.907 0.873967 0.397449 0.279671 -0.984802 -0.028217 -0.0637813 -0.028217
rFoot 201.907 -0.363368 0.693166 0.622483 -0.986485 -0.0469978 0.0481666 -0.0469978
head 201.919 0.0420764 0.0210777 0.998892 0.719009 -0.0342141 -0.00203364 -0.0342141
hip 201.919 0.0857967 0.104348 0.990833 0.546451 0.00130392 -0.00517285 0.00130392
lHand 201.919 0.442814 -0.190819 0.876073 0.171163 0.412991 -0.876782 0.412991
rHand 201.919 -0.286422 -0.160934 0.944491 -0.0124665 -0.44535 0.894323 -0.44535
lFoot 201.919 0.873972 0.397342 0.279807 -0.984791 -0.0282293 -0.0639931 -0.0282293
rFoot 201.919 -0.364307 0.693034 0.62208 -0.986491 -0.0472976 0.0479836 -0.0472976
head 201.929 0.0419584 0.0209898 0.998899 0.719769 -0.0341348 -0.00167046 -0.0341348
hip 201.929 0.0854633 0.104411 0.990855 0.546334 0.00130415 -0.00494235 0.00130415
lHand 201.929 0.442327 -0.190867 0.876309 0.171114 0.412246 -0.87716 0.412246
