tag time posX posY posZ rotX rotY rotZ rotW
head 2795.57 0.117568 0.33528 0.934754 0.736869 -0.0297593 -0.00887006 -0.0297593
hip 2795.57 0.196805 0.537706 0.819841 0.579227 -0.0295577 0.0510744 -0.0295577
lHand 2795.57 0.357987 0.582398 0.729834 0.891379 0.240711 -0.136592 0.240711
rHand 2795.57 -0.0303244 0.557146 0.829861 0.79221 -0.399312 0.39748 -0.399312
lFoot 2795.57 0.460835 0.880944 0.107558 -0.986131 -0.0229435 -0.0297171 -0.0229435
rFoot 2795.57 0.243177 0.963711 0.110117 -0.988374 -0.00414483 0.0274426 -0.00414483
head 2795.58 0.118233 0.335399 0.934627 0.73668 -0.0289626 -0.00870058 -0.0289626
hip 2795.58 0.196989 0.537575 0.819884 0.57908 -0.0283413 0.05079 -0.0283413
lHand 2795.58 0.359512 0.582231 0.729218 0.891973 0.238433 -0.134041 0.238433
rHand 2795.58 -0.0297562 0.56034 0.827728 0.796721 -0.396534 0.388226 -0.396534
lFoot 2795.58 0.460616 0.880821 0.109489 -0.986796 -0.0214092 -0.0283973 -0.0214092
rFoot 2795.58 0.24347 0.963643 0.110068 -0.98835 -0.00516182 0.0281687 -0.00516182
head 2795.59 0.1189 0.335554 0.934487 0.736524 -0.0284886 -0.00879727 -0.0284886
hip 2795.59 0.197037 0.537194 0.820121 0.578583 -0.0271047 0.050448 -0.0271047
lHand 2795.59 0.360713 0.582068 0.728754 0.89244 0.236896 -0.131801 0.236896
rHand 2795.59 -0.0300659 0.56376 0.825391 0.804257 -0.39444 0.372714 -0.39444
lFoot 2795.59 0.458831 0.881518 0.111358 -0.987473 -0.0168631 -0.0286869 -0.0168631
rFoot 2795.59 0.243999 0.963504 0.110111 -0.988411 -0.00627446 0.0287885 -0.00627446
head 2795.61 0.119565 0.335709 0.934347 0.736359 -0.028081 -0.00894817 -0.028081
hip 2795.61 0.197221 0.536602 0.820464 0.577852 -0.0258038 0.0504822 -0.0258038
