tag time posX posY posZ rotX rotY rotZ rotW
head 448.095 0.0451611 -0.174706 0.983584 0.716173 -0.00295944 0.0150195 -0.00295944
hip 448.095 0.0638119 -0.226303 0.971965 0.540781 0.0251675 -0.0105473 0.0251675
lHand 448.095 0.301218 -0.386008 0.871932 -0.00911826 0.459297 -0.888127 0.459297
rHand 448.095 -0.177286 -0.375628 0.909655 0.0174677 0.397687 -0.916064 0.397687
lFoot 448.095 0.557837 -0.802871 0.210279 -0.990249 0.0129879 -0.0483585 0.0129879
rFoot 448.095 -0.137448 -0.937545 0.319559 -0.977028 0.119489 0.0213354 0.119489
head 448.107 0.0451663 -0.174799 0.983568 0.716347 -0.00352557 0.0147074 -0.00352557
hip 448.107 0.0638275 -0.226333 0.971956 0.540771 0.0250559 -0.0107686 0.0250559
lHand 448.107 0.301434 -0.386078 0.871827 -0.00897741 0.45961 -0.887959 0.45961
rHand 448.107 -0.17725 -0.375476 0.909726 0.0173684 0.398197 -0.91584 0.398197
lFoot 448.107 0.557888 -0.802843 0.210247 -0.990244 0.0131401 -0.04832 0.0131401
rFoot 448.107 -0.137362 -0.937517 0.319676 -0.977026 0.11964 0.0212799 0.11964
head 448.118 0.0451662 -0.174907 0.983549 0.716475 -0.00404464 0.0144912 -0.00404464
hip 448.118 0.0638468 -0.226376 0.971945 0.5408 0.0249521 -0.0109618 0.0249521
lHand 448.118 0.301684 -0.386087 0.871736 -0.00865594 0.459735 -0.88789 0.459735
rHand 448.118 -0.177498 -0.374951 0.909894 0.0179813 0.397822 -0.915944 0.397822
lFoot 448.118 0.557851 -0.802893 0.210157 -0.990247 0.0131949 -0.0483194 0.0131949
rFoot 448.118 -0.137063 -0.937577 0.31963 -0.977033 0.119718 0.021303 0.119718
head 448.13 0.0451147 -0.175005 0.983533 0.716554 -0.00442888 0.014244 -0.00442888
hip 448.13 0.0639081 -0.226467 0.97192 0.540804 0.0248019 -0.011201 0.0248019
lHand 448.13 0.301772 -0.386079 0.871709 -0.00855574 0.459771 -0.887865 0.459771
rHand 448.13 -0.177822 -0.373963 0.910237 0.0197878 0.396321 -0.91641 0.396321
lFoot 448.13 0.557852 -0.802922 0.210042 -0.990248 0.0133903 -0.0483135 0.0133903
rFoot 448.13 -0.136992 -0.937646 0.319458 -0.977013 0.119895 0.0212209 0.119895
head 448.141 0.0450642 -0.175078 0.983523 0.716617 -0.00493579 0.0139812 -0.00493579
hip 448.141 0.0638756 -0.226336 0.971953 0.54076 0.0246686 -0.0113744 0.0246686
lHand 448.141 0.301766 -0.385943 0.871771 -0.00833142 0.459752 -0.887869 0.459752
rHand 448.141 -0.178523 -0.373596 0.91025 0.0225791 0.396968 -0.91599 0.396968
lFoot 448.141 0.557929 -0.802874 0.210019 -0.990246 0.0133423 -0.048199 0.0133423
rFoot 448.141 -0.136838 -0.93772 0.319306 -0.977 0.120035 0.0212743 0.120035
head 448.154 0.0450053 -0.17518 0.983507 0.716636 -0.00525836 0.0136867 -0.00525836
hip 448.154 0.0638744 -0.226389 0.971941 0.540798 0.0245728 -0.0116239 0.0245728
lHand 448.154 0.301943 -0.38599 0.871689 -0.00805923 0.459744 -0.887875 0.459744
rHand 448.154 -0.17883 -0.373361 0.910286 0.0242368 0.398487 -0.915221 0.398487
lFoot 448.154 0.557942 -0.802866 0.210016 -0.990244 0.0133502 -0.0482685 0.0133502
rFoot 448.154 -0.136769 -0.937751 0.319245 -0.977004 0.120076 0.0212434 0.120076
head 448.164 0.0449583 -0.175273 0.983493 0.716762 -0.00573061 0.0134007 -0.00573061
hip 448.164 0.0638934 -0.22646 0.971923 0.540799 0.0244197 -0.0118866 0.0244197
lHand 448.164 0.301958 -0.386027 0.871668 -0.00799644 0.459674 -0.887912 0.459674
rHand 448.164 -0.179058 -0.373323 0.910257 0.0259727 0.400015 -0.914487 0.400015
lFoot 448.164 0.558005 -0.802853 0.209901 -0.990241 0.0135358 -0.0482902 0.0135358
rFoot 448.164 -0.136687 -0.937847 0.318998 -0.976989 0.120245 0.0211473 0.120245
head 448.175 0.0449257 -0.175428 0.983467 0.716886 -0.00631774 0.0131469 -0.00631774
hip 448.175 0.0638047 -0.22622 0.971984 0.540924 0.024235 -0.012261 0.024235
lHand 448.175 0.301848 -0.386088 0.871678 -0.00767809 0.459725 -0.887885 0.459725
rHand 448.175 -0.179288 -0.373004 0.910343 0.0279245 0.401228 -0.913906 0.401228
lFoot 448.175 0.557897 -0.802922 0.209922 -0.990232 0.0135498 -0.0482674 0.0135498
rFoot 448.175 -0.136738 -0.937849 0.318971 -0.976974 0.12034 0.021194 0.12034
