tag time posX posY posZ rotX rotY rotZ rotW
head 1483.73 0.158235 0.00556329 0.987386 0.70134 -0.0171599 -0.00488206 -0.0171599
hip 1483.73 0.260636 0.0575068 0.963723 0.598541 -0.000437884 -0.00965408 -0.000437884
lHand 1483.73 0.475472 -0.216746 0.852612 0.69208 0.296809 -0.287797 0.296809
rHand 1483.73 -0.0656681 -0.303486 0.95057 0.644122 -0.295057 0.333659 -0.295057
lFoot 1483.73 0.955349 0.159356 0.248825 -0.981387 -0.0288571 -0.00316712 -0.0288571
rFoot 1483.73 0.940799 0.0824907 0.328775 -0.98193 0.105874 0.0265002 0.105874
head 1483.74 0.158359 0.00549986 0.987366 0.701398 -0.0174571 -0.00479643 -0.0174571
hip 1483.74 0.260618 0.0574589 0.963731 0.598408 -0.000480371 -0.00957725 -0.000480371
lHand 1483.74 0.475563 -0.216937 0.852513 0.691609 0.297134 -0.287808 0.297134
rHand 1483.74 -0.0649371 -0.30412 0.950418 0.644475 -0.294784 0.333306 -0.294784
lFoot 1483.74 0.955342 0.158792 0.249211 -0.98139 -0.0289197 -0.00327754 -0.0289197
rFoot 1483.74 0.940659 0.0808415 0.329585 -0.981935 0.106304 0.0260831 0.106304
head 1483.75 0.1584 0.00550874 0.98736 0.701439 -0.0177483 -0.00469018 -0.0177483
hip 1483.75 0.260599 0.0574153 0.963738 0.598289 -0.000552757 -0.0095416 -0.000552757
lHand 1483.75 0.47499 -0.217788 0.852615 0.692344 0.295278 -0.284408 0.295278
rHand 1483.75 -0.0645828 -0.304485 0.950325 0.644756 -0.29437 0.33297 -0.29437
lFoot 1483.75 0.95527 0.158777 0.249499 -0.981361 -0.0289415 -0.00313508 -0.0289415
rFoot 1483.75 0.940822 0.0800594 0.329309 -0.981978 0.106408 0.0257542 0.106408
head 1483.76 0.158489 0.00545928 0.987346 0.701543 -0.0180332 -0.00452476 -0.0180332
hip 1483.76 0.26048 0.0573701 0.963773 0.598158 -0.000345163 -0.00929579 -0.000345163
lHand 1483.76 0.473909 -0.218662 0.852993 0.694699 0.291062 -0.279515 0.291062
rHand 1483.76 -0.0641599 -0.304955 0.950203 0.64506 -0.293735 0.33248 -0.293735
lFoot 1483.76 0.955294 0.15863 0.2495 -0.981378 -0.0287444 -0.00312887 -0.0287444
